step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max
110000,3522,2.258,0.781,26.31,200376,185929,512,3397,10056,441279,848043.1,1756856.4,0.103,0.764,0.117,0.016,25,23.81,9.90,0.02,0.37,1.32,2.38,0.01,0.44,10.66,5.04,0.00,0.00,0.052,0.090,1117,0.152,0.008,0.964,0.001,0.027,329778,252045,3,0.875,0.076,0.002,41833,0.276,2.367,0.060,19.61,203130,121,3.981,0.527,0.835,34464434,1.01,43.93,0.000,0.254,0.000,12.0,24.0,34.5,116.8,42301,0.161,0.00,0.0023,0.040,203,0.914,0.000,0.933,0.405,4.41,14.17,2.76,0.00,0.000,1.01,1.01,1.00,0.922,0.00209,2.62,237.6400,7675.77,50642.3,137183.3,108.587,94.1776,224.869,217.674,0.910,0.164,6.4,7.344,207.582,1059,3599.9,59.12,15.321,85.174,973.6,72.339,0.135,2.00,18.2032,64111.6,1.8259,0.7055,12.01,1.990,0.045,1.3183,0.0000,0.084,0.093,0.004,0.0000,16.00,0.00,6,12,18,56
120000,2854,2.278,0.765,26.43,122408,115901,119,2261,4795,372666,552358.7,896763.8,0.145,0.733,0.099,0.023,47,26.46,11.15,0.05,0.78,2.65,3.27,0.00,0.06,10.56,5.10,0.00,0.08,0.094,0.093,1143,0.301,0.014,0.969,0.001,0.016,138902,100046,3,0.849,0.027,0.001,76371,0.250,1.839,0.059,19.38,89335,119,2.406,0.483,0.646,14405954,1.01,42.61,0.000,0.313,0.001,14.0,28.0,36.0,158.8,37844,0.144,0.00,0.0018,0.077,293,0.811,0.000,0.835,0.177,4.57,14.33,2.80,0.00,0.001,1.02,1.02,1.01,0.825,0.00285,1.30,120.1454,6286.84,83883.6,137183.3,37.469,68.1086,125.802,219.473,0.943,0.259,9.5,8.139,107.322,1140,3771.4,33.18,16.392,53.540,1839.8,36.973,0.135,2.00,11.4757,32751.6,1.1642,0.5844,13.26,1.990,0.046,0.6817,0.0000,0.077,0.085,0.002,0.0000,16.00,0.00,7,14,18,88
130000,3461,2.269,0.785,26.21,194080,180584,517,3017,9355,425390,846544.0,1726316.0,0.107,0.767,0.112,0.014,24,24.12,10.66,0.03,0.59,1.29,2.81,0.01,0.41,10.86,5.23,0.00,0.00,0.047,0.081,1016,0.166,0.008,0.968,0.002,0.022,326442,253443,6,0.721,0.108,0.002,32608,0.238,2.436,0.058,19.94,207881,121,4.058,0.539,0.828,34039014,1.01,43.90,0.000,0.227,0.000,12.0,24.0,35.2,148.0,42197,0.161,0.00,0.0023,0.037,201,0.915,0.000,0.937,0.418,4.40,13.97,2.96,0.00,0.000,1.01,1.01,1.01,0.923,0.00203,2.63,235.1498,7846.04,50174.4,137183.3,108.470,94.5080,220.926,217.467,0.886,0.164,6.3,7.012,207.605,1080,3504.9,52.76,15.893,84.947,970.9,71.741,0.136,2.00,18.6726,64625.9,1.8438,0.7078,12.19,1.985,0.059,1.3183,0.0000,0.090,0.101,0.005,0.0000,16.00,0.00,6,12,18,74
140000,2887,2.253,0.814,27.11,117291,111452,126,1904,4383,351605,545130.4,874627.2,0.150,0.731,0.097,0.022,47,25.98,11.57,0.02,0.43,2.64,3.25,0.00,0.00,10.38,5.50,0.00,0.00,0.095,0.094,1180,0.295,0.018,0.963,0.000,0.019,134740,92712,3,0.956,0.009,0.000,26050,0.259,1.904,0.066,19.23,86848,125,2.488,0.455,0.633,14214122,1.01,42.83,0.000,0.315,0.000,12.0,28.0,36.0,150.7,37637,0.144,0.00,0.0018,0.067,230,0.820,0.000,0.838,0.183,4.50,14.55,2.66,0.00,0.000,1.01,1.01,1.00,0.834,0.00266,1.29,119.3470,6010.89,84296.3,137183.3,38.054,68.0839,123.462,215.239,0.961,0.259,9.0,7.667,107.257,1222,4759.2,31.08,16.247,53.110,1959.3,36.396,0.135,2.00,10.9234,31536.0,1.1262,0.5739,13.04,1.995,0.034,0.6817,0.0000,0.061,0.071,0.001,0.0000,16.00,0.00,6,14,18,85
150000,3660,2.303,0.728,26.24,201280,187462,494,3581,8970,460686,855709.8,1737540.5,0.119,0.770,0.099,0.012,24,24.04,11.54,0.03,0.48,1.28,2.42,0.01,0.51,10.86,5.93,0.00,0.02,0.047,0.080,1086,0.159,0.008,0.972,0.000,0.020,325874,245485,5,0.827,0.098,0.001,17658,0.284,2.113,0.053,19.91,208314,113,3.772,0.525,0.842,34607080,1.01,43.78,0.000,0.245,0.000,12.0,24.0,34.0,209.5,44593,0.170,0.00,0.0022,0.045,246,0.916,0.000,0.939,0.394,4.38,13.81,3.05,0.00,0.000,1.01,1.01,1.01,0.924,0.00195,2.65,235.5650,7327.14,50183.5,137183.3,107.022,95.7663,224.939,225.917,0.881,0.163,6.0,7.139,207.739,929,3049.6,40.56,15.948,86.405,994.0,72.736,0.136,2.00,17.7245,64871.8,1.7993,0.6937,12.18,1.984,0.060,1.3183,0.0000,0.072,0.091,0.001,0.0000,16.00,0.00,6,12,17,130
160000,2971,2.268,0.713,26.57,118909,113303,119,2014,4162,343027,547376.2,882342.8,0.163,0.730,0.092,0.016,47,27.25,10.59,0.05,0.82,2.61,2.86,0.00,0.00,11.01,5.16,0.00,0.06,0.094,0.092,1159,0.300,0.014,0.965,0.001,0.019,135887,94233,4,0.807,0.016,0.000,30273,0.239,1.714,0.054,19.11,87073,109,2.572,0.501,0.646,14527480,1.01,42.14,0.000,0.301,0.000,14.0,28.0,36.0,131.9,40624,0.155,0.00,0.0017,0.072,283,0.826,0.000,0.858,0.177,4.68,14.40,2.94,0.00,0.000,1.02,1.02,1.01,0.839,0.00253,1.32,120.5175,5875.27,83082.5,137183.3,38.249,67.9009,124.954,203.357,0.930,0.257,9.9,7.506,107.131,1020,3417.5,23.55,16.027,53.004,1800.5,36.707,0.135,2.00,11.4594,34046.0,1.1085,0.5830,13.67,1.989,0.048,0.6817,0.0000,0.067,0.082,0.001,0.0000,16.00,0.00,7,14,18,65
170000,3454,2.319,0.797,26.28,199858,187027,511,3298,8539,449443,852462.3,1762854.2,0.105,0.803,0.083,0.009,25,23.93,9.42,0.04,0.60,1.07,2.13,0.00,0.10,10.95,4.74,0.00,0.03,0.040,0.075,1010,0.137,0.006,0.976,0.000,0.019,328005,250306,5,0.793,0.110,0.001,23170,0.268,2.566,0.057,19.73,207963,111,3.922,0.546,0.852,36565433,1.01,43.79,0.000,0.229,0.000,12.0,24.0,34.0,118.3,41682,0.159,0.00,0.0023,0.043,219,0.918,0.000,0.929,0.403,4.47,14.02,3.00,0.00,0.000,1.01,1.01,1.01,0.926,0.00212,2.81,238.8613,8776.49,49805.4,137183.3,107.701,94.8182,226.650,216.552,0.866,0.162,6.6,7.337,206.839,962,2855.7,69.66,15.268,85.753,847.6,72.821,0.134,2.00,18.7158,64644.2,1.8787,0.6948,12.07,1.985,0.056,1.3183,0.0000,0.068,0.092,0.002,0.0000,16.00,0.00,6,12,17,67
180000,2942,2.349,0.704,26.91,123207,117224,133,1964,4398,364699,560319.4,938839.6,0.140,0.759,0.086,0.015,48,27.43,12.26,0.03,0.56,2.53,3.26,0.01,0.23,11.26,5.95,0.00,0.02,0.087,0.094,1212,0.265,0.017,0.967,0.001,0.015,142009,97386,3,0.480,0.034,0.001,45015,0.259,1.681,0.055,19.49,88295,116,2.574,0.489,0.641,15718042,1.01,41.91,0.000,0.304,0.000,12.0,28.0,38.0,130.1,40676,0.155,0.00,0.0017,0.077,245,0.827,0.000,0.826,0.187,4.67,14.13,2.97,0.00,0.000,1.01,1.01,1.01,0.840,0.00278,1.39,126.0322,5644.53,83474.2,137183.3,38.366,67.1145,130.598,206.358,0.945,0.258,9.0,8.186,106.934,1079,3679.5,27.52,16.035,52.444,1645.6,37.873,0.135,2.00,11.4356,33643.6,1.1378,0.5751,13.83,1.985,0.061,0.6817,0.0000,0.080,0.093,0.003,0.0000,16.00,0.00,6,14,21,70
190000,3502,2.287,0.693,26.49,194924,181649,541,3096,9078,418741,845798.6,1750252.6,0.104,0.779,0.108,0.009,25,23.76,11.40,0.01,0.28,1.19,2.80,0.00,0.09,10.85,5.81,0.00,0.03,0.044,0.082,1060,0.123,0.007,0.973,0.000,0.019,329959,252534,6,0.426,0.471,0.002,30290,0.259,2.241,0.050,19.24,203082,117,4.180,0.546,0.848,35006441,1.00,43.85,0.000,0.239,0.000,12.0,22.0,36.0,179.0,42221,0.161,0.00,0.0022,0.041,196,0.918,0.000,0.937,0.422,4.39,13.55,3.16,0.00,0.000,1.01,1.01,1.00,0.925,0.00206,2.80,237.7900,7465.53,49148.0,137183.3,109.220,93.3153,223.422,205.677,0.832,0.159,6.7,7.221,206.292,858,2445.7,60.38,14.614,84.734,880.0,72.373,0.135,2.00,19.1312,66997.4,1.9353,0.7112,12.06,1.982,0.060,1.3183,0.0000,0.088,0.105,0.004,0.0000,16.00,0.00,6,12,18,101
200000,2955,2.322,0.774,27.50,121255,115148,144,1976,4534,364041,557685.3,936101.3,0.146,0.738,0.102,0.014,48,27.45,11.83,0.03,0.60,2.75,3.18,0.01,0.59,11.00,5.78,0.00,0.00,0.096,0.100,1269,0.271,0.012,0.970,0.001,0.018,141921,101441,4,0.909,0.018,0.000,38340,0.241,1.855,0.058,19.18,88142,119,2.571,0.498,0.661,15026624,1.01,41.86,0.000,0.309,0.000,12.0,28.0,40.0,137.5,40748,0.155,0.00,0.0017,0.068,244,0.827,0.000,0.848,0.199,4.67,14.15,2.90,0.00,0.000,1.01,1.02,1.01,0.841,0.00273,1.39,125.9965,6653.79,84102.2,137183.3,38.809,66.9150,129.552,200.152,0.949,0.260,8.7,8.066,106.842,1103,3586.5,31.00,15.580,52.305,1836.1,37.921,0.136,2.00,10.8005,31915.6,1.0692,0.5756,13.79,1.990,0.046,0.6817,0.0000,0.079,0.095,0.005,0.0000,16.00,0.00,6,14,20,94
