step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max
10000,4526,1.689,0.796,7.45,417800,354118,373,175,59237,21493,1076255.0,2692290.5,0.163,0.326,0.205,0.306,65,12.16,6.19,0.01,0.23,0.01,0.43,0.02,0.65,13.24,6.85,0.00,0.00,0.000,0.022,262,0.220,0.004,0.978,0.001,0.017,786739,720657,7,0.354,0.138,0.003,497272,0.227,2.434,0.056,18.40,204372,67,125.264,0.686,0.914,23881909,1.00,42.35,0.000,0.000,0.000,7.8,12.0,18.4,105.2,60125,0.229,0.00,0.0018,0.020,477,0.936,0.000,0.969,0.475,5.21,13.89,7.04,0.00,0.000,1.00,1.00,1.00,0.936,0.00041,2.91,436.3445,8929.43,31865.5,137317.8,90.396,123.9991,354.661,361.091,0.802,0.097,1.4,1.874,209.108,905,2822.7,74.88,28.746,104.286,676.8,93.801,0.135,2.00,18.4869,83671.9,1.6702,0.2938,13.28,0.938,0.253,1.3183,0.0000,0.491,0.112,0.579,0.0000,16.00,0.00,8,12,19,120
20000,3355,1.766,0.572,8.99,204817,182352,227,8,23401,1313,573002.4,1625810.0,0.073,0.737,0.132,0.058,97,11.19,4.90,0.03,0.57,0.00,0.00,0.09,0.43,16.89,7.25,0.00,0.00,0.000,0.000,175,0.587,0.004,0.973,0.001,0.021,375498,368723,3,0.996,0.000,0.070,1080046,0.022,1.728,0.033,12.92,83043,40,1238.241,0.875,0.887,33138626,1.01,40.40,0.000,0.003,0.000,7.2,12.5,12.5,88.6,57051,0.218,0.00,0.0010,0.013,241,0.969,0.000,0.969,0.458,7.19,15.13,15.31,0.00,0.000,1.02,1.01,1.01,0.969,0.00030,1.73,232.8505,6679.48,51676.0,137317.8,44.130,66.8152,195.558,197.033,0.675,0.172,0.5,0.994,105.832,627,1491.3,52.55,8.791,52.906,527.2,47.507,0.135,2.00,20.7440,69596.1,1.3581,0.2887,17.00,0.659,0.034,0.6817,0.0000,0.481,0.020,0.190,0.0000,16.00,0.00,11,19,19,129
30000,4376,1.628,0.625,9.06,254449,211414,1190,21,40803,1811,791188.9,2186411.0,0.034,0.856,0.103,0.007,74,8.88,4.12,0.02,0.77,0.00,0.00,0.01,0.17,13.50,6.02,0.00,0.00,0.000,0.000,232,0.330,0.002,0.983,0.000,0.015,690839,690257,1,1.000,0.000,0.002,842458,0.019,1.841,0.035,14.20,157372,18,1207.295,1.000,0.916,59681075,1.01,44.24,0.000,0.005,0.000,5.9,7.8,12.5,81.3,59201,0.226,0.00,0.0013,0.009,616,0.982,0.000,0.957,0.632,6.55,15.18,15.36,0.00,0.000,1.01,1.01,1.01,0.982,0.00017,4.46,329.7201,7532.16,20166.7,137317.8,116.053,91.5753,255.464,193.697,0.722,0.052,1.0,0.753,201.746,718,1561.0,47.63,7.189,81.277,460.3,74.853,0.135,2.00,22.6251,99007.3,1.9441,0.4333,13.53,0.656,0.011,1.3183,0.0000,0.487,0.025,0.398,0.0000,16.00,0.00,9,12,19,104
40000,3310,1.923,0.778,10.25,238715,199704,277,17510,22290,779443,560861.4,1565347.2,0.129,0.746,0.096,0.029,88,17.43,12.45,0.15,1.37,2.23,4.10,0.04,0.76,12.70,9.95,0.01,0.21,0.114,0.184,1768,0.074,0.010,0.956,0.002,0.031,393219,353687,2,0.594,0.134,0.004,263595,0.103,1.713,0.057,18.58,116724,80,2.008,0.629,0.730,25438873,1.04,40.63,0.000,0.451,0.001,5.2,15.3,29.8,196.4,50002,0.191,0.00,0.0013,0.060,264,0.867,0.001,0.920,0.400,4.84,13.13,6.24,0.01,0.003,1.04,1.07,1.04,0.892,0.00149,1.49,181.6240,6613.44,91813.4,137317.8,37.389,75.0326,170.935,271.705,0.910,0.319,5.9,4.944,106.503,1109,3599.5,26.80,14.557,54.236,1902.4,39.627,0.134,2.00,7.6209,25225.2,0.8170,0.5338,15.11,1.156,0.338,0.6817,0.0000,0.562,0.068,0.762,0.0000,16.00,0.00,6,14,25,139
50000,5667,1.752,0.829,13.52,601168,491229,0,36528,71054,2231657,980210.6,3123088.2,0.206,0.527,0.165,0.102,46,14.89,10.58,0.05,0.77,1.25,2.71,0.08,1.94,10.31,7.26,0.00,0.00,0.076,0.138,2285,0.037,0.007,0.953,0.003,0.037,913467,754146,9,0.367,0.151,0.012,1121260,0.197,1.902,0.063,23.94,372877,118,1.399,0.450,0.859,35981099,1.02,45.42,0.000,0.407,0.000,5.0,12.2,28.0,137.8,66273,0.253,0.00,0.0017,0.055,652,0.831,0.001,0.943,0.346,3.52,8.70,4.33,0.00,0.000,1.02,1.03,1.02,0.873,0.00163,3.82,336.0019,9616.89,71867.6,137317.8,74.792,126.1519,347.440,327.740,0.942,0.247,6.8,9.234,207.186,799,2300.8,36.17,19.636,113.440,1191.6,89.292,0.134,2.00,7.1018,40245.8,0.9823,0.6501,11.69,1.351,0.568,1.3183,0.0000,0.640,0.085,0.951,0.0000,16.00,0.00,4,11,18,160
60000,3488,2.029,0.700,11.34,245098,223383,0,5140,18754,937583,636198.4,1541710.5,0.120,0.654,0.108,0.118,93,19.40,13.35,0.09,1.26,2.20,3.83,0.03,0.72,13.29,9.04,0.00,0.00,0.103,0.154,1685,0.054,0.008,0.961,0.003,0.028,323645,233510,9,0.353,0.189,0.004,339643,0.202,1.655,0.051,22.53,123352,133,1.644,0.385,0.739,16773270,1.02,39.34,0.000,0.365,0.000,6.6,16.5,36.3,135.0,54473,0.208,0.00,0.0014,0.052,336,0.771,0.000,0.925,0.268,4.65,10.33,7.21,0.00,0.001,1.03,1.03,1.02,0.797,0.00228,1.65,175.7766,7027.40,86384.4,137317.8,30.920,72.6177,182.710,248.202,0.876,0.303,6.1,7.951,106.759,799,2261.1,22.49,18.275,56.591,1597.9,43.711,0.134,2.00,8.8971,31033.1,0.8585,0.4679,15.62,1.278,0.500,0.6817,0.0000,0.694,0.135,0.984,0.0000,16.00,0.00,6,15,25,135
70000,5985,1.675,0.848,14.98,558103,460952,21,32727,61906,1880283,963092.2,3011422.2,0.174,0.599,0.096,0.131,49,13.86,9.77,0.08,1.11,1.84,2.79,0.03,0.80,8.03,6.82,0.00,0.10,0.127,0.164,2468,0.062,0.006,0.941,0.008,0.045,909791,768558,8,0.505,0.171,0.003,202508,0.193,1.794,0.060,21.78,373051,136,1.602,0.435,0.848,44436549,1.02,46.40,0.000,0.515,0.001,4.5,12.0,25.8,103.1,59707,0.228,0.00,0.0020,0.056,706,0.879,0.001,0.952,0.391,3.52,9.24,5.92,0.01,0.004,1.03,1.03,1.02,0.906,0.00128,4.41,346.4343,9659.14,77648.5,137317.8,77.120,125.9459,347.042,303.481,0.927,0.270,7.1,7.646,205.176,801,2138.2,36.34,15.948,112.686,1514.9,90.832,0.134,2.00,5.6958,34089.3,0.9409,0.7056,9.98,1.474,0.572,1.3183,0.0000,0.738,0.153,0.948,0.0000,16.00,0.00,4,9,17,101
80000,4883,1.798,0.808,14.69,284770,253351,1,9165,23355,1237418,644537.4,1807498.5,0.085,0.682,0.101,0.132,88,17.43,14.06,0.21,1.63,2.70,4.08,0.00,0.16,7.69,8.22,0.00,0.20,0.158,0.180,2636,0.027,0.009,0.933,0.007,0.051,380940,294390,3,0.822,0.023,0.000,586064,0.178,1.686,0.053,23.02,146678,130,1.461,0.399,0.815,20507299,1.08,45.19,0.000,0.641,0.000,5.6,13.9,31.8,182.6,51777,0.198,0.00,0.0017,0.086,724,0.784,0.000,0.921,0.273,3.64,11.12,4.26,0.01,0.005,1.11,1.12,1.06,0.816,0.00186,2.47,186.7118,7738.85,92933.4,137317.8,28.840,72.8352,200.264,226.627,0.950,0.320,17.3,9.075,105.008,865,2368.9,17.83,17.366,57.361,2455.2,45.272,0.135,2.00,4.2288,20649.4,0.8107,0.5051,10.60,1.716,0.457,0.6817,0.0000,0.551,0.113,0.663,0.0000,16.00,0.00,3,9,21,110
90000,7313,1.700,0.810,20.23,705811,557688,0,42515,103178,2682214,991997.5,3665960.5,0.163,0.591,0.149,0.097,40,13.48,9.57,0.07,0.93,1.14,2.34,0.02,0.99,9.47,6.94,0.00,0.12,0.075,0.127,3373,0.021,0.005,0.943,0.003,0.049,1134690,960826,2,0.429,0.205,0.002,132075,0.198,1.747,0.055,22.24,501364,127,1.367,0.457,0.894,48648096,1.03,43.39,0.000,0.566,0.001,4.5,11.5,24.0,132.0,78252,0.299,0.00,0.0014,0.054,1296,0.841,0.000,0.956,0.380,3.71,7.37,6.97,0.01,0.002,1.04,1.04,1.03,0.884,0.00152,5.17,386.3693,10621.94,60418.8,137317.8,67.122,129.3276,396.818,343.107,0.976,0.206,9.1,11.116,206.975,409,1025.5,24.73,16.996,121.456,1208.1,95.554,0.135,2.00,6.7303,49218.4,1.0872,0.6586,10.70,1.423,0.667,1.3183,0.0000,0.679,0.115,0.978,0.0000,16.00,0.00,4,9,19,92
100000,5511,1.605,0.644,19.09,389096,333216,0,7896,49786,1171223,676530.3,2326039.5,0.081,0.578,0.282,0.059,63,11.76,8.31,0.07,1.08,0.95,1.99,0.02,0.74,10.53,8.13,0.00,0.10,0.081,0.126,2666,0.228,0.010,0.938,0.006,0.046,556905,436900,3,0.560,0.005,0.003,177093,0.201,1.502,0.039,22.13,236396,129,1.986,0.496,0.839,24754949,1.02,42.19,0.000,0.497,0.000,4.7,10.0,20.0,102.0,63745,0.243,0.00,0.0012,0.070,1009,0.801,0.000,0.941,0.310,3.99,7.21,9.09,0.00,0.001,1.03,1.03,1.02,0.837,0.00136,2.98,252.9141,7440.79,78669.3,137317.8,26.110,76.9074,254.889,244.504,0.953,0.270,7.4,7.519,105.603,488,1294.7,23.24,16.139,60.470,1324.2,51.166,0.134,2.00,6.8879,37959.5,1.0827,0.5699,11.57,1.240,0.667,0.6817,0.0000,0.756,0.195,0.990,0.0000,16.00,0.00,5,10,21,91
