step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max
10000,3529,2.245,1.175,26.89,515000,427276,62,50085,34717,2069254,1028086.8,2559101.8,0.189,0.655,0.103,0.054,21,23.44,13.19,0.01,0.23,0.90,2.36,0.22,1.12,10.70,6.75,0.00,0.00,0.051,0.101,1505,0.042,0.009,0.948,0.005,0.039,721091,592802,17,0.443,0.211,0.080,3473613,0.139,2.617,0.114,19.07,344290,83,1.237,0.546,0.829,37997331,1.00,42.68,0.000,0.269,0.000,10.0,22.0,38.0,184.0,41724,0.159,0.00,0.0027,0.046,58,0.844,0.001,0.953,0.289,4.30,14.74,2.46,0.00,0.000,1.00,1.00,1.00,0.883,0.00298,2.64,295.8698,7850.81,54745.4,137183.6,76.598,131.7083,303.553,486.873,0.875,0.180,4.3,10.525,207.028,1722,9356.6,44.25,31.973,117.691,1548.0,83.067,0.135,2.00,15.1902,53606.2,1.5873,0.5482,11.82,2.000,0.007,1.3183,0.0000,0.930,0.122,0.984,0.0000,16.00,0.00,5,11,19,92
20000,2625,2.479,0.783,24.97,103371,98340,45,1330,4560,246623,506145.5,730132.4,0.123,0.679,0.114,0.084,49,30.29,15.14,0.01,0.26,1.62,3.08,0.72,2.26,13.25,7.94,0.00,0.00,0.062,0.103,1523,0.036,0.015,0.951,0.001,0.033,116815,74914,6,0.466,0.473,0.288,2551855,0.152,1.753,0.060,18.53,74537,135,2.961,0.523,0.592,10466355,1.00,38.35,0.000,0.353,0.000,14.0,27.0,50.0,140.0,40941,0.156,0.00,0.0015,0.079,237,0.801,0.000,0.896,0.172,4.78,14.53,2.58,0.00,0.000,1.00,1.01,1.00,0.814,0.00281,0.97,104.4130,6045.03,90767.2,137183.6,39.672,67.2662,107.303,201.023,0.929,0.281,10.3,7.380,105.744,1228,4053.3,18.56,16.711,52.512,2027.2,32.206,0.135,2.00,9.7073,25481.7,0.9405,0.6369,15.60,1.989,0.034,0.6817,0.0000,0.826,0.210,0.901,0.0000,16.00,0.00,7,14,25,72
30000,3687,2.268,0.669,25.03,216501,197364,418,2370,15287,302347,883776.5,1862066.2,0.070,0.703,0.105,0.122,23,24.06,10.22,0.01,0.31,0.49,1.65,0.13,1.63,11.77,5.46,0.00,0.00,0.020,0.065,1030,0.042,0.009,0.966,0.002,0.024,368180,252545,19,0.225,0.412,0.024,2968474,0.166,2.136,0.045,20.73,229149,156,6.159,0.519,0.822,32996199,1.00,41.52,0.000,0.154,0.000,14.0,22.0,35.6,108.3,45685,0.174,0.00,0.0020,0.043,264,0.913,0.000,0.954,0.423,4.36,14.83,2.24,0.00,0.000,1.00,1.00,1.00,0.919,0.00195,3.23,256.9216,7567.74,46239.7,137183.6,104.009,97.0972,235.425,211.300,0.766,0.149,7.5,7.204,202.046,713,1768.4,59.13,15.466,88.021,836.7,75.197,0.134,2.00,18.9424,69840.7,1.8708,0.8739,12.39,1.966,0.094,1.3183,0.0000,0.836,0.197,0.910,0.0000,16.00,0.00,7,12,18,115
40000,3059,2.387,0.692,23.69,156765,147603,101,2251,7438,382106,605340.2,1153763.6,0.072,0.649,0.136,0.143,46,27.85,12.33,0.00,0.18,1.89,2.87,0.20,1.64,12.67,6.60,0.00,0.00,0.071,0.104,1566,0.100,0.016,0.944,0.003,0.037,182906,117337,2,0.681,0.174,0.032,869740,0.179,1.627,0.050,21.87,106896,139,3.019,0.464,0.685,14429414,1.00,38.62,0.000,0.334,0.000,14.0,28.0,44.0,109.3,45169,0.172,0.00,0.0016,0.074,329,0.782,0.000,0.910,0.191,4.64,14.44,2.37,0.00,0.000,1.00,1.00,1.00,0.797,0.00311,1.96,150.4015,6310.16,83477.9,137183.6,35.441,68.4957,153.504,195.036,0.916,0.257,8.5,9.518,103.469,941,2781.5,31.52,15.921,52.418,1472.1,40.717,0.134,2.00,10.9058,33360.8,1.0272,0.6177,14.77,1.904,0.201,0.6817,0.0000,0.866,0.164,0.979,0.0000,16.00,0.00,7,14,23,80
50000,3880,2.225,0.643,25.06,228100,207720,523,2508,16528,353776,888960.1,1918884.0,0.051,0.767,0.068,0.114,23,22.38,9.24,0.00,0.02,0.65,1.86,0.17,1.72,10.98,5.16,0.00,0.00,0.028,0.075,1300,0.042,0.007,0.964,0.001,0.028,382363,262163,18,0.408,0.328,0.028,1170948,0.164,2.175,0.043,20.75,238606,153,5.424,0.499,0.854,35655514,1.00,42.27,0.000,0.220,0.000,12.0,22.0,32.0,105.4,45760,0.175,0.00,0.0021,0.042,234,0.904,0.000,0.940,0.417,4.28,14.60,2.17,0.00,0.000,1.00,1.00,1.00,0.910,0.00201,4.24,262.9876,7806.85,46077.4,137183.6,102.602,97.6049,239.709,202.948,0.729,0.151,6.0,7.805,199.696,508,1149.4,51.92,13.660,88.401,851.3,75.828,0.136,2.00,18.0902,70190.1,1.8607,0.7724,11.79,1.934,0.166,1.3183,0.0000,0.845,0.169,0.967,0.0000,16.00,0.00,6,11,17,72
60000,3203,2.281,0.682,24.00,163485,153261,117,3058,7726,488174,596788.4,1166527.4,0.035,0.765,0.090,0.109,44,26.13,12.13,0.00,0.02,1.92,2.90,0.15,1.44,11.74,6.48,0.00,0.00,0.077,0.103,1494,0.052,0.017,0.959,0.000,0.024,189252,124231,2,0.774,0.031,0.024,736337,0.162,1.666,0.050,21.57,109269,141,2.390,0.445,0.687,17723230,1.00,40.59,0.000,0.329,0.000,12.0,24.0,40.0,101.2,44216,0.169,0.00,0.0016,0.077,346,0.786,0.000,0.886,0.179,4.47,14.57,2.41,0.00,0.000,1.00,1.00,1.00,0.802,0.00323,2.06,145.2070,6297.58,83972.4,137183.6,35.505,67.5645,153.358,211.723,0.900,0.255,10.6,10.351,103.314,943,2682.6,36.24,15.665,52.561,1499.3,40.212,0.134,2.00,10.3147,33037.9,1.0415,0.5936,13.80,1.905,0.197,0.6817,0.0000,0.849,0.169,0.973,0.0000,16.00,0.00,7,13,21,82
70000,3645,2.238,0.715,25.48,218865,198391,567,3113,16352,423068,874018.4,1887351.4,0.021,0.874,0.051,0.054,24,22.94,9.45,0.00,0.00,0.78,1.98,0.11,1.49,11.17,5.24,0.00,0.00,0.033,0.081,1187,0.043,0.007,0.968,0.000,0.025,364355,258452,13,0.467,0.182,0.014,909232,0.121,2.516,0.047,19.89,223038,143,4.461,0.497,0.836,41055454,1.00,42.52,0.000,0.236,0.000,12.0,22.0,32.0,118.7,43954,0.168,0.00,0.0021,0.045,254,0.908,0.000,0.904,0.413,4.43,14.86,2.19,0.00,0.000,1.00,1.00,1.00,0.915,0.00230,4.19,253.1095,8481.76,45375.5,137183.6,104.561,95.0121,235.531,197.723,0.758,0.149,6.0,8.373,199.258,596,1513.2,61.57,12.690,87.357,1033.4,75.042,0.136,2.00,19.2760,70261.0,1.9186,0.7317,12.06,1.931,0.176,1.3183,0.0000,0.808,0.166,0.961,0.0000,16.00,0.00,6,12,17,76
80000,2867,2.341,0.704,24.76,155730,145394,130,3015,7969,485759,593321.1,1120111.1,0.023,0.806,0.062,0.109,46,26.62,12.38,0.01,0.29,2.26,3.17,0.23,2.36,11.56,6.23,0.00,0.00,0.082,0.101,1386,0.120,0.013,0.962,0.002,0.023,178648,113209,3,0.526,0.124,0.029,799457,0.165,1.694,0.053,21.19,101662,142,2.306,0.403,0.640,18101965,1.00,40.33,0.000,0.357,0.000,12.1,26.0,42.0,100.0,40300,0.154,0.00,0.0018,0.092,322,0.784,0.000,0.856,0.175,4.61,14.58,2.39,0.00,0.000,1.00,1.00,1.00,0.799,0.00373,2.01,140.3885,5852.98,86576.9,137183.6,35.500,67.5947,149.016,214.000,0.936,0.264,10.2,10.701,103.821,997,3132.6,23.97,15.368,52.982,1883.5,40.067,0.135,2.00,10.7513,30823.8,1.0653,0.5813,14.06,1.907,0.196,0.6817,0.0000,0.806,0.159,0.962,0.0000,16.00,0.00,7,13,22,98
90000,3747,2.237,0.775,25.83,210393,190193,551,3152,15617,426801,871377.3,1818124.1,0.023,0.887,0.025,0.065,24,22.45,9.77,0.00,0.00,1.12,2.32,0.14,1.52,10.44,4.72,0.00,0.00,0.047,0.092,1299,0.073,0.011,0.963,0.002,0.024,351233,249090,19,0.445,0.146,0.021,1002666,0.122,2.660,0.051,19.80,215793,148,4.260,0.482,0.828,40152607,1.00,42.90,0.000,0.297,0.000,10.7,22.0,32.0,114.0,43799,0.167,0.00,0.0022,0.045,299,0.903,0.000,0.878,0.414,4.32,14.74,2.12,0.00,0.000,1.00,1.00,1.00,0.910,0.00227,4.12,245.1277,9415.43,46492.4,137183.6,104.247,95.1229,228.948,198.209,0.820,0.151,9.9,8.490,199.400,623,1613.0,55.97,13.082,87.817,1000.6,74.597,0.134,2.00,18.1248,67913.6,1.8918,0.7174,11.69,1.939,0.160,1.3183,0.0000,0.841,0.155,0.975,0.0000,16.00,0.00,6,12,16,57
100000,2906,2.348,0.711,24.79,147779,138189,137,2890,7404,473046,592942.9,1092455.4,0.021,0.814,0.051,0.114,47,27.59,12.58,0.00,0.00,2.26,3.00,0.23,1.86,12.02,6.37,0.00,0.00,0.079,0.095,1394,0.150,0.015,0.958,0.000,0.028,170991,107775,4,0.474,0.043,0.040,802653,0.155,1.776,0.052,21.37,98237,141,2.309,0.407,0.663,17381303,1.00,40.04,0.000,0.340,0.000,12.3,28.0,44.0,100.0,42169,0.161,0.00,0.0017,0.084,349,0.776,0.000,0.847,0.184,4.66,14.69,2.41,0.00,0.000,1.00,1.00,1.00,0.791,0.00386,1.98,136.6605,6450.79,83949.1,137183.6,35.514,66.7211,145.905,215.689,0.929,0.258,11.6,11.223,103.964,936,2874.4,52.82,15.624,52.832,1656.7,39.796,0.136,2.00,11.4044,33141.1,1.0680,0.5828,14.51,1.913,0.194,0.6817,0.0000,0.834,0.157,0.959,0.0000,16.00,0.00,7,14,23,58
