step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max
10000,3130,1.940,0.805,14.10,259198,217712,10,30570,9206,1599257,1181224.9,2480708.0,0.139,0.572,0.136,0.152,79,18.49,12.72,0.58,2.18,2.63,4.71,0.04,0.51,8.94,6.45,0.00,0.07,0.097,0.159,1651,0.031,0.023,0.948,0.001,0.028,645090,535078,15,0.281,0.495,0.012,2009386,0.201,2.617,0.056,16.77,257073,166,1.551,0.335,0.687,17726808,1.19,6.47,0.164,0.450,0.002,5.0,15.5,32.0,100.6,38122,0.145,0.00,0.0042,0.075,489,0.782,0.000,0.757,0.606,2.88,4.08,4.17,0.01,0.008,1.13,1.27,1.20,0.809,0.00421,1.97,295.1228,8105.08,99786.1,140185.7,55.206,155.6184,241.387,417.079,0.956,0.336,16.3,13.180,211.155,580,1604.4,79.46,30.105,142.052,2921.2,98.009,0.134,2.00,6.3779,19962.7,1.0155,0.5569,12.18,1.433,0.453,1.3183,0.0000,0.548,0.140,0.662,0.0000,5.65,1.27,4,12,20,64
20000,2967,2.161,0.609,17.52,236928,209046,3,20887,7155,1383659,691202.2,1557861.6,0.075,0.721,0.064,0.140,124,24.21,12.82,0.21,1.78,3.63,4.79,0.01,0.36,11.83,7.68,0.00,0.04,0.115,0.143,1011,0.203,0.033,0.945,0.000,0.022,319673,218545,3,0.501,0.036,0.002,264296,0.178,1.904,0.043,20.62,141156,126,1.126,0.366,0.679,12532927,1.07,4.92,0.427,0.330,0.000,7.2,26.1,32.0,128.0,46501,0.177,0.00,0.0020,0.104,551,0.588,0.000,0.723,0.306,3.02,3.87,4.90,0.00,0.001,1.04,1.09,1.07,0.619,0.00639,1.80,148.7539,6379.63,98837.6,140185.7,24.970,65.8660,171.739,247.943,0.967,0.337,21.8,18.960,107.289,488,1206.7,50.32,15.511,64.296,1875.4,51.132,0.135,2.00,7.9215,23503.2,0.7580,0.4622,15.67,1.519,0.493,0.6817,0.0000,0.734,0.197,0.931,0.0000,5.54,1.47,7,16,25,64
30000,2792,2.240,0.693,17.38,250522,220840,263,22231,7363,1511954,1086503.8,2049261.4,0.037,0.807,0.038,0.118,96,23.52,12.47,0.20,1.72,3.48,4.31,0.00,0.14,11.10,6.20,0.00,0.05,0.110,0.134,758,0.254,0.029,0.953,0.000,0.017,490145,382051,2,0.517,0.040,0.003,94505,0.259,2.870,0.045,19.06,208132,132,1.355,0.351,0.703,21644747,1.06,5.29,0.444,0.301,0.001,7.2,26.0,32.0,128.0,41292,0.158,0.00,0.0035,0.099,521,0.706,0.000,0.769,0.509,2.89,3.53,5.00,0.00,0.003,1.02,1.08,1.08,0.729,0.00736,2.67,239.0949,7612.44,81577.6,140185.7,68.227,122.8125,222.504,308.490,0.939,0.276,19.2,20.561,208.421,423,981.4,126.14,12.494,126.034,2267.7,95.231,0.134,2.00,14.2073,39666.8,1.2253,0.4378,14.79,1.536,0.492,1.3183,0.0000,0.731,0.196,0.973,0.0000,5.52,1.51,7,16,20,64
40000,3094,2.131,0.621,16.42,219218,194462,58,18659,5737,1298092,698870.9,1421939.9,0.052,0.774,0.039,0.134,130,22.83,12.95,0.24,2.40,3.61,4.64,0.05,0.83,10.66,5.98,0.00,0.02,0.114,0.144,945,0.210,0.039,0.936,0.000,0.025,287393,198060,2,0.487,0.078,0.010,130758,0.228,2.050,0.042,19.82,118238,116,1.095,0.357,0.674,11717954,1.07,5.60,0.416,0.346,0.000,6.5,22.0,32.0,101.5,45029,0.172,0.00,0.0021,0.109,575,0.551,0.000,0.736,0.294,2.97,3.62,4.96,0.00,0.001,1.05,1.09,1.08,0.581,0.00676,1.83,145.2351,6731.89,96976.5,140185.7,24.642,65.8540,164.677,263.397,0.965,0.329,22.7,20.905,106.783,414,968.5,54.14,13.702,65.401,1917.9,52.652,0.135,2.00,8.0838,25011.3,0.8243,0.4128,14.55,1.504,0.501,0.6817,0.0000,0.733,0.196,0.985,0.0000,5.60,1.50,6,16,21,64
50000,2914,2.200,0.740,16.21,244418,215449,358,22074,6717,1372687,1070568.9,1997414.2,0.057,0.819,0.052,0.072,98,22.79,12.70,0.08,1.08,3.30,4.65,0.02,0.49,11.14,5.92,0.00,0.02,0.104,0.142,722,0.186,0.032,0.944,0.000,0.024,501960,373554,3,0.495,0.057,0.002,187595,0.213,3.527,0.045,16.93,222347,138,1.455,0.335,0.721,22154088,1.03,5.12,0.422,0.296,0.000,7.9,20.0,32.0,146.0,42345,0.162,0.00,0.0033,0.095,538,0.718,0.000,0.777,0.531,3.00,3.63,5.03,0.00,0.001,1.03,1.03,1.03,0.739,0.00652,3.08,237.3867,8819.71,79856.7,140185.7,68.775,123.4290,214.240,290.961,0.943,0.271,18.8,18.997,206.766,257,570.9,159.22,9.728,127.204,2287.7,95.215,0.135,2.00,13.8807,40448.5,1.1974,0.4530,14.53,1.507,0.498,1.3183,0.0000,0.747,0.172,0.985,0.0000,5.54,1.45,7,16,17,73
60000,3074,2.164,0.601,15.71,229202,201403,59,20666,6914,1345248,696058.6,1469803.0,0.079,0.793,0.083,0.044,132,22.87,14.03,0.07,1.08,3.76,5.25,0.02,0.40,10.83,6.01,0.00,0.06,0.114,0.149,851,0.182,0.032,0.942,0.000,0.026,301725,205902,3,0.518,0.142,0.004,108093,0.197,2.011,0.043,18.79,123422,115,1.093,0.359,0.691,12697009,1.03,5.61,0.393,0.353,0.001,6.9,16.7,32.9,128.0,45114,0.172,0.00,0.0021,0.107,593,0.563,0.000,0.715,0.297,3.03,3.64,5.03,0.00,0.002,1.02,1.02,1.04,0.593,0.00684,1.96,148.2231,6630.82,97814.8,140185.7,25.017,65.4708,167.454,255.961,0.964,0.331,23.1,21.032,106.437,346,740.7,69.37,12.271,65.913,1992.1,53.506,0.134,2.00,7.9496,24437.0,0.8057,0.4146,14.68,1.485,0.497,0.6817,0.0000,0.757,0.161,0.996,0.0000,5.66,1.41,6,15,23,64
70000,2904,2.226,0.790,16.70,250621,218806,354,23548,8083,1406764,1072394.2,1993661.8,0.051,0.836,0.074,0.038,98,22.82,13.53,0.06,0.86,3.57,4.79,0.05,0.81,10.85,6.44,0.00,0.07,0.115,0.147,772,0.231,0.034,0.943,0.000,0.022,502706,363480,6,0.486,0.222,0.005,84927,0.242,3.700,0.048,16.35,218501,139,1.417,0.337,0.698,22662168,1.01,5.02,0.436,0.289,0.001,7.1,20.8,32.0,206.0,42151,0.161,0.00,0.0034,0.102,497,0.715,0.000,0.758,0.521,2.87,3.58,4.90,0.00,0.002,1.01,1.02,1.02,0.736,0.00663,3.03,235.9658,9354.07,81270.5,140185.7,67.322,124.7293,214.383,301.464,0.968,0.281,18.3,19.257,207.031,312,721.0,118.58,9.016,129.291,2385.4,96.137,0.134,2.00,13.1441,38170.4,1.1623,0.4523,14.51,1.513,0.502,1.3183,0.0000,0.762,0.172,0.991,0.0000,5.43,1.39,6,16,18,103
80000,2978,2.175,0.613,16.20,233754,201948,50,23514,8168,1387418,694158.2,1492527.0,0.048,0.791,0.111,0.051,129,23.73,15.10,0.06,0.56,3.98,5.29,0.08,1.08,11.06,6.49,0.00,0.07,0.118,0.151,962,0.122,0.043,0.927,0.000,0.029,306682,204904,5,0.511,0.019,0.013,227618,0.186,2.291,0.042,18.69,123389,113,1.076,0.366,0.682,12364141,1.02,5.09,0.397,0.349,0.000,5.8,20.6,50.0,98.0,45203,0.172,0.00,0.0021,0.103,546,0.549,0.000,0.647,0.297,3.00,3.65,4.88,0.00,0.001,1.01,1.02,1.01,0.579,0.00710,2.00,148.2259,6649.77,96542.6,140185.7,25.033,65.0565,167.807,259.493,0.963,0.327,22.4,21.130,106.315,348,869.0,104.54,12.399,65.964,2070.9,53.377,0.134,2.00,8.6232,25679.9,0.8260,0.4112,15.18,1.481,0.507,0.6817,0.0000,0.739,0.183,0.982,0.0000,5.47,1.20,5,16,25,64
90000,2996,2.101,0.748,14.99,260087,220853,307,28377,10532,1493963,1067108.5,2103567.0,0.037,0.818,0.099,0.045,98,21.02,13.10,0.06,0.91,3.17,4.72,0.05,1.05,10.84,5.77,0.00,0.08,0.107,0.159,826,0.162,0.033,0.939,0.000,0.028,517822,382914,6,0.571,0.056,0.005,188221,0.223,3.977,0.043,16.86,223031,130,1.408,0.354,0.729,21646720,1.02,5.20,0.361,0.313,0.001,5.8,16.1,32.0,96.0,42305,0.161,0.00,0.0033,0.095,552,0.694,0.000,0.686,0.520,2.92,3.43,4.77,0.00,0.001,1.02,1.02,1.03,0.716,0.00668,3.28,241.5586,9095.08,79159.0,140185.7,70.045,120.9191,218.142,296.695,0.943,0.269,19.3,20.014,206.552,224,503.8,151.27,9.509,125.816,2263.6,95.212,0.135,2.00,13.7516,41199.8,1.1905,0.4520,14.12,1.416,0.508,1.3183,0.0000,0.711,0.182,0.972,0.0000,5.34,1.08,6,15,21,49
100000,3006,2.097,0.572,15.68,240369,205105,78,26245,8931,1442584,686822.2,1507414.6,0.041,0.790,0.125,0.044,128,22.01,13.17,0.03,0.58,3.46,4.75,0.03,0.71,10.93,6.42,0.01,0.20,0.112,0.151,907,0.214,0.039,0.936,0.000,0.025,311558,211647,2,0.531,0.105,0.005,181827,0.217,1.894,0.042,18.87,125772,111,1.045,0.361,0.684,12095368,1.01,5.07,0.387,0.338,0.002,6.0,18.1,32.0,128.0,43456,0.166,0.00,0.0021,0.105,571,0.532,0.000,0.617,0.290,2.88,3.53,4.79,0.01,0.002,1.01,1.01,1.02,0.563,0.00713,2.13,147.1262,6148.12,97846.4,140185.7,25.440,64.5630,167.941,255.698,0.969,0.331,22.7,21.420,105.896,328,823.7,44.26,12.361,65.241,1954.6,52.474,0.135,2.00,8.4242,25323.1,0.8521,0.4099,14.46,1.459,0.509,0.6817,0.0000,0.732,0.179,0.973,0.0000,5.36,1.20,6,16,21,64
