step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max
10000,2746,1.995,0.741,18.44,275411,229057,8,39179,5910,1868231,1106582.6,2178025.2,0.084,0.662,0.099,0.155,50,20.12,13.18,0.57,1.78,2.25,4.14,0.64,2.20,10.74,9.38,0.01,0.09,0.094,0.150,1833,0.011,0.027,0.950,0.000,0.023,573072,442568,9,0.189,0.432,0.198,4314730,0.178,2.467,0.050,19.35,268713,134,1.166,0.398,0.660,18269631,1.17,7.62,0.090,0.468,0.003,5.0,19.2,34.0,158.0,38994,0.149,0.00,0.0038,0.069,391,0.724,0.000,0.704,0.532,3.21,4.11,4.51,0.01,0.010,1.12,1.22,1.18,0.758,0.00590,2.40,240.7273,7097.91,101640.5,140443.9,55.900,151.6562,223.727,484.306,0.958,0.296,17.2,16.205,209.684,557,1666.2,58.91,31.942,138.348,2836.5,85.710,0.135,2.00,7.3070,20065.0,1.0946,0.5125,14.20,1.461,0.458,1.3183,0.0000,0.295,0.197,0.189,0.0000,6.14,1.74,4,12,26,81
20000,2854,2.183,0.639,23.12,216815,194428,4,19098,3177,1251881,668217.2,1380284.2,0.067,0.735,0.073,0.124,74,24.25,11.04,0.21,1.42,3.50,4.21,0.85,2.68,11.00,7.85,0.00,0.02,0.125,0.146,1443,0.074,0.035,0.941,0.000,0.023,266436,164604,2,0.392,0.370,0.274,7297631,0.144,1.967,0.047,21.49,141622,109,1.103,0.459,0.646,10897526,1.06,5.25,0.297,0.352,0.000,8.7,27.0,32.0,98.0,44375,0.169,0.00,0.0021,0.076,552,0.547,0.000,0.610,0.255,3.26,4.15,4.77,0.01,0.005,1.04,1.08,1.06,0.579,0.00673,2.09,134.3169,6281.28,99338.6,140443.9,26.391,63.7839,162.290,258.807,0.982,0.291,20.7,19.194,106.178,575,1585.1,67.05,16.004,61.715,2126.1,47.742,0.133,2.00,8.0616,23007.9,0.8355,0.4587,15.55,1.636,0.440,0.6817,0.0000,0.248,0.140,0.024,0.0000,5.70,1.97,6,16,25,67
30000,2630,2.241,0.661,24.29,212499,192656,423,16572,3072,1156125,974125.8,1766270.2,0.064,0.791,0.046,0.099,49,24.64,11.08,0.18,1.26,3.41,4.29,0.41,1.40,11.06,6.39,0.00,0.07,0.113,0.137,1123,0.112,0.031,0.952,0.000,0.017,401417,261582,20,0.370,0.338,0.187,5728047,0.171,2.774,0.044,19.44,232669,135,1.528,0.414,0.703,19313231,1.05,5.29,0.413,0.310,0.002,8.8,28.0,32.0,84.0,39599,0.151,0.00,0.0033,0.063,420,0.714,0.000,0.585,0.496,3.27,4.07,4.55,0.01,0.006,1.04,1.05,1.05,0.734,0.00699,3.44,209.6087,7167.38,84153.9,140443.9,77.942,114.7240,200.196,278.811,0.941,0.261,17.2,18.371,206.272,399,972.6,116.54,12.319,115.171,2207.8,82.173,0.134,2.00,14.5463,38256.8,1.4528,0.4860,15.06,1.657,0.438,1.3183,0.0000,0.194,0.152,0.022,0.0000,5.59,1.89,6,16,23,62
40000,2666,2.210,0.676,26.22,185059,166319,72,16755,1877,1060304,654623.4,1242497.0,0.059,0.754,0.059,0.128,73,24.90,10.50,0.26,1.55,4.02,4.25,0.59,2.68,10.17,6.64,0.00,0.03,0.136,0.138,1191,0.110,0.038,0.945,0.001,0.016,233175,142542,6,0.257,0.608,0.166,5217498,0.175,2.086,0.051,19.95,131825,106,1.172,0.429,0.637,10509420,1.09,4.81,0.433,0.371,0.001,9.5,30.0,32.0,100.0,40090,0.153,0.00,0.0024,0.081,438,0.565,0.000,0.575,0.276,3.16,4.07,4.50,0.05,0.024,1.07,1.09,1.10,0.593,0.00697,1.94,129.4996,6685.94,99417.0,140443.9,28.054,64.6360,149.570,238.128,0.973,0.293,19.7,18.589,106.049,508,1442.6,54.05,14.312,61.752,2420.9,47.660,0.135,2.00,8.5162,22704.1,0.8194,0.4512,15.04,1.679,0.431,0.6817,0.0000,0.184,0.147,0.008,0.0000,5.44,1.92,7,16,22,64
50000,3017,2.281,0.693,28.44,216718,194560,229,19972,1606,1156311,1014055.5,1807325.8,0.038,0.829,0.034,0.099,42,25.77,10.52,0.28,1.36,3.15,3.91,0.23,1.04,10.79,5.28,0.00,0.07,0.106,0.127,1172,0.112,0.041,0.943,0.000,0.016,395041,248188,40,0.275,0.304,0.123,3653648,0.163,2.695,0.047,19.88,246720,116,1.563,0.416,0.702,21610389,1.10,4.38,0.497,0.316,0.004,11.1,32.0,32.0,134.0,43597,0.166,0.00,0.0031,0.061,470,0.728,0.000,0.543,0.475,3.08,4.04,4.21,0.05,0.026,1.09,1.09,1.10,0.745,0.00660,2.85,216.2612,7885.68,83768.5,140443.9,75.766,115.8923,210.544,295.941,0.952,0.259,20.8,19.916,208.194,387,978.2,86.47,14.185,117.496,2027.1,86.665,0.134,2.00,12.2177,36860.9,1.0947,0.4927,14.45,1.746,0.401,1.3183,0.0000,0.186,0.150,0.017,0.0000,5.20,1.82,8,16,16,51
60000,2580,2.234,0.642,28.26,179409,161165,39,16910,1732,921055,654398.8,1190392.1,0.042,0.755,0.062,0.141,71,25.65,10.73,0.34,1.62,4.29,4.12,0.43,1.68,9.66,5.33,0.00,0.07,0.142,0.130,1025,0.198,0.037,0.949,0.000,0.014,220328,137495,6,0.293,0.399,0.167,4725780,0.166,2.032,0.045,19.13,128769,99,1.292,0.450,0.623,10665094,1.12,4.32,0.466,0.305,0.002,10.5,32.0,32.0,120.0,37967,0.145,0.00,0.0026,0.067,410,0.580,0.000,0.538,0.258,3.09,4.10,4.30,0.07,0.036,1.11,1.12,1.12,0.604,0.00694,1.73,129.4078,6250.28,98800.3,140443.9,28.004,65.5549,147.569,240.166,0.958,0.290,20.1,17.902,106.523,521,1441.7,47.52,14.119,62.821,2271.0,48.466,0.135,2.00,9.3117,24024.3,0.8795,0.4648,14.72,1.727,0.416,0.6817,0.0000,0.186,0.149,0.019,0.0000,5.25,1.85,8,16,17,63
70000,2387,2.364,0.716,26.62,188938,170113,334,17077,1607,928666,965736.1,1563536.1,0.032,0.784,0.043,0.141,47,25.94,10.16,0.48,2.01,3.18,3.89,0.36,1.23,11.28,5.58,0.00,0.06,0.106,0.127,863,0.168,0.033,0.955,0.000,0.012,355169,246769,31,0.356,0.212,0.220,4548953,0.168,3.047,0.048,18.06,220428,116,1.684,0.452,0.680,18203835,1.16,4.32,0.460,0.259,0.004,13.6,30.0,32.0,100.0,36528,0.139,0.00,0.0036,0.065,388,0.728,0.000,0.478,0.493,3.40,4.19,4.64,0.06,0.034,1.16,1.17,1.16,0.744,0.00680,3.21,198.1267,7846.82,83362.2,140443.9,78.801,116.2120,186.086,260.303,0.956,0.259,14.0,16.226,205.738,390,966.7,118.43,11.661,115.919,2410.5,82.496,0.134,2.00,16.1088,38451.6,1.3107,0.4997,15.30,1.680,0.432,1.3183,0.0000,0.210,0.145,0.017,0.0000,5.47,1.92,9,16,19,62
80000,2360,2.324,0.690,26.08,162170,145958,67,14719,1453,812081,638027.8,1119091.9,0.041,0.749,0.060,0.149,75,26.04,11.86,0.48,2.24,4.23,4.12,0.36,1.49,9.88,5.66,0.01,0.10,0.140,0.133,913,0.230,0.043,0.942,0.000,0.016,210092,143207,12,0.328,0.215,0.181,5274901,0.172,2.411,0.048,17.85,122484,96,1.378,0.486,0.612,10270292,1.16,4.67,0.481,0.301,0.006,11.0,32.0,32.0,114.8,35283,0.135,0.00,0.0027,0.064,383,0.603,0.000,0.498,0.298,3.15,4.14,4.29,0.10,0.048,1.16,1.16,1.16,0.624,0.00661,1.87,127.5135,6863.74,95753.0,140443.9,29.118,66.3444,138.375,210.266,0.935,0.286,16.5,15.590,105.403,480,1289.1,101.55,12.234,62.842,2549.0,47.842,0.135,2.00,11.2942,26654.4,0.9981,0.4564,14.95,1.705,0.422,0.6817,0.0000,0.199,0.137,0.010,0.0000,5.36,1.84,8,16,18,78
90000,2499,2.399,0.688,26.11,176140,158150,445,15907,1499,794591,932257.1,1477476.9,0.028,0.787,0.046,0.139,52,25.42,10.82,0.37,1.72,3.27,3.95,0.47,1.69,10.56,5.03,0.00,0.04,0.108,0.125,962,0.146,0.040,0.946,0.000,0.014,348524,254477,24,0.311,0.286,0.188,5062792,0.169,2.802,0.048,16.65,209298,121,1.859,0.453,0.687,17497207,1.14,4.77,0.469,0.291,0.002,11.0,31.0,32.0,100.0,36679,0.140,0.00,0.0035,0.055,373,0.736,0.000,0.487,0.520,3.18,4.15,4.23,0.05,0.027,1.16,1.13,1.13,0.750,0.00564,3.15,192.6496,7258.78,85207.5,140443.9,81.171,116.5191,173.890,240.207,0.904,0.263,13.8,14.098,204.739,405,1049.5,137.82,10.295,115.023,2415.8,80.286,0.136,2.00,14.6792,36683.4,1.2811,0.5197,14.68,1.707,0.421,1.3183,0.0000,0.218,0.144,0.021,0.0000,5.37,1.89,8,16,17,73
100000,2475,2.311,0.633,27.48,165421,148447,61,15518,1419,788367,637915.8,1128547.6,0.039,0.740,0.065,0.156,75,26.49,12.00,0.46,2.14,3.90,4.23,0.43,1.50,10.13,5.33,0.01,0.10,0.127,0.127,935,0.221,0.038,0.947,0.000,0.015,214620,146488,10,0.285,0.284,0.203,5520224,0.174,2.077,0.046,17.59,124444,99,1.432,0.474,0.636,10398568,1.16,4.49,0.521,0.286,0.007,11.6,32.0,34.0,162.0,36937,0.141,0.00,0.0025,0.072,343,0.606,0.000,0.496,0.299,3.09,4.20,4.12,0.10,0.049,1.17,1.15,1.16,0.627,0.00610,1.79,129.0216,6485.34,97145.5,140443.9,29.517,66.4887,139.035,210.788,0.960,0.287,18.2,15.090,105.631,442,1164.6,39.28,12.107,62.797,2177.6,48.133,0.136,2.00,10.4570,25881.1,0.9461,0.4693,14.92,1.730,0.415,0.6817,0.0000,0.209,0.138,0.022,0.0000,5.25,1.83,8,16,17,81
110000,2507,2.324,0.728,26.01,187837,169331,395,16441,1638,808405,959260.8,1632583.2,0.032,0.782,0.050,0.135,46,25.25,11.57,0.38,1.93,3.00,3.96,0.41,1.36,10.77,4.96,0.01,0.09,0.098,0.123,905,0.124,0.034,0.950,0.000,0.016,381279,275247,32,0.344,0.268,0.227,4954843,0.176,3.546,0.045,16.52,231671,128,2.020,0.439,0.713,19084309,1.13,5.29,0.455,0.268,0.005,10.7,30.0,32.0,122.0,36514,0.139,0.00,0.0036,0.053,392,0.745,0.000,0.497,0.531,3.21,4.20,4.09,0.05,0.028,1.14,1.12,1.13,0.759,0.00578,3.12,209.8355,8150.89,81086.8,140443.9,80.762,116.0061,186.739,247.185,0.909,0.253,14.7,14.495,205.060,312,823.9,178.45,9.902,115.583,2471.7,83.633,0.135,2.00,16.0819,40317.4,1.3812,0.5372,14.56,1.690,0.426,1.3183,0.0000,0.226,0.137,0.024,0.0000,5.45,1.89,8,16,16,61
120000,2356,2.315,0.623,26.03,163104,146081,87,15679,1408,779857,636077.6,1127500.6,0.041,0.736,0.065,0.158,74,25.97,10.69,0.39,1.70,4.21,4.05,0.42,1.47,9.80,4.89,0.00,0.06,0.137,0.129,832,0.270,0.043,0.943,0.000,0.014,214716,149251,10,0.304,0.182,0.191,5537412,0.178,1.990,0.046,17.43,124264,101,1.446,0.474,0.611,10260712,1.15,4.53,0.504,0.281,0.003,11.6,32.0,32.0,112.0,34909,0.133,0.00,0.0028,0.066,381,0.605,0.000,0.501,0.309,3.12,4.15,4.19,0.12,0.063,1.14,1.15,1.15,0.625,0.00637,1.77,129.2014,5859.19,97507.6,140443.9,29.340,67.2103,138.039,208.993,0.936,0.288,15.6,15.010,105.532,485,1311.3,40.39,12.050,63.144,2474.0,48.075,0.136,2.00,11.0480,26029.1,0.9919,0.4741,14.82,1.720,0.418,0.6817,0.0000,0.240,0.122,0.024,0.0000,5.29,1.87,8,16,17,49
130000,2319,2.368,0.669,25.71,173200,155978,475,15407,1377,767595,928567.1,1467660.1,0.029,0.787,0.049,0.135,51,25.34,10.71,0.39,1.90,3.06,3.81,0.47,1.50,10.77,4.84,0.00,0.05,0.100,0.122,791,0.169,0.034,0.956,0.000,0.010,346066,255115,27,0.326,0.266,0.228,4666765,0.178,2.918,0.044,16.68,210574,121,1.912,0.452,0.671,17083103,1.13,5.08,0.472,0.251,0.003,11.6,32.0,32.0,99.7,34045,0.130,0.00,0.0037,0.066,382,0.729,0.000,0.475,0.526,3.20,4.17,4.14,0.06,0.037,1.13,1.13,1.14,0.743,0.00617,3.20,191.5787,7179.72,83858.3,140443.9,81.812,115.2997,172.133,244.020,0.878,0.260,11.8,14.315,204.778,322,810.0,96.82,10.162,114.295,2422.5,79.578,0.135,2.00,16.7910,38938.4,1.3930,0.5220,14.68,1.689,0.432,1.3183,0.0000,0.254,0.140,0.036,0.0000,5.42,1.91,9,16,16,63
140000,2337,2.338,0.618,27.29,156682,140333,83,14840,1408,720656,626870.5,1084271.6,0.038,0.727,0.073,0.161,76,25.60,10.51,0.33,1.52,4.14,4.04,0.51,2.01,9.82,5.26,0.00,0.09,0.137,0.127,892,0.253,0.037,0.949,0.000,0.015,208273,145327,13,0.187,0.288,0.159,5090650,0.176,2.218,0.042,17.08,122499,100,1.505,0.477,0.621,9925522,1.11,4.89,0.482,0.294,0.003,11.1,32.0,32.0,92.0,34590,0.132,0.00,0.0027,0.053,316,0.609,0.000,0.490,0.315,3.12,4.14,4.15,0.06,0.032,1.11,1.09,1.13,0.628,0.00608,1.81,126.3560,5923.48,95216.8,140443.9,30.467,66.3434,133.873,207.996,0.927,0.284,15.0,14.200,104.917,460,1211.4,56.47,11.517,62.325,2400.8,47.369,0.134,2.00,12.1657,28431.2,1.0780,0.4772,14.80,1.718,0.419,0.6817,0.0000,0.230,0.124,0.019,0.0000,5.34,1.92,8,16,18,63
150000,2289,2.417,0.718,25.74,163849,147910,558,13716,1713,660363,907615.8,1375549.4,0.030,0.771,0.054,0.144,52,25.85,12.02,0.47,1.92,3.14,3.97,0.51,1.74,10.84,5.64,0.01,0.13,0.103,0.125,814,0.166,0.044,0.943,0.000,0.012,330465,246389,33,0.309,0.263,0.223,4517034,0.186,3.943,0.043,15.71,203847,129,2.083,0.455,0.657,16406727,1.15,5.32,0.462,0.242,0.008,11.5,32.0,34.0,128.0,34241,0.131,0.00,0.0037,0.060,326,0.739,0.000,0.501,0.530,3.13,4.26,4.12,0.08,0.043,1.16,1.12,1.17,0.751,0.00556,3.23,185.7295,8149.69,82216.9,140443.9,81.994,116.7528,164.242,234.796,0.897,0.255,13.2,12.717,203.003,325,769.0,205.77,9.203,115.064,2338.5,78.260,0.135,2.00,17.3558,39727.3,1.4356,0.5390,14.96,1.681,0.426,1.3183,0.0000,0.262,0.150,0.052,0.0000,5.51,1.92,9,16,19,64
160000,2225,2.421,0.627,27.17,153632,139505,93,12834,1264,723415,635988.3,1110452.6,0.048,0.729,0.058,0.165,75,27.09,9.52,0.47,1.69,4.18,3.97,0.66,2.08,10.70,6.05,0.00,0.05,0.138,0.127,908,0.244,0.035,0.952,0.000,0.013,210382,148087,9,0.301,0.493,0.188,5396939,0.211,2.150,0.044,17.19,121955,102,1.535,0.484,0.648,10053933,1.16,3.76,0.482,0.299,0.002,14.0,32.0,32.3,76.0,35645,0.136,0.00,0.0027,0.061,299,0.620,0.000,0.498,0.333,3.28,4.13,4.60,0.10,0.055,1.14,1.17,1.17,0.640,0.00656,1.92,129.9912,6198.96,94701.9,140443.9,29.743,66.6752,136.344,200.299,0.918,0.282,15.3,14.595,104.367,371,986.0,50.38,11.280,62.830,2504.2,48.167,0.135,2.00,12.9735,28866.1,1.0632,0.4705,16.02,1.716,0.421,0.6817,0.0000,0.256,0.141,0.051,0.0000,5.28,1.84,9,16,23,59
