step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max
10000,2785,2.221,0.764,20.31,304279,241077,0,51155,10714,2513812,1175748.5,2514143.2,0.133,0.623,0.087,0.157,49,28.14,23.90,0.31,1.99,5.36,8.74,0.47,2.60,10.96,10.13,0.00,0.00,0.154,0.180,1942,0.021,0.037,0.894,0.001,0.068,583705,459625,4,0.362,0.614,0.083,3227524,0.169,2.037,0.059,20.82,233742,117,1.000,0.400,0.598,17181562,1.11,19.23,0.001,0.493,0.000,6.9,22.0,53.2,222.0,47616,0.182,0.00,0.0039,0.071,548,0.718,0.001,0.749,0.494,3.47,4.86,4.49,0.01,0.003,1.10,1.14,1.11,0.757,0.00777,2.22,264.9699,5963.87,106396.6,140196.6,52.532,150.2492,249.589,539.557,0.996,0.335,30.4,21.635,210.767,812,2760.8,42.26,34.869,140.426,3257.5,92.700,0.134,2.00,4.8475,13500.3,0.6203,0.4351,17.10,1.640,0.445,1.3183,0.0000,0.257,0.152,0.013,0.0000,9.43,2.11,4,14,31,111
20000,2582,2.382,0.667,21.05,209607,188615,0,16543,4652,1441802,684575.0,1303530.0,0.050,0.749,0.101,0.101,62,32.13,20.34,0.07,0.93,4.78,6.37,0.90,4.80,13.58,8.95,0.00,0.00,0.116,0.134,1369,0.054,0.031,0.927,0.000,0.041,204744,116079,2,0.563,0.041,0.160,3041506,0.136,1.939,0.051,23.67,100251,115,0.904,0.348,0.638,9473832,1.02,25.82,0.000,0.342,0.000,8.8,32.0,56.0,262.0,49927,0.190,0.00,0.0020,0.082,509,0.530,0.000,0.643,0.095,3.80,5.88,4.57,0.00,0.001,1.01,1.03,1.02,0.567,0.00920,1.71,125.1338,6188.40,99392.4,140196.6,24.914,60.6091,165.270,331.860,0.986,0.317,26.5,23.758,107.663,620,1994.8,46.07,20.597,61.400,2242.6,46.839,0.136,2.00,8.5380,22045.1,0.7084,0.3746,19.34,1.642,0.439,0.6817,0.0000,0.265,0.124,0.006,0.0000,11.62,2.62,7,18,30,144
30000,3631,2.326,0.666,24.23,281850,257860,135,12836,9970,1175403,1039946.6,2181302.8,0.022,0.868,0.050,0.060,27,28.67,16.47,0.07,0.98,2.05,4.06,0.50,2.88,13.55,7.38,0.00,0.00,0.061,0.109,1688,0.024,0.024,0.925,0.000,0.051,405452,218432,8,0.294,0.434,0.094,4370643,0.096,2.218,0.047,21.72,229056,124,1.856,0.394,0.774,28136287,1.02,27.80,0.001,0.217,0.000,10.6,26.8,48.0,137.0,58680,0.224,0.00,0.0021,0.069,536,0.792,0.000,0.747,0.335,3.66,6.57,3.46,0.00,0.000,1.02,1.03,1.02,0.806,0.00573,3.00,266.1558,7888.82,71603.6,140196.6,80.462,108.9402,263.701,320.425,0.975,0.233,18.9,20.815,208.754,465,1225.1,71.06,16.109,110.813,1335.3,89.528,0.135,2.00,12.9789,47126.3,1.0707,0.4350,16.16,1.757,0.379,1.3183,0.0000,0.248,0.143,0.015,0.0000,11.90,2.81,8,15,24,84
40000,3190,2.208,0.613,21.38,227306,208294,18,13921,5514,1023828,674307.8,1366382.4,0.024,0.782,0.122,0.071,53,26.52,17.78,0.12,1.43,3.55,5.25,0.37,2.32,11.46,7.52,0.00,0.00,0.104,0.136,1452,0.069,0.037,0.917,0.000,0.045,230990,127096,3,0.475,0.108,0.066,2109641,0.123,1.794,0.045,21.45,116699,121,1.335,0.343,0.643,12437031,1.04,24.27,0.001,0.301,0.000,7.9,24.0,42.0,176.0,49435,0.189,0.00,0.0018,0.090,504,0.577,0.000,0.646,0.121,3.34,5.34,3.95,0.00,0.002,1.03,1.05,1.04,0.600,0.00676,1.83,147.4763,6143.26,96609.5,140196.6,27.245,63.5609,174.400,300.209,0.984,0.311,24.1,21.551,107.271,526,1487.7,52.95,16.866,61.161,1955.1,48.517,0.135,2.00,7.7706,24788.3,0.7749,0.4263,15.50,1.646,0.424,0.6817,0.0000,0.237,0.170,0.016,0.0000,10.67,2.54,6,15,22,88
50000,4041,2.246,0.697,24.70,316413,285940,142,16872,12608,1099972,1021401.7,2285306.8,0.017,0.857,0.066,0.060,25,25.31,15.24,0.06,0.95,1.61,3.62,0.34,2.31,12.13,7.29,0.00,0.00,0.060,0.120,1805,0.033,0.027,0.920,0.000,0.052,457115,255881,10,0.379,0.250,0.065,2242991,0.115,2.408,0.053,20.47,263817,128,2.078,0.377,0.784,32497796,1.02,28.00,0.000,0.225,0.000,9.4,24.0,42.0,184.0,57128,0.218,0.00,0.0021,0.056,562,0.799,0.000,0.760,0.337,3.37,5.58,3.79,0.00,0.000,1.01,1.03,1.02,0.812,0.00474,3.06,281.9657,8614.44,70915.6,140196.6,83.776,107.4435,275.827,305.263,0.976,0.236,18.4,19.148,208.479,422,1093.2,74.18,14.479,108.687,1317.4,90.036,0.135,2.00,11.5602,46714.7,1.0998,0.4761,14.14,1.765,0.372,1.3183,0.0000,0.232,0.173,0.083,0.0000,11.53,2.69,6,13,21,92
60000,3105,2.126,0.658,20.86,237761,217789,26,14727,6155,1023114,672112.8,1413600.1,0.019,0.786,0.115,0.079,52,24.83,16.06,0.12,1.49,3.08,4.84,0.56,3.76,11.02,7.20,0.00,0.00,0.099,0.132,1362,0.069,0.031,0.912,0.000,0.057,244429,131042,5,0.467,0.004,0.090,2861131,0.117,2.014,0.048,21.19,121183,122,1.382,0.346,0.657,13707659,1.04,25.36,0.001,0.303,0.000,7.3,22.0,44.0,204.0,45868,0.175,0.00,0.0020,0.090,515,0.585,0.000,0.663,0.125,3.34,5.40,3.82,0.00,0.000,1.04,1.05,1.04,0.607,0.00674,1.85,152.3511,6687.80,96260.4,140196.6,28.731,62.7279,178.768,288.460,0.992,0.305,24.9,20.914,107.206,549,1639.9,78.95,16.490,59.921,2013.8,48.715,0.135,2.00,8.0488,24991.5,0.8274,0.4355,14.77,1.653,0.406,0.6817,0.0000,0.287,0.189,0.169,0.0000,10.86,2.58,6,14,22,111
70000,4253,2.034,0.613,20.49,324232,290782,294,12523,19485,837196,982377.3,2244971.5,0.012,0.806,0.091,0.091,28,19.71,12.62,0.04,0.69,0.70,3.16,0.16,1.32,11.26,5.43,0.00,0.00,0.023,0.083,1279,0.057,0.025,0.939,0.000,0.036,491189,327032,10,0.452,0.063,0.038,2384859,0.118,2.279,0.041,18.77,243331,127,2.682,0.385,0.831,33372077,1.01,25.62,0.000,0.117,0.000,8.1,16.8,34.0,244.0,51777,0.198,0.00,0.0021,0.036,522,0.795,0.000,0.798,0.368,3.38,5.69,4.64,0.00,0.000,1.01,1.02,1.01,0.806,0.00393,3.47,289.7353,8086.29,61771.5,140196.6,89.279,103.0697,274.177,276.656,0.933,0.212,11.9,16.722,207.229,202,474.1,99.65,11.980,104.468,1082.7,88.344,0.134,2.00,13.6491,58049.8,1.4232,0.4875,12.17,1.599,0.424,1.3183,0.0000,0.328,0.182,0.255,0.0000,10.89,2.62,6,12,19,127
80000,3438,2.056,0.572,20.98,258571,233453,90,14710,11133,841074,659476.5,1518114.5,0.012,0.749,0.128,0.111,49,22.67,15.60,0.13,1.39,2.29,4.50,0.31,3.31,11.06,6.86,0.00,0.03,0.077,0.128,1395,0.070,0.035,0.926,0.001,0.039,281167,184076,5,0.463,0.091,0.030,1258046,0.130,1.826,0.040,18.99,133315,118,1.805,0.364,0.688,16382192,1.04,26.06,0.000,0.268,0.000,7.2,20.0,38.0,158.0,47407,0.181,0.00,0.0017,0.063,558,0.629,0.000,0.703,0.169,3.46,6.43,4.92,0.00,0.000,1.04,1.05,1.04,0.646,0.00509,2.05,171.2977,6335.14,88835.1,140196.6,30.645,64.2044,187.714,265.089,0.975,0.288,19.6,17.497,106.419,412,1032.6,50.68,13.377,60.000,1556.3,50.041,0.134,2.00,9.6970,33338.5,1.0017,0.4679,13.79,1.595,0.436,0.6817,0.0000,0.289,0.214,0.360,0.0000,11.11,2.45,6,13,21,84
90000,3782,2.129,0.635,22.42,290993,262164,593,6965,20927,400181,925858.2,2001639.8,0.010,0.773,0.096,0.121,28,19.87,11.10,0.08,0.97,0.41,1.83,0.14,1.21,11.44,5.32,0.00,0.00,0.022,0.086,1083,0.066,0.020,0.939,0.000,0.041,447582,352482,6,0.425,0.023,0.044,1519570,0.133,2.481,0.046,16.30,227702,120,5.002,0.398,0.825,34590422,1.02,26.66,0.000,0.053,0.000,9.5,18.0,32.0,164.0,45627,0.174,0.00,0.0021,0.026,387,0.826,0.000,0.811,0.382,3.85,7.95,7.39,0.00,0.000,1.03,1.03,1.02,0.831,0.00286,3.51,278.3339,8534.64,51539.6,140196.6,99.096,98.8230,250.600,247.465,0.862,0.183,7.0,10.834,205.539,226,498.7,71.89,9.594,97.086,986.8,84.330,0.135,2.00,18.1604,68682.8,1.7241,0.5101,12.06,1.634,0.425,1.3183,0.0000,0.251,0.226,0.293,0.0000,11.30,2.57,7,12,17,82
100000,3833,1.970,0.527,16.63,233119,215087,146,5413,12422,314366,634525.9,1403132.9,0.010,0.697,0.147,0.146,55,18.41,13.08,0.13,1.21,0.76,2.42,0.30,0.98,11.15,5.97,0.00,0.00,0.033,0.096,1175,0.093,0.028,0.937,0.001,0.034,268556,204048,4,0.636,0.112,0.178,5099002,0.129,1.820,0.037,14.97,116525,132,4.463,0.343,0.768,17863059,1.04,23.44,0.000,0.152,0.000,7.8,14.3,36.0,154.0,47321,0.181,0.00,0.0015,0.040,434,0.696,0.000,0.754,0.204,3.57,6.81,5.23,0.00,0.000,1.05,1.06,1.04,0.703,0.00270,2.03,186.8727,6651.45,76202.2,140196.6,34.769,67.0125,181.695,259.298,0.919,0.253,8.8,10.344,105.170,255,560.7,60.94,9.247,59.920,1018.2,51.976,0.135,2.00,12.1009,46382.7,1.1617,0.5233,12.35,1.442,0.424,0.6817,0.0000,0.345,0.221,0.507,0.0000,10.24,2.25,6,11,19,77
