step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share
10000,276,3.900,0.139,8.63,18410,9176,10,9141,181,403,411136.4,20168.8,0.040,0.102,0.176,0.632,0.050,9815,49.56,8.88,30.46,8.44,0.95,3.00,0.18,0.90,17.97,4.90,0.95,3.00,0.016,0.048,86,0.301,0.895,0.087,0.000,0.018,14681,9181,2,0.964,0.000
20000,282,3.850,0.136,9.44,19327,8394,39,10554,334,162,410436.5,19444.9,0.047,0.109,0.266,0.481,0.098,8588,48.73,11.29,31.96,8.93,1.39,4.18,0.04,0.28,15.33,4.50,1.39,4.18,0.022,0.066,66,0.255,0.865,0.124,0.000,0.011,15873,11001,2,0.415,0.355
30000,323,2.982,0.144,10.68,21998,8860,25,12708,364,652,410618.9,24319.6,0.028,0.233,0.126,0.566,0.047,6707,38.16,22.73,18.24,16.47,4.26,7.31,0.04,0.47,15.63,7.71,3.75,6.70,0.092,0.179,93,0.158,0.706,0.238,0.000,0.056,17949,10972,1,0.700,0.300
40000,269,3.993,0.149,11.26,24692,8560,30,15596,560,658,410886.6,29412.0,0.022,0.262,0.031,0.673,0.013,5576,49.56,13.15,31.35,10.32,2.80,6.23,0.07,1.10,15.34,5.13,2.75,6.15,0.050,0.114,59,0.167,0.814,0.156,0.000,0.030,20595,13808,3,0.442,0.115
50000,249,4.272,0.152,11.61,17945,6664,70,11179,52,379,409989.7,25373.2,0.023,0.353,0.013,0.605,0.005,6632,51.85,7.25,32.59,8.12,2.56,6.11,0.30,2.11,16.39,4.69,2.22,5.11,0.043,0.100,85,0.157,0.831,0.149,0.000,0.020,14315,9358,3,0.771,0.056
60000,269,3.699,0.130,11.12,23957,8828,57,14915,137,523,410081.3,29180.0,0.022,0.531,0.023,0.420,0.004,5224,47.70,11.25,29.78,9.45,2.50,5.84,0.07,0.92,15.36,4.73,2.50,5.84,0.042,0.096,73,0.297,0.859,0.134,0.000,0.007,19549,14949,1,0.978,0.022
70000,253,3.933,0.145,11.37,27658,9137,68,17917,552,371,410297.8,32093.9,0.018,0.591,0.042,0.343,0.005,4819,52.24,6.40,31.39,6.40,5.85,7.90,0.21,1.68,14.78,3.41,4.64,6.65,0.104,0.142,60,0.146,0.719,0.257,0.000,0.024,23191,16146,1,1.000,0.000
80000,316,3.358,0.110,11.13,17480,8909,86,8294,128,322,409354.2,17678.1,0.007,0.638,0.074,0.267,0.013,7830,41.03,17.78,23.47,15.22,1.74,5.20,1.29,4.25,14.53,4.79,1.62,4.98,0.030,0.097,70,0.402,0.899,0.089,0.000,0.013,13905,9988,1,0.905,0.095
90000,277,3.593,0.132,10.78,18471,9366,94,8763,287,347,409403.7,16281.4,0.005,0.584,0.086,0.303,0.022,6740,48.81,5.66,28.70,7.08,0.69,3.01,1.78,3.79,17.64,4.82,0.56,2.25,0.011,0.048,105,0.206,0.928,0.058,0.000,0.014,15136,11794,1,0.903,0.097
100000,286,3.419,0.122,10.77,15208,9239,80,5807,73,99,409399.8,13045.2,0.003,0.591,0.107,0.276,0.023,8337,48.66,4.69,26.37,9.44,0.50,2.08,3.42,5.27,18.36,5.64,0.36,1.37,0.009,0.038,91,0.245,0.951,0.035,0.000,0.014,11858,8733,1,0.822,0.178
