step,lineage,size,hard,muscle,sensor,digestive,attack,bodies
5000,1,270,20.8,1.3,0.2,13.4,1.3,78
6000,1,284,11.5,1.7,0.1,15.1,1.5,89
7000,1,247,18.7,1.1,0.0,16.0,0.9,81
8000,1,208,32.4,1.2,0.1,16.9,1.1,59
8000,7,49,34.7,0.0,0.0,19.4,0.0,7
9000,1,175,33.1,1.2,0.0,17.2,1.2,44
9000,7,84,31.3,0.0,0.0,18.5,0.0,21
10000,1,79,35.3,0.0,0.0,17.4,0.0,17
10000,7,41,33.8,0.0,0.0,20.2,0.0,12
11000,1,133,31.4,0.0,0.0,16.7,0.0,25
11000,8,86,27.9,5.7,0.0,22.0,5.6,30
11000,7,50,34.7,0.0,0.0,19.3,0.0,11
12000,1,188,25.9,0.2,0.0,14.5,0.2,41
12000,8,88,25.6,4.2,0.4,18.6,3.9,31
12000,7,28,34.0,0.0,0.0,19.7,0.0,4
13000,8,149,27.0,6.1,0.2,16.1,5.8,36
13000,1,140,25.2,0.1,0.0,13.5,0.1,42
14000,1,145,24.4,0.2,0.0,13.7,0.2,35
14000,8,141,26.8,5.7,0.3,14.9,5.5,31
15000,1,168,24.1,0.0,0.0,12.7,0.0,27
15000,8,116,25.8,4.6,0.1,13.9,4.5,24
16000,10,189,19.6,0.0,0.0,14.6,0.0,38
16000,8,90,26.1,3.3,0.1,14.1,3.1,14
16000,1,84,23.6,0.0,0.0,11.9,0.0,22
17000,10,304,20.9,0.0,0.1,14.0,0.0,63
17000,8,51,24.4,3.3,0.0,14.6,3.3,11
17000,1,18,20.6,0.0,0.0,11.7,0.0,4
18000,10,536,8.4,0.1,0.3,10.8,0.0,146
18000,8,47,23.1,3.4,0.8,15.5,3.3,14
19000,10,500,11.3,0.8,0.4,12.8,0.7,134
20000,10,230,24.8,0.0,0.1,11.6,0.0,28
21000,10,46,31.7,0.0,0.2,15.0,0.0,21
22000,10,74,33.4,0.0,0.1,14.8,0.0,16
23000,10,191,25.6,0.0,0.5,12.9,0.0,45
24000,10,343,21.9,1.9,0.1,14.4,1.5,80
25000,10,278,30.4,1.5,0.1,18.7,1.4,84
26000,10,293,28.6,2.0,0.0,16.1,1.7,65
27000,10,388,17.0,2.0,0.0,13.3,1.6,85
28000,10,356,22.1,0.2,0.2,15.2,0.2,91
29000,10,322,20.4,1.6,0.5,15.4,1.5,74
30000,10,277,24.2,2.6,0.3,18.1,2.5,66
31000,10,235,34.5,2.7,0.2,19.7,2.6,44
32000,10,278,28.5,1.7,0.1,18.6,1.7,46
33000,10,291,22.6,2.8,0.0,16.1,2.8,54
34000,10,222,35.0,1.3,0.2,19.4,1.3,38
35000,10,232,35.4,0.8,0.1,18.9,0.8,33
36000,10,265,30.8,0.0,0.2,17.9,0.0,34
37000,10,278,29.1,0.5,0.1,17.4,0.3,43
38000,10,255,27.2,4.2,0.1,17.0,3.8,48
39000,10,256,30.5,2.6,0.0,18.1,2.3,58
40000,10,256,33.4,2.2,0.3,18.2,2.2,50
41000,10,271,25.0,0.1,0.1,15.9,0.0,36
42000,10,427,15.0,0.1,0.1,13.9,0.0,62
43000,10,254,30.9,2.2,0.3,17.6,2.2,63
44000,10,232,23.8,0.0,0.3,15.3,0.0,42
45000,10,240,33.8,0.0,0.1,17.3,0.0,35
46000,10,243,34.4,0.0,0.4,17.1,0.0,27
47000,10,233,35.3,0.0,0.0,17.5,0.0,15
48000,10,237,22.6,0.0,0.2,15.0,0.0,52
48000,16,53,26.7,18.8,0.0,18.5,16.3,9
49000,10,245,30.1,0.1,0.2,18.2,0.1,47
49000,16,22,26.1,18.5,0.0,19.4,17.0,4
50000,10,271,28.8,1.8,0.0,17.1,1.4,51
51000,10,255,21.2,0.1,0.0,14.1,0.1,63
52000,10,227,31.0,0.0,0.1,18.1,0.0,44
53000,10,262,30.8,0.2,0.2,17.7,0.2,48
54000,10,395,15.8,0.9,0.5,15.2,0.2,95
55000,10,292,27.9,0.0,0.3,16.7,0.0,58
55000,17,8,29.0,19.0,0.0,16.0,19.0,1
56000,10,253,34.9,0.2,0.6,19.7,0.0,40
57000,10,275,29.8,6.1,0.0,20.8,6.1,52
58000,10,297,27.1,2.4,0.0,14.8,2.3,43
59000,10,321,26.1,2.2,0.0,14.1,2.2,44
60000,10,272,24.4,4.5,0.0,13.1,3.8,70
61000,10,304,22.9,0.9,0.5,18.1,0.8,82
62000,10,350,19.3,1.9,0.2,14.9,1.3,94
63000,10,240,34.4,4.4,0.0,16.5,3.3,63
64000,10,292,26.1,1.8,0.2,15.9,1.6,49
65000,10,214,33.9,0.5,0.1,17.4,0.3,35
66000,10,290,27.4,0.7,0.1,15.6,0.6,69
67000,10,290,24.1,0.3,0.1,15.0,0.2,69
68000,10,342,17.5,0.8,0.5,11.8,0.7,54
69000,10,401,10.7,2.1,0.7,11.5,1.4,58
69000,18,16,26.0,22.0,0.0,16.0,19.0,1
70000,10,208,35.5,2.9,0.1,23.5,2.6,57
71000,10,218,33.9,1.9,0.3,26.0,1.7,65
72000,10,239,28.1,3.6,0.9,22.6,3.3,75
73000,10,171,33.2,2.2,0.8,27.7,1.9,59
74000,10,235,27.6,2.9,0.7,25.0,2.8,75
75000,10,122,32.4,1.5,0.7,26.0,1.5,37
76000,10,250,26.3,3.2,0.6,19.1,2.6,80
77000,10,262,31.8,0.8,1.1,19.0,0.8,76
78000,10,254,28.0,1.4,0.6,18.2,1.3,86
79000,10,228,30.8,1.1,0.1,16.7,0.9,63
80000,10,234,32.2,3.2,0.2,15.7,2.8,42
81000,10,278,30.8,3.0,0.1,15.4,2.4,56
82000,10,261,30.0,2.5,0.2,15.5,2.4,45
83000,10,298,29.9,1.3,0.3,15.3,1.3,58
84000,10,260,33.0,0.7,0.3,15.5,0.7,40
85000,10,280,26.9,3.1,0.3,15.1,3.0,63
86000,10,296,27.8,1.3,1.1,16.3,1.2,76
87000,10,293,31.3,0.7,0.4,15.9,0.6,49
88000,10,280,31.7,1.0,0.3,16.2,0.8,60
89000,10,279,27.4,1.9,0.3,16.5,1.6,69
90000,10,288,27.9,1.4,0.8,16.9,1.2,63
91000,10,289,30.7,1.2,0.3,16.1,0.9,55
92000,10,290,27.2,0.6,0.3,16.6,0.6,60
93000,10,277,29.8,2.0,0.2,15.9,1.9,62
94000,10,298,28.4,0.4,0.1,16.2,0.4,67
95000,10,229,35.4,0.1,0.9,24.2,0.1,57
96000,10,280,29.0,1.1,2.1,19.1,0.9,77
97000,10,245,31.9,3.7,0.7,19.8,3.6,77
98000,10,210,35.9,0.1,0.4,26.7,0.1,49
99000,10,203,25.8,10.0,1.2,17.9,7.0,66
100000,10,278,22.1,2.2,0.5,22.1,1.9,106
101000,10,233,26.3,1.8,0.3,28.0,1.4,67
102000,10,287,20.6,0.2,0.7,19.6,0.0,89
103000,10,281,25.5,1.7,0.2,17.0,1.4,107
104000,10,266,28.3,2.2,0.6,19.3,1.7,102
105000,10,532,8.6,2.3,0.5,12.8,1.6,206
106000,10,337,20.4,1.0,1.2,17.3,0.9,89
107000,10,156,30.2,3.7,0.9,18.6,3.4,54
108000,10,242,26.9,1.0,2.0,20.2,0.9,67
109000,10,252,26.2,1.5,1.7,21.1,1.3,74
110000,10,282,20.9,2.7,2.3,17.7,2.4,97
111000,10,300,21.4,1.7,1.7,17.9,1.4,78
111000,25,6,21.5,0.0,0.0,15.3,0.0,5
112000,10,254,29.1,4.6,1.3,19.1,4.1,77
113000,10,271,25.4,2.2,0.7,17.8,2.1,82
114000,10,257,28.1,3.7,1.0,18.5,3.4,65
115000,10,317,21.0,2.2,1.3,18.6,1.8,83
116000,10,314,22.7,0.8,1.5,18.1,0.7,78
117000,10,315,23.0,1.2,0.8,18.1,0.9,81
118000,10,287,27.3,1.1,0.9,19.1,0.8,68
119000,10,343,22.3,1.1,0.5,15.8,0.9,98
120000,10,298,21.7,1.8,1.1,18.5,1.3,75
121000,10,290,22.4,4.1,0.7,16.6,3.8,92
122000,10,445,9.9,1.8,1.3,13.9,1.4,110
123000,10,432,12.1,1.1,0.8,14.6,0.8,104
124000,10,299,22.9,3.8,0.6,14.7,3.2,103
125000,10,297,28.0,1.2,0.8,15.5,1.1,73
126000,10,326,21.5,2.2,0.6,14.7,2.0,107
127000,10,226,30.3,7.5,1.0,17.6,6.7,74
128000,10,266,30.7,1.7,1.0,17.6,1.5,65
129000,10,277,28.2,2.2,1.6,15.4,2.1,74
130000,10,333,22.3,3.7,0.9,14.4,3.4,92
131000,10,479,13.3,0.8,0.6,11.1,0.8,151
132000,10,577,11.2,0.6,0.4,10.8,0.4,132
133000,10,259,32.8,2.6,0.5,15.3,2.5,51
134000,10,290,25.8,2.5,0.7,13.5,2.0,86
135000,10,166,37.8,0.1,2.2,20.9,0.0,55
136000,10,179,27.7,2.2,0.3,19.7,0.1,56
137000,10,234,24.6,0.0,0.4,16.4,0.0,51
138000,10,267,19.6,0.0,0.5,15.3,0.0,68
139000,10,256,25.3,0.1,0.8,15.5,0.0,60
139000,26,46,25.0,23.0,0.0,15.9,20.3,3
140000,10,289,14.6,0.2,0.8,14.3,0.0,87
140000,26,56,24.0,23.6,0.6,15.6,20.2,4
141000,10,257,18.5,0.2,0.4,13.5,0.0,68
141000,26,61,25.0,23.0,0.0,16.0,21.0,1
142000,10,222,19.8,0.2,0.4,14.0,0.0,66
142000,26,74,25.9,22.0,0.0,16.0,20.0,5
143000,10,105,30.7,0.0,0.5,17.9,0.0,22
143000,26,85,32.0,15.4,0.2,16.2,13.7,13
144000,26,123,37.6,9.6,0.0,16.6,8.9,19
144000,10,78,42.5,0.0,0.0,19.0,0.0,14
145000,10,163,39.0,0.0,0.1,19.0,0.0,44
145000,26,62,37.2,10.4,0.0,16.5,9.7,10
146000,10,249,35.9,4.1,0.0,17.4,3.8,45
147000,10,253,29.8,5.0,0.4,16.3,4.6,46
148000,10,135,42.3,0.0,0.4,19.2,0.0,27
149000,10,154,22.1,0.0,1.3,15.2,0.0,50
150000,10,177,23.0,0.0,0.3,15.4,0.0,52
151000,10,168,38.2,0.0,0.8,18.7,0.0,39
152000,10,159,16.2,0.1,1.2,15.6,0.0,42
152000,29,118,38.4,8.1,0.0,17.5,7.6,24
153000,10,108,42.6,0.0,0.0,21.2,0.0,12
153000,29,95,38.5,7.4,0.0,17.7,6.9,14
154000,10,174,39.5,0.0,0.5,21.5,0.0,25
154000,29,53,39.5,6.4,0.2,17.9,6.1,7
