step,lineage,size,hard,muscle,sensor,digestive,attack,bodies
5000,1,205,31.2,0.3,0.7,31.8,0.2,33
6000,1,224,29.4,1.9,0.6,31.4,1.4,47
7000,1,207,29.6,2.4,0.3,31.5,2.2,37
8000,1,211,29.5,2.2,0.6,31.0,2.0,43
9000,1,188,28.4,3.2,0.3,32.1,3.1,35
10000,1,222,29.0,1.8,0.2,29.0,1.5,56
11000,1,225,28.3,0.9,0.4,27.0,0.9,62
12000,1,208,31.4,1.4,0.4,30.7,1.2,31
13000,1,212,30.1,1.7,0.3,31.1,1.2,48
14000,1,205,30.3,2.1,0.4,31.2,2.0,28
15000,1,208,28.4,3.1,0.8,31.4,3.1,44
16000,1,233,24.7,2.7,0.9,28.1,2.4,46
17000,1,305,19.5,0.8,1.0,24.0,0.6,65
18000,1,384,14.5,0.9,0.6,18.4,0.8,80
19000,1,262,26.5,0.9,0.5,25.1,0.9,43
20000,1,341,20.2,0.7,1.4,17.8,0.6,85
21000,1,190,35.7,7.6,0.7,19.3,7.5,48
22000,1,265,32.0,0.0,1.4,19.7,0.0,80
23000,1,153,28.8,0.1,1.8,20.2,0.1,39
24000,1,279,21.0,1.9,1.8,18.5,1.8,79
25000,1,255,19.6,0.8,1.1,13.6,0.8,38
26000,1,282,19.4,2.4,1.0,16.7,2.4,42
27000,1,246,21.3,1.9,2.1,15.7,1.9,48
27000,10,21,20.7,0.0,0.0,14.2,0.0,10
28000,1,67,30.0,15.8,0.5,17.7,13.5,15
29000,13,256,24.7,9.5,2.5,17.8,8.8,40
30000,13,315,25.5,0.8,1.9,14.3,0.8,56
31000,13,245,27.0,9.0,0.5,17.9,8.8,52
32000,13,155,34.5,1.1,0.4,13.5,1.1,56
33000,13,208,33.1,1.0,0.3,13.9,0.9,58
34000,13,235,29.5,0.9,0.2,14.3,0.8,85
35000,13,125,32.2,14.6,0.0,15.5,14.4,39
36000,13,64,24.1,21.6,0.0,18.3,21.3,7
37000,13,37,24.0,24.0,0.0,16.0,24.0,1
38000,13,22,24.0,24.0,0.0,16.0,24.0,1
39000,18,206,44.6,0.2,0.1,16.1,0.1,28
39000,13,13,24.0,24.0,0.0,16.0,24.0,1
40000,18,133,47.9,0.0,0.0,16.1,0.0,13
40000,13,25,24.1,23.1,0.0,16.0,23.1,3
41000,18,190,48.4,0.0,0.0,15.5,0.0,22
41000,13,22,24.0,24.0,0.0,16.0,24.0,1
42000,18,195,47.3,0.0,0.0,16.4,0.0,26
42000,13,15,24.0,24.0,0.0,16.0,24.0,1
43000,18,168,48.4,0.0,0.0,15.6,0.0,21
43000,13,37,23.6,24.2,0.0,16.2,23.6,2
44000,18,186,48.1,0.0,0.0,15.8,0.0,22
44000,13,18,24.0,24.0,0.0,16.0,24.0,1
45000,18,180,48.1,0.1,0.0,15.8,0.1,21
45000,13,14,24.0,24.0,0.0,16.0,24.0,1
46000,18,212,47.8,0.2,0.4,15.6,0.0,24
46000,13,12,24.0,24.0,0.0,16.0,24.0,1
47000,18,188,48.6,0.0,0.0,15.4,0.0,26
47000,13,5,24.0,24.0,0.0,16.0,24.0,1
48000,18,204,48.4,0.1,0.0,15.5,0.1,29
48000,13,6,24.0,24.0,0.0,16.0,24.0,1
49000,18,78,0.9,0.3,0.3,18.2,0.1,41
49000,13,42,23.9,24.1,0.0,16.0,23.9,2
50000,18,72,1.1,0.2,1.0,13.6,0.1,25
50000,13,58,24.1,23.6,0.0,16.2,23.5,5
51000,18,118,0.6,0.1,0.7,11.0,0.0,49
51000,13,46,24.3,23.5,0.0,16.2,23.5,3
52000,18,97,2.5,5.1,0.0,13.0,0.9,32
52000,13,27,23.7,24.3,0.0,16.1,23.4,2
53000,18,187,2.0,1.4,0.1,10.1,1.1,54
53000,13,59,24.0,24.1,0.0,15.9,24.0,2
53000,23,49,44.7,1.5,0.5,17.3,1.5,14
53000,22,11,48.4,0.0,0.0,15.6,0.0,4
54000,23,39,48.7,0.0,0.0,15.3,0.0,8
54000,13,36,24.2,23.8,0.0,16.0,23.8,2
54000,18,30,0.0,2.7,0.0,13.4,0.0,13
54000,22,16,48.4,0.0,0.0,15.5,0.0,5
55000,26,95,48.4,0.0,0.0,15.5,0.0,18
55000,23,90,47.7,0.1,0.0,16.1,0.1,16
55000,22,19,47.9,0.0,0.2,15.9,0.0,4
56000,26,124,46.6,0.1,0.0,17.0,0.1,22
56000,23,77,46.8,0.1,0.0,17.0,0.1,16
57000,26,143,45.0,0.3,0.0,18.3,0.3,31
57000,23,70,41.5,0.0,0.3,22.1,0.0,21
58000,26,155,44.2,0.1,0.0,19.5,0.1,38
58000,23,63,42.5,0.5,0.0,20.6,0.5,25
59000,26,117,42.2,0.0,0.0,21.4,0.0,41
59000,23,65,43.7,0.8,0.0,19.5,0.7,19
60000,26,113,39.4,0.0,0.2,23.7,0.0,44
60000,23,63,43.3,0.8,0.0,19.9,0.8,23
61000,26,170,34.6,0.3,0.6,19.1,0.3,61
