step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share
10000,254,3.934,0.146,9.50,16266,9304,0,7009,73,349,412327.2,16031.1,0.018,0.201,0.111,0.634,0.036,14006,54.46,4.02,32.52,4.37,1.68,3.25,0.27,2.97,20.00,4.85,1.67,3.24,0.030,0.056,66,0.087,0.906,0.087,0.000,0.008,4434,2242,2,0.083,0.874
20000,279,3.590,0.167,10.02,28391,10481,17,17251,617,346,410773.9,25373.6,0.013,0.270,0.035,0.627,0.055,6792,43.16,19.99,24.65,13.46,4.85,7.07,0.05,0.47,13.61,4.80,4.72,6.90,0.080,0.125,81,0.129,0.663,0.290,0.000,0.047,9770,5141,4,0.380,0.369
30000,296,3.484,0.137,10.74,21629,9107,23,12148,334,390,410450.2,20620.9,0.017,0.221,0.052,0.660,0.050,8616,44.12,10.68,27.32,7.74,1.58,3.81,0.20,1.12,15.02,5.08,1.46,3.54,0.030,0.068,102,0.078,0.841,0.142,0.000,0.017,6809,3177,4,0.247,0.595
40000,258,3.852,0.158,10.97,24182,9098,41,14642,439,282,409438.0,23653.7,0.010,0.272,0.121,0.593,0.004,7882,51.91,15.15,30.57,11.17,3.39,6.95,0.07,0.70,17.89,6.38,3.04,6.23,0.054,0.111,106,0.093,0.826,0.143,0.000,0.031,7566,2881,4,0.128,0.729
50000,288,3.566,0.127,10.64,29283,8223,20,20153,857,417,410285.6,32295.1,0.005,0.175,0.222,0.528,0.070,6152,47.02,15.46,27.90,12.84,0.18,1.30,0.47,2.65,18.47,6.29,0.18,1.30,0.003,0.024,75,0.198,0.934,0.035,0.000,0.031,9863,4953,4,0.479,0.257
60000,313,3.327,0.119,10.36,26067,9357,28,15803,854,289,409984.8,24409.1,0.016,0.163,0.325,0.474,0.022,7020,40.99,15.80,26.33,13.07,0.21,1.17,0.00,0.00,14.45,4.24,0.19,1.11,0.007,0.061,76,0.240,0.933,0.045,0.000,0.022,9343,4609,2,0.869,0.086
70000,352,2.973,0.141,11.24,25161,8348,34,16137,603,276,409448.7,27483.0,0.020,0.176,0.316,0.477,0.011,6754,35.63,21.17,18.69,17.36,2.27,5.55,0.13,1.13,14.55,4.94,1.48,4.57,0.069,0.182,93,0.139,0.824,0.128,0.000,0.048,9111,4296,3,0.372,0.511
80000,269,3.865,0.142,10.50,21271,8403,56,12613,282,389,409725.4,20984.1,0.025,0.149,0.401,0.416,0.009,8608,49.87,11.11,32.72,9.18,1.13,4.00,0.05,0.36,15.96,3.14,1.11,3.99,0.019,0.063,54,0.268,0.885,0.108,0.000,0.007,7170,3293,4,0.457,0.349
90000,270,3.808,0.146,10.77,18738,8522,75,9951,189,119,408991.4,18149.7,0.020,0.155,0.470,0.347,0.008,9847,48.15,12.74,31.20,10.58,1.41,4.40,0.05,0.52,15.49,2.83,1.39,4.40,0.024,0.072,70,0.315,0.867,0.122,0.000,0.011,5670,2119,3,0.552,0.256
100000,269,4.017,0.137,10.53,19657,8048,61,11309,240,244,409456.6,19730.2,0.019,0.138,0.470,0.363,0.009,8953,49.94,12.06,32.23,10.21,1.49,4.70,0.09,0.71,16.14,2.88,1.49,4.70,0.024,0.073,50,0.275,0.829,0.156,0.000,0.015,6699,2859,4,0.242,0.465
110000,275,3.393,0.146,10.63,19987,7766,80,11843,292,278,409697.5,19924.7,0.016,0.136,0.468,0.350,0.030,9384,42.15,18.12,24.46,14.48,2.30,5.19,0.08,0.48,15.31,4.82,2.22,5.05,0.045,0.093,78,0.138,0.676,0.269,0.000,0.055,6266,2551,6,0.284,0.251
120000,308,3.538,0.141,10.56,19894,7458,79,12072,252,201,409679.5,21695.7,0.014,0.143,0.457,0.370,0.016,8887,42.81,18.94,25.33,15.08,2.13,5.62,0.06,0.59,15.30,4.36,2.11,5.61,0.037,0.104,61,0.390,0.786,0.172,0.000,0.042,6298,2708,3,0.558,0.227
130000,285,3.507,0.127,9.95,24490,7645,74,16366,428,233,409926.3,27221.9,0.011,0.178,0.442,0.346,0.024,7360,48.42,11.17,31.31,10.41,0.47,1.11,0.11,1.77,16.53,3.11,0.46,1.10,0.009,0.020,58,0.302,0.814,0.147,0.000,0.039,8001,3766,2,0.691,0.032
140000,358,3.085,0.102,10.23,25015,9586,95,14844,417,262,410977.7,22388.0,0.025,0.177,0.369,0.405,0.024,7761,37.66,12.94,24.58,10.80,1.10,3.47,0.03,0.44,11.95,2.97,0.99,3.15,0.026,0.087,75,0.416,0.891,0.084,0.003,0.022,8706,3438,2,0.704,0.229
150000,311,3.267,0.127,9.68,28347,9724,147,17812,711,456,409592.2,25585.1,0.021,0.176,0.341,0.435,0.026,5717,43.53,8.91,29.52,8.97,0.18,1.07,0.10,0.79,13.73,3.86,0.18,1.07,0.005,0.026,85,0.257,0.971,0.016,0.000,0.013,10587,4592,1,0.563,0.437
160000,498,2.412,0.083,9.70,24658,9026,93,14924,428,732,409905.7,22084.4,0.022,0.104,0.399,0.471,0.004,8259,25.37,19.62,13.07,14.69,0.68,2.36,0.41,1.83,11.21,5.75,0.62,2.16,0.012,0.040,106,0.141,0.880,0.092,0.000,0.028,8477,3699,2,0.474,0.432
170000,260,3.738,0.133,9.88,24626,8506,55,15803,500,476,409518.9,24590.2,0.023,0.129,0.410,0.435,0.003,8420,48.08,11.46,27.98,11.54,2.18,5.30,0.24,1.93,17.68,5.31,1.99,4.62,0.036,0.087,66,0.204,0.819,0.173,0.000,0.008,8481,3833,4,0.623,0.146
180000,262,3.797,0.142,10.11,21210,7915,81,12825,387,333,409511.8,21037.3,0.023,0.124,0.357,0.495,0.001,9819,50.19,12.17,29.77,8.76,3.17,5.37,0.62,1.70,16.62,3.77,2.82,4.46,0.055,0.102,74,0.263,0.702,0.279,0.000,0.019,6548,2960,2,0.561,0.118
