step,lineage,size,hard,muscle,sensor,digestive,attack,bodies
5000,1,9,22.0,20.0,0.0,22.0,20.0,1
6000,1,74,14.0,13.3,0.0,18.2,11.8,17
7000,5,164,42.1,0.4,0.3,21.1,0.4,27
7000,1,10,22.8,20.2,0.0,21.0,20.2,2
8000,5,137,41.9,0.3,0.4,21.2,0.3,28
8000,1,10,22.0,20.0,0.0,22.0,20.0,1
9000,5,159,40.7,0.3,0.6,21.5,0.1,36
9000,1,8,22.0,20.0,0.0,22.0,20.0,2
10000,5,171,41.2,0.5,0.9,20.7,0.3,51
10000,6,36,40.8,0.1,0.0,22.9,0.1,12
10000,1,6,21.7,20.2,0.0,21.7,20.0,2
11000,5,179,41.8,0.2,0.7,20.7,0.2,42
11000,6,21,41.4,0.0,0.0,22.6,0.0,4
11000,1,19,22.0,21.7,0.0,20.3,20.8,2
12000,5,113,42.2,0.0,0.1,21.5,0.0,18
12000,1,17,22.0,20.0,0.0,22.0,20.0,1
13000,5,213,40.6,0.2,0.0,20.5,0.1,52
13000,1,6,22.0,20.0,0.0,22.0,20.0,1
14000,5,221,40.9,0.2,0.1,20.3,0.2,52
15000,5,229,37.3,3.1,0.1,19.5,3.0,89
16000,5,242,33.0,1.0,0.2,20.7,0.8,90
17000,5,184,25.8,1.9,0.0,18.7,1.3,56
18000,5,87,36.3,0.0,0.0,19.9,0.0,26
19000,5,79,38.0,0.2,0.0,19.8,0.1,28
20000,5,143,36.7,0.0,0.0,20.6,0.0,39
21000,5,97,38.8,0.0,0.0,19.5,0.0,23
21000,11,19,36.0,1.3,0.0,20.2,1.3,8
22000,5,69,39.0,0.0,0.0,19.3,0.0,16
22000,11,66,37.1,1.1,0.0,19.4,1.1,24
22000,12,17,31.0,12.1,0.0,20.9,11.8,5
23000,11,110,36.4,0.3,0.0,20.5,0.3,29
23000,5,68,35.3,1.1,0.0,18.4,1.1,21
23000,12,10,22.8,19.1,0.0,22.1,18.9,2
24000,11,108,38.5,0.1,0.0,19.5,0.1,23
24000,5,43,32.0,0.1,0.0,21.0,0.1,16
24000,12,22,23.2,18.9,0.0,21.9,18.6,3
25000,11,176,37.6,0.1,0.0,20.2,0.1,41
25000,5,39,37.9,0.6,0.0,19.7,0.6,10
25000,12,6,24.0,18.0,0.0,22.0,18.0,2
26000,11,116,32.7,2.2,0.0,18.4,2.1,51
27000,11,234,33.9,0.1,0.1,18.2,0.1,69
27000,5,7,38.0,0.0,0.0,21.0,0.0,1
28000,11,252,19.8,1.3,0.1,15.6,1.0,94
28000,18,39,33.1,14.3,0.1,16.5,12.5,20
29000,11,240,33.5,0.3,0.0,17.3,0.3,59
29000,18,6,25.7,14.8,0.0,23.5,11.8,4
30000,11,194,36.8,0.7,0.0,18.6,0.7,71
30000,18,44,32.1,15.0,0.1,16.8,14.8,11
31000,11,236,31.0,0.3,0.0,17.6,0.3,60
31000,18,23,30.5,16.6,0.7,16.3,16.6,3
32000,11,227,34.7,0.7,0.0,15.9,0.7,54
32000,18,20,29.9,17.7,0.0,16.4,17.7,2
33000,11,84,37.2,0.6,0.0,17.8,0.6,31
33000,18,26,34.7,12.7,0.3,16.3,12.0,10
34000,11,201,42.4,0.4,0.0,19.4,0.4,44
35000,11,189,40.9,1.1,0.2,20.3,1.1,46
36000,11,212,39.7,1.6,0.1,20.6,1.6,51
37000,11,243,34.8,2.7,0.1,19.0,2.5,87
38000,11,231,33.3,1.5,0.0,18.8,1.3,93
39000,11,238,36.6,0.8,0.0,17.9,0.8,65
40000,11,222,40.0,2.1,0.0,17.4,2.1,52
41000,11,235,36.3,1.8,0.0,18.0,1.3,59
42000,11,244,24.0,4.6,0.0,16.5,4.0,84
43000,11,184,39.9,0.2,0.0,17.5,0.2,35
44000,11,177,40.9,0.3,0.0,16.8,0.3,34
45000,11,198,39.9,0.3,0.0,17.3,0.3,38
46000,11,209,38.2,0.5,0.0,17.0,0.3,44
47000,11,230,33.5,0.8,0.0,16.1,0.4,59
47000,33,30,27.8,18.3,0.0,17.9,17.9,5
48000,11,192,40.1,0.0,0.0,17.7,0.0,27
48000,33,18,27.3,16.6,0.0,19.6,15.9,6
49000,11,133,40.5,0.4,0.0,17.2,0.4,25
49000,33,59,24.2,21.5,0.0,18.3,18.9,5
50000,11,162,40.4,0.5,0.0,17.3,0.5,36
50000,33,31,24.1,21.0,0.0,19.0,19.0,2
51000,11,195,39.8,0.7,0.0,17.8,0.7,56
51000,33,27,24.0,21.1,0.6,18.3,19.0,2
52000,11,204,40.2,0.7,0.0,17.5,0.7,49
