step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share
10000,208,4.169,0.184,7.26,24864,10192,1,14494,355,1511,411582.1,27116.0,0.014,0.676,0.099,0.031,0.180,8881,62.77,2.81,38.64,6.73,3.87,5.92,0.12,0.76,20.15,5.34,3.65,5.87,0.061,0.093,59,0.149,0.817,0.130,0.000,0.053,10357,7994,2,0.769,0.125
20000,246,3.629,0.181,8.80,25883,9901,1,15502,441,1088,410187.9,30621.9,0.002,0.661,0.003,0.027,0.307,8324,53.56,17.96,31.85,13.82,2.97,5.76,0.05,0.24,18.68,6.64,2.36,4.97,0.048,0.097,81,0.138,0.805,0.163,0.000,0.033,9259,6587,4,0.402,0.098
30000,255,4.015,0.146,9.74,35314,8429,4,26651,221,1218,410049.3,65451.2,0.002,0.214,0.016,0.009,0.759,6047,50.15,9.62,26.97,10.23,5.93,6.62,0.02,0.18,17.23,4.99,5.10,6.04,0.114,0.120,90,0.122,0.639,0.322,0.000,0.039,9984,6136,4,0.369,0.224
40000,212,4.766,0.182,11.04,15336,7760,21,7555,43,450,410128.8,21297.1,0.000,0.398,0.005,0.004,0.593,12432,62.54,2.89,36.96,7.98,6.72,9.16,0.00,0.00,18.87,2.98,6.26,8.50,0.106,0.144,62,0.255,0.783,0.193,0.000,0.024,3871,2037,2,0.627,0.071
50000,195,4.599,0.166,10.54,13076,6227,24,6725,117,351,410783.4,18254.4,0.000,0.394,0.007,0.003,0.596,13738,62.25,2.53,38.78,9.69,5.06,8.84,0.01,0.10,18.40,2.97,4.84,8.47,0.079,0.138,40,0.308,0.836,0.159,0.000,0.005,3334,1952,3,0.590,0.149
60000,214,4.644,0.167,11.01,9654,6441,46,3148,0,170,410432.9,10365.1,0.000,0.434,0.006,0.001,0.559,18453,62.60,2.45,36.81,8.97,5.64,9.26,0.01,0.12,20.13,3.29,5.37,8.82,0.088,0.145,51,0.266,0.841,0.150,0.000,0.009,1993,906,3,0.453,0.000
70000,214,4.496,0.156,10.76,10209,7230,36,2941,2,136,410269.6,9588.1,0.000,0.474,0.007,0.001,0.518,17503,60.95,3.06,37.89,6.89,3.39,7.38,0.05,0.68,19.63,3.16,3.25,7.03,0.053,0.115,58,0.173,0.874,0.117,0.000,0.009,2267,1024,3,0.453,0.117
80000,217,4.442,0.148,10.92,9933,6936,50,2944,0,151,410015.2,9576.5,0.000,0.483,0.006,0.001,0.509,18179,60.68,2.83,37.13,8.38,3.89,8.23,0.02,0.34,19.63,4.63,3.48,7.26,0.061,0.129,64,0.147,0.885,0.111,0.000,0.005,2317,880,4,0.544,0.009
90000,222,4.332,0.152,11.06,10292,6948,50,3288,1,182,410592.6,10785.5,0.000,0.483,0.007,0.001,0.509,17013,60.64,3.23,37.58,8.26,4.21,8.06,0.00,0.00,18.85,4.11,3.90,7.51,0.066,0.126,58,0.176,0.869,0.126,0.000,0.005,2346,1005,5,0.694,0.000
100000,215,4.254,0.157,11.21,11560,6889,48,4602,28,209,410172.1,12628.8,0.000,0.503,0.008,0.001,0.488,14456,60.35,2.96,38.65,7.80,3.55,7.75,0.00,0.00,18.15,3.05,3.39,7.38,0.056,0.121,46,0.330,0.856,0.135,0.000,0.009,2818,1662,3,0.819,0.000
110000,227,4.049,0.149,11.10,10264,7161,60,3029,2,92,410164.0,9763.5,0.000,0.519,0.006,0.001,0.474,15748,58.24,3.40,37.78,7.24,2.94,6.62,0.00,0.00,17.52,4.03,2.79,6.26,0.047,0.103,46,0.326,0.885,0.106,0.000,0.009,2477,1509,2,0.868,0.013
120000,218,4.362,0.161,11.11,10244,6327,53,3873,0,117,409435.4,12731.0,0.000,0.510,0.006,0.001,0.483,15597,59.82,2.63,38.35,8.33,3.33,7.32,0.07,0.89,18.07,4.58,3.12,6.85,0.052,0.115,55,0.188,0.885,0.101,0.000,0.014,2362,1504,2,0.862,0.000
130000,230,4.383,0.158,11.11,9958,7087,73,2786,0,104,410019.6,8967.9,0.000,0.531,0.006,0.001,0.462,16268,59.41,3.95,37.15,8.57,3.58,7.74,0.00,0.00,18.67,5.54,3.35,7.27,0.056,0.122,53,0.161,0.839,0.126,0.000,0.035,2365,1391,2,0.843,0.000
140000,206,4.444,0.163,11.16,10690,7144,83,3486,1,128,410182.7,11351.5,0.000,0.517,0.007,0.001,0.476,15924,62.27,2.64,33.96,10.03,9.61,10.30,0.01,0.14,18.69,2.69,9.18,9.83,0.150,0.161,54,0.393,0.728,0.267,0.000,0.005,2567,1207,2,0.529,0.000
150000,217,4.317,0.163,10.90,9830,7165,59,2595,0,101,409520.0,8330.6,0.000,0.522,0.006,0.002,0.470,17498,59.83,3.22,36.88,7.32,3.78,7.64,0.16,1.30,19.01,2.85,3.62,7.28,0.060,0.119,44,0.212,0.876,0.120,0.000,0.005,2339,1048,5,0.484,0.000
160000,204,4.577,0.164,10.38,10984,6719,39,4239,0,176,409827.8,14546.2,0.000,0.617,0.001,0.006,0.376,16437,63.60,2.24,37.93,8.50,4.63,8.61,0.00,0.00,21.04,2.94,4.57,8.55,0.073,0.135,31,0.471,0.858,0.132,0.000,0.010,2573,1313,2,0.804,0.000
170000,209,4.763,0.156,10.51,10291,7274,45,2967,0,133,409692.0,9970.2,0.000,0.593,0.000,0.009,0.398,17914,63.40,1.37,39.42,7.53,3.34,6.90,0.00,0.00,20.64,3.35,3.33,6.88,0.052,0.108,38,0.368,0.895,0.096,0.000,0.010,2420,1064,3,0.517,0.000
180000,203,4.519,0.158,10.81,10761,7600,47,3116,4,148,409507.9,10482.8,0.000,0.575,0.000,0.011,0.415,16772,63.69,1.05,40.01,7.14,3.03,6.87,0.04,0.56,20.61,2.58,2.99,6.80,0.047,0.107,42,0.256,0.867,0.128,0.000,0.005,2424,1122,3,0.729,0.049
190000,206,4.445,0.160,10.59,10743,8170,50,2516,4,107,409370.4,8235.3,0.000,0.525,0.000,0.011,0.464,17135,62.26,3.54,38.06,8.29,4.61,8.27,0.00,0.00,19.59,4.17,4.55,8.17,0.072,0.129,42,0.233,0.845,0.146,0.000,0.010,2574,1300,3,0.461,0.049
200000,213,4.401,0.153,10.31,10590,7783,47,2752,1,116,409308.1,8952.1,0.000,0.526,0.000,0.011,0.463,17357,62.29,2.67,40.78,6.11,2.28,5.74,0.00,0.00,19.23,3.09,2.28,5.74,0.036,0.090,42,0.221,0.901,0.085,0.000,0.014,2499,1173,3,0.563,0.000
210000,211,4.538,0.162,10.23,11513,8002,36,3463,14,181,409203.7,10392.1,0.000,0.522,0.000,0.011,0.467,16589,61.32,5.97,39.71,7.48,2.32,5.86,0.00,0.00,19.29,4.45,2.05,5.21,0.036,0.092,42,0.270,0.896,0.085,0.000,0.019,2801,1400,3,0.536,0.000
220000,215,4.664,0.165,10.33,10775,7898,55,2797,21,116,409272.0,8755.9,0.000,0.526,0.000,0.012,0.462,16822,61.52,2.98,37.13,9.60,5.96,9.19,0.00,0.00,18.43,3.99,5.92,9.17,0.093,0.144,35,0.321,0.809,0.181,0.000,0.009,2544,1265,3,0.442,0.000
230000,233,4.187,0.153,10.60,10837,7659,46,3103,11,132,409354.0,9897.6,0.000,0.527,0.000,0.010,0.463,17580,59.06,11.25,35.98,12.24,3.27,6.69,0.00,0.00,19.81,5.11,3.22,6.68,0.057,0.110,48,0.361,0.884,0.103,0.000,0.013,2438,1133,4,0.545,0.000
240000,211,4.551,0.156,10.62,10959,7882,44,3042,13,145,409107.8,9588.4,0.000,0.554,0.000,0.010,0.437,17169,62.66,2.46,39.17,8.13,4.12,7.61,0.00,0.00,19.37,4.03,4.11,7.59,0.064,0.119,41,0.346,0.853,0.133,0.000,0.014,2465,1127,4,0.531,0.000
250000,224,4.172,0.146,10.33,11064,7755,46,3237,13,190,409539.4,10115.1,0.000,0.547,0.000,0.010,0.443,16937,61.13,4.74,37.87,8.49,4.59,8.42,0.00,0.00,18.67,3.65,4.59,8.42,0.072,0.132,37,0.205,0.835,0.138,0.000,0.027,2534,1123,4,0.335,0.000
260000,204,4.279,0.158,11.25,11753,7478,67,4219,9,221,409836.5,13774.9,0.000,0.557,0.000,0.009,0.435,16202,62.75,2.99,28.77,9.48,15.29,9.34,0.00,0.00,18.69,2.68,15.23,9.32,0.240,0.147,25,0.716,0.647,0.333,0.000,0.020,2690,1239,3,0.725,0.000
270000,230,4.462,0.147,10.26,10585,7231,73,3252,3,194,410492.5,10285.5,0.000,0.576,0.000,0.008,0.416,17579,59.46,4.58,38.65,8.68,3.80,8.06,0.00,0.00,17.01,3.15,3.54,7.57,0.063,0.133,35,0.652,0.843,0.130,0.000,0.026,2338,1415,3,0.826,0.000
280000,230,4.617,0.158,10.43,11484,6931,77,4431,45,204,410490.1,12576.7,0.000,0.632,0.000,0.008,0.360,16108,60.13,2.41,37.53,8.25,4.62,8.47,0.00,0.00,17.99,3.54,4.61,8.46,0.072,0.132,32,0.574,0.891,0.109,0.000,0.000,2954,2235,2,0.796,0.000
290000,215,4.547,0.156,10.38,10688,6910,85,3705,3,192,409625.8,11949.0,0.000,0.616,0.000,0.008,0.377,16872,60.08,2.31,38.68,8.07,4.26,8.18,0.04,0.61,17.11,3.23,4.26,8.18,0.067,0.128,33,0.260,0.814,0.167,0.000,0.019,2417,1503,2,0.809,0.000
300000,223,4.281,0.157,10.31,11404,7224,102,4030,40,192,409622.3,11360.8,0.000,0.582,0.000,0.008,0.409,16290,59.28,3.72,38.95,8.45,3.55,7.57,0.01,0.13,16.78,3.92,3.48,7.39,0.056,0.118,46,0.202,0.857,0.117,0.000,0.027,2784,1647,2,0.843,0.031
310000,217,4.370,0.146,10.43,10912,6995,69,3850,4,200,409772.1,12358.9,0.000,0.562,0.000,0.008,0.429,16566,60.65,3.37,38.30,8.99,4.65,8.72,0.00,0.00,17.71,2.99,4.65,8.72,0.073,0.136,36,0.419,0.834,0.143,0.000,0.023,2437,1451,2,0.779,0.000
320000,223,4.231,0.158,10.44,11227,7643,80,3493,5,170,408580.9,10900.0,0.000,0.554,0.000,0.009,0.437,16121,59.19,4.35,37.98,8.40,4.55,8.63,0.00,0.00,16.65,2.58,4.55,8.63,0.071,0.135,24,0.592,0.874,0.112,0.000,0.013,2585,1807,2,0.785,0.000
330000,206,4.468,0.161,10.35,13159,7174,66,5811,125,199,409181.3,15650.7,0.000,0.545,0.000,0.011,0.444,13872,61.64,2.62,39.55,9.19,4.93,8.87,0.00,0.00,17.17,2.80,4.87,8.75,0.077,0.140,35,0.291,0.820,0.155,0.000,0.024,3184,2259,2,0.757,0.000
340000,219,4.556,0.149,10.47,11312,7351,79,3826,43,182,408720.3,10085.2,0.000,0.531,0.000,0.008,0.460,16364,60.04,3.27,37.41,9.07,5.69,9.30,0.02,0.27,16.92,2.66,5.60,9.12,0.090,0.146,34,0.425,0.804,0.174,0.000,0.023,2707,1718,2,0.740,0.000
350000,229,4.302,0.158,10.44,11500,7978,91,3406,15,147,409306.0,10424.6,0.000,0.539,0.000,0.009,0.453,15750,59.91,2.74,37.20,8.87,5.12,8.97,0.00,0.00,17.59,4.25,5.05,8.86,0.080,0.141,29,0.397,0.852,0.140,0.000,0.009,2702,1824,2,0.769,0.000
360000,224,4.499,0.161,10.26,16863,7828,74,8582,384,199,409577.3,17181.9,0.000,0.542,0.000,0.008,0.449,10623,58.50,5.13,38.02,10.25,3.35,7.85,0.00,0.00,17.12,4.31,3.09,7.33,0.052,0.123,34,0.366,0.871,0.103,0.000,0.027,5742,4591,2,0.844,0.000
370000,231,4.234,0.151,10.24,11459,7989,92,3359,12,145,409067.5,10323.9,0.000,0.540,0.000,0.009,0.451,15836,57.93,5.55,37.48,10.63,3.35,7.72,0.00,0.00,17.09,3.74,3.03,7.21,0.055,0.128,29,0.597,0.861,0.126,0.000,0.013,2709,1974,2,0.857,0.000
380000,224,4.052,0.150,10.54,12021,8114,83,3800,31,180,408939.9,11061.9,0.000,0.529,0.000,0.009,0.461,15021,59.89,3.22,37.09,8.93,5.78,9.32,0.00,0.00,17.03,3.25,5.78,9.32,0.090,0.146,24,0.460,0.821,0.161,0.000,0.018,2834,2075,2,0.723,0.000
390000,228,4.246,0.148,10.37,11209,7887,98,3205,15,168,408664.6,9598.1,0.000,0.547,0.000,0.010,0.444,16111,58.96,3.96,37.83,8.76,4.31,8.35,0.00,0.00,16.82,3.99,4.31,8.35,0.068,0.131,25,0.592,0.842,0.145,0.000,0.013,2689,1995,2,0.798,0.000
