step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share
10000,272,3.608,0.145,5.92,23138,9532,0,13626,94,426,412474.6,29553.7,0.013,0.022,0.547,0.354,0.065,14785,50.72,8.15,30.03,7.13,1.76,4.74,0.11,1.54,18.81,5.88,1.36,3.54,0.032,0.081,64,0.283,0.871,0.118,0.000,0.011,6528,4466,1,1.000,0.000
20000,325,3.243,0.148,5.60,27904,9810,1,17671,369,514,409407.4,31671.2,0.010,0.011,0.513,0.359,0.107,13131,39.51,21.52,22.35,15.28,1.57,4.10,0.06,0.69,15.54,8.31,1.37,3.57,0.031,0.088,77,0.169,0.834,0.135,0.000,0.031,10814,9027,1,0.948,0.052
30000,439,2.539,0.114,9.47,23988,9783,24,13793,274,359,411089.0,18716.5,0.013,0.014,0.508,0.400,0.065,13262,29.07,17.06,13.19,13.50,0.75,3.05,0.19,1.61,14.94,7.79,0.59,2.19,0.013,0.052,150,0.098,0.888,0.064,0.000,0.048,9475,7483,2,0.882,0.000
40000,239,4.116,0.160,7.54,15127,7541,13,7709,64,190,410977.5,19540.6,0.012,0.021,0.356,0.553,0.059,17015,56.81,3.29,37.72,4.89,1.08,4.35,0.07,0.30,17.95,4.52,0.96,3.70,0.017,0.068,45,0.577,0.937,0.050,0.000,0.013,3784,2026,2,0.757,0.021
50000,360,2.812,0.142,8.36,16988,7406,27,9335,99,259,410137.5,19733.6,0.013,0.007,0.524,0.377,0.079,13065,30.31,22.26,9.70,13.25,5.06,9.91,0.19,1.38,15.36,8.65,3.67,7.27,0.082,0.159,119,0.167,0.742,0.186,0.006,0.067,5596,4011,2,0.811,0.000
60000,468,2.387,0.131,9.33,27770,10317,6,17026,313,655,410515.2,31406.1,0.017,0.006,0.312,0.369,0.296,7774,24.43,23.70,10.92,14.96,2.69,6.23,0.19,1.30,10.63,6.68,2.29,5.24,0.048,0.112,136,0.173,0.735,0.167,0.000,0.098,9733,5742,2,0.135,0.752
70000,236,3.658,0.161,10.38,36357,11415,11,24360,803,985,410126.4,34982.9,0.010,0.002,0.198,0.311,0.478,5294,55.66,5.63,35.95,4.28,0.67,2.94,0.34,1.39,18.70,3.64,0.57,2.86,0.011,0.047,62,0.178,0.915,0.055,0.000,0.030,17307,13114,2,0.953,0.021
80000,263,3.983,0.154,10.73,20270,7835,30,12229,149,354,409827.8,22952.6,0.007,0.002,0.317,0.480,0.193,9340,52.00,13.44,32.02,10.88,2.62,4.93,0.66,1.14,16.70,4.47,2.30,4.17,0.045,0.083,84,0.194,0.814,0.148,0.000,0.038,6619,3569,2,0.844,0.027
90000,307,3.444,0.125,12.40,18109,7973,24,9934,134,160,410561.2,21634.3,0.011,0.002,0.381,0.363,0.242,10153,42.77,14.22,25.45,12.10,1.89,5.15,0.13,0.72,15.30,3.98,1.50,3.92,0.033,0.093,81,0.453,0.834,0.134,0.000,0.033,5362,2669,1,0.827,0.173
100000,303,3.302,0.156,10.26,23340,10003,22,13065,254,234,409166.3,24356.4,0.011,0.001,0.423,0.338,0.227,6518,43.96,14.21,24.66,10.78,2.17,5.44,0.19,1.02,16.94,6.22,2.01,5.03,0.035,0.087,107,0.198,0.845,0.122,0.000,0.033,7749,4123,4,0.812,0.000
110000,258,3.789,0.155,10.17,20197,10138,12,9927,165,128,409971.7,19491.3,0.009,0.001,0.240,0.569,0.181,9506,52.21,13.69,32.87,10.00,1.56,4.62,0.35,1.42,17.43,5.25,1.53,4.44,0.024,0.072,79,0.097,0.857,0.112,0.000,0.031,6651,3940,2,0.616,0.248
120000,214,4.042,0.243,13.01,25935,8585,24,16992,378,602,410070.2,31852.1,0.013,0.004,0.228,0.377,0.378,6130,54.59,14.07,23.64,10.99,13.53,8.51,0.07,0.73,17.36,5.53,11.62,8.51,0.239,0.133,63,0.215,0.551,0.416,0.000,0.033,8956,5095,3,0.383,0.495
130000,218,4.169,0.169,14.30,27442,8390,0,18864,184,1441,408564.7,40529.9,0.010,0.006,0.167,0.043,0.774,5187,59.02,6.42,33.59,6.72,3.52,6.84,0.14,0.84,21.78,4.21,3.30,6.37,0.057,0.112,69,0.151,0.844,0.147,0.000,0.009,8947,6156,2,0.151,0.844
