step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share
110000,288,3.359,0.140,8.35,25127,11047,2,13674,394,436,409952.9,22621.6,0.019,0.208,0.157,0.009,0.607,8228,43.76,19.69,21.12,13.94,2.72,5.57,2.28,6.25,17.65,6.95,2.42,5.11,0.048,0.095,101,0.191,0.743,0.215,0.003,0.038,8865,6599,1,0.979,0.021
120000,298,3.213,0.123,8.18,25284,10145,0,14908,221,458,410399.3,25155.4,0.021,0.069,0.135,0.003,0.772,10074,43.17,17.72,21.75,13.22,1.84,5.05,1.12,4.29,18.46,7.11,1.29,3.70,0.040,0.118,75,0.265,0.862,0.101,0.000,0.037,7666,6646,1,1.000,0.000
130000,333,3.255,0.127,8.36,33058,9679,0,22674,670,663,409511.8,34345.5,0.028,0.059,0.113,0.002,0.797,6882,41.32,21.55,22.30,15.31,3.72,5.92,0.93,2.90,14.37,6.34,3.38,5.16,0.060,0.094,92,0.216,0.697,0.276,0.000,0.027,12410,10821,1,1.000,0.000
140000,382,2.742,0.126,9.21,28555,10145,2,17603,756,472,409306.0,29011.1,0.012,0.046,0.130,0.002,0.812,7218,32.68,25.82,14.58,18.63,3.64,8.35,0.73,4.18,13.73,6.97,2.96,7.27,0.073,0.160,107,0.139,0.736,0.134,0.000,0.131,12214,10629,2,0.757,0.097
150000,265,3.744,0.157,8.90,27312,8758,11,17895,765,755,409975.4,27059.9,0.018,0.032,0.169,0.001,0.781,6879,46.93,22.11,26.20,17.65,4.61,8.42,0.18,1.62,15.95,4.70,4.23,7.64,0.073,0.133,63,0.147,0.728,0.238,0.000,0.034,12502,10558,1,0.668,0.332
160000,250,3.504,0.141,8.90,31421,6382,14,24088,952,489,410034.8,37733.2,0.007,0.026,0.321,0.003,0.643,6246,52.80,18.87,30.37,18.81,2.63,7.19,0.51,2.87,19.29,4.38,2.49,6.79,0.041,0.112,42,0.512,0.880,0.112,0.000,0.008,13365,10882,2,0.880,0.000
170000,264,3.529,0.165,9.25,59988,7178,7,50836,1953,733,409371.2,74601.2,0.013,0.032,0.401,0.010,0.543,3477,44.82,26.18,22.58,18.20,7.33,10.20,0.33,2.49,14.59,5.80,7.33,10.20,0.115,0.159,54,0.322,0.636,0.337,0.000,0.027,28968,23966,2,0.625,0.000
180000,267,3.360,0.173,10.16,42551,6915,17,34128,1488,402,409851.7,49745.1,0.014,0.034,0.361,0.004,0.588,4226,44.91,24.32,23.56,19.04,5.23,9.03,0.42,3.18,15.70,5.63,5.01,8.80,0.089,0.162,71,0.225,0.670,0.288,0.000,0.041,18051,14155,2,0.258,0.509
190000,340,2.853,0.181,10.18,49653,7352,12,40487,1729,565,410328.8,58934.4,0.011,0.043,0.438,0.010,0.499,3982,32.31,26.35,11.32,13.31,8.16,10.53,0.48,2.73,12.36,5.98,8.06,10.51,0.129,0.167,81,0.359,0.618,0.335,0.000,0.047,22047,18553,2,0.491,0.129
200000,229,3.890,0.194,9.73,40038,6979,8,32317,845,606,409907.6,51171.1,0.014,0.053,0.371,0.001,0.561,4929,49.76,22.67,26.31,18.16,7.38,10.52,0.40,2.58,15.67,4.30,6.73,9.61,0.116,0.165,56,0.266,0.590,0.371,0.000,0.039,16088,12869,1,0.450,0.550
