step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,1005,1.773,0.386,5.25,35429,25670,893,4,9327,5034,932511.3,328.4,0.182,0.381,0.278,0.160,1547,6.68,7.70,0.40,3.34,0.20,1.63,0.10,1.00,5.98,4.34,0.04,0.33,0.010,0.047,114,0.114,0.997,0.002,0.000,0.001,171684,167319,5,0.643,0.131,0.020,914342,0.166,1.567,0.045,80.72,40744,49,0.065,0.500,0.000,2733282,1.07,21.07,0.001,0.002,0.012,3,4,11,64,2459,0.150,82.72,0.0155,0.017,10,0.908,0.000,0.544,0.796,2.45,0.520,0.488,0.06,0.014,1.10,1.05,1.07
20000,1156,1.724,0.333,4.61,31487,15682,1796,0,13858,440,788622.9,45.4,0.219,0.388,0.280,0.112,1902,5.98,5.80,0.11,1.00,0.02,0.43,0.33,2.69,5.52,3.36,0.00,0.09,0.001,0.015,86,0.200,0.996,0.000,0.000,0.004,210176,207907,4,0.509,0.035,0.022,248653,0.134,1.426,0.038,78.45,34596,0,0.103,0.000,0.000,2528990,1.02,21.07,0.000,0.002,0.002,3,5,8,60,2420,0.148,84.99,0.0124,0.000,25,0.888,0.000,0.632,0.851,2.09,0.407,0.364,0.01,0.003,1.03,1.02,1.02
30000,1149,1.736,0.331,4.86,34102,18140,1897,0,14072,6,790012.7,0.5,0.295,0.409,0.231,0.065,1845,5.75,4.00,0.17,1.36,0.00,0.00,0.07,1.41,5.50,3.12,0.00,0.00,0.000,0.000,88,0.209,0.986,0.000,0.000,0.014,220745,219230,2,0.496,0.472,0.003,63750,0.204,1.463,0.039,78.69,34994,0,0.087,0.000,0.000,2767767,1.07,21.18,0.000,0.000,0.000,3,5,9,61,2149,0.131,84.75,0.0125,0.000,35,0.900,0.000,0.664,0.846,1.87,0.306,0.322,0.00,0.000,1.12,1.09,1.05
40000,1164,1.770,0.287,4.63,35405,19166,1857,0,14367,1,806653.1,0.3,0.265,0.421,0.257,0.057,1856,5.97,3.23,0.26,1.16,0.00,0.00,0.04,0.87,5.66,2.73,0.00,0.00,0.000,0.000,80,0.249,0.989,0.000,0.000,0.011,233810,233197,3,0.784,0.000,0.015,80555,0.139,1.352,0.033,79.43,41109,0,0.271,0.000,0.000,3058663,1.11,20.64,0.000,0.000,0.000,3,6,9,45,2260,0.138,84.00,0.0122,0.000,40,0.914,0.000,0.810,0.849,1.94,0.354,0.303,0.00,0.000,1.17,1.14,1.08
50000,1179,1.699,0.341,4.58,32024,18548,2112,0,11349,0,819889.2,0.0,0.191,0.351,0.407,0.051,1680,5.10,3.04,0.14,1.05,0.00,0.00,0.01,0.15,4.96,2.55,0.00,0.00,0.000,0.000,66,0.224,0.991,0.000,0.000,0.009,215688,214965,3,0.831,0.000,0.002,65334,0.101,1.480,0.040,80.78,40778,0,0.000,0.000,0.000,2558890,1.05,21.49,0.000,0.000,0.000,3,5,6,41,2280,0.139,82.66,0.0140,0.000,31,0.902,0.000,0.879,0.852,1.93,0.444,0.266,0.00,0.000,1.07,1.07,1.04
60000,1161,1.657,0.352,4.62,32300,18183,2288,0,11847,1,801111.2,0.0,0.198,0.415,0.328,0.059,1794,5.12,4.43,0.14,1.16,0.00,0.00,0.00,0.03,4.98,4.16,0.00,0.00,0.000,0.000,68,0.226,0.988,0.000,0.000,0.012,210451,210060,2,0.958,0.000,0.001,26613,0.146,1.497,0.041,78.83,41237,0,0.030,0.000,0.000,3173956,1.06,21.55,0.000,0.000,0.000,3,4,7,54,2278,0.139,84.61,0.0138,0.000,33,0.914,0.000,0.856,0.847,1.96,0.481,0.253,0.00,0.000,1.06,1.08,1.07
70000,1145,1.689,0.354,4.48,33114,18456,2435,0,12239,13,816212.4,2.3,0.191,0.412,0.324,0.073,1776,5.35,3.85,0.08,0.82,0.00,0.00,0.02,0.45,5.25,3.51,0.00,0.00,0.000,0.000,67,0.221,0.983,0.000,0.000,0.017,215463,214813,2,0.951,0.000,0.003,26995,0.147,1.484,0.041,80.08,40936,0,0.176,0.000,0.000,3406007,1.04,21.35,0.000,0.000,0.000,3,5,8,51,2249,0.137,83.36,0.0136,0.000,27,0.921,0.000,0.857,0.847,1.96,0.413,0.286,0.00,0.000,1.05,1.05,1.03
80000,1156,1.684,0.394,4.12,34679,19756,1985,0,12927,46,781846.3,5.6,0.199,0.423,0.321,0.057,1757,5.33,4.01,0.09,0.78,0.00,0.00,0.13,1.73,5.11,2.89,0.00,0.00,0.000,0.000,82,0.171,0.984,0.000,0.000,0.016,199493,198741,2,0.948,0.000,0.007,34076,0.171,1.594,0.047,77.28,38341,0,0.123,0.000,0.000,2907708,1.04,21.57,0.000,0.000,0.000,3,5,8,53,2422,0.148,86.16,0.0132,0.000,31,0.908,0.000,0.805,0.827,2.10,0.495,0.310,0.00,0.000,1.03,1.05,1.03
90000,1152,1.696,0.390,4.15,31805,17288,2158,0,12363,5,793542.3,0.4,0.177,0.392,0.392,0.039,1847,5.17,4.33,0.23,1.93,0.00,0.00,0.00,0.00,4.94,3.36,0.00,0.00,0.000,0.000,64,0.266,0.992,0.000,0.000,0.008,200748,200220,1,0.983,0.017,0.000,37426,0.117,1.546,0.045,77.91,36426,0,0.072,0.000,0.000,2634193,1.09,21.42,0.000,0.000,0.000,3,5,6,63,2487,0.152,85.53,0.0139,0.003,26,0.892,0.000,0.815,0.842,2.16,0.464,0.355,0.00,0.000,1.10,1.11,1.08
100000,1164,1.646,0.388,4.24,30531,16204,2218,0,12097,12,764187.8,1.5,0.151,0.402,0.412,0.036,1924,4.88,3.58,0.11,1.03,0.00,0.00,0.02,0.39,4.76,3.19,0.00,0.00,0.000,0.000,66,0.274,0.990,0.000,0.000,0.010,190284,189624,1,1.000,0.000,0.003,28064,0.129,1.562,0.045,75.44,33299,0,0.127,0.000,0.000,2550502,1.05,21.68,0.000,0.000,0.000,3,4,6,55,2520,0.154,88.00,0.0138,0.000,34,0.894,0.000,0.827,0.840,2.16,0.503,0.338,0.00,0.000,1.05,1.05,1.06
