step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,long,wide
5000,7,365,7.6,0.3,0.2,0.0,7.0,0.0,1.15,19.7,64,748,59.60,0.01,363,0,2,0.0,1.17,1.17,1.13,3.75,0.99,0.89
5000,1,112,10.3,0.0,0.0,0.0,10.3,0.0,1.00,14.9,12,1477,156.98,0.00,112,0,0,0.0,1.00,1.00,1.00,1.84,0.79,0.03
5000,4,86,6.9,0.0,0.0,0.0,6.8,0.0,1.01,20.9,25,1232,123.05,0.00,86,0,0,0.0,1.00,1.02,1.01,1.62,0.59,0.01
5000,6,81,8.1,0.0,0.0,0.0,8.1,0.0,1.00,18.1,21,1410,144.83,0.00,81,0,0,0.0,1.00,1.00,1.00,1.41,0.27,0.14
5000,2,64,7.8,0.2,0.0,0.0,7.6,0.0,1.10,16.8,18,1156,108.10,0.00,64,0,0,0.0,1.02,1.47,1.08,1.72,0.69,0.03
5000,8,63,15.7,2.3,0.0,0.0,13.4,0.0,1.08,15.3,25,1396,236.42,0.00,63,0,0,0.0,1.00,1.31,1.00,2.13,0.38,0.48
5000,3,51,5.7,0.0,0.0,0.0,5.7,0.0,1.00,20.9,10,1433,120.79,0.00,20,31,0,0.0,1.00,1.00,1.00,2.04,0.59,0.35
5000,5,42,8.7,0.0,0.1,0.0,8.6,0.0,1.00,20.0,13,402,65.08,0.00,33,9,0,0.0,1.00,1.00,1.00,4.00,1.00,1.00
5000,9,39,64.0,0.0,0.2,21.9,41.8,0.0,1.00,0.0,16,660,387.84,0.00,0,36,3,0.0,1.00,1.00,1.00,4.00,1.00,1.00
5000,18,37,5.3,0.3,0.0,0.0,5.0,0.0,1.12,21.6,4,1022,97.75,0.00,0,37,0,0.0,1.13,1.13,1.11,1.05,0.00,0.05
6000,7,371,7.9,0.4,0.4,0.0,7.2,0.0,1.15,19.4,73,855,72.35,0.01,359,8,4,0.0,1.17,1.17,1.13,3.71,0.98,0.88
