step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,long,wide
5000,4,936,9.5,0.4,0.4,0.1,8.6,0.0,1.09,17.2,124,651,74.04,0.02,705,200,31,0.1,1.05,1.12,1.09,1.67,0.19,0.43
5000,9,334,10.0,0.0,0.1,0.3,9.7,0.0,1.00,18.3,78,1054,95.86,0.00,295,39,0,0.0,1.00,1.00,1.00,2.48,0.50,0.68
5000,10,299,11.4,0.2,0.0,0.2,11.0,0.0,1.05,17.1,87,632,66.45,0.00,295,0,4,0.0,1.09,1.01,1.05,3.36,0.94,0.72
5000,23,284,7.1,0.0,0.1,0.1,6.9,0.0,1.00,21.0,34,895,81.08,0.00,225,45,14,0.0,1.00,1.00,1.00,3.15,0.59,0.97
5000,7,143,5.6,0.1,0.0,0.0,5.5,0.0,1.02,20.3,21,1252,96.03,0.00,143,0,0,0.0,1.03,1.00,1.02,1.21,0.12,0.09
5000,25,129,5.4,0.0,0.8,0.0,4.7,0.0,1.00,19.9,11,1192,82.51,0.00,129,0,0,0.0,1.00,1.00,1.00,1.22,0.11,0.11
5000,14,126,11.6,0.2,0.1,0.0,11.3,0.0,1.03,17.0,39,1330,162.47,0.00,126,0,0,0.0,1.02,1.00,1.04,1.54,0.35,0.10
5000,12,125,11.9,0.0,0.2,0.1,11.6,0.0,1.00,16.0,40,1721,181.19,0.00,125,0,0,0.0,1.00,1.00,1.00,1.74,0.51,0.17
5000,5,116,5.9,0.0,0.0,0.0,5.9,0.0,1.00,21.6,27,985,74.15,0.00,116,0,0,0.0,1.00,1.00,1.00,3.23,0.94,0.67
5000,31,83,7.7,0.0,0.0,0.0,7.7,0.0,1.00,16.3,20,1729,186.04,0.00,83,0,0,0.0,1.00,1.00,1.00,1.63,0.02,0.60
5000,30,74,9.7,0.0,1.5,0.0,8.2,0.0,1.00,18.5,12,796,113.53,0.00,3,62,9,0.0,1.00,1.00,1.00,2.18,0.91,0.14
5000,13,63,6.9,0.0,0.0,0.0,6.9,0.0,1.00,18.5,13,1687,158.81,0.00,63,0,0,0.0,1.00,1.00,1.00,1.54,0.11,0.41
5000,39,58,3.7,0.1,0.0,0.0,3.6,0.0,1.05,23.2,6,1074,63.63,0.00,58,0,0,0.0,1.03,1.07,1.05,1.00,0.00,0.00
5000,56,56,6.8,0.0,0.0,0.0,6.8,0.0,1.00,18.9,13,1612,145.53,0.00,56,0,0,0.0,1.00,1.00,1.00,1.25,0.25,0.00
