step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,4224,6.06,0.02,0.05,0.01,5.97,0.00,1.00,0.000,0.485,2087527.1,560.4,18,4,1.74,1.01,1.00
10000,2,827,6.57,0.05,0.05,0.09,6.38,0.00,1.03,0.000,0.802,891135.8,56.5,8,7,1.19,1.05,1.03
10000,0,96,7.94,0.33,0.01,0.07,7.52,0.00,1.14,0.000,0.003,394825.3,1092.1,8,64,1.51,1.14,1.15
20000,8,4696,5.40,0.04,0.03,0.01,5.32,0.00,1.02,0.000,0.466,2101698.0,4.7,13,10,1.55,1.01,1.02
20000,2,874,6.16,0.05,0.03,0.08,6.00,0.00,1.02,0.000,0.792,803321.9,2.8,5,39,1.19,1.03,1.02
20000,0,86,5.93,0.00,0.08,0.19,5.66,0.00,1.00,0.000,0.003,5768.6,0.2,5,61,1.50,1.00,1.00
30000,8,4864,4.72,0.02,0.01,0.01,4.68,0.00,1.01,0.000,0.484,2098323.2,6.1,15,34,1.51,1.00,1.01
30000,2,848,5.87,0.02,0.04,0.04,5.77,0.00,1.01,0.000,0.801,775330.8,3.1,6,90,1.09,1.02,1.00
30000,0,64,6.30,0.16,0.05,0.00,6.09,0.00,1.08,0.000,0.002,5692.0,1.5,5,46,1.64,1.20,1.08
40000,8,5087,4.75,0.02,0.00,0.03,4.70,0.00,1.01,0.000,0.505,1991035.6,2.3,13,41,1.62,1.01,1.01
40000,2,788,6.19,0.04,0.07,0.00,6.07,0.00,1.01,0.001,0.818,828684.4,0.0,6,74,1.32,1.03,1.03
40000,0,73,6.12,0.00,0.23,0.04,5.85,0.00,1.00,0.000,0.002,4521.4,1.0,3,56,1.52,1.00,1.00
50000,8,4754,4.62,0.01,0.03,0.01,4.57,0.00,1.00,0.000,0.474,1954494.1,5.1,6,24,1.65,1.00,1.01
50000,2,823,6.08,0.07,0.01,0.06,5.93,0.00,1.02,0.000,0.788,718658.9,1.7,5,25,1.25,1.02,1.03
50000,0,113,6.46,0.00,0.02,0.15,6.29,0.00,1.00,0.000,0.004,7289.1,0.1,5,74,1.65,1.00,1.00
60000,8,4989,4.74,0.03,0.01,0.03,4.67,0.00,1.01,0.000,0.479,2013310.6,0.1,10,81,1.59,1.01,1.01
60000,2,797,5.45,0.04,0.01,0.20,5.19,0.00,1.01,0.000,0.818,697734.2,0.5,5,101,1.23,1.02,1.01
60000,0,89,5.13,0.00,0.00,0.03,5.10,0.00,1.00,0.000,0.003,7230.3,0.5,3,59,1.45,1.00,1.00
70000,8,4811,4.57,0.01,0.02,0.01,4.53,0.00,1.00,0.000,0.487,1989366.1,3.8,10,48,1.59,1.00,1.00
70000,2,786,5.54,0.06,0.03,0.02,5.43,0.00,1.02,0.000,0.839,738842.4,1.5,5,83,1.27,1.01,1.03
70000,0,86,5.30,0.09,0.00,0.08,5.13,0.00,1.05,0.000,0.003,5761.7,0.5,3,59,1.42,1.04,1.04
80000,8,4581,4.60,0.02,0.01,0.01,4.56,0.00,1.01,0.000,0.470,1903865.6,2.5,11,24,1.66,1.00,1.01
80000,2,819,5.69,0.03,0.04,0.17,5.44,0.00,1.02,0.000,0.802,714899.6,2.6,5,44,1.22,1.02,1.02
80000,0,83,6.61,0.00,0.02,0.53,6.06,0.00,1.00,0.000,0.003,5451.6,0.8,3,48,1.75,1.00,1.00
