step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,4628,5.98,0.04,0.02,0.06,5.86,0.00,1.01,0.000,0.446,2111613.2,664.6,24,32,1.53,1.01,1.02
10000,1,220,10.36,0.06,0.23,0.19,9.89,0.00,1.04,0.000,0.882,384502.4,8.4,8,29,1.46,1.03,1.03
10000,0,87,11.30,0.02,0.94,0.84,9.49,0.00,1.00,0.000,0.003,394923.1,1156.2,9,46,1.89,1.00,1.01
20000,8,4641,5.11,0.04,0.03,0.06,4.99,0.00,1.01,0.000,0.461,2098552.0,5.5,27,22,1.46,1.01,1.01
20000,1,231,10.24,0.11,0.03,0.05,10.04,0.00,1.05,0.000,0.864,311728.4,1.0,8,32,1.35,1.04,1.05
20000,0,108,10.12,0.05,0.08,0.29,9.70,0.00,1.05,0.000,0.003,7530.9,8.2,8,59,1.57,1.04,1.04
30000,8,4885,5.14,0.05,0.05,0.04,5.01,0.00,1.02,0.000,0.457,2097332.8,26.8,17,16,1.49,1.01,1.02
30000,1,223,8.69,0.22,0.58,0.27,7.61,0.00,1.10,0.000,0.843,321797.4,6.2,5,12,1.39,1.07,1.10
30000,0,129,8.84,0.44,0.78,0.11,7.51,0.00,1.14,0.000,0.004,7962.2,13.0,7,64,1.63,1.07,1.19
40000,8,4822,4.98,0.04,0.04,0.04,4.86,0.00,1.01,0.000,0.447,2097009.4,37.9,22,25,1.49,1.01,1.01
40000,1,231,5.57,0.06,0.07,0.58,4.86,0.00,1.02,0.000,0.860,258878.9,4.0,6,39,1.28,1.02,1.02
40000,0,93,5.31,0.03,0.10,0.51,4.68,0.00,1.01,0.000,0.003,9103.7,11.1,4,53,1.40,1.00,1.01
50000,8,5033,4.85,0.02,0.08,0.02,4.72,0.00,1.01,0.000,0.434,2044984.8,21.1,21,12,1.51,1.01,1.01
50000,1,258,6.26,0.04,0.11,0.05,6.05,0.00,1.01,0.000,0.892,251182.0,0.8,4,25,1.25,1.00,1.01
50000,0,119,7.16,0.09,0.24,0.49,6.34,0.00,1.03,0.000,0.004,8889.5,0.0,5,73,1.52,1.01,1.03
