step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,1375,1.805,0.434,8.21,32050,21167,1378,3,9675,4887,1363782.2,359.8,0.182,0.221,0.247,0.350,730,5.87,3.67,0.04,0.46,0.03,0.40,0.08,0.65,5.73,3.28,0.00,0.00,0.002,0.026,178,0.170,0.996,0.000,0.000,0.004,315716,307064,8,0.359,0.200,0.033,1495147,0.116,1.604,0.048,123.99,85948,71,0.074,0.333,0.000,2031204,1.01,20.88,0.000,0.000,0.000,3,5,8,63,2103,0.128,39.21,0.0173,0.004,4,0.958,0.000,0.717,0.899,1.53,0.205,0.182,0.00,0.000,1.02,1.01,1.02
20000,1514,1.795,0.500,8.24,35256,13479,3072,0,18566,11,1154988.0,2.3,0.122,0.240,0.275,0.362,638,5.52,3.43,0.08,0.55,0.02,0.20,0.12,0.54,5.30,3.18,0.00,0.00,0.002,0.019,167,0.086,0.998,0.000,0.000,0.002,376822,371793,12,0.163,0.019,0.085,1015937,0.038,1.748,0.058,114.59,97227,0,0.210,0.000,0.000,2574783,1.03,21.45,0.000,0.000,0.000,3,5,9,61,2624,0.160,48.61,0.0144,0.013,10,0.964,0.000,0.865,0.907,1.73,0.262,0.254,0.00,0.000,1.02,1.04,1.03
30000,1385,1.716,0.535,8.58,36163,14979,3114,0,18199,10,1128451.6,3.3,0.109,0.276,0.224,0.391,610,5.32,3.81,0.16,0.98,0.01,0.24,0.13,1.31,5.03,2.76,0.00,0.00,0.000,0.004,158,0.127,1.000,0.000,0.000,0.000,360378,352462,7,0.339,0.058,0.036,963583,0.038,1.827,0.061,112.11,105512,0,0.334,0.000,0.000,2706437,1.06,21.57,0.000,0.000,0.000,3,4,8,62,2738,0.167,51.09,0.0162,0.012,11,0.960,0.000,0.805,0.900,1.98,0.365,0.325,0.00,0.001,1.07,1.06,1.06
40000,1367,1.815,0.617,8.90,34087,16227,2588,0,15290,0,1089762.6,0.0,0.088,0.280,0.218,0.414,593,6.14,4.10,0.03,0.63,0.03,0.66,0.14,1.07,5.94,3.76,0.00,0.00,0.002,0.035,171,0.190,0.996,0.000,0.000,0.004,330333,322187,5,0.604,0.042,0.046,341994,0.129,1.991,0.074,107.63,98054,0,0.000,0.000,0.000,2646856,1.01,21.26,0.000,0.000,0.000,3,6,10,49,3390,0.207,55.57,0.0134,0.019,17,0.936,0.000,0.655,0.897,2.48,0.524,0.499,0.00,0.000,1.02,1.01,1.01
50000,1461,1.701,0.608,8.61,39309,16896,2692,0,19627,0,1199751.2,0.0,0.028,0.267,0.235,0.470,597,5.34,2.82,0.05,0.65,0.00,0.04,0.05,0.62,5.24,2.65,0.00,0.00,0.000,0.003,162,0.194,0.996,0.000,0.000,0.004,382957,373646,7,0.443,0.053,0.015,296334,0.114,1.966,0.072,120.17,98099,0,0.000,0.000,0.000,2617891,1.02,21.90,0.000,0.000,0.000,2,4,9,26,3339,0.204,43.03,0.0157,0.011,17,0.899,0.000,0.652,0.897,2.29,0.478,0.431,0.00,0.000,1.03,1.04,1.02
60000,1546,1.725,0.628,8.14,37773,16489,2848,0,18351,13,1143608.0,1.2,0.034,0.287,0.169,0.510,603,5.12,2.93,0.05,0.49,0.00,0.05,0.06,0.97,5.00,2.67,0.00,0.00,0.000,0.005,148,0.173,0.998,0.000,0.000,0.002,359473,352259,7,0.309,0.045,0.012,289854,0.083,1.979,0.076,114.46,96604,0,0.090,0.000,0.000,2686270,1.02,22.16,0.000,0.000,0.000,3,4,8,40,3433,0.210,48.74,0.0148,0.015,18,0.909,0.000,0.644,0.895,2.22,0.438,0.398,0.00,0.000,1.01,1.03,1.02
70000,1640,1.758,0.579,8.18,38052,16425,2967,0,18566,5,1124203.1,1.0,0.046,0.271,0.216,0.467,582,5.31,3.50,0.04,0.66,0.12,1.52,0.04,0.30,5.12,2.64,0.01,0.20,0.005,0.050,167,0.135,0.996,0.001,0.000,0.004,346575,336254,9,0.313,0.084,0.020,327456,0.085,1.899,0.069,112.40,95231,0,0.202,0.000,0.000,2640497,1.02,21.91,0.000,0.000,0.002,3,4,8,43,3244,0.198,50.80,0.0134,0.016,14,0.900,0.000,0.672,0.890,1.98,0.375,0.318,0.01,0.003,1.02,1.02,1.01
80000,1435,1.676,0.669,8.20,39245,17477,2968,0,19005,10,1101863.5,1.5,0.056,0.285,0.203,0.456,587,4.75,3.46,0.03,0.48,0.02,0.32,0.06,0.76,4.64,3.19,0.00,0.08,0.002,0.023,151,0.250,0.997,0.000,0.000,0.003,330894,320872,9,0.279,0.022,0.021,304302,0.077,2.048,0.079,110.42,99435,0,0.151,0.000,0.000,2792381,1.01,22.55,0.000,0.000,0.001,2,4,7,47,3364,0.205,52.78,0.0166,0.010,15,0.899,0.000,0.659,0.882,2.34,0.498,0.447,0.00,0.001,1.02,1.01,1.01
90000,1571,1.701,0.570,8.72,38854,17940,3019,0,17759,18,1139500.4,3.5,0.042,0.335,0.165,0.458,564,5.16,2.49,0.02,0.48,0.01,0.17,0.03,0.35,5.10,2.38,0.00,0.13,0.001,0.018,151,0.181,0.997,0.000,0.000,0.003,338315,328612,6,0.367,0.025,0.011,180172,0.076,1.897,0.067,113.04,101138,0,0.192,0.000,0.000,3495187,1.01,21.84,0.000,0.000,0.001,3,4,8,27,3417,0.209,50.16,0.0142,0.007,16,0.905,0.000,0.630,0.885,2.18,0.441,0.377,0.00,0.001,1.01,1.01,1.01
100000,1647,1.694,0.581,8.72,37431,18352,2797,0,16206,4,1088912.4,1.3,0.041,0.271,0.202,0.486,494,5.11,3.07,0.05,0.61,0.03,0.67,0.07,0.61,4.96,2.68,0.00,0.00,0.002,0.029,143,0.239,0.998,0.000,0.000,0.002,327517,319344,5,0.361,0.045,0.017,299028,0.088,1.903,0.070,108.05,105872,0,0.329,0.000,0.000,2577980,1.02,21.92,0.000,0.000,0.000,3,4,8,37,3468,0.212,55.15,0.0133,0.008,21,0.870,0.000,0.603,0.886,2.11,0.404,0.360,0.00,0.001,1.03,1.02,1.02
