step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,1047,1.721,0.208,8.98,31901,26087,1004,1,5310,4113,935900.2,292.8,0.178,0.246,0.138,0.438,1062,6.18,4.17,0.08,1.01,0.01,0.34,0.05,0.39,6.04,3.99,0.00,0.00,0.001,0.017,132,0.251,0.971,0.000,0.000,0.029,191563,185043,7,0.511,0.108,0.020,801776,0.145,1.140,0.023,79.28,59314,1,0.071,1.000,0.000,1835236,1.03,20.41,0.000,0.001,0.000,3,6,10,63,1548,0.094,84.16,0.0148,0.001,46,0.898,0.000,0.694,0.835,1.48,0.159,0.206,0.00,0.000,1.03,1.03,1.03
20000,1230,1.769,0.318,9.70,29369,16497,2096,1,10592,58,815291.8,4.3,0.093,0.301,0.144,0.462,850,5.32,3.00,0.05,0.74,0.04,0.61,0.01,0.23,5.23,2.82,0.00,0.00,0.003,0.038,135,0.154,0.992,0.000,0.000,0.008,237441,232175,9,0.404,0.280,0.002,154678,0.103,1.385,0.034,80.79,74192,2305,0.075,0.000,0.000,2446885,1.02,21.51,0.000,0.000,0.000,3,5,9,32,2099,0.128,82.65,0.0127,0.013,15,0.959,0.000,0.915,0.877,1.71,0.240,0.259,0.00,0.000,1.02,1.02,1.02
30000,1124,1.699,0.313,9.64,34466,20606,2218,0,11748,31,818417.1,4.7,0.088,0.316,0.189,0.406,787,5.63,3.54,0.08,0.97,0.04,0.37,0.03,0.36,5.48,3.08,0.00,0.06,0.005,0.044,129,0.151,0.982,0.001,0.000,0.017,240001,234298,9,0.313,0.013,0.012,64261,0.096,1.379,0.035,80.38,78438,0,0.151,0.000,0.000,2386633,1.03,21.22,0.000,0.000,0.001,3,5,9,61,1986,0.121,83.05,0.0133,0.003,37,0.961,0.000,0.933,0.857,1.77,0.286,0.258,0.00,0.001,1.03,1.04,1.03
40000,1073,1.656,0.477,11.24,31979,20130,2012,2,9886,35,797964.8,3.3,0.084,0.384,0.185,0.347,723,5.31,4.27,0.14,1.10,0.05,0.50,0.04,0.56,5.08,3.81,0.00,0.00,0.007,0.056,174,0.207,0.975,0.002,0.000,0.023,215261,208612,7,0.585,0.087,0.021,229039,0.114,1.709,0.053,79.60,75950,521,0.095,0.000,0.000,3005719,1.05,21.63,0.001,0.000,0.000,3,4,8,64,2399,0.146,83.84,0.0146,0.001,39,0.963,0.000,0.877,0.852,2.24,0.490,0.428,0.00,0.000,1.05,1.07,1.05
50000,1197,1.671,0.414,11.62,35884,20521,2054,0,13185,87,794713.6,7.9,0.068,0.379,0.158,0.396,598,4.97,3.35,0.11,0.99,0.04,0.54,0.04,0.55,4.77,2.91,0.00,0.00,0.004,0.046,170,0.178,0.989,0.001,0.000,0.010,205100,197108,7,0.568,0.024,0.012,207952,0.109,1.610,0.047,78.39,80103,0,0.091,0.000,0.000,2919896,1.05,21.96,0.000,0.001,0.000,3,4,9,38,2491,0.152,85.05,0.0139,0.009,22,0.944,0.000,0.789,0.826,2.08,0.414,0.419,0.01,0.003,1.06,1.04,1.05
60000,1289,1.667,0.368,11.53,30233,17679,2109,0,10353,80,780389.6,9.6,0.045,0.322,0.148,0.485,543,4.89,3.29,0.07,0.67,0.09,0.91,0.02,0.18,4.71,3.01,0.00,0.00,0.010,0.073,181,0.192,0.990,0.000,0.000,0.010,208542,196305,15,0.288,0.023,0.009,130732,0.124,1.495,0.042,77.15,86721,0,0.120,0.000,0.000,2232584,1.04,22.08,0.000,0.001,0.000,3,4,7,38,2601,0.159,86.28,0.0129,0.001,32,0.905,0.000,0.705,0.856,2.02,0.385,0.338,0.00,0.001,1.04,1.04,1.03
70000,1312,1.684,0.342,11.56,30158,17552,2280,0,10303,9,807634.1,2.8,0.060,0.291,0.218,0.430,556,4.63,2.41,0.05,0.64,0.06,0.41,0.03,0.39,4.48,2.15,0.00,0.00,0.009,0.051,140,0.197,0.986,0.000,0.000,0.014,214292,200121,8,0.288,0.166,0.011,107278,0.139,1.442,0.039,80.09,85940,0,0.307,0.000,0.000,2062006,1.03,22.29,0.000,0.000,0.000,3,4,7,29,2620,0.160,83.35,0.0137,0.007,22,0.901,0.000,0.710,0.860,2.00,0.398,0.307,0.00,0.001,1.02,1.02,1.03
80000,1251,1.697,0.383,11.39,29328,17426,2409,0,9554,43,801673.0,4.3,0.071,0.285,0.228,0.416,548,4.73,3.02,0.12,1.03,0.06,0.38,0.06,0.49,4.50,2.47,0.00,0.10,0.008,0.056,142,0.218,0.987,0.002,0.000,0.011,211299,197237,14,0.253,0.110,0.024,129110,0.127,1.528,0.044,79.31,87961,0,0.099,0.000,0.000,1988697,1.05,22.16,0.000,0.002,0.002,3,4,7,42,2577,0.157,84.13,0.0143,0.000,29,0.901,0.000,0.713,0.862,2.06,0.432,0.321,0.00,0.002,1.06,1.05,1.05
90000,1162,1.616,0.409,11.45,28745,17925,2306,0,8603,132,798841.5,16.3,0.066,0.261,0.235,0.438,536,4.57,2.49,0.11,0.99,0.07,0.60,0.02,0.22,4.38,2.03,0.00,0.03,0.008,0.054,141,0.195,0.989,0.000,0.000,0.011,211602,196908,19,0.196,0.114,0.006,160330,0.108,1.608,0.048,78.88,89160,0,0.124,0.000,0.000,1788201,1.04,22.39,0.000,0.000,0.001,3,4,7,35,2545,0.155,84.56,0.0157,0.000,41,0.878,0.000,0.710,0.865,2.19,0.470,0.376,0.00,0.001,1.06,1.05,1.04
100000,1299,1.718,0.337,11.37,29393,18112,2105,0,9039,601,769304.2,57.0,0.074,0.205,0.208,0.512,549,5.48,4.00,0.30,1.55,0.11,0.92,0.01,0.08,5.07,2.97,0.00,0.00,0.009,0.062,166,0.122,0.986,0.004,0.000,0.010,201882,191394,11,0.321,0.013,0.005,55672,0.120,1.433,0.039,75.49,85356,0,0.095,0.000,0.000,1236215,1.13,21.56,0.000,0.002,0.000,2,5,9,51,2524,0.154,87.95,0.0117,0.000,26,0.823,0.000,0.664,0.855,1.94,0.383,0.292,0.01,0.004,1.17,1.13,1.11
