step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,4199,1.759,0.465,6.87,119140,90465,4433,16,26236,23169,2513420.0,1892.2,0.215,0.383,0.179,0.223,545,6.14,6.18,0.33,3.35,0.06,0.56,0.12,1.08,5.63,3.78,0.00,0.03,0.008,0.053,405,0.131,0.995,0.001,0.000,0.004,723869,698077,27,0.668,0.044,0.027,3156020,0.155,1.691,0.054,308.77,201377,153,0.082,0.562,0.000,9493723,1.08,21.39,0.001,0.000,0.000,2,5,11,64,9847,0.150,344.98,0.0106,0.009,56,0.912,0.000,0.642,0.837,2.35,0.441,0.516,0.00,0.000,1.11,1.06,1.07
20000,4687,1.683,0.431,6.64,102640,56110,8505,11,37526,424,2181031.2,46.8,0.157,0.459,0.118,0.266,527,5.05,4.67,0.10,1.23,0.02,0.48,0.12,1.12,4.80,3.48,0.00,0.00,0.002,0.025,330,0.211,0.992,0.000,0.000,0.007,754394,737385,14,0.808,0.065,0.029,1165787,0.078,1.632,0.050,301.69,181398,391,0.110,0.364,0.000,12974477,1.03,22.17,0.000,0.000,0.000,3,4,7,64,9902,0.151,352.07,0.0097,0.006,77,0.947,0.000,0.798,0.864,2.11,0.366,0.412,0.00,0.000,1.03,1.04,1.03
30000,4519,1.714,0.443,6.78,98884,52409,8687,3,37953,78,2200588.5,11.6,0.148,0.452,0.112,0.288,520,5.19,5.52,0.14,1.31,0.08,1.27,0.15,1.31,4.83,4.03,0.00,0.00,0.002,0.029,313,0.236,0.992,0.000,0.000,0.008,765374,748317,10,0.451,0.453,0.026,1097430,0.114,1.662,0.052,296.90,182577,231,0.149,0.333,0.000,12882351,1.04,22.22,0.001,0.000,0.000,3,4,7,64,9673,0.148,356.86,0.0101,0.010,59,0.942,0.000,0.749,0.871,2.14,0.381,0.413,0.01,0.003,1.02,1.05,1.04
40000,4606,1.690,0.413,7.09,100465,54295,8491,0,37592,85,2183362.5,7.1,0.112,0.517,0.103,0.268,510,4.80,4.07,0.02,0.63,0.07,0.92,0.09,0.91,4.61,3.25,0.00,0.00,0.004,0.047,302,0.191,0.993,0.000,0.000,0.007,759320,739698,18,0.423,0.097,0.022,1494044,0.088,1.620,0.049,296.53,187528,0,0.084,0.000,0.000,15237384,1.01,22.51,0.001,0.000,0.000,2,4,7,64,8908,0.136,357.23,0.0103,0.004,80,0.955,0.000,0.760,0.868,1.93,0.316,0.344,0.00,0.000,1.01,1.01,1.01
50000,4507,1.691,0.437,7.58,100861,49724,9275,1,41960,36,2177211.5,2.5,0.098,0.512,0.126,0.265,454,4.78,4.59,0.04,0.77,0.02,0.37,0.10,1.04,4.63,3.92,0.00,0.00,0.002,0.028,312,0.244,0.993,0.000,0.000,0.007,792956,774402,12,0.365,0.229,0.024,1147535,0.096,1.677,0.052,295.77,211636,421,0.071,0.000,0.000,14606785,1.01,22.69,0.000,0.000,0.000,3,4,7,64,9138,0.139,357.98,0.0104,0.007,87,0.957,0.000,0.786,0.873,2.03,0.353,0.362,0.00,0.000,1.01,1.01,1.01
60000,4370,1.676,0.442,7.43,101125,50266,8628,2,42366,17,2183210.8,0.6,0.076,0.562,0.086,0.276,498,4.95,5.39,0.04,1.09,0.02,0.39,0.23,2.00,4.67,4.23,0.00,0.00,0.002,0.027,318,0.259,0.995,0.000,0.000,0.005,774787,755158,12,0.453,0.011,0.042,1332808,0.113,1.674,0.053,291.10,202316,2098,0.035,0.000,0.000,15433732,1.01,22.64,0.002,0.000,0.000,3,4,7,64,9118,0.139,362.66,0.0107,0.010,66,0.957,0.000,0.729,0.870,2.09,0.387,0.368,0.00,0.000,1.02,1.01,1.02
70000,4377,1.723,0.367,7.57,102885,50069,8524,1,44284,11,2202122.2,1.8,0.074,0.551,0.080,0.295,507,4.85,3.48,0.02,0.35,0.05,0.32,0.08,0.96,4.70,3.02,0.00,0.00,0.007,0.041,345,0.183,0.993,0.000,0.000,0.007,800071,782418,12,0.476,0.071,0.025,1627653,0.132,1.529,0.043,294.13,203468,775,0.166,0.000,0.000,15296205,1.01,22.56,0.000,0.000,0.000,3,4,7,63,8194,0.125,359.63,0.0107,0.009,76,0.957,0.000,0.755,0.872,1.87,0.313,0.302,0.00,0.000,1.01,1.01,1.01
80000,4284,1.704,0.373,7.97,105919,47383,8991,0,49638,1358,2274187.5,123.4,0.067,0.494,0.106,0.333,488,4.86,4.26,0.08,1.05,0.02,0.31,0.06,0.66,4.71,3.43,0.00,0.00,0.001,0.016,300,0.211,0.995,0.001,0.000,0.005,845340,827158,15,0.232,0.139,0.020,1043670,0.091,1.550,0.044,299.16,220645,0,0.091,0.000,0.000,13944368,1.03,22.66,0.002,0.000,0.000,3,4,7,64,8304,0.127,354.60,0.0113,0.006,78,0.954,0.000,0.795,0.875,1.94,0.329,0.321,0.00,0.001,1.02,1.03,1.03
90000,4404,1.724,0.379,7.98,104264,46806,8776,0,48562,50,2251769.8,5.0,0.066,0.484,0.086,0.364,493,5.03,3.44,0.03,0.75,0.01,0.14,0.06,0.60,4.92,3.17,0.00,0.00,0.002,0.021,345,0.236,0.994,0.000,0.000,0.006,838723,822280,12,0.499,0.146,0.026,1015977,0.095,1.551,0.045,298.29,215890,0,0.100,0.000,0.000,13568890,1.01,22.46,0.000,0.000,0.000,3,4,8,64,9201,0.140,355.46,0.0104,0.009,95,0.947,0.000,0.786,0.876,2.09,0.382,0.367,0.00,0.000,1.01,1.01,1.01
100000,4512,1.704,0.361,7.94,109426,51371,9091,0,48856,32,2235628.2,5.1,0.073,0.452,0.112,0.363,439,4.92,3.10,0.01,0.40,0.01,0.13,0.07,0.99,4.82,2.82,0.00,0.00,0.001,0.019,342,0.201,0.992,0.000,0.000,0.008,853870,834340,12,0.544,0.134,0.022,1250338,0.098,1.506,0.042,308.21,229207,0,0.158,0.000,0.000,13085415,1.01,22.54,0.000,0.000,0.000,3,4,8,64,9081,0.139,345.55,0.0103,0.004,112,0.940,0.000,0.801,0.872,2.01,0.360,0.346,0.00,0.000,1.00,1.01,1.01
