step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
110000,5318,1.637,0.252,8.51,134134,84978,8096,8,40959,354,2195982.0,49.8,0.051,0.425,0.180,0.343,413,4.84,3.44,0.02,0.38,0.09,1.07,0.05,0.54,4.68,2.99,0.00,0.01,0.008,0.059,271,0.279,0.992,0.000,0.000,0.008,838074,827438,12,0.775,0.008,0.012,611295,0.134,1.270,0.029,325.02,250655,373,0.141,0.125,0.000,16959647,1.01,21.19,0.000,0.002,0.000,3,4,7,64,7928,0.121,328.73,0.0088,0.005,108,0.870,0.000,0.759,0.840,1.49,0.019,0.467,0.00,0.001,1.01,1.01,1.02
120000,5333,1.623,0.248,8.55,138208,91076,8206,12,38899,438,2209259.5,76.8,0.050,0.406,0.167,0.377,395,4.79,3.15,0.01,0.26,0.08,0.98,0.05,0.48,4.64,2.82,0.00,0.00,0.008,0.058,254,0.283,0.987,0.000,0.000,0.012,841190,826467,11,0.785,0.010,0.023,764485,0.097,1.250,0.029,334.35,263096,720,0.175,0.417,0.000,16940358,1.01,21.18,0.000,0.001,0.000,3,4,7,62,7966,0.122,319.40,0.0089,0.004,162,0.867,0.000,0.767,0.836,1.49,0.009,0.482,0.00,0.000,1.00,1.01,1.01
130000,5477,1.608,0.250,8.57,145635,99985,7765,6,37735,378,2220446.2,65.5,0.048,0.416,0.172,0.365,390,4.70,2.47,0.02,0.30,0.11,1.32,0.05,0.40,4.52,1.92,0.00,0.10,0.009,0.066,269,0.306,0.984,0.000,0.000,0.016,829395,813502,7,0.771,0.061,0.037,1079979,0.092,1.255,0.029,330.54,264608,682,0.173,0.333,0.000,17010254,1.01,21.15,0.000,0.001,0.000,3,4,7,64,8259,0.126,323.21,0.0090,0.005,159,0.852,0.000,0.751,0.825,1.51,0.007,0.500,0.00,0.001,1.01,1.01,1.02
140000,5541,1.600,0.257,8.55,150936,106340,7957,8,36567,505,2174707.0,68.3,0.038,0.429,0.171,0.362,392,4.64,2.64,0.03,0.41,0.11,1.30,0.05,0.33,4.45,2.07,0.00,0.01,0.009,0.062,265,0.274,0.987,0.000,0.000,0.013,824986,808277,9,0.833,0.039,0.042,2353377,0.079,1.290,0.030,329.81,255959,984,0.135,0.250,0.000,17683798,1.01,21.31,0.000,0.001,0.000,3,4,6,64,8273,0.126,323.95,0.0088,0.002,176,0.845,0.000,0.749,0.817,1.49,0.014,0.479,0.00,0.001,1.01,1.01,1.02
150000,5203,1.631,0.266,8.60,152572,107277,7839,8,37786,453,2196228.0,72.8,0.034,0.422,0.165,0.379,371,4.74,2.80,0.02,0.34,0.12,1.36,0.03,0.24,4.57,2.26,0.00,0.03,0.010,0.068,270,0.236,0.986,0.000,0.000,0.014,841945,825312,14,0.759,0.107,0.026,2331461,0.086,1.328,0.031,327.44,259227,92,0.161,0.375,0.000,17101836,1.01,21.21,0.000,0.002,0.000,3,4,7,64,7647,0.117,326.31,0.0092,0.001,169,0.848,0.000,0.757,0.819,1.47,0.013,0.456,0.00,0.001,1.01,1.01,1.01
160000,5086,1.644,0.262,8.58,140193,95945,8048,8,36309,313,2201065.5,40.7,0.034,0.409,0.182,0.375,404,4.85,3.13,0.01,0.23,0.11,1.20,0.03,0.29,4.70,2.78,0.00,0.00,0.010,0.068,286,0.271,0.987,0.000,0.000,0.013,864069,847765,11,0.903,0.029,0.015,1153044,0.100,1.301,0.031,329.83,259520,353,0.130,0.125,0.000,16507753,1.01,21.12,0.000,0.001,0.000,3,4,7,64,7538,0.115,323.93,0.0092,0.003,147,0.853,0.000,0.771,0.838,1.48,0.012,0.469,0.00,0.001,1.00,1.01,1.01
170000,5407,1.629,0.229,8.37,135524,91311,8086,8,35798,410,2160366.8,64.5,0.028,0.409,0.158,0.405,419,4.68,2.92,0.02,0.28,0.11,1.33,0.04,0.73,4.52,2.31,0.00,0.08,0.009,0.066,255,0.242,0.991,0.000,0.000,0.009,852614,840321,10,0.929,0.004,0.010,851708,0.104,1.219,0.027,323.31,247968,162,0.157,0.500,0.000,16637889,1.01,21.35,0.000,0.002,0.000,3,4,6,64,7662,0.117,330.45,0.0088,0.001,150,0.864,0.000,0.771,0.841,1.42,0.012,0.404,0.00,0.000,1.01,1.01,1.01
180000,5353,1.608,0.244,8.45,139723,93804,8593,17,37363,447,2181214.5,66.3,0.033,0.409,0.124,0.434,398,4.71,2.50,0.05,0.93,0.10,0.96,0.02,0.28,4.54,1.89,0.00,0.06,0.009,0.064,245,0.254,0.988,0.000,0.000,0.012,843159,828446,11,0.943,0.001,0.009,509781,0.124,1.254,0.029,334.29,254441,547,0.148,0.118,0.000,17318455,1.02,21.24,0.000,0.002,0.001,3,4,6,45,7999,0.122,319.46,0.0090,0.002,151,0.864,0.000,0.763,0.834,1.49,0.013,0.477,0.00,0.001,1.01,1.02,1.02
190000,5666,1.604,0.219,8.54,144252,100102,8084,26,35727,461,2166492.2,80.1,0.035,0.420,0.127,0.418,393,4.71,3.48,0.03,0.58,0.10,1.23,0.04,0.46,4.53,2.98,0.00,0.00,0.009,0.073,260,0.269,0.988,0.000,0.000,0.012,802463,785926,10,0.942,0.002,0.014,471768,0.128,1.168,0.025,332.16,248130,324,0.174,0.308,0.000,17682504,1.01,21.46,0.001,0.001,0.000,3,4,6,64,8206,0.125,321.59,0.0084,0.000,144,0.847,0.000,0.728,0.820,1.45,0.008,0.436,0.00,0.000,1.00,1.01,1.01
200000,5531,1.609,0.245,8.72,137775,94027,7880,7,35996,388,2187446.2,68.2,0.034,0.434,0.125,0.407,369,4.66,2.60,0.01,0.20,0.08,1.02,0.04,0.95,4.52,2.10,0.00,0.07,0.008,0.059,246,0.246,0.987,0.000,0.000,0.013,800897,780656,10,0.912,0.021,0.010,691420,0.098,1.252,0.028,327.87,245596,185,0.176,0.143,0.000,18007670,1.01,21.37,0.000,0.002,0.000,3,4,7,64,8124,0.124,325.89,0.0087,0.007,172,0.862,0.000,0.731,0.828,1.47,0.004,0.464,0.00,0.001,1.00,1.01,1.01
