step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,5147,1.748,0.318,7.02,149234,107040,4740,20,38430,25890,3023240.8,1709.0,0.158,0.208,0.297,0.338,166,6.17,4.35,0.03,0.47,0.05,0.85,0.02,0.35,6.07,4.09,0.00,0.00,0.004,0.042,465,0.051,0.992,0.000,0.000,0.008,959753,937967,24,0.606,0.041,0.008,2647091,0.170,1.402,0.036,379.42,261684,20,0.066,0.950,0.000,7415037,1.01,20.00,0.000,0.000,0.000,3,5,10,64,8473,0.129,273.84,0.0097,0.002,96,0.866,0.000,0.728,0.845,1.65,0.279,0.287,0.00,0.000,1.01,1.01,1.01
20000,5656,1.699,0.294,7.02,153367,88233,8791,0,55834,61,2444924.2,7.6,0.119,0.193,0.297,0.391,151,5.53,3.61,0.04,0.72,0.03,0.55,0.03,0.52,5.43,3.39,0.00,0.00,0.003,0.047,433,0.066,0.994,0.000,0.000,0.006,1058933,1043549,15,0.700,0.005,0.008,393803,0.133,1.351,0.033,377.79,268961,0,0.125,0.000,0.000,7790142,1.02,20.74,0.000,0.000,0.000,3,5,9,64,8470,0.129,275.48,0.0080,0.009,86,0.857,0.000,0.825,0.855,1.50,0.183,0.254,0.00,0.000,1.01,1.02,1.02
30000,5776,1.661,0.297,6.86,149077,84064,9627,2,55264,59,2350496.0,10.7,0.102,0.224,0.291,0.383,148,4.90,2.98,0.02,0.48,0.01,0.45,0.01,0.44,4.85,2.68,0.00,0.00,0.001,0.023,344,0.097,0.997,0.000,0.000,0.003,1042894,1027222,18,0.651,0.041,0.003,385822,0.157,1.349,0.033,377.35,271805,1066,0.182,0.000,0.000,8972855,1.01,21.55,0.000,0.000,0.000,3,4,8,64,8380,0.128,275.91,0.0084,0.021,64,0.885,0.000,0.818,0.857,1.45,0.148,0.239,0.00,0.000,1.01,1.01,1.01
40000,5948,1.637,0.329,6.97,150001,80259,9813,1,59756,29,2337451.2,3.3,0.090,0.220,0.335,0.356,149,4.96,3.18,0.02,0.48,0.01,0.40,0.03,0.89,4.90,2.83,0.00,0.03,0.001,0.025,401,0.078,0.996,0.000,0.000,0.004,1044461,1026172,15,0.641,0.032,0.003,299220,0.135,1.423,0.037,376.97,266335,47,0.115,1.000,0.000,9074004,1.01,21.58,0.000,0.000,0.000,3,4,8,64,9374,0.143,276.29,0.0080,0.019,73,0.894,0.000,0.814,0.857,1.58,0.188,0.296,0.00,0.000,1.01,1.01,1.01
50000,5690,1.642,0.373,6.76,153190,84583,9665,5,59195,55,2360381.5,6.9,0.092,0.228,0.335,0.345,141,4.87,3.08,0.02,0.57,0.02,0.75,0.02,0.41,4.81,2.87,0.00,0.00,0.002,0.035,412,0.080,0.993,0.000,0.000,0.007,993554,975018,9,0.690,0.064,0.006,219045,0.141,1.544,0.043,368.51,241179,1813,0.125,0.000,0.000,9188980,1.01,21.70,0.000,0.000,0.000,3,4,8,50,9052,0.138,284.75,0.0086,0.009,113,0.896,0.000,0.793,0.846,1.59,0.205,0.287,0.00,0.000,1.01,1.01,1.01
60000,5875,1.650,0.311,6.42,140987,79679,9759,2,51362,47,2289981.2,1.1,0.088,0.256,0.322,0.334,161,4.84,3.17,0.03,0.60,0.01,0.37,0.05,1.06,4.75,2.74,0.00,0.00,0.001,0.017,362,0.119,0.997,0.000,0.000,0.003,969516,955121,12,0.813,0.035,0.009,445724,0.124,1.391,0.035,361.44,237154,236,0.023,0.500,0.000,10607564,1.01,21.61,0.000,0.000,0.000,3,4,7,64,9050,0.138,291.83,0.0082,0.031,89,0.911,0.000,0.775,0.855,1.54,0.162,0.295,0.00,0.000,1.01,1.01,1.01
70000,5683,1.649,0.345,6.17,134199,79612,9965,0,44814,32,2342390.2,5.8,0.090,0.276,0.303,0.331,160,4.71,2.89,0.01,0.36,0.02,0.53,0.01,0.30,4.67,2.72,0.00,0.00,0.001,0.020,303,0.122,0.995,0.000,0.000,0.005,1004687,992033,12,0.810,0.075,0.005,424555,0.120,1.486,0.040,369.45,247363,0,0.180,0.000,0.000,11947324,1.01,21.76,0.000,0.000,0.000,3,4,8,62,8768,0.134,283.81,0.0088,0.023,86,0.920,0.000,0.775,0.867,1.54,0.160,0.291,0.00,0.000,1.00,1.01,1.01
80000,5483,1.644,0.353,5.99,128227,77854,9703,1,40869,47,2337660.5,5.9,0.086,0.269,0.306,0.338,175,4.79,2.98,0.02,0.32,0.02,0.40,0.05,0.73,4.71,2.60,0.00,0.00,0.002,0.032,299,0.142,0.994,0.000,0.000,0.006,967719,956614,12,0.886,0.002,0.007,380283,0.173,1.513,0.042,359.91,225942,1385,0.126,0.000,0.000,11192161,1.01,21.58,0.000,0.000,0.000,3,4,8,51,8753,0.134,293.36,0.0091,0.012,83,0.917,0.000,0.759,0.868,1.60,0.152,0.360,0.00,0.000,1.01,1.01,1.01
90000,5860,1.623,0.323,5.61,133881,85683,9109,4,38708,48,2240417.5,7.8,0.084,0.255,0.344,0.317,180,4.72,2.89,0.03,0.64,0.01,0.23,0.03,0.86,4.66,2.53,0.00,0.00,0.001,0.024,269,0.142,0.997,0.000,0.000,0.003,936153,926201,11,0.919,0.011,0.004,292261,0.135,1.454,0.038,360.16,211447,920,0.163,0.000,0.000,11076134,1.01,21.36,0.000,0.000,0.000,2,4,7,64,8344,0.127,293.10,0.0082,0.024,67,0.893,0.000,0.767,0.857,1.42,0.063,0.336,0.00,0.000,1.01,1.01,1.01
100000,5890,1.647,0.292,6.01,136981,85143,9488,1,42319,55,2271500.8,9.4,0.070,0.257,0.356,0.317,159,4.93,3.46,0.04,0.55,0.01,0.29,0.08,0.96,4.81,2.79,0.00,0.00,0.001,0.033,303,0.157,0.995,0.000,0.000,0.005,950922,941176,7,0.838,0.013,0.009,345183,0.269,1.362,0.034,362.38,209298,30,0.171,1.000,0.000,11278995,1.01,21.32,0.000,0.000,0.000,3,4,7,55,8482,0.129,290.88,0.0080,0.028,83,0.890,0.000,0.775,0.856,1.44,0.083,0.316,0.00,0.000,1.00,1.02,1.02
110000,5678,1.673,0.293,6.08,136538,81809,9664,1,45276,34,2329860.8,3.0,0.091,0.250,0.368,0.292,176,5.24,3.46,0.07,1.07,0.02,0.40,0.04,0.74,5.12,3.00,0.00,0.00,0.001,0.031,338,0.116,0.994,0.000,0.000,0.006,985260,973616,8,0.827,0.000,0.009,558748,0.351,1.357,0.034,369.44,225624,4,0.087,1.000,0.000,10980731,1.02,21.05,0.000,0.000,0.000,3,4,8,64,8132,0.124,283.82,0.0080,0.011,89,0.898,0.000,0.781,0.862,1.43,0.087,0.302,0.00,0.000,1.01,1.02,1.02
120000,5465,1.669,0.298,5.95,138026,82234,9721,1,46283,32,2379560.8,2.9,0.100,0.266,0.353,0.281,173,4.92,2.92,0.01,0.28,0.02,0.53,0.02,0.36,4.87,2.78,0.00,0.00,0.001,0.019,293,0.142,0.995,0.000,0.000,0.005,1036815,1024172,7,0.833,0.020,0.005,393487,0.194,1.378,0.035,372.86,244107,459,0.091,0.000,0.000,11546441,1.01,21.33,0.000,0.000,0.000,3,4,7,64,7821,0.119,280.40,0.0089,0.008,69,0.913,0.000,0.791,0.867,1.43,0.095,0.293,0.00,0.000,1.01,1.01,1.01
130000,5091,1.706,0.324,6.20,135477,77316,9337,1,49197,19,2360514.8,2.2,0.086,0.279,0.361,0.274,183,5.14,3.11,0.01,0.36,0.01,0.31,0.03,0.59,5.08,2.93,0.00,0.00,0.001,0.026,261,0.142,0.994,0.000,0.000,0.006,1045170,1032234,7,0.783,0.084,0.005,265992,0.122,1.443,0.038,361.41,239939,275,0.114,0.000,0.000,11160452,1.00,21.23,0.000,0.000,0.000,3,4,8,46,7952,0.121,291.85,0.0091,0.007,71,0.920,0.000,0.802,0.870,1.56,0.144,0.318,0.00,0.000,1.00,1.00,1.01
140000,5521,1.668,0.340,6.57,137233,79854,8838,0,48111,14,2346384.5,3.5,0.093,0.282,0.378,0.247,177,4.96,2.88,0.02,0.52,0.01,0.17,0.03,0.54,4.91,2.63,0.00,0.00,0.001,0.029,312,0.152,0.995,0.000,0.000,0.005,1020754,1008339,9,0.775,0.000,0.006,247423,0.179,1.479,0.040,355.40,246847,0,0.253,0.000,0.000,11097979,1.01,21.31,0.000,0.000,0.000,3,4,8,64,8611,0.131,297.86,0.0087,0.016,118,0.911,0.000,0.783,0.866,1.56,0.120,0.353,0.00,0.000,1.00,1.01,1.01
150000,5602,1.653,0.354,6.49,143946,84795,9207,1,49862,14,2296320.2,4.3,0.106,0.268,0.359,0.266,147,4.71,2.93,0.03,0.55,0.01,0.37,0.02,0.42,4.65,2.72,0.00,0.01,0.001,0.025,313,0.163,0.994,0.000,0.000,0.006,1004160,989233,7,0.790,0.034,0.004,210625,0.190,1.515,0.042,363.14,256784,5,0.310,1.000,0.000,10927358,1.01,21.72,0.000,0.000,0.000,3,4,7,54,8645,0.132,290.12,0.0088,0.009,106,0.904,0.000,0.779,0.857,1.54,0.113,0.352,0.00,0.000,1.00,1.01,1.01
160000,5960,1.640,0.317,6.33,143851,85722,9244,0,48527,23,2307915.8,4.1,0.101,0.301,0.354,0.245,171,4.72,3.02,0.03,0.50,0.02,0.38,0.03,0.59,4.64,2.78,0.00,0.00,0.002,0.032,331,0.171,0.994,0.000,0.000,0.006,987721,972654,8,0.827,0.033,0.005,280077,0.195,1.413,0.037,361.21,242354,0,0.180,0.000,0.000,12381515,1.01,21.69,0.000,0.000,0.000,3,4,7,64,8869,0.135,292.05,0.0083,0.006,98,0.900,0.000,0.763,0.854,1.49,0.091,0.333,0.00,0.000,1.01,1.01,1.01
