step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,4858,1.692,0.293,9.46,146138,108391,4321,30,34681,28826,2626421.2,2006.2,0.207,0.204,0.297,0.292,454,5.75,3.38,0.03,0.38,0.08,0.69,0.03,0.47,5.61,3.21,0.00,0.00,0.008,0.063,513,0.048,0.986,0.000,0.000,0.014,794432,771067,33,0.252,0.077,0.014,2646305,0.150,1.334,0.033,326.69,237891,94,0.070,0.667,0.000,6764918,1.01,20.30,0.000,0.000,0.000,3,5,9,44,7756,0.118,327.07,0.0096,0.001,96,0.853,0.000,0.720,0.818,1.60,0.133,0.396,0.00,0.000,1.02,1.01,1.02
20000,5130,1.660,0.267,9.41,140792,79115,8578,0,52827,31,2255879.2,3.7,0.126,0.174,0.373,0.326,370,5.13,2.78,0.05,0.50,0.04,0.40,0.02,0.32,5.02,2.63,0.00,0.00,0.004,0.042,397,0.069,0.992,0.000,0.000,0.008,879455,856254,26,0.383,0.222,0.006,331063,0.171,1.269,0.030,328.17,283948,0,0.120,0.000,0.000,6390325,1.03,20.93,0.000,0.000,0.000,3,5,8,37,7713,0.118,325.59,0.0088,0.003,110,0.828,0.000,0.825,0.840,1.50,0.081,0.373,0.00,0.000,1.03,1.03,1.03
30000,5284,1.656,0.266,8.66,136517,77099,8952,0,50312,47,2206404.0,4.5,0.102,0.158,0.426,0.313,375,4.83,2.73,0.04,0.47,0.04,0.53,0.01,0.23,4.74,2.54,0.00,0.06,0.003,0.039,347,0.100,0.991,0.000,0.000,0.009,858122,836256,30,0.484,0.115,0.004,263913,0.142,1.275,0.030,324.73,269211,0,0.097,0.000,0.000,5510119,1.02,21.40,0.000,0.001,0.000,3,4,7,62,7833,0.120,329.03,0.0088,0.007,92,0.785,0.000,0.826,0.841,1.48,0.080,0.343,0.00,0.000,1.02,1.02,1.02
40000,5575,1.638,0.283,8.35,133832,75745,9271,0,48525,127,2182408.0,12.1,0.113,0.147,0.440,0.300,387,4.68,2.77,0.02,0.40,0.03,0.52,0.02,0.41,4.61,2.55,0.00,0.08,0.003,0.038,351,0.106,0.991,0.000,0.000,0.009,850724,831657,31,0.554,0.025,0.004,215527,0.161,1.316,0.032,324.66,260063,0,0.095,0.000,0.000,4953337,1.01,21.61,0.000,0.000,0.001,3,4,7,50,8635,0.132,329.09,0.0085,0.007,97,0.788,0.000,0.827,0.843,1.55,0.096,0.391,0.00,0.001,1.01,1.01,1.01
50000,5269,1.609,0.331,8.14,138505,84617,9142,3,45049,63,2165714.8,6.1,0.089,0.162,0.420,0.329,359,4.44,2.28,0.01,0.15,0.03,0.48,0.02,0.37,4.38,2.14,0.00,0.00,0.003,0.039,297,0.142,0.986,0.000,0.000,0.014,803169,786904,25,0.557,0.054,0.006,263268,0.143,1.446,0.038,321.36,251034,130,0.097,0.333,0.000,5625031,1.01,21.88,0.000,0.000,0.000,3,4,7,33,8226,0.126,332.40,0.0094,0.004,159,0.793,0.000,0.817,0.828,1.56,0.091,0.403,0.00,0.000,1.01,1.01,1.00
60000,5434,1.618,0.320,7.74,137684,85071,9063,1,43384,15,2172665.8,1.8,0.085,0.166,0.415,0.334,400,4.50,2.30,0.02,0.40,0.02,0.22,0.03,0.52,4.44,2.14,0.00,0.00,0.002,0.029,291,0.162,0.991,0.000,0.000,0.009,813100,798533,18,0.698,0.033,0.008,348188,0.114,1.431,0.037,318.61,237466,7,0.118,1.000,0.000,5701950,1.01,21.73,0.000,0.000,0.000,3,4,7,33,8455,0.129,335.15,0.0090,0.014,115,0.788,0.000,0.817,0.831,1.56,0.087,0.406,0.00,0.000,1.01,1.01,1.01
70000,5257,1.617,0.313,7.55,132135,81319,9269,1,41723,10,2253001.8,0.4,0.108,0.164,0.426,0.302,412,4.54,2.19,0.01,0.19,0.01,0.22,0.02,0.46,4.50,2.05,0.00,0.00,0.002,0.029,284,0.204,0.991,0.000,0.000,0.009,840287,825646,16,0.704,0.076,0.007,390636,0.129,1.407,0.036,323.63,232669,12,0.038,1.000,0.000,5433944,1.01,21.68,0.000,0.000,0.000,3,4,7,44,8144,0.124,330.12,0.0095,0.011,82,0.781,0.000,0.821,0.843,1.55,0.081,0.410,0.00,0.000,1.00,1.01,1.01
80000,5081,1.617,0.339,7.53,122809,72343,8980,0,41662,1,2226878.5,0.5,0.100,0.150,0.443,0.306,432,4.47,2.57,0.03,0.47,0.01,0.18,0.01,0.31,4.42,2.45,0.00,0.03,0.001,0.016,285,0.225,0.994,0.000,0.000,0.006,837336,825159,17,0.693,0.040,0.004,275977,0.127,1.473,0.039,319.45,222123,0,0.485,0.000,0.000,4372112,1.01,21.88,0.000,0.000,0.000,3,4,7,64,8316,0.127,334.30,0.0099,0.007,81,0.767,0.000,0.833,0.854,1.64,0.097,0.471,0.00,0.000,1.01,1.01,1.01
90000,5154,1.608,0.352,7.32,121274,74072,8598,0,38531,6,2141873.0,0.9,0.083,0.145,0.431,0.340,443,4.26,2.18,0.01,0.22,0.01,0.25,0.02,0.48,4.22,2.08,0.00,0.00,0.002,0.032,250,0.200,0.994,0.000,0.000,0.006,761505,752431,12,0.759,0.081,0.004,234726,0.141,1.511,0.041,306.29,218870,0,0.142,0.000,0.000,4283963,1.01,22.16,0.000,0.000,0.000,3,4,6,49,8246,0.126,347.47,0.0099,0.011,66,0.751,0.000,0.830,0.841,1.60,0.088,0.441,0.00,0.001,1.00,1.01,1.01
100000,5305,1.621,0.348,7.26,121307,74345,8906,0,37905,9,2138763.2,0.5,0.072,0.163,0.415,0.349,413,4.36,2.41,0.03,0.47,0.01,0.23,0.02,0.34,4.30,2.19,0.00,0.00,0.002,0.027,284,0.189,0.992,0.000,0.000,0.008,774407,765286,10,0.807,0.018,0.007,285593,0.125,1.476,0.040,303.72,224307,0,0.057,0.000,0.000,4649416,1.01,22.19,0.000,0.000,0.000,3,4,6,43,8707,0.133,350.03,0.0094,0.011,90,0.781,0.000,0.823,0.844,1.64,0.149,0.370,0.00,0.000,1.01,1.01,1.01
110000,4896,1.664,0.355,7.22,115528,66828,9401,0,39708,17,2178366.5,0.8,0.079,0.184,0.404,0.333,448,4.64,2.96,0.08,0.71,0.04,0.56,0.03,0.52,4.50,2.55,0.00,0.04,0.003,0.034,294,0.177,0.991,0.000,0.000,0.009,835789,821431,10,0.757,0.000,0.006,303616,0.116,1.492,0.041,308.25,245040,0,0.047,0.000,0.000,5478738,1.04,21.99,0.000,0.000,0.000,3,4,7,59,8420,0.128,345.51,0.0099,0.007,110,0.836,0.000,0.820,0.862,1.72,0.204,0.345,0.00,0.001,1.01,1.06,1.04
120000,4736,1.669,0.345,7.42,113258,64925,9199,0,39294,24,2208697.8,0.7,0.081,0.196,0.397,0.326,444,4.57,2.82,0.03,0.40,0.02,0.47,0.04,0.62,4.48,2.54,0.00,0.00,0.001,0.028,301,0.125,0.993,0.000,0.000,0.007,880418,863035,9,0.700,0.005,0.011,287584,0.131,1.483,0.040,311.58,249325,0,0.029,0.000,0.000,5822841,1.02,22.01,0.000,0.000,0.000,3,4,7,61,7974,0.122,342.17,0.0104,0.004,82,0.851,0.000,0.807,0.872,1.68,0.215,0.302,0.00,0.000,1.01,1.03,1.02
130000,4379,1.721,0.351,7.57,100647,55565,8890,0,36549,66,2208279.2,4.2,0.067,0.214,0.419,0.300,454,4.85,3.43,0.03,0.42,0.06,1.10,0.12,1.41,4.64,2.43,0.00,0.00,0.002,0.038,295,0.133,0.995,0.000,0.000,0.005,868100,849245,10,0.661,0.085,0.019,483521,0.147,1.498,0.041,297.32,252681,0,0.063,0.000,0.000,6188316,1.02,21.78,0.000,0.000,0.000,3,4,7,62,7966,0.122,356.44,0.0109,0.003,71,0.872,0.000,0.802,0.884,1.82,0.239,0.369,0.00,0.000,1.01,1.02,1.02
140000,4638,1.697,0.369,7.65,100718,56841,8306,0,35312,110,2213571.8,12.1,0.076,0.224,0.422,0.279,465,5.01,4.21,0.05,0.53,0.06,0.95,0.07,1.14,4.84,3.39,0.00,0.00,0.002,0.034,339,0.157,0.991,0.000,0.000,0.009,845826,824264,18,0.625,0.074,0.009,589326,0.136,1.535,0.043,295.34,241831,0,0.110,0.000,0.000,6028186,1.02,21.85,0.000,0.000,0.000,3,4,7,64,8985,0.137,358.42,0.0099,0.007,97,0.863,0.000,0.762,0.881,1.94,0.293,0.393,0.00,0.001,1.01,1.03,1.03
150000,4682,1.699,0.379,7.88,109012,63978,8761,0,36229,67,2193793.0,6.5,0.087,0.219,0.400,0.293,410,4.98,4.52,0.07,0.70,0.00,0.11,0.19,2.80,4.72,2.86,0.00,0.00,0.000,0.010,306,0.185,0.990,0.000,0.000,0.010,854944,834509,16,0.612,0.030,0.009,339221,0.115,1.556,0.044,309.53,245007,0,0.098,0.000,0.000,6151187,1.03,21.91,0.002,0.000,0.000,3,4,7,64,9089,0.139,344.22,0.0099,0.003,99,0.877,0.000,0.771,0.873,1.94,0.335,0.345,0.00,0.000,1.03,1.04,1.03
160000,4912,1.702,0.367,7.94,105721,58527,8935,0,38029,96,2191319.0,8.2,0.075,0.250,0.383,0.292,433,4.79,4.06,0.10,0.98,0.08,1.19,0.07,0.89,4.55,2.48,0.00,0.00,0.002,0.028,299,0.198,0.992,0.000,0.000,0.008,844066,823806,16,0.589,0.018,0.008,322447,0.139,1.514,0.043,307.86,242765,0,0.086,0.000,0.000,7014344,1.04,22.13,0.000,0.000,0.000,3,4,7,55,9414,0.144,345.90,0.0098,0.003,83,0.893,0.000,0.755,0.875,1.92,0.330,0.322,0.00,0.000,1.04,1.05,1.04
170000,4858,1.707,0.371,7.98,103394,54844,9327,0,39277,147,2160892.8,11.9,0.099,0.271,0.328,0.302,433,4.66,2.52,0.07,0.68,0.02,0.31,0.02,0.20,4.56,2.31,0.00,0.00,0.002,0.027,353,0.201,0.994,0.000,0.000,0.006,826938,803098,13,0.566,0.035,0.010,274296,0.115,1.529,0.043,304.24,243989,0,0.081,0.000,0.000,7815149,1.03,22.21,0.000,0.000,0.000,3,4,7,43,9400,0.143,349.52,0.0098,0.011,92,0.908,0.000,0.747,0.875,1.93,0.347,0.316,0.00,0.001,1.02,1.04,1.03
180000,4839,1.699,0.402,8.04,105738,56867,8900,0,39990,51,2157331.2,4.9,0.088,0.301,0.327,0.284,423,4.68,3.25,0.08,0.85,0.03,0.48,0.01,0.20,4.56,2.84,0.00,0.03,0.002,0.032,320,0.236,0.993,0.000,0.000,0.007,803796,779794,11,0.437,0.127,0.006,390691,0.118,1.589,0.047,302.64,244176,0,0.096,0.000,0.000,8707586,1.04,22.41,0.000,0.000,0.000,3,4,7,63,10109,0.154,351.11,0.0098,0.014,78,0.912,0.000,0.730,0.869,2.09,0.415,0.357,0.00,0.000,1.03,1.05,1.04
190000,4719,1.672,0.391,8.23,108161,55465,8546,0,44270,31,2163231.2,2.8,0.094,0.327,0.294,0.285,433,4.59,2.62,0.10,1.14,0.03,0.46,0.01,0.12,4.46,2.20,0.00,0.00,0.002,0.036,310,0.235,0.994,0.000,0.000,0.006,802410,777713,10,0.434,0.143,0.005,204366,0.119,1.564,0.046,301.97,237595,0,0.089,0.000,0.000,9345759,1.04,22.42,0.000,0.000,0.000,3,4,7,46,9551,0.146,351.78,0.0103,0.013,62,0.918,0.000,0.724,0.865,2.02,0.383,0.339,0.00,0.000,1.04,1.05,1.04
200000,4896,1.659,0.394,8.06,110996,54703,9232,1,46883,49,2169011.0,6.3,0.087,0.334,0.267,0.312,399,4.42,2.52,0.06,0.70,0.03,0.41,0.00,0.23,4.33,2.26,0.00,0.00,0.002,0.032,306,0.236,0.992,0.000,0.000,0.008,810921,788739,12,0.364,0.081,0.001,222255,0.148,1.581,0.046,305.37,236871,683,0.129,0.000,0.000,9687402,1.03,22.60,0.000,0.000,0.000,3,4,6,43,9800,0.150,348.38,0.0102,0.005,83,0.921,0.000,0.730,0.863,2.00,0.365,0.334,0.00,0.002,1.02,1.03,1.02
210000,4871,1.678,0.396,8.02,117202,57806,9358,0,50063,79,2148574.5,7.9,0.074,0.354,0.257,0.315,429,4.58,2.97,0.11,1.24,0.04,0.54,0.01,0.17,4.43,2.48,0.00,0.00,0.004,0.047,315,0.230,0.994,0.000,0.000,0.006,801651,782139,16,0.215,0.264,0.003,64665,0.130,1.583,0.046,304.11,231417,0,0.099,0.000,0.000,10675089,1.04,22.39,0.000,0.000,0.000,3,4,7,44,9710,0.148,349.65,0.0100,0.004,84,0.925,0.000,0.745,0.854,1.99,0.355,0.340,0.00,0.001,1.04,1.05,1.04
220000,4521,1.654,0.393,8.52,115708,56825,8958,0,50275,154,2159933.8,11.5,0.074,0.362,0.265,0.298,433,4.66,2.89,0.09,0.98,0.04,0.50,0.01,0.30,4.52,2.55,0.00,0.00,0.003,0.042,306,0.268,0.993,0.000,0.000,0.007,818478,798087,18,0.336,0.056,0.002,103351,0.121,1.578,0.046,301.06,239464,0,0.075,0.000,0.000,10692058,1.04,22.28,0.000,0.000,0.000,3,4,6,56,9635,0.147,352.70,0.0106,0.002,106,0.930,0.000,0.746,0.859,2.13,0.399,0.388,0.00,0.000,1.04,1.05,1.04
230000,4722,1.655,0.410,8.68,113356,54246,8769,0,50140,108,2148025.0,11.2,0.069,0.362,0.270,0.299,437,4.44,2.72,0.11,1.19,0.04,0.60,0.00,0.14,4.28,2.06,0.00,0.00,0.004,0.042,304,0.251,0.994,0.001,0.000,0.005,792288,771805,13,0.331,0.175,0.001,116114,0.108,1.626,0.048,295.32,229513,0,0.104,0.000,0.000,10771760,1.05,22.45,0.000,0.000,0.000,2,4,6,48,9826,0.150,358.43,0.0106,0.003,83,0.922,0.000,0.752,0.857,2.08,0.373,0.379,0.00,0.001,1.05,1.06,1.04
240000,5030,1.669,0.371,8.76,112738,55944,9269,4,47213,123,2160991.0,15.6,0.077,0.398,0.217,0.308,418,4.59,3.08,0.06,0.66,0.04,0.63,0.01,0.21,4.48,2.83,0.00,0.00,0.003,0.041,336,0.223,0.994,0.000,0.000,0.006,794335,770079,16,0.448,0.010,0.002,100044,0.148,1.527,0.043,304.90,240384,20,0.127,0.750,0.000,12489760,1.03,22.30,0.000,0.000,0.000,3,4,7,48,9964,0.152,348.85,0.0096,0.008,62,0.933,0.000,0.761,0.858,1.98,0.334,0.358,0.00,0.000,1.03,1.03,1.03
250000,4928,1.692,0.371,9.06,118001,59967,9152,3,48981,99,2212348.8,13.9,0.068,0.415,0.199,0.318,392,4.93,4.52,0.11,0.92,0.06,0.77,0.02,0.36,4.74,4.12,0.00,0.07,0.004,0.048,365,0.216,0.991,0.000,0.000,0.009,802069,774464,16,0.425,0.069,0.008,118698,0.130,1.525,0.043,309.66,244196,288,0.141,0.333,0.000,13023434,1.04,22.22,0.002,0.000,0.000,3,4,8,64,9559,0.146,344.10,0.0095,0.008,93,0.935,0.000,0.782,0.853,1.94,0.325,0.341,0.00,0.001,1.05,1.03,1.03
260000,4638,1.693,0.402,8.81,115328,59989,8383,1,47245,77,2209810.8,10.8,0.059,0.404,0.180,0.356,430,4.84,5.35,0.06,0.94,0.05,0.77,0.00,0.25,4.72,5.10,0.00,0.04,0.004,0.047,293,0.209,0.990,0.000,0.000,0.010,791250,768255,17,0.442,0.012,0.001,194951,0.124,1.610,0.048,299.69,239412,1499,0.140,0.000,0.000,11739760,1.02,22.32,0.003,0.000,0.000,3,4,7,64,8899,0.136,354.07,0.0101,0.009,90,0.936,0.000,0.783,0.854,1.92,0.304,0.340,0.00,0.002,1.02,1.02,1.03
