step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,1505,1.769,0.570,7.16,45025,27920,1450,1,15619,5069,1337374.0,355.2,0.135,0.424,0.292,0.148,906,5.61,3.87,0.05,0.70,0.05,0.49,0.01,0.13,5.50,3.47,0.00,0.06,0.004,0.037,168,0.115,0.999,0.000,0.000,0.001,308925,299345,7,0.585,0.102,0.004,813495,0.169,1.890,0.066,123.07,77483,652,0.070,0.000,0.000,3795587,1.01,21.70,0.001,0.000,0.004,3,4,9,64,3123,0.191,40.13,0.0161,0.039,33,0.916,0.000,0.665,0.855,2.08,0.429,0.377,0.00,0.004,1.02,1.01,1.01
20000,1523,1.733,0.582,7.36,46935,20201,2514,4,24198,63,1123930.8,8.2,0.120,0.430,0.250,0.201,794,5.10,2.91,0.00,0.06,0.02,0.48,0.01,0.11,5.07,2.80,0.00,0.00,0.001,0.019,149,0.121,0.997,0.000,0.000,0.003,341428,333333,5,0.598,0.247,0.003,28293,0.203,1.912,0.069,112.25,82207,370,0.129,0.250,0.000,3822963,1.00,22.26,0.000,0.000,0.000,3,4,8,34,3242,0.198,50.95,0.0145,0.003,28,0.914,0.000,0.756,0.863,2.13,0.418,0.377,0.00,0.000,1.00,1.00,1.00
30000,1431,1.750,0.616,7.35,43405,18659,2671,2,22165,57,1079330.9,14.6,0.213,0.370,0.266,0.151,874,5.48,4.07,0.01,0.19,0.09,1.38,0.00,0.13,5.38,3.63,0.00,0.00,0.003,0.042,142,0.134,0.999,0.000,0.000,0.001,334909,330558,7,0.455,0.010,0.001,25391,0.104,1.991,0.074,106.89,77400,172,0.255,0.500,0.000,2863812,1.00,22.02,0.000,0.000,0.000,3,4,9,49,2974,0.182,56.31,0.0140,0.001,22,0.894,0.000,0.809,0.871,2.08,0.416,0.369,0.00,0.000,1.00,1.00,1.01
40000,1563,1.758,0.512,7.64,44319,16147,2833,0,25207,8,1129016.9,0.5,0.249,0.365,0.278,0.108,791,5.42,2.96,0.01,0.16,0.03,0.47,0.02,0.29,5.37,2.89,0.00,0.00,0.002,0.035,159,0.143,0.998,0.000,0.000,0.002,351910,345348,8,0.338,0.128,0.010,51903,0.153,1.802,0.061,110.88,85239,0,0.059,0.000,0.000,3174665,1.00,21.92,0.000,0.000,0.000,3,5,9,31,3099,0.189,52.32,0.0135,0.001,30,0.917,0.000,0.853,0.874,1.98,0.375,0.321,0.00,0.000,1.00,1.00,1.00
50000,1583,1.789,0.587,7.40,43219,16104,3007,5,24083,48,1136206.4,16.2,0.236,0.333,0.272,0.159,759,5.55,2.84,0.02,0.48,0.03,0.73,0.06,0.40,5.45,2.62,0.00,0.00,0.001,0.028,148,0.206,0.999,0.000,0.000,0.001,349422,341581,10,0.431,0.047,0.032,244942,0.102,1.927,0.070,113.25,83024,379,0.338,0.000,0.000,2903653,1.01,21.82,0.000,0.000,0.000,3,4,9,30,3184,0.194,49.95,0.0132,0.002,12,0.909,0.000,0.846,0.877,2.01,0.419,0.310,0.00,0.000,1.01,1.01,1.01
60000,1541,1.723,0.581,7.60,45123,16520,3085,0,25560,20,1159714.8,4.5,0.224,0.346,0.298,0.132,759,5.19,3.26,0.04,1.06,0.05,0.90,0.02,0.44,5.08,2.60,0.00,0.00,0.002,0.034,140,0.212,0.997,0.000,0.000,0.003,363979,358000,9,0.393,0.045,0.006,381439,0.153,1.918,0.070,116.39,86644,0,0.226,0.000,0.000,3051301,1.01,22.28,0.000,0.000,0.000,3,4,9,51,3118,0.190,46.81,0.0148,0.004,19,0.908,0.000,0.844,0.876,2.02,0.396,0.327,0.00,0.000,1.02,1.01,1.01
70000,1599,1.722,0.573,7.54,45863,14967,3275,62,27501,331,1121154.1,97.6,0.185,0.317,0.301,0.197,799,5.09,3.24,0.03,0.53,0.07,1.71,0.05,0.54,4.94,2.52,0.00,0.00,0.003,0.040,115,0.231,0.999,0.000,0.000,0.001,344536,338192,9,0.296,0.020,0.009,121159,0.113,1.900,0.068,111.16,78787,73,0.295,0.887,0.000,2715428,1.01,22.40,0.001,0.000,0.000,3,4,9,64,3263,0.199,52.04,0.0142,0.003,15,0.912,0.000,0.853,0.867,2.04,0.389,0.337,0.00,0.001,1.01,1.01,1.01
80000,1484,1.720,0.641,7.38,43419,15769,2910,2,24853,36,1117531.2,8.5,0.191,0.302,0.286,0.221,796,5.35,4.88,0.08,1.55,0.20,2.26,0.00,0.08,5.07,3.32,0.00,0.00,0.008,0.066,129,0.265,0.999,0.000,0.000,0.001,346406,341680,9,0.305,0.000,0.001,48651,0.185,2.013,0.077,110.85,79124,268,0.236,0.000,0.000,2460111,1.02,22.25,0.001,0.000,0.000,3,4,9,64,3360,0.205,52.35,0.0148,0.009,17,0.900,0.000,0.831,0.875,2.26,0.472,0.410,0.00,0.001,1.02,1.02,1.02
90000,1507,1.696,0.627,7.32,44530,15775,3088,3,25641,36,1140349.4,9.2,0.200,0.331,0.274,0.195,759,4.74,3.25,0.02,0.61,0.09,1.39,0.01,0.49,4.61,2.42,0.00,0.05,0.004,0.048,96,0.276,0.997,0.001,0.000,0.002,356314,350926,10,0.228,0.023,0.001,21493,0.099,1.950,0.073,113.71,83155,1488,0.257,0.000,0.000,2718827,1.01,22.79,0.001,0.003,0.001,3,4,9,64,3219,0.196,49.49,0.0164,0.010,10,0.912,0.000,0.841,0.875,2.14,0.462,0.346,0.00,0.001,1.01,1.01,1.01
100000,1448,1.678,0.660,6.94,41510,14238,3184,1,24146,31,1059410.2,3.9,0.174,0.347,0.291,0.188,834,4.61,3.50,0.03,0.69,0.16,1.80,0.00,0.09,4.42,2.25,0.00,0.00,0.008,0.064,96,0.345,0.999,0.000,0.000,0.001,323332,320642,9,0.390,0.000,0.002,11656,0.129,2.037,0.079,105.71,72348,265,0.125,0.000,0.000,2809691,1.01,23.01,0.000,0.000,0.000,3,4,6,56,3412,0.208,57.49,0.0166,0.003,14,0.918,0.000,0.831,0.872,2.36,0.520,0.425,0.00,0.001,1.01,1.01,1.01
110000,1462,1.715,0.642,6.95,36186,14840,2323,0,19009,32,948141.4,5.1,0.200,0.375,0.273,0.152,1032,4.88,3.95,0.03,0.69,0.18,1.86,0.01,0.19,4.66,2.75,0.00,0.00,0.009,0.059,117,0.326,0.998,0.001,0.000,0.001,286752,284752,7,0.337,0.000,0.002,81502,0.102,1.994,0.076,95.45,62739,0,0.160,0.000,0.000,2464594,1.01,22.83,0.000,0.001,0.000,3,4,6,52,3405,0.208,67.75,0.0139,0.004,16,0.894,0.000,0.707,0.874,2.33,0.511,0.418,0.00,0.000,1.01,1.01,1.01
120000,1559,1.672,0.654,7.01,38742,14505,3096,1,21043,9,1029513.6,0.6,0.153,0.352,0.333,0.162,922,4.23,2.79,0.03,0.77,0.09,1.48,0.00,0.15,4.10,1.76,0.00,0.00,0.005,0.047,91,0.298,0.999,0.000,0.000,0.001,303849,301458,6,0.350,0.000,0.001,14581,0.084,2.058,0.079,102.81,67818,997,0.071,0.000,0.000,2845379,1.01,23.34,0.000,0.000,0.000,3,4,5,54,3283,0.200,60.39,0.0161,0.004,14,0.907,0.000,0.785,0.873,2.11,0.425,0.352,0.00,0.000,1.01,1.01,1.01
130000,1392,1.697,0.641,6.94,35445,13743,2870,3,18996,32,962150.3,0.7,0.130,0.405,0.341,0.125,950,4.39,2.18,0.03,0.51,0.04,0.38,0.00,0.05,4.32,1.92,0.00,0.00,0.006,0.050,98,0.287,0.999,0.000,0.000,0.001,283347,281073,4,0.632,0.039,0.001,20447,0.154,2.022,0.077,96.33,66310,1781,0.023,0.000,0.000,3096674,1.01,23.08,0.000,0.000,0.000,3,4,6,41,3080,0.188,66.87,0.0160,0.002,7,0.925,0.000,0.766,0.875,2.21,0.445,0.395,0.00,0.000,1.02,1.01,1.01
140000,1511,1.684,0.611,6.82,37446,14467,2655,4,20201,39,1006628.4,8.4,0.096,0.444,0.327,0.133,865,4.38,2.60,0.01,0.25,0.02,0.27,0.03,0.61,4.32,2.27,0.00,0.00,0.003,0.030,105,0.280,0.999,0.000,0.000,0.001,296370,293695,6,0.425,0.000,0.003,48057,0.147,1.964,0.072,99.23,72321,953,0.216,0.250,0.000,3763679,1.00,22.77,0.000,0.000,0.000,3,4,7,48,3304,0.202,63.97,0.0154,0.007,10,0.928,0.000,0.752,0.874,2.19,0.442,0.392,0.00,0.001,1.00,1.00,1.00
150000,1544,1.694,0.682,6.71,40128,16671,2889,71,20464,402,1031167.2,134.1,0.071,0.471,0.327,0.130,879,4.55,2.83,0.04,0.80,0.03,0.60,0.00,0.11,4.48,2.31,0.00,0.10,0.002,0.025,113,0.295,0.995,0.001,0.000,0.004,291852,288210,5,0.493,0.056,0.001,37212,0.133,2.085,0.082,102.01,69647,410,0.333,0.620,0.000,4369379,1.01,22.68,0.001,0.000,0.001,3,4,7,64,3349,0.204,61.19,0.0149,0.009,21,0.930,0.000,0.763,0.863,2.17,0.420,0.390,0.00,0.001,1.02,1.01,1.02
160000,1570,1.677,0.680,6.71,40420,16302,2809,5,21278,41,1022262.3,14.9,0.067,0.465,0.344,0.123,926,4.29,2.55,0.02,0.44,0.01,0.30,0.01,0.16,4.25,2.36,0.00,0.00,0.001,0.024,86,0.303,0.997,0.000,0.000,0.003,286792,284336,5,0.568,0.000,0.004,41993,0.215,2.072,0.082,101.10,65372,559,0.364,0.200,0.000,4336482,1.01,23.05,0.000,0.000,0.000,2,4,7,50,3310,0.202,62.10,0.0153,0.017,14,0.930,0.000,0.789,0.859,2.11,0.408,0.371,0.00,0.000,1.01,1.00,1.01
170000,1740,1.702,0.581,6.61,42209,15786,3122,3,23128,17,1122104.9,2.4,0.089,0.450,0.361,0.099,879,4.70,2.84,0.02,0.72,0.01,0.26,0.02,0.45,4.66,2.70,0.00,0.00,0.001,0.027,114,0.235,0.998,0.000,0.000,0.002,329348,327062,4,0.618,0.000,0.003,47950,0.092,1.890,0.069,111.40,73617,796,0.144,0.333,0.000,4623762,1.01,22.77,0.000,0.000,0.000,2,4,7,36,3339,0.204,51.80,0.0139,0.009,14,0.934,0.000,0.816,0.872,1.92,0.349,0.297,0.00,0.000,1.01,1.00,1.01
