step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,1234,1.761,0.217,6.80,39597,33413,975,36,5493,14383,1055897.6,1350.3,0.127,0.298,0.253,0.322,1470,8.02,10.12,0.27,2.50,0.11,0.98,0.21,2.00,7.43,7.91,0.00,0.00,0.006,0.050,158,0.223,0.993,0.001,0.000,0.006,163821,157508,9,0.581,0.156,0.021,874576,0.176,1.169,0.024,91.41,45829,202,0.094,0.528,0.000,2222157,1.04,18.48,0.019,0.000,0.000,3,7,10,64,2008,0.123,72.03,0.0115,0.004,28,0.834,0.000,0.692,0.763,1.63,0.493,0.100,0.02,0.006,1.03,1.03,1.05
20000,1296,1.701,0.204,6.38,37992,23466,2025,1,12438,377,877202.3,25.3,0.112,0.250,0.259,0.379,1210,6.32,5.00,0.05,0.53,0.11,1.21,0.02,0.22,6.14,3.96,0.00,0.03,0.003,0.028,99,0.200,0.988,0.003,0.000,0.009,205483,199942,4,0.753,0.002,0.012,186095,0.125,1.087,0.022,86.89,53457,829,0.067,0.000,0.000,1976338,1.01,19.35,0.000,0.002,0.001,3,6,9,47,2022,0.123,76.55,0.0110,0.000,19,0.815,0.000,0.797,0.817,1.56,0.489,0.036,0.04,0.011,1.01,1.01,1.01
30000,1286,1.684,0.305,6.50,38766,22732,2094,0,13950,193,847944.9,12.9,0.143,0.231,0.259,0.367,1172,5.33,3.85,0.02,0.40,0.02,0.28,0.04,0.55,5.25,3.64,0.00,0.00,0.001,0.020,118,0.234,0.988,0.000,0.000,0.012,215833,210177,3,0.771,0.033,0.011,200467,0.106,1.331,0.033,84.30,55091,0,0.067,0.000,0.000,1796383,1.01,21.01,0.000,0.000,0.000,3,4,8,52,2314,0.141,79.14,0.0125,0.000,35,0.846,0.000,0.796,0.821,1.80,0.558,0.125,0.00,0.000,1.00,1.01,1.01
40000,1186,1.692,0.382,7.12,40611,24918,1936,0,13857,16,806393.1,1.3,0.126,0.202,0.268,0.405,1093,5.44,3.20,0.01,0.15,0.05,0.87,0.01,0.13,5.38,3.08,0.00,0.00,0.002,0.039,112,0.214,0.984,0.000,0.000,0.016,207588,204574,9,0.418,0.033,0.002,74230,0.116,1.541,0.043,79.87,58504,0,0.083,0.000,0.000,1434413,1.00,21.48,0.000,0.000,0.000,3,4,10,35,2469,0.151,83.57,0.0126,0.000,49,0.861,0.000,0.798,0.806,2.08,0.462,0.319,0.00,0.000,1.00,1.00,1.00
50000,1265,1.671,0.373,7.03,40152,25235,1989,0,12849,24,796762.6,1.2,0.095,0.313,0.279,0.313,1025,4.94,2.70,0.01,0.29,0.03,0.34,0.03,0.56,4.86,2.55,0.00,0.00,0.004,0.042,91,0.264,0.979,0.000,0.000,0.021,213207,208698,5,0.377,0.000,0.004,48329,0.212,1.513,0.042,78.75,59768,0,0.052,0.000,0.000,2351843,1.01,22.00,0.000,0.000,0.000,3,4,8,23,2591,0.158,84.69,0.0130,0.000,51,0.900,0.000,0.771,0.813,2.05,0.388,0.349,0.00,0.000,1.01,1.01,1.01
60000,1228,1.701,0.334,7.37,38567,23694,1737,0,13173,20,767346.9,0.3,0.081,0.332,0.320,0.267,1077,5.37,3.47,0.03,0.33,0.02,0.22,0.04,0.75,5.28,3.22,0.00,0.00,0.003,0.038,104,0.296,0.988,0.000,0.000,0.012,212133,209140,5,0.634,0.000,0.004,51728,0.161,1.385,0.037,76.10,57030,0,0.014,0.000,0.000,2534072,1.02,21.69,0.000,0.000,0.000,3,4,9,53,2567,0.157,87.34,0.0118,0.000,47,0.914,0.000,0.640,0.819,2.09,0.380,0.374,0.00,0.000,1.01,1.02,1.02
70000,1297,1.678,0.329,7.16,40764,24720,2130,0,13845,4,828604.4,0.5,0.092,0.302,0.302,0.303,941,5.06,2.93,0.03,0.35,0.03,0.44,0.04,0.71,4.97,2.68,0.00,0.00,0.002,0.028,95,0.277,0.976,0.000,0.000,0.024,233005,229384,5,0.455,0.026,0.010,36209,0.170,1.420,0.037,82.65,66025,0,0.120,0.000,0.000,2424285,1.02,21.91,0.000,0.000,0.000,3,4,8,57,2639,0.161,80.79,0.0129,0.000,52,0.905,0.000,0.719,0.826,2.03,0.382,0.342,0.00,0.000,1.01,1.02,1.02
80000,1278,1.675,0.405,7.29,39985,24990,2102,5,12907,69,797265.2,1.5,0.073,0.263,0.318,0.347,1008,4.70,3.18,0.03,0.41,0.01,0.15,0.05,0.46,4.61,3.14,0.00,0.00,0.001,0.031,100,0.284,0.978,0.000,0.000,0.022,225767,222773,5,0.451,0.000,0.013,217244,0.105,1.603,0.047,79.49,62123,302,0.022,0.800,0.000,1866350,1.03,22.60,0.000,0.000,0.000,3,4,8,46,2627,0.160,83.94,0.0135,0.000,53,0.875,0.000,0.736,0.824,2.06,0.384,0.351,0.00,0.000,1.03,1.04,1.02
90000,1268,1.690,0.337,7.05,36938,23053,2276,5,11614,73,804481.7,6.3,0.067,0.266,0.334,0.332,998,5.26,5.07,0.01,0.25,0.07,0.77,0.08,0.71,5.10,4.46,0.00,0.00,0.004,0.050,86,0.290,0.989,0.000,0.000,0.011,223254,217991,6,0.384,0.028,0.017,77887,0.095,1.441,0.038,79.95,61509,156,0.087,0.200,0.000,1853422,1.01,21.85,0.000,0.000,0.000,3,4,7,55,2619,0.160,83.49,0.0124,0.000,39,0.880,0.000,0.779,0.835,2.07,0.411,0.338,0.00,0.000,1.01,1.01,1.01
100000,1139,1.673,0.404,7.01,34031,21037,2151,1,10971,10,790173.3,0.0,0.052,0.256,0.354,0.339,1020,4.85,2.83,0.04,0.53,0.02,0.24,0.06,1.21,4.74,2.44,0.00,0.06,0.002,0.029,92,0.314,0.987,0.000,0.000,0.013,221574,216984,5,0.442,0.072,0.006,55466,0.102,1.576,0.046,78.95,59109,10,0.000,1.000,0.000,1653806,1.02,22.09,0.000,0.000,0.001,3,4,7,42,2489,0.152,84.49,0.0146,0.000,32,0.879,0.000,0.755,0.847,2.19,0.414,0.417,0.00,0.002,1.02,1.01,1.02
