step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,1051,7.25,0.30,0.01,0.00,6.94,0.00,1.14,0.000,0.412,756641.1,137.2,8,10,1.86,1.10,1.15
10000,1,52,20.50,0.37,0.00,1.38,18.75,0.00,1.07,0.000,0.937,109733.8,0.0,3,11,1.71,1.04,1.11
10000,0,22,23.27,1.32,0.00,2.86,19.09,0.00,1.28,0.000,0.004,92561.7,298.3,4,11,2.32,1.11,1.45
20000,8,1315,4.41,0.05,0.01,0.02,4.34,0.00,1.02,0.000,0.431,726015.7,1.3,11,2,1.56,1.02,1.02
20000,1,32,24.41,0.03,0.41,11.38,12.59,0.00,1.01,0.000,0.867,104586.4,0.0,2,4,2.66,1.00,1.02
20000,0,23,20.52,0.00,0.43,8.39,11.70,0.00,1.00,0.000,0.005,1805.2,0.0,2,15,2.48,1.00,1.00
30000,8,1358,4.28,0.05,0.00,0.01,4.22,0.00,1.02,0.000,0.412,739675.3,0.0,7,0,1.46,1.02,1.03
30000,1,44,14.89,0.00,1.50,0.00,13.39,0.00,1.00,0.000,0.816,86074.0,0.0,1,0,1.82,1.00,1.00
30000,0,25,21.12,0.08,0.32,1.64,19.08,0.00,1.05,0.000,0.005,2994.7,0.5,1,11,2.44,1.00,1.10
40000,8,1272,4.49,0.06,0.01,0.01,4.41,0.00,1.02,0.000,0.443,731779.3,0.1,4,0,1.57,1.00,1.02
40000,1,37,21.27,0.59,0.00,0.46,20.22,0.00,1.13,0.000,0.816,92012.4,0.0,1,0,2.16,1.00,1.17
40000,0,27,17.04,0.52,0.00,0.00,16.52,0.00,1.13,0.000,0.004,2969.8,0.5,2,14,1.96,1.00,1.26
50000,8,1352,4.35,0.06,0.06,0.02,4.21,0.00,1.02,0.000,0.426,733235.9,0.2,4,22,1.47,1.00,1.02
50000,1,52,7.81,0.00,0.04,0.00,7.77,0.00,1.00,0.000,0.902,97598.4,0.0,3,35,1.42,1.00,1.00
50000,0,12,5.33,0.00,0.00,0.00,5.33,0.00,1.00,0.000,0.002,1333.1,0.0,1,12,2.00,1.00,1.00
60000,8,1345,4.10,0.04,0.00,0.00,4.05,0.00,1.01,0.000,0.417,748330.4,1.0,3,5,1.47,1.01,1.02
60000,1,52,6.10,0.04,0.13,0.23,5.69,0.00,1.00,0.000,0.976,50133.4,0.0,2,35,1.58,1.00,1.00
60000,0,18,5.39,0.00,0.00,0.22,5.17,0.00,1.00,0.000,0.003,1467.5,0.0,1,15,2.06,1.00,1.00
70000,8,1290,4.08,0.06,0.00,0.00,4.02,0.00,1.02,0.000,0.426,752125.1,1.8,3,7,1.56,1.01,1.03
70000,1,48,3.83,0.02,0.00,0.00,3.81,0.00,1.01,0.000,0.885,43201.2,0.0,1,19,1.60,1.00,1.01
70000,0,17,3.59,0.00,0.00,0.00,3.59,0.00,1.00,0.000,0.002,2298.3,0.0,1,17,1.65,1.00,1.00
80000,8,1302,4.43,0.08,0.00,0.04,4.31,0.00,1.03,0.000,0.418,748223.2,1.1,3,15,1.52,1.02,1.04
80000,1,43,4.12,0.12,0.00,0.00,4.00,0.00,1.05,0.000,0.822,36107.4,0.0,1,20,1.72,1.00,1.07
80000,0,15,3.73,0.00,0.00,0.00,3.73,0.00,1.00,0.000,0.002,2891.8,0.0,1,14,1.80,1.00,1.00
90000,8,1318,4.38,0.04,0.00,0.00,4.33,0.00,1.02,0.000,0.418,727772.6,0.4,2,5,1.51,1.01,1.02
90000,1,55,5.20,0.00,0.00,0.02,5.18,0.00,1.00,0.000,0.856,48980.5,0.0,1,14,1.51,1.00,1.00
90000,0,28,5.93,0.18,0.00,0.00,5.75,0.00,1.06,0.000,0.004,2401.0,0.0,1,16,1.68,1.00,1.12
100000,8,1340,4.09,0.04,0.01,0.02,4.02,0.00,1.02,0.000,0.406,750126.7,0.2,3,0,1.45,1.01,1.02
100000,1,64,6.64,0.70,0.00,0.00,5.94,0.00,1.17,0.000,0.969,57291.2,0.0,2,0,1.48,1.11,1.22
100000,0,37,5.57,0.38,0.03,0.00,5.16,0.00,1.12,0.000,0.005,2064.4,0.0,2,22,1.70,1.00,1.27
110000,8,1360,4.09,0.04,0.00,0.01,4.04,0.00,1.01,0.000,0.413,737230.3,0.4,6,4,1.45,1.00,1.02
110000,1,88,4.51,0.00,0.00,0.02,4.49,0.00,1.00,0.000,0.980,69541.9,0.0,3,6,1.09,1.00,1.00
110000,0,26,4.73,0.19,0.15,0.04,4.35,0.00,1.08,0.000,0.004,3085.7,0.0,3,17,1.58,1.08,1.08
120000,8,1311,4.37,0.04,0.01,0.02,4.31,0.00,1.02,0.000,0.419,756943.2,0.0,6,0,1.51,1.01,1.03
120000,1,54,6.80,0.11,0.00,0.00,6.69,0.00,1.04,0.000,0.806,59924.3,0.0,2,0,1.46,1.01,1.08
120000,0,35,10.83,0.20,0.00,0.09,10.54,0.00,1.06,0.000,0.006,4266.5,0.0,2,14,1.83,1.00,1.09
130000,8,1352,4.25,0.04,0.01,0.02,4.18,0.00,1.02,0.000,0.445,739145.2,0.6,3,1,1.42,1.01,1.03
130000,1,56,5.45,0.04,0.00,0.00,5.41,0.00,1.05,0.000,0.796,53464.0,0.4,1,1,1.39,1.04,1.04
130000,0,35,6.77,1.00,0.03,0.00,5.74,0.03,1.28,0.029,0.005,4419.8,0.0,1,11,1.54,1.06,1.36
140000,8,1333,4.44,0.11,0.00,0.01,4.32,0.00,1.04,0.000,0.476,734929.3,1.2,2,6,1.49,1.02,1.05
140000,1,57,7.46,0.16,0.00,0.07,7.23,0.00,1.09,0.000,0.935,65699.0,5.6,2,13,1.51,1.07,1.11
140000,0,23,6.52,0.13,0.00,0.00,6.39,0.00,1.05,0.000,0.003,3086.3,0.7,2,14,1.52,1.00,1.09
150000,8,1365,4.39,0.06,0.00,0.01,4.32,0.00,1.02,0.000,0.443,760791.3,0.4,4,3,1.43,1.01,1.03
150000,1,73,5.25,0.04,0.00,0.00,5.21,0.00,1.01,0.000,0.990,61616.1,0.0,2,8,1.33,1.00,1.01
150000,0,20,6.00,0.15,1.35,0.15,4.35,0.00,1.08,0.000,0.003,1875.0,0.0,2,9,1.65,1.00,1.20
160000,8,1350,4.24,0.08,0.01,0.03,4.12,0.00,1.03,0.000,0.428,753346.5,1.0,5,0,1.43,1.01,1.03
160000,1,41,6.88,0.05,0.00,0.00,6.83,0.00,1.03,0.000,0.755,61040.7,4.2,2,0,1.80,1.00,1.06
160000,0,36,7.58,0.19,0.00,0.00,7.39,0.00,1.12,0.000,0.006,4205.7,0.0,3,18,2.03,1.26,1.26
170000,8,1345,4.09,0.02,0.00,0.01,4.05,0.00,1.01,0.000,0.484,759948.6,0.2,5,0,1.38,1.00,1.01
170000,1,58,11.93,0.19,0.00,0.00,11.74,0.00,1.06,0.000,0.949,71477.8,0.0,2,0,1.60,1.06,1.06
170000,0,29,10.86,0.28,0.24,0.00,10.34,0.00,1.08,0.000,0.004,3688.2,0.0,3,8,1.59,1.06,1.09
180000,8,1165,4.32,0.04,0.02,0.01,4.24,0.00,1.02,0.000,0.471,709554.9,0.2,4,0,1.35,1.01,1.02
180000,1,67,6.30,0.16,0.01,0.00,6.12,0.00,1.07,0.000,0.776,76721.3,0.0,2,0,1.13,1.06,1.07
180000,0,38,6.55,1.26,0.00,0.00,5.29,0.00,1.37,0.000,0.003,2831.3,0.4,3,23,1.11,1.24,1.43
190000,8,1342,4.12,0.04,0.01,0.03,4.04,0.00,1.02,0.000,0.457,738023.8,0.3,5,7,1.47,1.01,1.02
190000,1,44,5.55,0.00,0.00,0.00,5.55,0.00,1.00,0.000,0.812,64409.6,0.0,2,23,1.48,1.00,1.00
190000,0,9,3.89,0.22,0.00,0.00,3.67,0.00,1.14,0.000,0.002,2434.4,0.0,1,9,2.00,1.00,1.28
200000,8,1304,4.21,0.02,0.01,0.02,4.16,0.00,1.01,0.000,0.398,715185.4,2.7,2,19,1.45,1.01,1.01
200000,1,55,3.53,0.00,0.00,0.00,3.53,0.00,1.00,0.000,1.000,44773.2,0.0,1,42,1.16,1.00,1.00
