step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,1325,1.811,0.273,8.07,44933,36133,1233,10,7786,7219,1169951.9,601.1,0.153,0.446,0.203,0.197,1073,8.03,8.82,0.06,0.67,0.17,1.25,0.30,2.32,7.49,6.28,0.00,0.05,0.006,0.048,184,0.103,0.995,0.002,0.000,0.004,222808,214183,8,0.343,0.276,0.023,796409,0.127,1.281,0.030,104.60,58786,276,0.083,0.700,0.000,3824900,1.01,18.41,0.017,0.003,0.001,4,6,11,64,2142,0.131,58.72,0.0118,0.014,27,0.890,0.000,0.726,0.801,1.62,0.544,0.050,0.00,0.001,1.01,1.01,1.01
20000,1369,1.716,0.275,9.05,42208,28717,2052,1,11394,127,989853.9,16.7,0.048,0.475,0.355,0.122,864,6.45,4.22,0.01,0.20,0.07,0.93,0.01,0.12,6.36,3.96,0.00,0.14,0.003,0.041,184,0.112,0.995,0.000,0.000,0.005,246465,236657,10,0.278,0.011,0.002,204337,0.148,1.261,0.029,98.74,67248,325,0.132,0.000,0.000,4445571,1.00,18.89,0.000,0.001,0.001,3,6,10,57,2255,0.138,64.58,0.0114,0.003,24,0.902,0.000,0.800,0.830,1.65,0.514,0.131,0.00,0.001,1.00,1.01,1.00
30000,1318,1.766,0.274,10.18,40208,26299,2050,7,11903,106,963958.1,21.4,0.039,0.441,0.442,0.078,675,6.47,3.77,0.00,0.08,0.06,0.57,0.01,0.20,6.39,3.69,0.00,0.00,0.006,0.057,185,0.128,0.992,0.000,0.000,0.008,247894,241705,10,0.457,0.000,0.005,70324,0.141,1.300,0.030,95.86,80968,395,0.202,0.143,0.000,4160212,1.00,18.58,0.000,0.000,0.000,3,6,11,42,2330,0.142,67.46,0.0114,0.002,36,0.899,0.000,0.803,0.838,1.77,0.562,0.201,0.00,0.000,1.00,1.00,1.00
40000,1346,1.719,0.325,12.15,41031,26216,2085,0,12702,74,967107.1,7.5,0.030,0.362,0.568,0.040,525,6.17,4.30,0.00,0.03,0.11,0.80,0.06,0.44,6.00,4.09,0.00,0.00,0.012,0.078,213,0.077,0.995,0.000,0.000,0.005,258427,253698,5,0.672,0.158,0.042,206314,0.078,1.446,0.037,95.95,97577,0,0.102,0.000,0.000,3414032,1.00,18.79,0.000,0.000,0.000,3,5,10,49,2396,0.146,67.36,0.0120,0.002,35,0.885,0.000,0.832,0.842,1.78,0.478,0.311,0.00,0.000,1.00,1.00,1.00
50000,1430,1.724,0.297,11.96,42025,26143,2183,0,13615,6,951440.2,1.6,0.033,0.328,0.623,0.016,465,5.57,3.19,0.01,0.18,0.06,0.57,0.01,0.11,5.49,3.09,0.00,0.00,0.007,0.052,190,0.071,0.994,0.000,0.000,0.006,253317,244250,8,0.550,0.059,0.008,153675,0.102,1.367,0.034,94.13,104373,0,0.271,0.000,0.000,3115270,1.00,19.71,0.000,0.000,0.000,3,5,9,55,2367,0.144,69.19,0.0121,0.001,30,0.880,0.000,0.841,0.834,1.66,0.370,0.292,0.00,0.001,1.00,1.00,1.00
60000,1455,1.651,0.275,11.90,42194,27311,1864,0,12994,17,944109.7,0.9,0.026,0.327,0.614,0.032,488,5.79,4.34,0.02,0.53,0.15,1.12,0.09,1.21,5.53,3.50,0.00,0.00,0.015,0.080,220,0.076,0.995,0.000,0.000,0.005,247866,241007,5,0.692,0.001,0.021,211523,0.074,1.290,0.031,93.22,99603,0,0.056,0.000,0.000,3152299,1.00,19.53,0.001,0.000,0.000,3,5,9,64,2437,0.149,70.10,0.0117,0.000,47,0.871,0.000,0.836,0.830,1.67,0.390,0.280,0.00,0.001,1.00,1.01,1.00
70000,1426,1.737,0.259,11.66,43050,27495,2296,0,13288,6,983275.5,1.3,0.022,0.342,0.594,0.042,509,5.97,4.47,0.00,0.07,0.14,1.28,0.07,0.54,5.75,4.12,0.00,0.00,0.010,0.068,224,0.084,0.996,0.000,0.000,0.004,254569,248097,7,0.651,0.006,0.036,367979,0.077,1.266,0.029,96.46,99025,0,0.214,0.000,0.000,3564103,1.00,19.32,0.000,0.000,0.000,3,5,9,49,2407,0.147,66.85,0.0120,0.000,27,0.883,0.000,0.836,0.831,1.69,0.387,0.299,0.00,0.000,1.00,1.00,1.00
80000,1503,1.672,0.274,11.74,41463,26529,2113,0,12744,3,968380.1,0.5,0.020,0.342,0.621,0.017,496,5.30,3.82,0.00,0.04,0.07,0.66,0.04,0.32,5.19,3.63,0.00,0.00,0.007,0.057,215,0.116,0.997,0.000,0.000,0.003,254034,248010,6,0.716,0.006,0.021,375197,0.063,1.308,0.031,95.15,97719,0,0.174,0.000,0.000,3447703,1.00,20.15,0.000,0.000,0.000,2,5,8,49,2411,0.147,68.17,0.0124,0.001,34,0.884,0.000,0.827,0.837,1.60,0.333,0.275,0.00,0.000,1.00,1.00,1.00
90000,1457,1.737,0.274,11.40,42959,26920,2339,0,13746,1,965833.9,0.4,0.020,0.330,0.626,0.023,498,5.67,3.97,0.00,0.00,0.19,1.72,0.04,0.36,5.44,3.43,0.00,0.00,0.015,0.079,218,0.082,0.996,0.000,0.000,0.004,250402,242832,8,0.632,0.019,0.025,420932,0.079,1.282,0.030,95.19,97997,0,0.423,0.000,0.000,3516005,1.00,19.58,0.000,0.000,0.000,3,5,8,56,2468,0.151,68.12,0.0122,0.001,34,0.893,0.000,0.839,0.829,1.69,0.402,0.295,0.00,0.000,1.00,1.00,1.00
100000,1406,1.668,0.316,11.17,42685,25375,2235,0,15126,0,946843.1,0.0,0.024,0.268,0.687,0.021,536,5.34,3.21,0.01,0.26,0.14,1.09,0.07,0.81,5.12,2.79,0.00,0.00,0.013,0.079,172,0.147,0.991,0.000,0.000,0.009,256243,247905,8,0.639,0.015,0.023,274017,0.077,1.400,0.036,93.54,91450,0,0.000,0.000,0.000,2657038,1.00,19.76,0.000,0.000,0.000,3,5,8,41,2473,0.151,69.78,0.0132,0.000,35,0.866,0.000,0.845,0.834,1.76,0.430,0.340,0.00,0.000,1.00,1.00,1.00
