step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,5207,1.724,0.395,7.97,159373,115258,4913,271,39690,27117,2994330.0,2277.3,0.199,0.371,0.240,0.190,160,6.24,7.15,0.05,0.58,0.07,0.66,0.29,2.57,5.83,5.17,0.00,0.00,0.007,0.049,509,0.064,0.994,0.000,0.000,0.006,921645,892535,38,0.272,0.124,0.021,2928960,0.149,1.547,0.044,383.61,269056,21,0.084,0.926,0.000,12627065,1.02,20.73,0.007,0.001,0.000,3,4,9,64,9319,0.142,269.65,0.0099,0.015,87,0.906,0.000,0.681,0.828,1.79,0.299,0.316,0.01,0.002,1.02,1.02,1.02
20000,5260,1.704,0.381,8.00,153699,86861,9002,1,57782,60,2329384.0,8.8,0.167,0.347,0.220,0.266,148,5.49,5.57,0.04,0.61,0.05,0.73,0.06,0.90,5.34,5.17,0.00,0.00,0.004,0.042,448,0.075,0.996,0.000,0.000,0.004,973212,947234,30,0.302,0.088,0.008,570031,0.162,1.532,0.043,364.06,285602,2824,0.147,0.000,0.000,13587481,1.02,21.24,0.000,0.000,0.000,3,4,8,64,9161,0.140,289.21,0.0083,0.019,62,0.926,0.000,0.787,0.843,1.74,0.249,0.314,0.00,0.001,1.01,1.02,1.02
30000,5297,1.669,0.406,7.72,144237,78609,8925,2,56664,27,2354960.0,5.7,0.153,0.350,0.229,0.268,151,4.87,4.07,0.01,0.22,0.02,0.30,0.02,0.42,4.81,4.02,0.00,0.00,0.004,0.042,353,0.119,0.993,0.000,0.000,0.007,981491,960303,29,0.148,0.264,0.006,605769,0.138,1.589,0.046,359.59,284476,216,0.211,0.500,0.000,13195215,1.01,21.82,0.002,0.000,0.000,3,4,7,64,8830,0.135,293.67,0.0092,0.022,76,0.932,0.000,0.765,0.854,1.67,0.194,0.322,0.00,0.000,1.01,1.00,1.01
40000,5626,1.641,0.413,7.66,148591,78040,9391,3,60828,126,2249748.5,10.8,0.148,0.316,0.253,0.283,152,4.34,2.49,0.01,0.13,0.02,0.32,0.01,0.31,4.30,2.37,0.00,0.00,0.003,0.035,339,0.099,0.996,0.000,0.000,0.004,1006986,986608,27,0.135,0.043,0.004,289139,0.121,1.603,0.047,353.88,291267,509,0.086,0.667,0.000,11823533,1.00,22.43,0.000,0.000,0.000,2,4,6,54,9074,0.138,299.38,0.0093,0.038,84,0.935,0.000,0.807,0.853,1.61,0.174,0.299,0.00,0.000,1.00,1.00,1.00
50000,5012,1.707,0.393,7.78,146051,79904,9386,0,57375,5,2276606.0,0.2,0.143,0.326,0.257,0.274,140,5.04,2.87,0.02,0.42,0.03,0.46,0.04,0.51,4.95,2.66,0.00,0.00,0.003,0.036,321,0.100,0.994,0.000,0.000,0.006,982410,959282,21,0.152,0.047,0.012,354242,0.123,1.590,0.046,346.22,286717,0,0.031,0.000,0.000,11750948,1.01,21.65,0.000,0.000,0.000,3,4,7,52,8838,0.135,307.04,0.0092,0.034,83,0.920,0.000,0.816,0.852,1.76,0.227,0.363,0.00,0.000,1.01,1.01,1.01
60000,4741,1.685,0.410,7.48,145771,78501,9045,0,58496,8,2337665.0,0.7,0.148,0.295,0.301,0.257,156,4.97,2.58,0.02,0.51,0.02,0.30,0.04,0.39,4.88,2.41,0.00,0.00,0.003,0.028,287,0.128,0.995,0.000,0.000,0.005,1054518,1032697,19,0.192,0.131,0.022,1024570,0.108,1.630,0.048,346.14,292258,0,0.090,0.000,0.000,10013797,1.01,21.74,0.000,0.000,0.000,3,4,7,40,8477,0.129,307.13,0.0101,0.023,70,0.915,0.000,0.813,0.862,1.79,0.249,0.332,0.00,0.000,1.01,1.01,1.01
70000,5020,1.692,0.393,7.13,148559,79443,9456,2,59379,43,2361807.5,10.1,0.152,0.280,0.313,0.255,159,5.03,3.46,0.04,0.63,0.04,0.69,0.04,0.93,4.91,3.06,0.00,0.00,0.003,0.039,279,0.131,0.995,0.000,0.000,0.005,1101090,1079956,23,0.184,0.038,0.012,938205,0.095,1.566,0.045,358.06,295693,27,0.234,0.500,0.000,9922513,1.01,21.83,0.000,0.000,0.000,3,4,7,64,8762,0.134,295.20,0.0096,0.032,80,0.920,0.000,0.802,0.865,1.75,0.229,0.319,0.00,0.000,1.01,1.02,1.01
80000,5238,1.666,0.414,6.80,139998,73834,9279,13,56654,115,2293314.2,31.8,0.164,0.270,0.316,0.251,170,4.71,3.25,0.02,0.56,0.04,0.78,0.03,0.59,4.62,2.82,0.00,0.00,0.003,0.039,307,0.153,0.995,0.000,0.000,0.005,1041007,1024806,20,0.218,0.000,0.009,624267,0.080,1.620,0.048,349.73,271643,1544,0.277,0.000,0.000,9174533,1.01,22.13,0.000,0.000,0.000,3,4,7,64,9421,0.144,303.53,0.0095,0.006,84,0.919,0.000,0.764,0.866,1.80,0.264,0.323,0.00,0.000,1.01,1.01,1.01
90000,5295,1.668,0.416,6.46,144074,78877,9256,2,55882,15,2273729.8,2.4,0.137,0.254,0.329,0.280,180,4.78,3.12,0.01,0.40,0.03,0.61,0.03,0.32,4.70,2.96,0.00,0.00,0.003,0.034,285,0.144,0.996,0.000,0.000,0.004,986623,970607,24,0.192,0.091,0.016,598234,0.107,1.631,0.049,344.97,241178,1421,0.160,0.000,0.000,8799627,1.01,21.99,0.000,0.000,0.000,3,4,7,60,9340,0.143,308.29,0.0091,0.039,75,0.905,0.000,0.766,0.854,1.76,0.237,0.331,0.00,0.000,1.01,1.01,1.00
100000,5386,1.663,0.377,6.54,143675,79435,9218,1,54930,45,2292155.2,2.7,0.135,0.258,0.327,0.279,163,4.76,2.64,0.02,0.44,0.02,0.31,0.06,0.71,4.66,2.37,0.00,0.00,0.003,0.044,276,0.154,0.993,0.000,0.000,0.007,1001193,987498,15,0.253,0.007,0.010,1208044,0.082,1.543,0.043,346.87,235968,35,0.059,1.000,0.000,9358882,1.01,21.91,0.000,0.000,0.000,3,4,7,41,9532,0.145,306.39,0.0091,0.029,90,0.906,0.000,0.760,0.857,1.77,0.231,0.350,0.00,0.000,1.01,1.00,1.01
