step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,long,wide
5000,1,2235,8.7,0.2,0.2,0.2,8.1,0.0,1.05,19.5,362,1034,99.08,0.01,2183,22,30,0.0,1.06,1.03,1.05,3.00,0.69,0.73
5000,2,162,6.5,0.1,0.3,0.0,6.2,0.0,1.02,21.4,31,380,26.45,0.00,154,0,8,0.0,1.01,1.02,1.02,3.86,0.98,0.95
5000,13,123,8.7,0.1,0.0,0.2,8.4,0.0,1.02,17.2,17,1273,110.06,0.00,123,0,0,0.0,1.06,1.00,1.02,1.15,0.03,0.15
5000,15,112,5.4,0.3,0.0,0.0,5.1,0.0,1.09,20.6,13,1509,112.79,0.00,112,0,0,0.0,1.07,1.09,1.09,1.34,0.02,0.31
5000,7,53,11.9,0.7,0.0,0.2,11.0,0.0,1.20,18.1,13,1381,140.94,0.00,53,0,0,0.0,1.15,1.26,1.19,1.43,0.28,0.13
5000,3,51,8.1,0.0,0.0,0.2,7.9,0.0,1.00,20.1,13,1230,129.32,0.00,36,15,0,0.0,1.00,1.00,1.00,1.20,0.14,0.04
5000,16,49,8.0,0.0,0.0,0.0,8.0,0.0,1.00,17.7,13,445,65.03,0.00,0,39,10,0.0,1.00,1.00,1.00,1.20,0.00,0.20
5000,62,45,10.6,0.0,0.0,0.0,10.6,0.0,1.00,18.0,17,1505,135.81,0.00,45,0,0,0.0,1.00,1.00,1.00,1.69,0.16,0.49
5000,26,45,13.8,0.7,1.3,4.3,7.5,0.0,1.18,14.6,12,1596,165.48,0.00,45,0,0,0.0,1.00,1.51,1.15,1.71,0.56,0.11
5000,6,44,7.8,0.0,0.0,0.0,7.8,0.0,1.00,19.5,5,1379,137.78,0.00,35,9,0,0.0,1.00,1.00,1.00,2.20,0.45,0.45
5000,33,30,8.0,0.4,0.0,0.0,7.5,0.0,1.07,17.5,9,905,64.54,0.04,30,0,0,0.0,1.11,1.11,1.00,1.33,0.00,0.33
5000,18,28,9.2,0.1,0.0,0.0,9.1,0.0,1.02,19.7,14,1560,165.38,0.00,28,0,0,0.0,1.01,1.03,1.02,2.00,0.11,0.79
5000,39,26,7.5,0.1,0.0,0.3,7.1,0.0,1.01,17.2,8,649,55.15,0.00,26,0,0,0.0,1.03,1.00,1.01,1.23,0.04,0.15
5000,4,24,8.3,0.0,0.0,0.0,8.3,0.0,1.00,16.0,4,883,79.05,0.00,24,0,0,0.0,1.00,1.00,1.00,1.75,0.00,0.75
5000,21,23,35.0,10.3,1.4,5.7,17.5,0.0,1.92,7.3,9,193,87.93,0.00,0,10,13,0.0,2.40,2.13,1.65,3.13,0.65,0.87
5000,5,21,4.1,0.4,0.3,0.4,3.0,0.0,1.08,22.8,3,682,45.52,0.00,6,14,1,0.1,1.10,1.05,1.09,1.10,0.05,0.05
5000,58,19,11.7,0.0,0.0,5.9,5.8,0.0,1.00,14.3,3,587,60.27,0.00,0,12,7,0.0,1.00,1.00,1.00,3.95,1.00,1.00
5000,9,19,43.3,1.1,0.3,0.0,41.9,0.0,1.24,5.1,11,1624,440.69,0.00,19,0,0,0.0,1.01,1.26,1.34,3.37,0.89,0.74
5000,8,18,11.7,2.2,0.0,0.0,9.6,0.0,1.79,12.1,8,1050,134.77,0.00,18,0,0,0.0,1.62,1.70,2.19,2.00,0.00,1.00
5000,14,17,64.0,3.8,0.0,0.0,60.2,0.0,1.62,0.0,4,272,240.76,0.00,0,10,7,0.0,1.00,2.26,1.60,4.00,1.00,1.00
5000,17,15,12.8,3.7,0.0,0.0,9.1,0.0,2.57,16.9,7,790,121.54,0.00,6,9,0,0.0,1.89,3.07,2.66,3.93,1.00,1.00
5000,55,7,17.9,1.6,0.1,6.4,9.7,0.0,1.30,13.1,6,1973,307.95,0.00,7,0,0,0.0,1.00,1.47,1.35,3.14,1.00,0.57
5000,60,7,64.0,0.0,14.6,2.3,47.1,0.0,1.00,0.0,4,1963,731.11,0.00,7,0,0,0.0,1.00,1.00,1.00,4.00,1.00,1.00
5000,27,7,46.1,0.6,10.7,0.0,34.9,0.0,1.11,1.4,5,1777,492.51,0.00,7,0,0,1.1,1.14,1.07,1.11,4.00,1.00,1.00
