step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,long,wide
5000,1,1635,10.9,0.3,0.2,0.2,10.2,0.0,1.11,15.4,246,801,81.16,0.00,1480,127,28,0.0,1.10,1.09,1.14,2.36,0.53,0.57
5000,5,407,7.2,0.0,0.0,0.0,7.2,0.0,1.00,20.6,71,917,83.55,0.00,382,24,1,0.0,1.00,1.00,1.00,2.31,0.78,0.37
5000,22,204,6.0,0.2,0.1,0.0,5.6,0.0,1.07,21.3,35,1357,110.35,0.03,204,0,0,0.0,1.07,1.05,1.07,1.22,0.08,0.08
5000,8,117,6.7,0.0,0.0,0.0,6.6,0.0,1.00,20.3,27,1360,108.73,0.00,117,0,0,0.0,1.01,1.00,1.01,1.26,0.03,0.22
5000,18,117,11.2,0.1,0.0,0.0,11.2,0.0,1.02,17.0,24,1575,257.14,0.00,117,0,0,0.0,1.01,1.03,1.03,1.29,0.08,0.16
5000,7,100,7.6,0.0,0.0,0.1,7.5,0.0,1.00,18.9,16,1311,96.01,0.00,100,0,0,0.0,1.00,1.00,1.00,1.31,0.01,0.30
5000,4,99,11.1,0.0,0.1,0.0,11.0,0.0,1.00,17.5,21,569,110.04,0.00,0,79,20,0.0,1.00,1.00,1.00,1.45,0.45,0.00
5000,12,91,5.1,0.0,0.1,0.2,4.8,0.0,1.00,20.4,18,1376,111.86,0.00,91,0,0,0.0,1.00,1.00,1.00,1.27,0.03,0.24
5000,17,87,12.1,0.7,0.2,0.0,11.2,0.0,1.18,16.4,28,719,98.70,0.00,0,78,9,0.0,1.05,1.22,1.28,1.72,0.11,0.55
5000,15,76,5.4,0.0,0.1,0.0,5.2,0.0,1.00,21.1,14,1124,74.94,0.00,76,0,0,0.0,1.00,1.00,1.00,1.29,0.24,0.04
5000,45,63,7.9,0.0,0.0,0.0,7.9,0.0,1.00,17.9,13,890,66.25,0.00,63,0,0,0.0,1.00,1.00,1.00,1.44,0.44,0.00
5000,27,60,8.5,0.1,0.0,0.0,8.4,0.0,1.02,18.5,12,915,151.78,0.00,0,58,2,0.0,1.02,1.00,1.02,1.27,0.03,0.23
5000,16,58,7.4,0.0,0.3,0.0,7.1,0.0,1.00,17.9,9,696,89.44,0.00,2,56,0,0.0,1.00,1.00,1.00,1.09,0.07,0.02
5000,19,52,10.5,0.0,0.0,0.5,10.0,0.0,1.00,18.7,10,733,164.44,0.00,0,47,5,0.0,1.00,1.00,1.00,1.19,0.10,0.06
5000,6,45,6.5,0.0,0.0,0.4,6.1,0.0,1.00,19.9,11,1276,93.60,0.00,45,0,0,0.0,1.00,1.00,1.00,1.04,0.00,0.04
5000,2,38,6.9,0.0,0.0,0.0,6.9,0.0,1.00,21.2,15,1449,127.53,0.00,38,0,0,0.0,1.00,1.00,1.00,1.26,0.08,0.13
5000,80,22,10.2,0.0,0.1,0.0,10.1,0.0,1.00,18.3,8,1121,242.44,0.00,0,22,0,0.0,1.00,1.00,1.00,1.45,0.41,0.05
5000,47,21,19.1,0.0,1.8,0.0,17.3,0.0,1.00,8.7,5,1685,196.72,0.00,21,0,0,0.0,1.00,1.00,1.00,2.29,0.33,0.95
5000,50,20,10.2,0.0,0.0,2.6,7.7,0.0,1.00,18.7,6,1574,147.67,0.00,20,0,0,0.0,1.00,1.00,1.00,1.70,0.45,0.25
5000,3,18,7.4,0.0,0.0,0.0,7.4,0.0,1.00,16.6,8,549,39.56,0.00,18,0,0,0.0,1.00,1.00,1.00,2.50,0.72,0.78
5000,11,17,4.3,0.1,0.0,0.0,4.2,0.0,1.04,21.6,5,1355,100.30,0.00,17,0,0,0.0,1.04,1.04,1.06,1.12,0.00,0.12
5000,30,17,61.3,11.9,2.6,0.0,46.8,0.0,3.58,0.0,12,1922,977.27,0.02,17,0,0,0.4,5.08,2.11,3.57,3.94,1.00,1.00
5000,55,16,5.8,0.0,0.0,0.0,5.8,0.0,1.00,22.5,4,1755,106.01,0.00,16,0,0,0.0,1.00,1.00,1.00,1.56,0.25,0.19
5000,74,15,6.8,1.6,0.0,0.0,5.2,0.0,1.62,19.6,2,809,51.03,0.00,15,0,0,0.0,1.56,1.72,1.60,1.40,0.00,0.40
5000,28,13,4.5,0.0,0.0,0.0,4.5,0.0,1.00,23.1,2,437,33.67,0.00,0,13,0,0.0,1.00,1.00,1.00,2.00,1.00,0.00
5000,41,9,17.2,1.2,1.6,0.0,14.4,0.3,1.33,10.7,6,1588,145.06,0.00,9,0,0,0.4,1.36,1.21,1.43,2.44,0.44,1.00
5000,26,9,21.8,0.0,1.0,2.3,18.4,0.0,1.00,8.9,3,1601,587.04,0.00,2,7,0,0.0,1.00,1.00,1.00,2.22,0.89,0.22
5000,36,8,63.0,3.9,0.0,0.9,58.2,0.0,1.62,0.0,3,1964,927.12,0.00,8,0,0,0.0,2.20,1.00,1.63,4.00,1.00,1.00
5000,29,5,6.8,0.0,0.0,0.0,6.8,0.0,1.00,21.2,4,940,69.12,0.00,5,0,0,0.0,1.00,1.00,1.00,3.80,1.00,1.00
6000,1,1739,9.9,0.2,0.2,0.2,9.4,0.0,1.07,16.3,252,970,97.60,0.00,1534,183,22,0.0,1.07,1.05,1.09,2.27,0.48,0.56
6000,5,548,6.2,0.0,0.0,0.0,6.2,0.0,1.00,21.4,72,975,75.89,0.00,528,19,1,0.0,1.00,1.00,1.00,2.10,0.75,0.25
6000,22,224,5.3,0.2,0.1,0.0,5.0,0.0,1.06,21.8,33,1834,132.24,0.03,224,0,0,0.0,1.07,1.04,1.07,1.08,0.04,0.03
6000,8,114,6.5,0.0,0.0,0.0,6.4,0.0,1.01,20.5,28,2085,167.63,0.00,114,0,0,0.0,1.01,1.00,1.01,1.25,0.03,0.22
6000,18,106,11.3,0.1,0.0,0.0,11.2,0.0,1.02,17.1,21,2378,368.61,0.00,106,0,0,0.0,1.01,1.03,1.03,1.30,0.08,0.16
6000,12,103,5.0,0.0,0.1,0.2,4.7,0.0,1.00,20.6,19,1992,167.81,0.00,103,0,0,0.0,1.00,1.00,1.00,1.25,0.03,0.22
6000,4,97,12.5,0.1,0.2,0.0,12.2,0.0,1.02,16.8,26,438,97.36,0.00,0,75,22,0.0,1.00,1.04,1.02,1.62,0.61,0.01
6000,7,86,7.3,0.0,0.0,0.0,7.3,0.0,1.00,19.3,14,1993,150.11,0.00,86,0,0,0.0,1.00,1.00,1.00,1.27,0.00,0.27
6000,16,80,7.7,0.1,0.1,0.0,7.5,0.0,1.02,18.0,15,762,94.97,0.00,5,75,0,0.0,1.03,1.00,1.04,1.11,0.05,0.06
6000,2,64,5.3,0.0,0.0,0.0,5.3,0.0,1.01,22.1,15,866,60.90,0.00,64,0,0,0.0,1.00,1.01,1.01,1.08,0.03,0.05
6000,19,63,7.3,0.0,0.0,0.1,7.2,0.0,1.05,20.0,13,855,113.08,0.00,0,63,0,0.0,1.08,1.08,1.03,1.08,0.05,0.03
6000,17,62,9.4,0.7,0.0,0.0,8.7,0.0,1.19,17.9,18,1219,114.67,0.00,0,58,4,0.0,1.00,1.30,1.24,1.66,0.13,0.48
6000,27,51,9.2,0.2,0.0,0.0,9.1,0.0,1.04,18.2,10,1351,228.28,0.00,0,51,0,0.0,1.05,1.00,1.05,1.27,0.04,0.24
6000,15,49,5.7,0.0,0.3,0.0,5.4,0.0,1.00,20.3,9,1746,118.09,0.00,49,0,0,0.0,1.00,1.00,1.00,1.39,0.31,0.04
6000,45,45,9.4,0.0,0.0,0.1,9.3,0.0,1.00,16.2,12,1013,84.36,0.00,35,10,0,0.0,1.00,1.00,1.00,1.87,0.87,0.00
6000,6,44,6.3,0.0,0.0,0.4,5.9,0.0,1.00,20.0,10,2106,156.54,0.00,44,0,0,0.0,1.00,1.00,1.00,1.05,0.00,0.05
6000,82,31,7.0,0.3,0.0,0.2,6.5,0.0,1.09,18.6,6,801,87.07,0.00,31,0,0,0.0,1.03,1.13,1.11,1.55,0.26,0.26
6000,28,29,4.2,0.0,0.2,0.0,4.0,0.0,1.00,23.2,6,789,62.10,0.00,0,27,2,0.0,1.00,1.00,1.00,1.86,0.86,0.00
6000,47,21,18.4,0.0,1.8,0.0,16.6,0.0,1.00,9.0,5,2596,314.35,0.00,21,0,0,0.0,1.00,1.00,1.00,2.24,0.29,0.95
6000,50,21,10.0,0.0,0.0,2.5,7.5,0.0,1.00,18.9,6,2352,224.99,0.00,21,0,0,0.0,1.00,1.00,1.00,1.67,0.43,0.24
6000,3,17,5.5,0.0,0.0,0.0,5.5,0.0,1.00,19.6,8,1454,103.78,0.00,17,0,0,0.0,1.00,1.00,1.00,2.24,0.65,0.59
6000,74,17,7.7,1.8,0.0,0.0,5.9,0.0,1.67,18.8,7,1000,65.87,0.00,17,0,0,0.0,1.53,1.79,1.70,1.65,0.00,0.65
6000,30,16,61.1,12.4,1.8,0.0,46.9,0.0,3.71,0.0,11,2920,1447.35,0.02,16,0,0,0.1,5.27,2.18,3.70,3.94,1.00,1.00
6000,11,14,4.4,0.1,0.0,0.0,4.3,0.0,1.05,21.6,5,2480,188.38,0.00,14,0,0,0.0,1.05,1.05,1.07,1.14,0.00,0.14
6000,83,14,5.6,0.3,0.0,0.0,5.3,0.0,1.07,19.0,3,1794,116.01,0.00,14,0,0,0.0,1.14,1.14,1.02,2.07,0.93,0.14
6000,80,12,14.2,1.7,0.0,0.0,12.6,0.0,1.75,14.3,4,918,174.58,0.00,0,11,1,0.0,2.17,2.17,1.54,1.83,0.83,0.00
6000,26,11,20.6,0.0,1.5,3.0,16.1,0.0,1.00,9.1,3,883,390.61,0.00,2,9,0,0.0,1.00,1.00,1.00,2.18,1.00,0.09
6000,36,8,63.0,3.9,0.0,0.9,58.2,0.0,1.62,0.0,3,2964,1327.60,0.00,8,0,0,0.0,2.20,1.00,1.63,4.00,1.00,1.00
6000,55,7,3.4,0.0,0.0,0.0,3.4,0.0,1.00,23.4,3,1578,67.44,0.00,7,0,0,0.0,1.00,1.00,1.00,1.29,0.29,0.00
6000,85,5,54.0,18.0,0.0,0.0,36.0,0.0,4.03,0.0,1,952,605.45,0.00,0,5,0,0.0,6.88,1.00,4.12,4.00,1.00,1.00
7000,1,2110,8.0,0.1,0.1,0.0,7.8,0.0,1.02,17.7,244,818,71.91,0.00,1848,237,25,0.0,1.02,1.02,1.03,2.01,0.39,0.48
7000,5,563,5.4,0.0,0.0,0.0,5.4,0.0,1.00,22.0,72,1019,70.11,0.00,540,20,3,0.0,1.00,1.00,1.00,2.12,0.77,0.25
7000,22,260,5.0,0.0,0.0,0.0,5.0,0.0,1.01,21.9,34,1263,85.17,0.00,260,0,0,0.0,1.01,1.01,1.01,1.08,0.03,0.03
7000,8,159,4.7,0.0,0.0,0.0,4.7,0.0,1.00,21.8,21,846,55.71,0.00,159,0,0,0.0,1.00,1.00,1.00,1.08,0.00,0.08
7000,18,152,7.3,0.0,0.0,0.0,7.3,0.0,1.00,19.4,23,766,71.31,0.00,152,0,0,0.0,1.00,1.00,1.00,1.06,0.01,0.05
7000,7,118,6.5,0.0,0.0,0.0,6.5,0.0,1.00,20.0,16,995,69.48,0.00,118,0,0,0.0,1.00,1.00,1.00,1.08,0.00,0.08
7000,12,111,4.6,0.0,0.1,0.0,4.4,0.0,1.00,21.2,16,1111,94.15,0.00,111,0,0,0.0,1.00,1.00,1.00,1.09,0.01,0.08
7000,4,110,10.6,0.1,0.1,0.0,10.3,0.0,1.07,17.8,26,604,127.63,0.00,0,89,21,0.0,1.06,1.06,1.08,1.39,0.36,0.03
7000,6,85,6.7,0.0,0.0,0.6,6.1,0.0,1.00,19.6,18,1051,85.99,0.00,85,0,0,0.0,1.00,1.00,1.00,1.01,0.01,0.00
7000,16,81,6.5,0.0,0.0,0.0,6.4,0.0,1.02,19.3,13,1097,143.93,0.00,0,78,3,0.0,1.03,1.03,1.01,1.02,0.01,0.01
7000,19,71,8.3,0.0,0.5,0.2,7.5,0.0,1.00,19.7,13,689,83.25,0.00,0,69,2,0.0,1.00,1.00,1.00,1.07,0.03,0.04
7000,15,57,3.9,0.0,0.0,0.0,3.9,0.0,1.00,22.4,7,943,51.07,0.00,57,0,0,0.0,1.00,1.00,1.00,1.14,0.14,0.00
7000,2,53,6.1,0.0,0.0,0.2,5.9,0.0,1.00,20.3,12,650,51.38,0.00,53,0,0,0.0,1.00,1.00,1.00,1.13,0.02,0.11
7000,27,38,7.2,0.1,0.0,0.0,7.0,0.0,1.08,20.3,8,530,65.42,0.00,0,35,3,0.0,1.09,1.05,1.09,1.11,0.03,0.08
7000,17,36,7.2,0.4,0.0,0.1,6.7,0.0,1.18,19.4,13,1034,87.63,0.00,0,32,4,0.0,1.10,1.17,1.26,1.53,0.08,0.44
7000,82,34,5.8,0.0,0.0,0.0,5.8,0.0,1.00,19.2,7,1097,114.70,0.00,34,0,0,0.0,1.00,1.00,1.00,1.24,0.12,0.12
7000,11,34,3.9,0.0,0.0,0.1,3.8,0.0,1.00,22.3,5,895,67.08,0.00,34,0,0,0.0,1.00,1.00,1.00,1.00,0.00,0.00
7000,28,31,3.9,0.0,0.0,0.0,3.9,0.0,1.00,24.1,2,1182,88.83,0.00,0,28,3,0.0,1.00,1.00,1.00,1.97,0.97,0.00
7000,45,31,10.7,0.0,0.0,0.0,10.7,0.0,1.00,16.3,7,1207,113.34,0.00,25,6,0,0.0,1.00,1.00,1.00,1.90,0.90,0.00
7000,3,27,5.0,0.0,0.0,0.0,5.0,0.0,1.00,20.1,8,1320,86.37,0.00,27,0,0,0.0,1.00,1.00,1.00,2.22,0.59,0.63
7000,90,25,4.5,0.0,0.0,0.0,4.5,0.0,1.00,22.6,4,1103,81.43,0.00,25,0,0,0.0,1.00,1.00,1.00,1.00,0.00,0.00
7000,74,16,7.1,1.6,0.0,0.0,5.4,0.0,1.61,19.4,5,1370,90.56,0.00,16,0,0,0.0,1.51,1.71,1.61,1.50,0.00,0.50
