step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,925,6.04,0.06,0.01,0.05,5.92,0.00,1.02,0.000,0.520,722122.7,86.2,7,1,1.51,1.02,1.02
10000,1,76,6.82,0.13,0.00,0.00,6.68,0.00,1.05,0.000,0.888,90000.4,3.5,1,0,1.14,1.00,1.10
10000,0,46,7.96,0.52,0.00,0.00,7.43,0.00,1.15,0.000,0.005,105773.3,203.1,1,17,1.35,1.14,1.18
20000,8,1134,5.30,0.05,0.04,0.01,5.20,0.00,1.03,0.000,0.563,701643.8,4.2,8,4,1.76,1.02,1.02
20000,1,81,5.69,0.00,0.00,0.00,5.69,0.00,1.00,0.000,0.906,79365.4,0.0,2,12,1.07,1.00,1.00
20000,0,15,4.73,0.00,0.00,0.00,4.73,0.00,1.00,0.000,0.001,1723.7,0.1,1,7,1.20,1.00,1.00
30000,8,1016,5.44,0.09,0.04,0.03,5.28,0.00,1.03,0.001,0.550,710501.8,4.7,7,0,1.82,1.03,1.04
30000,1,71,7.75,0.01,0.00,0.11,7.62,0.00,1.03,0.000,0.878,75053.6,0.0,2,3,1.21,1.03,1.03
30000,0,37,6.97,0.00,0.00,0.03,6.95,0.00,1.00,0.000,0.004,3174.1,0.0,3,8,1.32,1.00,1.00
40000,8,977,4.94,0.11,0.05,0.03,4.75,0.00,1.05,0.000,0.473,653023.5,3.0,5,0,2.32,1.06,1.06
40000,1,57,10.09,0.39,0.23,0.00,9.47,0.00,1.07,0.000,0.786,87881.3,0.3,2,1,1.35,1.00,1.14
40000,0,39,7.64,0.41,0.00,0.44,6.79,0.00,1.14,0.000,0.005,2602.3,0.0,3,16,1.49,1.01,1.32
50000,8,1132,4.72,0.11,0.03,0.05,4.54,0.00,1.04,0.000,0.494,671444.3,3.4,6,2,2.08,1.05,1.04
50000,1,43,9.49,0.19,0.33,0.00,8.98,0.00,1.05,0.000,0.845,79405.7,3.6,3,9,1.91,1.03,1.05
50000,0,22,8.95,0.36,0.27,0.00,8.32,0.00,1.20,0.000,0.005,2763.1,1.0,3,13,2.73,1.32,1.15
60000,8,1212,4.54,0.06,0.09,0.01,4.37,0.00,1.04,0.000,0.508,672547.6,6.4,13,0,2.01,1.04,1.04
60000,1,45,10.51,0.02,0.11,0.09,10.29,0.00,1.00,0.000,0.867,65816.0,2.7,3,1,1.89,1.00,1.01
60000,0,32,10.34,0.44,0.22,0.09,9.59,0.00,1.15,0.000,0.007,2848.9,0.5,3,18,2.34,1.04,1.24
70000,8,1231,4.54,0.05,0.06,0.03,4.40,0.00,1.02,0.000,0.520,698738.6,2.8,7,1,2.01,1.02,1.02
70000,1,59,5.73,0.03,0.03,0.07,5.59,0.00,1.05,0.000,1.011,54243.8,0.0,2,8,1.63,1.03,1.03
70000,0,22,6.59,0.23,0.00,0.36,6.00,0.00,1.16,0.000,0.004,2111.4,0.0,3,11,2.32,1.09,1.12
80000,8,1182,4.32,0.10,0.04,0.03,4.14,0.00,1.05,0.000,0.499,689448.9,2.1,13,0,2.03,1.05,1.05
80000,1,40,13.25,0.77,0.28,0.03,12.18,0.12,1.20,0.050,0.939,52412.0,1.2,2,0,2.30,1.24,1.13
80000,0,29,9.72,0.07,0.41,1.03,8.21,0.00,1.10,0.000,0.008,4351.3,1.0,3,7,3.00,1.17,1.17
90000,8,1077,4.43,0.10,0.08,0.01,4.24,0.00,1.04,0.000,0.487,689215.5,1.1,17,0,2.17,1.06,1.04
90000,1,44,6.68,0.39,0.05,0.09,6.16,0.02,1.17,0.023,1.010,54981.8,6.0,2,0,2.25,1.16,1.20
90000,0,41,6.05,0.05,0.00,0.00,6.00,0.00,1.01,0.000,0.009,4806.4,9.3,6,25,2.61,1.00,1.02
100000,8,1228,5.12,0.21,0.06,0.01,4.84,0.00,1.11,0.000,0.494,666965.1,2.8,9,0,1.93,1.15,1.12
100000,1,45,11.24,1.49,1.16,0.00,8.60,0.00,1.42,0.000,0.969,52448.3,40.9,2,0,2.11,1.46,1.36
100000,0,26,12.85,2.19,0.77,0.00,9.88,0.00,1.67,0.000,0.005,5332.0,13.3,3,13,2.19,1.87,1.50
110000,8,1174,4.59,0.10,0.02,0.00,4.46,0.00,1.04,0.000,0.486,677724.3,1.4,7,2,1.98,1.05,1.05
110000,1,36,12.06,0.33,1.64,0.08,10.00,0.06,1.15,0.028,1.031,57209.4,12.3,3,4,2.75,1.18,1.15
110000,0,15,10.60,0.07,0.67,0.07,9.80,0.00,1.04,0.000,0.005,4758.1,14.5,3,8,3.53,1.04,1.04
120000,8,1222,4.57,0.15,0.07,0.00,4.34,0.00,1.08,0.001,0.506,674329.6,2.9,8,1,1.96,1.08,1.09
120000,1,25,10.00,0.00,0.56,2.04,7.40,0.00,1.00,0.000,1.011,38793.7,0.3,3,9,3.76,1.00,1.00
120000,0,14,5.36,0.00,0.57,0.50,4.29,0.00,1.00,0.000,0.005,2193.3,2.3,3,12,4.00,1.00,1.00
130000,8,940,4.81,0.11,0.12,0.00,4.57,0.00,1.04,0.000,0.516,617317.8,1.3,8,0,2.53,1.03,1.05
130000,1,39,6.77,0.00,0.05,0.00,6.72,0.00,1.00,0.000,0.880,43707.4,0.5,2,16,2.08,1.00,1.00
130000,0,20,7.60,0.20,0.25,0.00,7.15,0.00,1.08,0.000,0.007,2645.0,0.0,2,11,3.85,1.08,1.11
