classification,place,cells,share
e061,0,6034,0.02301788330078125
e061,1,4156,0.0158538818359375
e061,2,4621,0.017627716064453125
e061,10,4605,0.017566680908203125
e061,11,15271,0.058254241943359375
e061,12,8215,0.031337738037109375
e061,20,3306,0.01261138916015625
e061,21,33689,0.12851333618164062
e061,22,30382,0.11589813232421875
e061,100,9670,0.03688812255859375
e061,110,11775,0.044918060302734375
e061,120,23238,0.08864593505859375
e061,200,23566,0.08989715576171875
e061,210,23351,0.08907699584960938
e061,220,59919,0.22857284545898438
e061,300,20,7.62939453125e-05
e061,310,59,0.000225067138671875
e061,320,267,0.001018524169921875
rivers,0,6034,0.02301788330078125
rivers,1,4156,0.0158538818359375
rivers,2,4621,0.017627716064453125
rivers,10,4605,0.017566680908203125
rivers,11,15271,0.058254241943359375
rivers,12,8215,0.031337738037109375
rivers,20,3306,0.01261138916015625
rivers,21,33689,0.12851333618164062
rivers,22,30264,0.115447998046875
rivers,100,9670,0.03688812255859375
rivers,110,11775,0.044918060302734375
rivers,120,23238,0.08864593505859375
rivers,200,23566,0.08989715576171875
rivers,210,23351,0.08907699584960938
rivers,220,59919,0.22857284545898438
rivers,300,20,7.62939453125e-05
rivers,310,59,0.000225067138671875
rivers,320,267,0.001018524169921875
rivers,420,118,0.00045013427734375
chemistry,0,1156,0.0044097900390625
chemistry,1,669,0.002552032470703125
chemistry,10,2981,0.011371612548828125
chemistry,11,574,0.00218963623046875
chemistry,20,466,0.00177764892578125
chemistry,21,188,0.0007171630859375
chemistry,100,1916,0.0073089599609375
chemistry,101,1032,0.003936767578125
chemistry,110,403,0.001537322998046875
chemistry,111,768,0.0029296875
chemistry,121,37,0.000141143798828125
chemistry,200,3402,0.01297760009765625
chemistry,201,1090,0.00415802001953125
chemistry,210,2,7.62939453125e-06
chemistry,211,106,0.00040435791015625
chemistry,221,21,8.0108642578125e-05
chemistry,1000,3,1.1444091796875e-05
chemistry,1001,1542,0.00588226318359375
chemistry,1010,3,1.1444091796875e-05
chemistry,1011,2758,0.01052093505859375
chemistry,1021,299,0.001140594482421875
chemistry,1100,2899,0.011058807373046875
chemistry,1101,9933,0.037891387939453125
chemistry,1110,255,0.000972747802734375
chemistry,1111,1960,0.007476806640625
chemistry,1121,224,0.0008544921875
chemistry,1200,4802,0.01831817626953125
chemistry,1201,3084,0.0117645263671875
chemistry,1210,261,0.000995635986328125
chemistry,1211,55,0.000209808349609375
chemistry,1221,13,4.9591064453125e-05
chemistry,2000,829,0.003162384033203125
chemistry,2001,2272,0.0086669921875
chemistry,2010,15,5.7220458984375e-05
chemistry,2011,187,0.000713348388671875
chemistry,2021,3,1.1444091796875e-05
chemistry,2100,16392,0.062530517578125
chemistry,2101,16427,0.06266403198242188
chemistry,2110,555,0.002117156982421875
chemistry,2111,291,0.001110076904296875
chemistry,2121,24,9.1552734375e-05
chemistry,2200,18259,0.06965255737304688
chemistry,2201,11320,0.043182373046875
chemistry,2210,619,0.002361297607421875
chemistry,2211,59,0.000225067138671875
chemistry,2221,7,2.6702880859375e-05
chemistry,10000,9670,0.03688812255859375
chemistry,11000,11775,0.044918060302734375
chemistry,12000,23238,0.08864593505859375
chemistry,20000,23566,0.08989715576171875
chemistry,21000,23351,0.08907699584960938
chemistry,22000,59919,0.22857284545898438
chemistry,30000,3,1.1444091796875e-05
chemistry,30001,16,6.103515625e-05
chemistry,30011,1,3.814697265625e-06
chemistry,31000,29,0.000110626220703125
chemistry,31001,30,0.00011444091796875
chemistry,32000,37,0.000141143798828125
chemistry,32001,223,0.000850677490234375
chemistry,32010,5,1.9073486328125e-05
chemistry,32011,2,7.62939453125e-06
chemistry,42000,20,7.62939453125e-05
chemistry,42001,98,0.00037384033203125
