step,year,land_temp,land_rain,land_evap,sea_evap,sea_rain,to_sea,water,water_err,a,b,a_err,b_err,weathered_a,weathered_b,river_a,river_b,buried_a,buried_b,rivers,lakes,storms,land_water,ms_step
130680,11,21.086,1971.7,1795.3,6.866016e7,4.924609e7,173.6,1.801962e7,3.721e-15,1.527534e5,3.103927e5,7.240e-15,4.688e-15,4.514767e4,5.091457e4,4.357333e4,3.622887e4,4.080250e4,3.226851e4,1840,329,141,1.178300e7,1.106
142560,12,21.175,1999.0,1818.6,6.936937e7,4.951110e7,178.7,1.810504e7,4.938e-15,1.562216e5,3.266033e5,7.638e-15,8.911e-16,4.542960e4,5.072961e4,4.351306e4,3.888254e4,4.196142e4,3.451895e4,2070,316,155,1.196338e7,1.124
154440,13,21.117,1990.4,1801.1,6.993286e7,4.909262e7,189.0,1.804247e7,8.259e-16,1.596473e5,3.395076e5,9.480e-15,1.149e-14,4.528677e4,5.026573e4,4.023556e4,4.141046e4,4.186102e4,3.736143e4,2150,332,162,1.199980e7,1.103
166320,14,21.038,1967.6,1786.7,6.954694e7,4.939882e7,181.1,1.815381e7,6.156e-15,1.635513e5,3.510431e5,5.338e-16,4.643e-15,4.496731e4,4.994899e4,3.975804e4,3.805948e4,4.106335e4,3.841351e4,2170,352,173,1.198127e7,1.133
178200,15,21.007,2002.4,1815.2,7.040102e7,4.951517e7,184.6,1.862274e7,1.400e-15,1.681928e5,3.636168e5,6.749e-15,6.243e-15,4.545630e4,5.091517e4,4.204071e4,3.923419e4,4.081480e4,3.834147e4,2147,338,182,1.226752e7,1.146
190080,16,21.184,2017.5,1835.9,7.030452e7,5.008984e7,185.0,1.836760e7,3.245e-15,1.723814e5,3.758455e5,6.416e-15,4.182e-15,4.617350e4,5.167875e4,4.443684e4,4.130864e4,4.198488e4,3.945002e4,1947,327,201,1.188523e7,1.121
201960,17,21.298,2034.3,1853.5,6.962071e7,4.949883e7,179.8,1.860276e7,1.462e-14,1.755867e5,3.873666e5,1.541e-14,2.464e-14,4.635152e4,5.187123e4,4.407677e4,4.140638e4,4.314624e4,4.035021e4,1990,341,211,1.199763e7,1.124
213840,18,21.338,2096.5,1905.4,6.917497e7,4.815315e7,190.2,1.858281e7,9.623e-15,1.784191e5,3.989596e5,1.077e-14,2.159e-14,4.667203e4,5.256398e4,4.496335e4,4.214482e4,4.383957e4,4.097089e4,2235,375,225,1.209657e7,1.121
225720,19,21.348,2066.0,1879.6,6.898674e7,4.835888e7,188.7,1.833469e7,2.032e-16,1.801349e5,4.093036e5,1.082e-14,2.986e-15,4.589304e4,5.168468e4,4.346108e4,4.062599e4,4.417726e4,4.134074e4,2043,383,237,1.184334e7,1.119
237600,20,21.214,2001.5,1811.8,6.946543e7,4.858708e7,192.2,1.794683e7,6.642e-15,1.809216e5,4.185218e5,1.480e-14,7.093e-15,4.437833e4,4.967977e4,4.355120e4,3.862928e4,4.359165e4,4.046157e4,1771,379,247,1.156362e7,1.132
249480,21,21.151,1985.6,1790.5,7.036634e7,4.869654e7,194.7,1.808293e7,1.174e-14,1.820555e5,4.283463e5,1.055e-14,1.549e-14,4.415151e4,4.944754e4,4.083297e4,3.869019e4,4.301756e4,3.962300e4,1766,365,264,1.160899e7,1.153
261360,22,21.308,1989.1,1787.9,7.064884e7,4.847723e7,198.6,1.827931e7,1.019e-14,1.843098e5,4.384195e5,1.374e-14,4.116e-15,4.465064e4,5.033910e4,4.238478e4,4.324524e4,4.239637e4,4.026596e4,1914,397,277,1.189965e7,1.141
273240,23,21.442,1946.3,1761.5,6.910469e7,4.862769e7,184.3,1.836504e7,2.738e-14,1.868187e5,4.472663e5,3.895e-15,2.212e-15,4.403196e4,4.951306e4,4.007971e4,4.006829e4,4.152310e4,4.066624e4,1729,413,288,1.195095e7,1.145
285120,24,21.252,1954.3,1773.0,6.970482e7,4.952234e7,183.1,1.829145e7,3.055e-15,1.895170e5,4.562300e5,1.689e-15,1.276e-15,4.398617e4,4.960755e4,4.147459e4,4.121491e4,4.128787e4,4.064388e4,1710,421,294,1.175589e7,1.142
297000,25,21.323,1972.5,1791.2,7.007732e7,5.003446e7,184.8,1.789013e7,1.374e-14,1.921752e5,4.649013e5,8.784e-15,1.227e-14,4.392152e4,4.951366e4,4.024745e4,3.985706e4,4.126329e4,4.084235e4,1818,402,313,1.136590e7,1.258
308880,26,21.319,1989.0,1798.9,6.966413e7,4.873813e7,184.4,1.842075e7,2.063e-14,1.956048e5,4.744621e5,1.027e-14,6.379e-15,4.424695e4,4.954564e4,4.148420e4,3.917075e4,4.081737e4,3.998483e4,2106,408,328,1.199951e7,1.176
320760,27,21.365,2000.6,1806.2,7.036304e7,4.887297e7,199.2,1.787013e7,4.003e-14,1.980891e5,4.835801e5,1.366e-14,4.815e-15,4.389874e4,4.948685e4,4.098038e4,4.172362e4,4.141441e4,4.036879e4,2126,395,342,1.145745e7,1.168
332640,28,21.194,1914.7,1721.4,6.950306e7,4.815934e7,194.9,1.765736e7,1.857e-14,2.005916e5,4.917697e5,2.902e-15,3.314e-15,4.316796e4,4.864890e4,3.933026e4,3.911946e4,4.066542e4,4.045937e4,1992,389,351,1.128311e7,1.095
344520,29,21.201,1864.9,1672.4,7.026241e7,4.914133e7,194.1,1.730557e7,1.808e-14,2.035387e5,5.002823e5,6.863e-15,2.292e-14,4.331592e4,4.838185e4,4.016905e4,3.959053e4,4.036884e4,3.986920e4,2080,381,360,1.110465e7,1.090
356400,30,20.889,1860.2,1685.9,6.878052e7,4.928282e7,169.1,1.809566e7,2.203e-14,2.071608e5,5.097190e5,4.917e-15,5.710e-16,4.424516e4,4.895830e4,4.270173e4,3.918868e4,4.062312e4,3.952159e4,2052,366,373,1.168034e7,1.082
