step,cause,age,size,n,worn
10000,hunger,0,0,28,0
10000,hunger,0,4,34,0
10000,hunger,0,8,33,0
10000,hunger,0,12,24,0
10000,hunger,0,16,43,0
10000,hunger,0,20,103,0
10000,hunger,0,24,78,0
10000,hunger,0,28,77,0
10000,hunger,0,32,104,0
10000,hunger,0,36,344,0
10000,hunger,0,40,44,0
10000,hunger,0,44,62,0
10000,hunger,0,48,603,1
10000,hunger,0,52,22,0
10000,hunger,0,56,11,0
10000,hunger,0,60,9,0
10000,hunger,0,64,463,2
10000,hunger,0,68,2,0
10000,hunger,0,72,3,0
10000,hunger,0,76,4,0
10000,hunger,0,80,96,0
10000,hunger,0,88,2,0
10000,hunger,0,92,5,0
10000,hunger,0,96,1,0
10000,hunger,0,100,30,1
10000,hunger,0,120,13,0
10000,hunger,0,128,1,0
10000,hunger,0,136,1,0
10000,hunger,0,144,1,0
10000,hunger,0,168,3,0
10000,hunger,50,0,227,0
10000,hunger,50,4,252,0
10000,hunger,50,8,253,0
10000,hunger,50,12,203,1
10000,hunger,50,16,203,0
10000,hunger,50,20,502,1
10000,hunger,50,24,338,1
10000,hunger,50,28,272,0
10000,hunger,50,32,404,1
10000,hunger,50,36,1551,5
10000,hunger,50,40,149,0
10000,hunger,50,44,170,0
10000,hunger,50,48,2102,9
10000,hunger,50,52,40,0
10000,hunger,50,56,51,3
10000,hunger,50,60,39,0
10000,hunger,50,64,1276,7
10000,hunger,50,68,8,0
10000,hunger,50,72,7,0
10000,hunger,50,76,11,0
10000,hunger,50,80,202,1
10000,hunger,50,84,1,0
10000,hunger,50,100,13,2
10000,hunger,50,120,3,0
10000,hunger,100,0,119,0
10000,hunger,100,4,186,0
10000,hunger,100,8,183,1
10000,hunger,100,12,109,0
10000,hunger,100,16,126,0
10000,hunger,100,20,263,0
10000,hunger,100,24,227,0
10000,hunger,100,28,145,0
10000,hunger,100,32,256,0
10000,hunger,100,36,986,5
10000,hunger,100,40,108,0
10000,hunger,100,44,134,0
10000,hunger,100,48,1374,15
10000,hunger,100,52,26,0
10000,hunger,100,56,28,0
10000,hunger,100,60,41,1
10000,hunger,100,64,884,14
10000,hunger,100,68,2,0
10000,hunger,100,72,4,0
10000,hunger,100,76,4,0
10000,hunger,100,80,176,2
10000,hunger,100,96,1,0
10000,hunger,100,100,11,0
10000,hunger,150,0,60,0
10000,hunger,150,4,144,1
10000,hunger,150,8,211,1
10000,hunger,150,12,120,1
10000,hunger,150,16,107,0
10000,hunger,150,20,222,0
10000,hunger,150,24,170,1
10000,hunger,150,28,150,4
10000,hunger,150,32,205,0
10000,hunger,150,36,763,14
10000,hunger,150,40,82,1
10000,hunger,150,44,109,5
10000,hunger,150,48,1352,17
10000,hunger,150,52,26,1
10000,hunger,150,56,41,0
10000,hunger,150,60,32,0
10000,hunger,150,64,855,12
10000,hunger,150,68,5,0
10000,hunger,150,72,2,0
10000,hunger,150,76,1,0
10000,hunger,150,80,195,5
10000,hunger,150,88,1,0
10000,hunger,150,96,2,0
10000,hunger,150,100,27,1
10000,hunger,150,120,3,0
10000,hunger,200,0,39,0
10000,hunger,200,4,110,1
10000,hunger,200,8,222,0
10000,hunger,200,12,139,0
10000,hunger,200,16,100,1
10000,hunger,200,20,185,1
10000,hunger,200,24,172,2
10000,hunger,200,28,137,1
10000,hunger,200,32,206,2
10000,hunger,200,36,662,8
10000,hunger,200,40,86,0
10000,hunger,200,44,122,0
10000,hunger,200,48,1119,16
10000,hunger,200,52,40,2
10000,hunger,200,56,24,0
10000,hunger,200,60,39,1
10000,hunger,200,64,718,18
10000,hunger,200,68,5,0
10000,hunger,200,72,3,0
10000,hunger,200,76,6,0
10000,hunger,200,80,167,6
10000,hunger,200,100,24,1
10000,hunger,200,120,2,0
10000,hunger,200,144,2,0
10000,hunger,250,0,19,0
10000,hunger,250,4,74,0
10000,hunger,250,8,159,0
10000,hunger,250,12,105,0
10000,hunger,250,16,83,1
10000,hunger,250,20,188,4
10000,hunger,250,24,156,2
10000,hunger,250,28,91,3
10000,hunger,250,32,188,5
10000,hunger,250,36,531,8
10000,hunger,250,40,66,2
10000,hunger,250,44,78,1
10000,hunger,250,48,970,21
10000,hunger,250,52,29,1
10000,hunger,250,56,27,0
10000,hunger,250,60,34,5
10000,hunger,250,64,652,15
10000,hunger,250,68,3,0
