step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest
10000,2190,1.313,1.398,9.66,118142,94802,0,21440,1129,2384291,1238315.2,1141026.1,0.188,0.540,0.136,0.137,95,32.25,17.46,3.94,5.98,9.61,8.17,0.29,1.84,13.50,10.12,1.03,1.76,0.297,0.217,1878,0.006,0.026,0.962,0.002,0.010,242288,193373,5,0.468,0.323,0.054,1674948,0.269,2.642,0.153,108.27,93423,236,0.479,0.207,0.355,10218374,2.17,3.63,0.216,0.743,0.308,10.1,31.5,53.5,124.4,59871,0.228,0.00,0.0042,0.086,583,0.551,0.001,0.503,0.524,4.46,5.54,5.61,1.11,0.341,2.40,1.48,2.58,0.594,0.00408,71.49,59.7336,1300.19,96546.3,140122.1,0.166,37.0483,261.797,0.000,1.000,0.030,78.8,101.716,118.013,3592,19668.7,25.61,109.523,6.37,20.837,468.1,9.246,0.134,2.00,7.4428,16299.8,0.4391,0.3428,27.34,1.087,0.300,1.5345,0.0000,0.571,0.111,0.832,0.0000,6.49,0.80,8,26,49,76,94.1551,0.0055,0.4443,0.0000,0.0000,50.6380,100.00,66.8068,274.7604,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0032,0.0013,0.000004,2,0.2379,0.0237,0.0183,55,187,513,0.0000,0.0000,0.0106,0.030,9.9087,0.0196,3.0187,0.0333,0.3369,0.0986,0.0000,0.00011,0.464,0.0055,0.787,0.104,0.21,0.054,0.544,0.033,0.1093,0.115,0.665,0.9699,0.8981,1.5171,1.6171,0.07963,0.04182
20000,2552,1.235,1.827,15.97,47837,41470,0,5987,17,751681,483065.6,320319.8,0.097,0.758,0.064,0.081,139,27.76,14.13,2.22,5.12,6.58,5.60,0.09,0.84,9.33,7.68,0.53,1.37,0.244,0.168,1639,0.028,0.053,0.920,0.004,0.023,61033,44828,5,0.600,0.064,0.028,750628,0.209,2.996,0.205,47.24,26936,265,0.426,0.265,0.338,4794273,1.64,2.24,0.329,0.650,0.158,9.0,28.9,45.9,100.5,46489,0.177,0.00,0.0020,0.088,691,0.451,0.000,0.439,0.279,3.39,4.45,4.47,0.57,0.175,1.77,1.36,1.77,0.476,0.00212,10.71,11.2724,1168.71,89560.7,140122.1,0.000,7.7122,103.659,0.000,1.000,0.037,73.6,43.267,43.410,4468,26489.6,17.53,35.201,5.76,4.440,823.5,1.688,0.133,2.00,6.2645,15986.9,0.5716,0.3431,18.22,1.609,0.494,0.4655,0.0000,0.603,0.116,0.847,0.0000,5.02,1.29,5,16,36,64,39.1238,0.0067,0.4350,0.0000,0.0000,13.8806,100.00,97.5048,200.4641,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0033,0.0014,0.000003,1,0.1465,0.0141,0.0210,50,169,584,0.0000,0.0000,0.0020,0.005,3.5926,0.0179,1.0922,0.0196,0.4118,0.0639,0.0000,-0.00027,0.091,0.0010,0.308,0.061,0.08,0.028,0.354,0.010,0.0859,0.038,0.534,0.7071,0.6816,1.0477,0.9887,0.09416,0.06999
