step,lat,wood_class,cells,grown,grass,wood,temp,bodies
1000,-60,0,5237,1231.9552,640.71,88.00,1.83,281
1000,-60,1,2495,1185.3387,531.08,644.03,0.93,305
1000,-60,2,2,1.4458,0.32,2.51,22.54,1
1000,-50,0,7092,1604.6983,654.84,95.54,15.06,444
1000,-50,1,1601,947.5355,343.06,498.83,14.14,291
1000,-50,2,5,3.6233,0.85,7.80,29.42,0
1000,-40,0,6338,1172.4007,485.16,63.05,26.41,355
1000,-40,1,1741,935.7509,248.89,635.55,23.27,306
1000,-40,2,2,0.9906,1.30,2.39,13.17,0
1000,-30,0,4324,953.9278,342.59,88.11,33.46,288
1000,-30,1,3254,1554.8228,600.76,1520.38,29.60,502
1000,-30,2,599,273.0171,103.68,844.86,34.76,96
1000,-20,0,1820,417.3444,144.91,41.40,55.87,46
1000,-20,1,2521,1236.5613,437.58,1071.14,30.03,274
1000,-20,2,3878,1935.7412,458.39,11057.40,33.07,937
1000,-10,0,1808,387.0931,164.80,24.36,65.26,30
1000,-10,1,2073,945.6586,225.87,921.12,35.06,30
1000,-10,2,4343,2397.1930,754.38,15832.21,34.84,1273
1000,0,0,1824,396.9306,237.26,31.11,72.11,18
1000,0,1,1740,869.1406,339.45,841.91,40.70,40
1000,0,2,4803,2606.1423,662.26,15258.46,38.05,1160
1000,10,0,3014,854.6056,348.26,51.73,74.60,39
1000,10,1,2709,1639.6512,562.78,1338.71,44.81,156
1000,10,2,3722,2249.7149,575.25,9755.41,22.85,991
1000,20,0,3994,740.5310,262.20,62.11,62.26,157
1000,20,1,3278,1899.2893,596.60,1560.85,36.39,371
1000,20,2,1173,764.9067,217.23,2055.87,8.26,225
1000,30,0,6744,1270.0685,420.21,85.09,37.43,354
1000,30,1,2310,1451.3434,474.79,1004.22,42.41,396
1000,30,2,220,208.6286,122.14,242.93,71.00,49
1000,40,0,6695,1039.9903,409.87,63.83,28.38,250
1000,40,1,1252,819.7960,274.84,492.05,49.77,254
1000,40,2,223,177.2923,64.31,262.08,65.79,60
1000,50,0,5138,401.6448,303.08,13.83,19.39,26
1000,50,1,567,281.2134,119.96,138.70,53.69,57
1000,50,2,11,8.6491,3.36,13.68,35.34,1
1000,60,0,3853,72.7192,69.80,0.77,11.91,0
1000,60,1,2,1.3187,1.12,0.32,20.07,0
1000,70,0,4656,3.7717,4.82,0.16,8.42,0
1000,80,0,3564,0.0236,0.45,0.06,4.84,0
2000,-60,0,5295,63.4927,371.58,89.88,-15.57,7
2000,-60,1,2437,34.7909,262.10,609.45,-19.23,12
2000,-60,2,2,0.0303,0.00,2.43,-6.37,0
2000,-50,0,7119,328.8443,517.38,95.63,-9.01,67
2000,-50,1,1575,172.6334,215.42,487.35,-2.32,46
2000,-50,2,4,0.0861,0.00,6.64,-2.40,0
2000,-40,0,6341,529.5900,521.31,62.57,2.53,144
2000,-40,1,1738,231.0798,210.80,633.48,8.43,59
2000,-40,2,2,0.5209,0.00,2.36,-7.22,0
2000,-30,0,4324,448.6223,325.21,87.66,12.53,182
2000,-30,1,3249,638.7737,478.53,1519.52,19.54,264
2000,-30,2,604,124.8667,95.08,855.85,24.64,55
2000,-20,0,1822,270.2354,210.05,41.61,14.50,69
2000,-20,1,2515,639.4753,410.11,1073.35,22.64,235
2000,-20,2,3882,589.3497,356.22,11119.57,32.19,275
2000,-10,0,1809,361.2984,371.62,24.36,24.66,34
2000,-10,1,2069,599.9590,535.57,920.53,25.98,70
2000,-10,2,4346,881.3211,568.65,15879.01,40.53,401
2000,0,0,1825,370.7671,408.87,30.88,25.89,29
