step,lat,wood_class,cells,grown,grass,wood,temp,bodies
1000,-60,0,5237,1151.5047,525.00,88.00,1.83,270
1000,-60,1,2495,1161.4815,503.10,644.03,0.93,304
1000,-60,2,2,0.7069,0.00,2.51,22.54,0
1000,-50,0,7092,1479.9831,513.94,95.54,15.06,360
1000,-50,1,1601,927.2805,291.19,498.83,14.14,299
1000,-50,2,5,2.2600,0.10,7.80,29.42,0
1000,-40,0,6338,1215.3772,474.15,63.06,26.41,440
1000,-40,1,1741,898.1986,188.04,635.55,23.27,299
1000,-40,2,2,0.7378,0.00,2.39,13.17,1
1000,-30,0,4323,1015.9168,329.79,88.01,33.45,337
1000,-30,1,3255,1488.0576,514.82,1520.49,29.61,501
1000,-30,2,599,292.2327,106.04,844.86,34.76,95
1000,-20,0,1820,469.7283,171.41,41.41,55.87,52
1000,-20,1,2521,1194.3584,438.59,1071.13,30.03,227
1000,-20,2,3878,2131.5467,754.83,11057.24,33.07,763
1000,-10,0,1808,368.5999,158.68,24.36,65.26,13
1000,-10,1,2073,984.0846,316.57,921.12,35.06,30
1000,-10,2,4343,2196.1348,705.19,15832.52,34.84,775
1000,0,0,1825,368.2496,194.07,31.20,72.11,9
1000,0,1,1739,908.7881,387.12,841.79,40.68,15
1000,0,2,4803,2631.5180,865.36,15259.30,38.05,697
1000,10,0,3014,804.3873,257.12,51.73,74.60,60
1000,10,1,2709,1651.1609,608.03,1338.68,44.81,120
1000,10,2,3722,2100.1030,467.48,9756.87,22.85,607
1000,20,0,3994,742.3096,382.36,62.10,62.26,96
1000,20,1,3278,1812.7834,482.62,1560.84,36.39,313
1000,20,2,1173,743.7083,172.76,2055.87,8.26,233
1000,30,0,6744,1346.2764,545.85,85.09,37.43,396
1000,30,1,2310,1511.7513,579.63,1004.22,42.41,412
1000,30,2,220,127.8551,19.93,242.93,71.00,40
1000,40,0,6695,1094.1514,415.80,63.83,28.38,329
1000,40,1,1252,745.3815,243.85,492.05,49.77,179
1000,40,2,223,144.3960,39.11,262.08,65.79,45
1000,50,0,5138,401.6424,221.59,13.83,19.39,63
1000,50,1,567,329.5430,130.75,138.70,53.69,70
1000,50,2,11,5.6284,0.66,13.68,35.34,1
1000,60,0,3853,71.0791,64.95,0.77,11.91,2
1000,60,1,2,0.1085,0.04,0.32,20.07,0
1000,70,0,4656,4.3607,5.30,0.16,8.42,0
1000,80,0,3564,0.0276,0.44,0.06,4.84,0
2000,-60,0,5295,50.4045,290.42,89.88,-15.57,18
2000,-60,1,2437,26.9826,248.88,609.45,-19.23,9
2000,-60,2,2,0.0001,0.00,2.43,-6.37,0
2000,-50,0,7119,291.9555,462.83,95.63,-9.01,37
2000,-50,1,1575,140.5924,166.27,487.35,-2.32,30
2000,-50,2,4,0.2289,0.05,6.64,-2.40,0
2000,-40,0,6341,450.0062,419.92,62.57,2.53,181
2000,-40,1,1738,187.2328,151.18,633.48,8.43,57
2000,-40,2,2,0.0098,0.01,2.36,-7.22,1
2000,-30,0,4324,433.1929,323.35,87.65,12.53,158
2000,-30,1,3249,614.1415,516.39,1519.54,19.54,227
2000,-30,2,604,134.5520,105.07,855.85,24.64,61
2000,-20,0,1822,353.6262,290.86,41.63,14.50,83
2000,-20,1,2515,691.7517,526.55,1073.31,22.64,223
2000,-20,2,3882,890.7360,591.07,11119.43,32.19,455
2000,-10,0,1809,349.0008,332.26,24.36,24.66,36
2000,-10,1,2069,767.7251,636.53,920.54,25.98,24
2000,-10,2,4346,807.9477,557.63,15879.27,40.53,411
2000,0,0,1825,316.3163,357.07,30.87,25.89,33
2000,0,1,1744,768.0437,729.11,844.49,30.14,11
2000,0,2,4798,1056.4084,714.97,15266.37,44.58,396
2000,10,0,3018,375.7985,400.20,51.56,24.91,10
2000,10,1,2733,934.6645,974.29,1359.33,33.80,2
2000,10,2,3694,613.7043,463.33,9743.99,57.89,226
2000,20,0,3997,412.7790,487.69,61.76,30.00,16
2000,20,1,3278,710.6522,732.16,1555.59,49.18,24
2000,20,2,1170,196.9132,156.28,2059.35,66.05,51
2000,30,0,6747,635.7856,621.56,85.00,43.10,74
2000,30,1,2301,532.0831,514.45,995.49,42.29,88
2000,30,2,226,33.5676,25.80,250.65,19.24,13
2000,40,0,6690,514.1851,381.48,63.38,43.94,155
2000,40,1,1253,288.8408,195.53,495.32,28.54,90
2000,40,2,227,47.5941,33.43,269.99,16.88,14
2000,50,0,5132,415.0677,367.11,13.43,41.77,58
2000,50,1,573,264.5274,142.71,143.41,18.66,71
2000,50,2,11,5.6121,1.35,14.09,26.53,2
2000,60,0,3853,162.5415,162.49,0.77,34.55,3
2000,60,1,2,2.3844,2.03,0.34,35.46,0
2000,70,0,4656,49.5504,44.88,0.15,26.53,0
2000,80,0,3564,7.3564,6.88,0.06,26.15,0
3000,-60,0,5356,0.6362,177.34,91.47,-15.88,0
3000,-60,1,2376,0.3300,143.70,573.79,-18.05,0
3000,-60,2,2,0.0000,0.00,2.32,-14.98,0
3000,-50,0,7155,179.2797,384.21,95.44,-3.48,22
3000,-50,1,1539,68.9951,134.95,466.58,-20.52,9
3000,-50,2,4,0.2127,0.20,6.42,-10.77,0
3000,-40,0,6347,411.7424,424.97,62.04,6.34,121
3000,-40,1,1732,198.8898,176.78,625.21,-11.75,32
3000,-40,2,2,0.0430,0.00,2.34,27.50,0
3000,-30,0,4331,505.3527,416.31,87.79,12.09,159
3000,-30,1,3235,566.6284,296.00,1512.58,2.95,270
3000,-30,2,611,138.0673,82.07,867.94,-1.79,72
3000,-20,0,1819,445.6982,372.29,41.44,14.49,96
3000,-20,1,2506,565.5437,241.41,1068.28,19.88,182
3000,-20,2,3894,814.1504,453.47,11158.53,6.93,521
3000,-10,0,1811,546.6079,507.23,24.50,12.59,70
3000,-10,1,2058,1019.7213,578.71,916.34,31.37,187
3000,-10,2,4355,773.3058,437.86,15911.60,11.08,511
3000,0,0,1824,500.6443,514.75,30.48,24.15,59
3000,0,1,1746,1103.8976,931.50,844.52,37.49,156
3000,0,2,4797,991.4459,658.91,15262.34,16.99,519
3000,10,0,3026,515.9826,581.50,49.90,35.83,11
3000,10,1,2748,1342.9322,1407.47,1368.73,39.59,82
3000,10,2,3671,716.3507,475.77,9694.62,10.42,297
3000,20,0,4005,557.3827,703.79,61.68,30.01,10
3000,20,1,3295,1089.2722,1255.08,1559.78,23.74,44
3000,20,2,1145,267.4769,225.83,2023.56,18.17,60
3000,30,0,6758,808.2609,922.39,84.84,23.69,34
3000,30,1,2293,701.8104,806.70,986.85,33.33,28
3000,30,2,223,56.8143,58.20,247.92,36.98,0
3000,40,0,6694,457.5963,475.77,62.59,19.30,28
3000,40,1,1249,301.8749,257.29,498.56,39.83,9
3000,40,2,227,64.3063,66.34,272.95,41.55,2
3000,50,0,5128,402.8858,435.14,13.07,12.37,26
3000,50,1,577,287.1335,224.62,147.86,37.17,18
3000,50,2,11,2.0772,0.47,14.62,40.85,0
3000,60,0,3853,160.0667,199.78,0.78,12.87,7
3000,60,1,2,3.8637,0.00,0.35,1.61,1
3000,70,0,4656,90.0932,97.36,0.15,24.33,0
3000,80,0,3564,36.0210,32.58,0.06,32.21,0
4000,-60,0,5423,0.5155,108.59,93.57,-7.67,3
4000,-60,1,2309,0.2259,83.92,539.29,-9.62,1
4000,-60,2,2,0.0000,0.00,2.22,5.87,0
4000,-50,0,7183,192.5669,349.67,94.51,3.24,46
4000,-50,1,1511,92.6429,141.96,448.00,15.77,8
4000,-50,2,4,0.1102,0.00,6.21,12.12,0
4000,-40,0,6354,517.8283,514.62,61.65,17.35,182
4000,-40,1,1725,282.1361,231.15,618.41,29.81,71
4000,-40,2,2,0.1775,0.11,2.32,-2.46,0
4000,-30,0,4331,554.9461,346.69,87.40,27.66,211
4000,-30,1,3222,519.0010,296.79,1506.64,36.69,243
4000,-30,2,624,150.0431,74.55,891.71,45.18,94
4000,-20,0,1814,306.6949,166.44,41.01,42.86,77
4000,-20,1,2491,402.3603,225.68,1056.57,38.95,103
4000,-20,2,3914,773.4615,395.52,11237.62,44.79,515
4000,-10,0,1815,410.2853,278.19,23.82,60.00,19
4000,-10,1,2045,548.0348,320.92,909.99,44.53,74
4000,-10,2,4364,804.6671,439.10,15984.44,51.18,492
4000,0,0,1828,408.6871,377.80,30.58,61.86,6
4000,0,1,1746,763.5005,712.49,845.25,44.98,28
4000,0,2,4793,976.4325,712.70,15287.01,55.31,352
4000,10,0,3047,577.1157,690.33,49.58,57.52,9
4000,10,1,2769,1323.1708,1563.47,1389.63,42.70,31
4000,10,2,3629,562.8337,416.99,9638.93,56.89,217
4000,20,0,4099,677.0507,882.94,65.06,59.97,24
4000,20,1,3238,1454.2739,1755.39,1506.65,50.93,66
4000,20,2,1108,310.8053,226.59,1972.49,43.59,83
4000,30,0,6820,1082.8653,1344.54,82.81,54.02,52
4000,30,1,2231,1107.8255,1352.98,958.38,45.91,26
4000,30,2,223,132.6478,141.84,248.16,57.93,0
4000,40,0,6701,712.3105,817.38,62.41,50.95,24
4000,40,1,1237,652.3306,587.63,495.89,45.00,35
4000,40,2,232,149.4056,157.15,280.83,51.67,6
4000,50,0,5125,411.5633,509.23,12.77,48.53,24
4000,50,1,580,416.2641,176.86,152.22,50.19,76
4000,50,2,11,6.0742,0.95,15.14,28.92,2
4000,60,0,3853,106.7738,179.21,0.77,41.02,1
4000,60,1,2,0.0592,0.04,0.37,54.07,0
4000,70,0,4656,50.8447,98.05,0.14,33.90,0
4000,80,0,3564,18.2152,33.41,0.05,30.58,0
5000,-60,0,5472,26.1232,87.74,94.35,-13.64,2
5000,-60,1,2260,12.0491,59.31,510.42,-15.16,3
5000,-60,2,2,0.0004,0.00,2.15,-8.91,0
5000,-50,0,7199,415.2222,481.29,93.63,-7.31,56
5000,-50,1,1495,153.6620,108.72,437.75,-5.90,49
5000,-50,2,4,0.0000,0.00,6.07,-6.09,0
5000,-40,0,6359,647.6827,505.50,61.46,0.99,225
5000,-40,1,1720,269.4807,86.09,615.42,2.49,142
5000,-40,2,2,0.0703,0.00,2.32,25.20,0
5000,-30,0,4324,477.2221,245.21,86.63,11.62,233
5000,-30,1,3216,604.0288,325.64,1507.06,10.39,264
5000,-30,2,637,142.7617,78.71,917.67,11.43,68
5000,-20,0,1810,188.0560,116.17,40.58,11.98,41
5000,-20,1,2468,507.9997,295.75,1037.36,22.05,124
5000,-20,2,3941,756.4455,303.50,11321.95,17.10,538
5000,-10,0,1814,331.7778,395.86,23.55,13.18,14
5000,-10,1,2039,624.6061,457.87,902.86,31.22,34
5000,-10,2,4371,844.3522,353.96,16018.37,22.22,598
5000,0,0,1837,414.5653,540.15,31.08,14.08,4
5000,0,1,1749,944.1358,1041.28,851.20,38.61,2
5000,0,2,4781,1056.9342,707.63,15261.06,24.80,375
5000,10,0,3055,671.5786,936.48,49.50,12.35,6
5000,10,1,2799,1534.5718,2076.10,1409.12,41.20,11
5000,10,2,3591,609.4022,543.99,9572.84,32.64,223
5000,20,0,4126,784.1653,1066.14,65.26,12.55,48
5000,20,1,3216,1792.5687,2209.38,1492.49,36.32,80
5000,20,2,1103,291.2383,233.08,1958.33,41.25,30
5000,30,0,6847,1406.7685,1774.02,82.73,23.01,41
5000,30,1,2202,1461.3681,1726.94,948.91,28.61,38
5000,30,2,225,199.0055,117.50,251.56,-1.62,40
5000,40,0,6698,1083.3901,1077.28,61.75,20.99,101
5000,40,1,1231,631.0837,223.02,493.21,14.72,117
5000,40,2,241,189.0317,48.80,293.85,-2.37,57
5000,50,0,5123,483.1014,638.05,12.58,12.58,40
5000,50,1,582,146.6947,55.50,156.34,-0.23,46
5000,50,2,11,2.1420,0.00,15.58,18.16,5
5000,60,0,3853,104.9873,185.14,0.76,4.64,4
5000,60,1,2,1.8266,1.54,0.38,6.62,0
5000,70,0,4656,29.6150,80.29,0.14,-1.63,4
5000,80,0,3564,3.8738,23.02,0.05,-1.84,0
6000,-60,0,5487,262.4451,247.61,94.39,16.72,42
6000,-60,1,2245,167.2989,131.76,501.73,14.59,51
6000,-60,2,2,0.0528,0.04,2.13,26.76,0
6000,-50,0,7203,921.5405,652.50,93.34,29.37,274
6000,-50,1,1491,222.5888,85.20,437.98,15.69,112
6000,-50,2,4,0.0000,0.00,6.04,33.40,1
6000,-40,0,6356,772.0769,450.64,60.99,37.17,416
6000,-40,1,1722,185.9630,101.28,618.35,21.04,86
6000,-40,2,3,0.6956,0.45,3.38,30.49,0
6000,-30,0,4317,527.5393,315.16,86.25,38.62,230
6000,-30,1,3204,666.0682,272.79,1507.91,29.38,281
6000,-30,2,656,179.5403,94.05,952.93,29.48,79
