step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
5000,1,6216,43.91,4.02,9.29,0.78,22.21,1.28,0.336,234,14.68,9.31,3076
5000,19,437,62.63,2.58,12.88,0.24,19.27,0.92,0.211,195,10.25,15.39,312
5000,260,295,50.22,0.14,3.50,0.07,26.61,0.01,0.000,339,14.54,14.28,132
5000,21,217,107.58,7.33,22.49,0.24,29.40,2.92,0.567,400,21.71,25.97,129
5000,23,190,35.11,1.22,8.96,0.31,12.77,0.46,0.126,314,9.94,12.10,127
5000,4,108,42.51,0.00,16.54,0.00,6.81,0.00,0.000,225,5.87,16.51,65
5000,26,40,54.59,0.38,0.00,1.12,39.17,0.00,0.000,85,5.40,6.62,20
5000,8,26,43.45,5.96,7.54,0.00,11.88,2.96,0.962,374,14.04,13.45,17
5000,54,15,49.56,12.47,9.27,0.13,12.47,2.53,0.800,668,25.25,12.94,12
5000,243,13,66.93,4.15,25.77,0.00,13.77,1.62,0.462,145,10.51,24.41,9
5000,38,9,16.24,0.00,1.89,0.00,11.67,0.00,0.000,820,26.96,12.92,4
6000,1,3963,47.22,3.27,9.08,1.27,25.88,0.96,0.211,199,16.77,9.04,1763
6000,19,463,45.15,0.96,13.48,0.07,12.42,0.43,0.117,194,7.90,16.19,296
6000,489,366,37.84,6.03,5.73,0.01,19.19,1.44,0.423,169,12.18,6.74,235
6000,4,175,51.60,0.00,17.51,0.00,10.11,0.00,0.000,163,5.19,16.48,100
6000,21,152,102.81,10.31,12.45,0.15,33.86,1.83,0.421,418,26.12,18.42,90
6000,23,67,31.59,0.27,5.81,0.16,14.79,0.09,0.015,520,17.80,5.86,42
6000,243,48,34.11,1.65,10.21,0.21,10.94,0.42,0.083,205,5.16,12.20,28
6000,54,46,44.06,11.04,14.46,0.35,7.13,3.85,0.913,251,10.17,12.32,35
6000,38,6,17.10,0.00,1.50,0.00,12.67,0.00,0.000,1856,48.51,24.33,4
6000,479,6,136.35,35.50,10.33,0.00,18.17,3.33,0.500,1025,28.47,32.81,6
7000,1,2675,46.79,4.14,9.74,1.07,23.39,1.20,0.259,228,14.99,8.43,1221
7000,23,632,29.07,0.44,6.44,0.05,13.05,0.12,0.035,217,7.75,9.06,350
7000,19,390,45.95,0.61,10.49,0.20,14.39,0.10,0.031,204,9.78,12.69,234
7000,489,382,50.34,9.99,8.62,0.00,20.12,2.63,0.736,239,13.24,9.09,240
7000,492,178,27.35,1.27,5.38,0.00,18.70,0.13,0.039,294,15.88,5.54,73
7000,4,124,49.64,0.00,14.27,0.04,11.49,0.00,0.000,159,5.67,17.90,70
7000,21,52,104.80,12.29,17.63,0.02,24.92,4.25,0.846,596,30.02,27.86,42
7000,493,51,36.40,0.06,10.25,0.00,9.04,0.02,0.000,289,6.30,14.51,41
7000,491,45,11.11,0.29,4.58,0.27,6.02,0.04,0.022,189,7.49,3.41,14
8000,1,1088,44.23,5.03,5.16,0.16,19.21,1.63,0.410,228,12.64,9.66,526
8000,19,345,54.26,1.57,15.35,0.18,11.71,0.63,0.162,215,8.73,14.83,241
8000,516,345,26.63,0.06,7.60,0.81,6.08,0.02,0.006,124,3.68,9.23,204
