step,lat,wood_class,cells,grown,grass,wood,temp,bodies
1000,-60,0,5237,1177.8482,586.08,88.00,1.83,202
1000,-60,1,2495,1241.3141,604.13,644.03,0.93,356
1000,-60,2,2,1.2065,0.00,2.51,22.54,0
1000,-50,0,7092,1577.5386,624.33,95.54,15.06,430
1000,-50,1,1601,944.6208,335.27,498.83,14.14,318
1000,-50,2,5,3.2271,0.57,7.80,29.42,1
1000,-40,0,6338,1229.4176,511.03,63.06,26.41,408
1000,-40,1,1741,1056.8234,397.69,635.55,23.27,335
1000,-40,2,2,0.4495,0.00,2.39,13.17,0
1000,-30,0,4323,987.2671,419.21,88.01,33.45,282
1000,-30,1,3255,1497.4283,568.81,1520.49,29.61,441
1000,-30,2,599,272.9296,89.25,844.86,34.76,86
1000,-20,0,1820,482.8462,218.16,41.41,55.87,57
1000,-20,1,2521,1279.0165,471.54,1071.17,30.03,265
1000,-20,2,3878,1934.4681,504.09,11056.97,33.07,777
1000,-10,0,1808,401.3387,169.56,24.35,65.26,42
1000,-10,1,2073,979.3793,223.05,921.12,35.06,84
1000,-10,2,4343,2335.1826,680.19,15832.01,34.84,955
1000,0,0,1825,378.8754,177.95,31.21,72.11,8
1000,0,1,1739,934.6651,311.90,841.77,40.68,18
1000,0,2,4803,2650.5089,741.11,15258.51,38.05,781
1000,10,0,3014,759.7331,241.98,51.73,74.60,27
1000,10,1,2709,1635.0809,604.74,1338.72,44.81,157
1000,10,2,3722,2216.2049,649.53,9755.77,22.85,679
1000,20,0,3994,751.5024,306.43,62.09,62.26,135
1000,20,1,3278,2123.4478,966.80,1560.84,36.39,389
1000,20,2,1173,811.8844,292.65,2055.87,8.26,241
1000,30,0,6744,1299.6268,451.41,85.09,37.43,347
1000,30,1,2310,1520.1866,602.46,1004.21,42.41,377
1000,30,2,220,146.3802,23.12,242.93,71.00,57
1000,40,0,6695,1100.4911,464.07,63.83,28.38,296
1000,40,1,1252,695.4719,180.32,492.05,49.77,201
1000,40,2,223,151.9923,55.33,262.08,65.79,41
1000,50,0,5138,467.8100,354.97,13.83,19.39,42
1000,50,1,567,227.7580,62.33,138.70,53.69,37
1000,50,2,11,4.8800,1.58,13.68,35.34,1
1000,60,0,3853,85.5705,83.50,0.77,11.91,0
1000,60,1,2,1.3321,1.27,0.32,20.07,0
1000,70,0,4656,4.7230,5.77,0.16,8.42,0
1000,80,0,3564,0.0234,0.43,0.06,4.84,0
2000,-60,0,5295,58.7785,350.00,89.88,-15.57,5
2000,-60,1,2437,30.7946,255.35,609.45,-19.23,18
2000,-60,2,2,0.0000,0.00,2.43,-6.37,0
2000,-50,0,7119,344.8571,539.18,95.63,-9.01,56
2000,-50,1,1575,167.3533,216.59,487.35,-2.32,44
2000,-50,2,4,0.0442,0.00,6.64,-2.40,1
2000,-40,0,6341,500.8307,499.42,62.57,2.53,156
2000,-40,1,1738,332.0904,346.49,633.48,8.43,105
2000,-40,2,2,0.1217,0.00,2.36,-7.22,0
2000,-30,0,4324,580.8135,474.97,87.65,12.53,159
2000,-30,1,3249,669.7984,528.55,1519.53,19.54,235
2000,-30,2,604,133.0567,89.45,855.85,24.64,58
2000,-20,0,1822,372.1906,339.71,41.62,14.50,62
2000,-20,1,2515,700.0222,460.02,1073.39,22.64,195
2000,-20,2,3882,566.6888,409.73,11119.13,32.19,301
2000,-10,0,1809,357.2457,352.74,24.35,24.66,18
2000,-10,1,2069,572.2350,493.03,920.54,25.98,38
2000,-10,2,4346,736.5591,616.95,15878.60,40.53,257
2000,0,0,1824,278.7845,304.19,30.78,25.90,15
2000,0,1,1745,616.6091,504.90,844.58,30.13,25
2000,0,2,4798,850.8362,529.59,15265.54,44.58,251
2000,10,0,3018,352.9107,347.03,51.56,24.91,22
2000,10,1,2733,773.8034,671.86,1359.35,33.80,33
2000,10,2,3694,678.7558,608.75,9742.12,57.89,193
2000,20,0,3998,335.9314,369.97,61.85,30.00,27
2000,20,1,3277,855.4967,785.20,1555.49,49.18,52
2000,20,2,1170,239.8647,186.42,2059.31,66.05,117
2000,30,0,6747,563.7729,558.96,85.00,43.10,72
2000,30,1,2301,503.4837,517.07,995.46,42.29,57
2000,30,2,226,35.2082,26.73,250.65,19.24,10
2000,40,0,6690,654.2032,623.88,63.38,43.94,90
2000,40,1,1253,309.8903,268.34,495.32,28.54,63
2000,40,2,227,65.6548,59.77,269.99,16.88,19
2000,50,0,5132,579.9849,480.99,13.43,41.77,83
2000,50,1,573,245.1813,165.40,143.41,18.66,31
2000,50,2,11,2.4933,0.71,14.09,26.53,3
2000,60,0,3853,194.5146,188.17,0.77,34.55,11
2000,60,1,2,3.3116,3.30,0.34,35.46,0
2000,70,0,4656,50.7670,46.13,0.15,26.53,0
2000,80,0,3564,7.2106,6.76,0.06,26.15,0
3000,-60,0,5356,1.3234,209.50,91.47,-15.88,3
3000,-60,1,2376,0.2988,148.16,573.79,-18.05,2
3000,-60,2,2,0.0000,0.00,2.32,-14.98,0
3000,-50,0,7155,194.9069,424.09,95.44,-3.48,24
3000,-50,1,1539,89.1787,171.21,466.58,-20.52,21
3000,-50,2,4,0.0003,0.00,6.42,-10.77,1
3000,-40,0,6347,463.4431,482.10,62.03,6.34,136
3000,-40,1,1732,363.9579,413.08,625.21,-11.75,68
3000,-40,2,2,0.1961,0.09,2.34,27.50,1
3000,-30,0,4330,581.7620,306.06,87.70,12.09,265
3000,-30,1,3236,704.2015,453.11,1512.67,2.95,264
3000,-30,2,611,193.4826,109.68,867.94,-1.79,88
3000,-20,0,1819,372.8983,109.15,41.43,14.49,170
3000,-20,1,2506,634.2298,240.50,1068.38,19.88,267
3000,-20,2,3894,697.9773,392.22,11158.22,6.93,465
3000,-10,0,1811,537.0602,451.59,24.50,12.59,60
3000,-10,1,2058,811.0306,428.47,916.34,31.37,116
3000,-10,2,4355,1099.2110,694.98,15910.81,11.08,586
3000,0,0,1825,464.0448,545.88,30.59,24.16,7
3000,0,1,1745,887.0651,888.17,844.41,37.49,29
3000,0,2,4797,1048.5165,759.11,15261.38,16.99,436
3000,10,0,3026,482.6913,572.08,51.31,35.83,11
3000,10,1,2748,1011.2485,1137.67,1368.75,39.59,10
3000,10,2,3671,788.3844,701.90,9692.39,10.42,186
3000,20,0,4007,447.1939,538.43,61.80,30.00,12
3000,20,1,3293,1086.6818,1236.87,1559.58,23.75,6
3000,20,2,1145,242.9113,258.83,2023.44,18.17,19
3000,30,0,6759,762.9066,842.58,84.87,23.69,15
3000,30,1,2292,678.3669,803.32,986.29,33.32,23
3000,30,2,223,81.9150,81.03,247.92,36.98,1
3000,40,0,6694,723.6098,742.08,63.15,19.30,60
3000,40,1,1249,373.1247,224.17,498.56,39.83,26
3000,40,2,227,98.4399,98.93,272.95,41.55,3
3000,50,0,5128,414.3718,434.27,13.07,12.37,15
3000,50,1,577,245.2750,77.75,147.86,37.17,17
3000,50,2,11,0.2487,0.01,14.62,40.85,0
3000,60,0,3853,161.4590,183.83,0.78,12.87,1
3000,60,1,2,3.9753,3.36,0.35,1.61,0
3000,70,0,4656,91.0703,98.79,0.15,24.33,0
3000,80,0,3564,37.2159,33.45,0.06,32.21,0
4000,-60,0,5423,0.9934,128.25,93.57,-7.67,0
4000,-60,1,2309,0.2169,86.02,539.29,-9.62,1
4000,-60,2,2,0.0000,0.00,2.22,5.87,0
4000,-50,0,7183,214.2044,385.86,94.51,3.24,29
4000,-50,1,1511,81.5296,124.92,448.00,15.77,8
4000,-50,2,4,0.0001,0.00,6.21,12.12,0
4000,-40,0,6354,498.2882,468.60,61.66,17.35,167
4000,-40,1,1725,299.5088,203.89,618.41,29.81,45
4000,-40,2,2,0.3675,0.11,2.32,-2.46,0
4000,-30,0,4330,489.1071,318.75,87.33,27.65,238
4000,-30,1,3223,705.4403,407.63,1506.72,36.69,274
4000,-30,2,624,201.3294,96.06,891.71,45.18,110
4000,-20,0,1814,172.5979,112.52,41.00,42.86,85
4000,-20,1,2491,448.5331,266.31,1056.68,38.95,166
4000,-20,2,3914,685.6851,316.55,11237.31,44.79,576
4000,-10,0,1813,439.6782,330.32,24.64,59.98,26
4000,-10,1,2047,449.3896,140.04,910.20,44.56,62
4000,-10,2,4364,894.4744,361.88,15983.58,51.18,693
4000,0,0,1828,495.2336,398.73,30.59,61.86,4
4000,0,1,1752,713.9012,292.67,847.15,44.94,20
4000,0,2,4787,1081.7073,601.80,15278.12,55.34,557
4000,10,0,3050,610.6742,772.89,51.61,57.64,7
4000,10,1,2766,1199.9770,1298.43,1389.53,42.55,16
4000,10,2,3629,967.7512,621.56,9636.29,56.89,455
4000,20,0,4017,592.1249,717.12,61.85,59.36,20
4000,20,1,3306,1526.9114,1652.62,1562.20,51.75,145
4000,20,2,1122,364.5170,138.11,1988.34,44.13,198
4000,30,0,6772,1059.0755,1269.72,84.73,54.03,84
