step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage
100000,6,6,0,0,1,5,0,1.00,20,0.000,2769,1.81,246.60,0.00,55
100000,4,4,0,0,0,4,0,1.00,22,0.000,2768,1.73,150.02,0.00,51
100000,10,10,0,0,0,10,0,1.00,12,0.000,2768,1.91,248.60,0.00,131
100000,4,4,0,0,0,4,0,1.00,22,0.000,2766,1.20,189.08,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2762,2.08,120.54,0.00,154
100000,5,5,0,0,0,5,0,1.00,22,0.000,2761,2.00,145.99,0.00,49
100000,6,6,0,0,1,5,0,1.00,20,0.000,2756,1.29,254.66,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2752,1.55,126.10,0.00,154
100000,3,3,0,0,0,3,0,1.00,24,0.000,2751,1.89,118.01,0.00,80
100000,5,5,0,0,0,5,0,1.00,22,0.000,2747,1.65,212.75,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2744,1.88,154.05,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2743,2.13,164.58,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2741,1.54,145.68,0.00,55
100000,5,5,0,0,0,5,0,1.00,22,0.000,2741,2.11,173.79,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2739,1.23,149.40,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2739,1.31,134.15,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2738,1.71,155.53,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2730,1.27,137.50,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2730,1.99,137.31,0.00,223
100000,4,4,0,0,0,4,0,1.00,22,0.000,2727,1.35,161.81,0.00,80
100000,2,2,0,0,0,2,0,1.00,26,0.000,2726,1.63,109.04,0.00,80
100000,4,4,0,0,0,4,0,1.00,22,0.000,2724,2.24,182.33,0.00,131
100000,4,4,0,0,0,4,0,1.00,22,0.000,2723,1.84,185.69,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2721,1.52,169.98,0.00,49
100000,4,4,0,0,0,4,0,1.00,22,0.000,2714,1.79,157.87,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2708,1.38,188.71,0.00,80
100000,6,6,0,0,0,6,0,1.00,20,0.000,2707,2.14,156.85,0.00,223
100000,5,5,0,0,0,5,0,1.00,20,0.000,2707,1.97,193.53,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2704,2.27,158.97,0.00,80
100000,10,10,0,0,2,8,0,1.00,18,0.000,2700,2.12,176.90,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2699,2.01,146.57,0.00,223
100000,4,4,0,0,0,4,0,1.00,22,0.000,2699,1.77,203.13,0.00,131
100000,6,6,0,0,1,5,0,1.00,20,0.000,2697,1.14,244.58,0.00,55
100000,2,2,0,0,0,2,0,1.00,26,0.000,2695,1.33,106.72,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2692,2.22,128.08,0.00,214
100000,5,5,0,0,0,5,0,1.00,22,0.000,2689,1.83,149.23,0.00,221
100000,6,6,0,0,0,6,0,1.00,20,0.000,2686,1.37,247.61,0.00,55
100000,4,4,0,0,0,4,0,1.00,22,0.000,2685,1.77,202.77,0.00,80
100000,6,6,0,0,1,5,0,1.00,20,0.000,2684,1.70,208.35,0.00,55
100000,4,4,0,0,0,4,0,1.00,22,0.000,2683,1.63,149.54,0.00,51
100000,6,6,0,0,0,6,0,1.00,20,0.000,2682,2.54,201.84,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2680,1.14,149.34,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2677,2.06,160.14,0.00,80
100000,18,18,0,0,0,18,0,1.00,10,0.000,2676,2.33,226.28,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2673,1.66,173.56,0.00,80
100000,4,4,0,0,0,4,0,1.00,22,0.000,2669,2.27,135.78,0.00,51
100000,6,6,0,0,0,6,0,1.00,20,0.000,2669,1.86,168.06,0.00,131
100000,6,6,0,0,0,6,0,1.00,18,0.000,2667,2.52,184.85,0.00,51
100000,4,4,0,0,0,4,0,1.00,22,0.000,2662,1.26,118.75,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2658,0.54,218.55,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2650,1.88,146.23,0.00,223
100000,3,3,0,0,0,3,0,1.00,24,0.000,2649,1.43,145.01,0.00,55
100000,10,10,0,0,0,10,0,1.00,14,0.000,2648,2.67,201.87,0.00,131
