step,event,lineage,other,size
312000,extinct,416,0,29
316000,split,497,414,23
318000,extinct,490,0,6
319000,split,499,349,20
322000,extinct,497,0,7
324000,split,505,400,7
325000,extinct,505,0,7
326000,split,507,446,16
331000,extinct,507,0,6
332000,extinct,188,0,17
332000,extinct,423,0,7
338000,merge,499,349,8
340000,split,517,400,51
344000,split,523,400,57
347000,split,525,517,19
348000,extinct,523,0,16
350000,merge,517,525,31
359000,split,533,446,127
361000,merge,533,446,73
362000,extinct,525,0,9
363000,split,534,235,12
364000,merge,534,235,12
370000,split,542,446,133
383000,merge,542,446,53
393000,split,559,400,19
394000,split,561,446,91
395000,merge,559,400,35
406000,split,565,400,81
407000,merge,561,446,101
407000,merge,565,400,81
412000,split,572,446,87
417000,split,578,400,87
422000,merge,578,400,150
427000,split,585,400,186
437000,split,589,165,87
438000,split,595,235,42
440000,extinct,165,0,7
443000,merge,595,235,127
456000,split,611,585,28
458000,merge,585,611,63
460000,split,615,589,11
462000,split,617,349,78
463000,merge,617,349,78
466000,split,621,611,182
466000,merge,615,589,17
468000,split,623,387,32
470000,split,626,349,153
470000,split,627,349,69
472000,extinct,589,0,18
473000,split,631,589,64
474000,extinct,623,0,5
475000,extinct,627,0,13
476000,extinct,611,0,230
482000,extinct,631,0,7
483000,split,643,235,406
483000,split,646,414,107
484000,merge,643,235,406
487000,split,649,621,275
492000,split,654,649,68
495000,split,658,621,65
498000,extinct,400,0,18
499000,extinct,626,0,6
501000,extinct,414,0,11
503000,split,668,235,6
505000,merge,658,654,81
507000,extinct,668,0,6
510000,split,676,654,114
510000,split,677,646,28
514000,split,681,646,21
516000,merge,681,677,20
517000,split,686,654,41
518000,split,688,654,151
518000,extinct,572,0,8
519000,split,691,654,23
519000,extinct,654,0,7
520000,split,687,649,24
520000,extinct,621,0,11
521000,split,693,677,5
522000,extinct,686,0,13
523000,split,697,235,93
524000,extinct,693,0,5
525000,extinct,691,0,9
526000,split,695,572,9
527000,extinct,677,0,8
528000,split,702,646,14
529000,split,704,646,76
529000,extinct,649,0,24
530000,split,705,676,36
530000,extinct,702,0,7
536000,extinct,697,0,6
537000,extinct,705,0,50
538000,merge,695,446,21
540000,extinct,646,0,12
543000,split,715,446,40
543000,split,716,676,11
548000,extinct,716,0,11
549000,extinct,676,0,11
550000,merge,715,446,8
555000,split,725,688,103
555000,split,726,687,31
557000,extinct,688,0,97
559000,split,728,235,145
560000,merge,728,235,145
562000,split,731,704,15
562000,merge,726,687,45
567000,split,736,725,78
569000,merge,736,725,117
574000,split,745,725,123
578000,split,750,725,34
583000,split,755,725,39
585000,extinct,731,0,5
585000,merge,755,725,86
589000,extinct,750,0,5
592000,split,760,759,9
594000,split,762,760,26
597000,extinct,760,0,7
615000,split,774,349,40
616000,merge,774,349,40
617000,extinct,725,0,20
619000,split,777,704,7
624000,extinct,777,0,13
635000,split,784,762,116
640000,split,788,784,22
646000,merge,788,784,7
657000,extinct,762,0,7
663000,split,804,687,17
669000,split,806,235,185
671000,extinct,804,0,8
684000,extinct,784,0,5
701000,merge,806,235,166
703000,split,819,704,27
704000,split,822,687,43
706000,split,823,235,216
707000,split,824,687,21
709000,merge,823,235,289
711000,extinct,822,0,13
712000,split,828,235,19
714000,split,830,235,268
715000,extinct,824,0,42
715000,merge,828,235,31
721000,split,837,687,38
724000,split,843,235,16
724000,extinct,819,0,9
726000,split,844,687,85
726000,merge,843,235,9
729000,extinct,837,0,7
733000,merge,830,235,253
739000,split,857,235,9
739000,split,858,704,34
740000,split,860,745,140
741000,extinct,857,0,9
743000,split,867,745,33
744000,merge,687,844,19
746000,split,875,745,9
747000,split,876,235,195
747000,extinct,875,0,9
748000,split,878,860,108
749000,extinct,867,0,8
751000,extinct,876,0,281
755000,split,883,235,125
756000,extinct,704,0,6
757000,split,886,235,39
760000,extinct,860,0,6
761000,extinct,883,0,147
762000,split,890,858,6
764000,split,893,235,74
765000,split,894,235,219
765000,merge,893,235,74
770000,extinct,890,0,7
781000,split,913,235,962
781000,extinct,886,0,233
782000,split,914,235,47
784000,extinct,235,0,810
792000,split,927,913,796
796000,split,928,914,11
797000,extinct,928,0,11
799000,extinct,894,0,33
799000,extinct,914,0,26
812000,split,940,927,212
814000,extinct,927,0,12
829000,split,959,913,11
830000,split,955,913,10
831000,split,964,913,8
831000,merge,959,913,8
832000,extinct,964,0,8
834000,extinct,955,0,10
835000,split,972,940,25
836000,split,977,913,6
838000,split,980,844,69
839000,extinct,972,0,5
