step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share
10000,2729,1.420,0.033,9.77,183538,177374,14,790,4183,166414,1587257.1,25386.0,0.074,0.199,0.255,0.255,0.216,778,8.71,5.38,0.38,1.95,0.26,1.83,0.09,0.73,7.99,3.97,0.04,0.36,0.012,0.068,790,0.064,0.938,0.036,0.000,0.026,165978,79693,9,0.274,0.325,0.031,1143103,0.202,0.080,0.005,160.73,68042,276,0.153,0.222,0.011,9279299,1.10,16.50,0.000,0.302,0.018
20000,2852,1.394,0.027,10.65,184961,175327,207,2904,6400,189454,1600478.5,32496.7,0.099,0.155,0.183,0.295,0.267,710,8.10,4.10,0.08,0.90,0.13,1.09,0.08,1.16,7.82,3.51,0.01,0.12,0.010,0.068,489,0.084,0.979,0.004,0.000,0.018,168948,73342,12,0.157,0.234,0.013,567132,0.173,0.069,0.003,162.84,68104,343,0.172,0.184,0.000,9178492,1.03,17.16,0.000,0.026,0.006
30000,2961,1.363,0.026,11.01,182872,175035,519,294,6915,33060,1598965.9,6484.9,0.084,0.130,0.158,0.334,0.294,603,7.68,3.85,0.04,0.66,0.12,1.46,0.08,0.92,7.44,3.24,0.00,0.10,0.008,0.073,506,0.056,0.972,0.002,0.000,0.026,168261,75822,12,0.296,0.016,0.025,636986,0.153,0.064,0.003,163.02,71086,377,0.196,0.224,0.000,9614741,1.01,17.58,0.000,0.061,0.001
40000,2980,1.346,0.025,11.99,184415,174785,690,1477,7444,75323,1584348.5,13316.6,0.111,0.157,0.188,0.289,0.255,542,7.25,3.35,0.05,0.58,0.07,0.83,0.10,1.04,7.02,2.74,0.02,0.24,0.006,0.051,541,0.077,0.968,0.012,0.000,0.019,171825,79003,10,0.316,0.117,0.022,678629,0.160,0.066,0.003,163.00,75215,350,0.177,0.246,0.002,10797163,1.02,18.08,0.001,0.151,0.006
50000,3083,1.341,0.025,12.06,183155,174227,1228,85,7512,14083,1617025.5,2514.6,0.115,0.149,0.179,0.296,0.261,487,6.88,3.26,0.02,0.64,0.06,0.78,0.08,0.82,6.72,2.87,0.00,0.11,0.004,0.049,369,0.078,0.975,0.000,0.000,0.024,171882,77900,13,0.160,0.110,0.021,651324,0.168,0.065,0.003,163.04,74507,423,0.179,0.341,0.000,12034726,1.01,18.66,0.000,0.044,0.001
60000,3090,1.336,0.029,12.50,178188,168838,1426,73,7844,7486,1612940.4,1419.8,0.128,0.165,0.202,0.268,0.236,528,6.86,3.26,0.06,1.06,0.07,1.36,0.11,0.79,6.62,2.41,0.01,0.18,0.005,0.052,403,0.094,0.979,0.001,0.000,0.020,164628,77014,14,0.183,0.037,0.043,987194,0.146,0.075,0.005,163.05,74730,360,0.190,0.356,0.001,10471871,1.02,18.64,0.001,0.031,0.001
70000,3003,1.335,0.031,12.36,184600,175359,1400,113,7815,9966,1609826.9,1796.4,0.140,0.169,0.212,0.255,0.224,483,7.22,3.34,0.05,0.59,0.07,0.93,0.25,1.74,6.85,2.48,0.00,0.13,0.005,0.053,464,0.081,0.969,0.003,0.000,0.028,171592,88564,13,0.180,0.040,0.058,1611949,0.151,0.087,0.007,163.02,81056,246,0.180,0.442,0.000,11822352,1.02,18.21,0.000,0.035,0.001
80000,3038,1.345,0.028,12.68,179587,170144,1543,61,7804,6181,1617454.9,1127.6,0.152,0.171,0.222,0.241,0.214,515,6.86,2.96,0.05,1.00,0.04,0.61,0.09,1.04,6.67,2.33,0.00,0.03,0.003,0.042,381,0.082,0.980,0.001,0.000,0.019,165701,77706,14,0.161,0.121,0.027,1246088,0.148,0.065,0.002,163.02,79083,393,0.182,0.344,0.000,11287180,1.02,18.42,0.000,0.029,0.001
90000,3090,1.324,0.030,12.64,183228,173123,1495,538,8020,22454,1615278.0,4079.3,0.170,0.175,0.229,0.225,0.202,505,7.07,4.09,0.16,1.71,0.12,1.54,0.11,1.11,6.67,2.79,0.01,0.30,0.006,0.055,502,0.091,0.960,0.006,0.000,0.034,169503,83165,18,0.178,0.083,0.033,1208163,0.149,0.073,0.003,163.05,79718,468,0.182,0.225,0.002,11513760,1.04,18.25,0.000,0.071,0.003
100000,3254,1.364,0.033,12.31,241377,228229,2067,15,10902,2689,1615620.2,421.5,0.397,0.140,0.163,0.157,0.143,422,6.31,3.77,0.19,1.44,0.09,1.47,0.14,1.35,5.89,2.74,0.00,0.15,0.004,0.046,423,0.079,0.911,0.004,0.000,0.085,226113,164581,23,0.383,0.050,0.032,888422,0.102,0.082,0.006,162.72,102617,227,0.157,0.467,0.000,6621380,1.06,19.04,0.000,0.012,0.001
110000,3227,1.392,0.032,12.51,234276,220244,2118,33,11908,2890,1600676.1,522.9,0.413,0.156,0.182,0.129,0.119,432,6.30,3.67,0.22,1.66,0.05,0.91,0.21,1.34,5.82,2.69,0.00,0.07,0.003,0.036,453,0.053,0.902,0.003,0.000,0.095,216539,161695,20,0.431,0.034,0.048,1414103,0.060,0.080,0.005,162.57,102252,314,0.181,0.364,0.000,5930637,1.07,19.07,0.000,0.015,0.001
120000,3272,1.374,0.029,12.01,252114,236897,2686,1,12485,1416,1568948.6,218.9,0.515,0.139,0.160,0.097,0.089,429,6.17,3.45,0.13,1.01,0.04,0.70,0.29,1.40,5.71,2.74,0.00,0.05,0.003,0.036,448,0.072,0.909,0.002,0.000,0.089,233662,188311,17,0.268,0.207,0.100,2522702,0.032,0.074,0.004,162.15,107530,1152,0.155,0.000,0.000,3526206,1.04,19.40,0.000,0.007,0.001
130000,3237,1.371,0.035,12.16,255063,239574,2583,6,12935,1021,1571252.2,151.8,0.494,0.142,0.160,0.108,0.096,427,6.37,4.03,0.22,1.37,0.11,1.31,0.26,1.54,5.77,3.07,0.00,0.05,0.006,0.056,509,0.060,0.889,0.003,0.000,0.108,236733,191573,17,0.308,0.042,0.087,2990879,0.039,0.084,0.006,162.23,111436,102,0.149,0.500,0.000,3440384,1.08,19.34,0.000,0.005,0.001
140000,3212,1.385,0.034,12.19,255940,240279,2515,1,13170,1139,1596472.0,121.9,0.473,0.148,0.171,0.107,0.102,411,6.51,4.08,0.29,1.87,0.12,1.11,0.38,1.57,5.72,2.89,0.00,0.05,0.008,0.061,544,0.063,0.898,0.005,0.000,0.097,236189,185686,19,0.282,0.242,0.113,3198672,0.033,0.080,0.005,162.10,110288,2156,0.107,0.000,0.000,3185856,1.11,19.34,0.000,0.007,0.001
150000,3213,1.392,0.034,12.89,257689,240663,2312,23,14690,913,1594902.2,124.5,0.468,0.154,0.177,0.100,0.101,359,6.59,3.99,0.19,1.40,0.09,0.97,0.35,1.67,5.96,3.05,0.00,0.12,0.007,0.065,554,0.049,0.879,0.004,0.000,0.117,237983,185251,26,0.182,0.112,0.104,3050554,0.054,0.081,0.005,162.25,113292,833,0.136,0.304,0.000,3236600,1.07,18.76,0.000,0.004,0.002
