step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share
10000,3231,1.424,0.046,8.06,210684,199711,800,50,8390,9895,1550881.5,1010.0,0.546,0.152,0.144,0.090,0.068,1087,6.74,4.36,0.22,1.77,0.11,1.13,0.23,2.06,6.19,3.19,0.00,0.09,0.008,0.069,438,0.089,0.881,0.007,0.000,0.111,187223,151859,4,0.362,0.045,0.032,2140577,0.161,0.110,0.013,159.14,59749,403,0.102,0.340,0.000,3460800,1.07,19.08,0.000,0.021,0.002
20000,3256,1.435,0.050,8.53,254754,240336,2353,8,12032,1926,1537742.0,187.3,0.647,0.088,0.089,0.101,0.074,757,6.36,4.36,0.18,1.78,0.13,1.42,0.12,1.52,5.93,3.23,0.00,0.07,0.007,0.064,414,0.095,0.856,0.001,0.000,0.143,236585,202421,6,0.354,0.104,0.019,841834,0.102,0.121,0.017,161.88,79165,508,0.097,0.125,0.000,2461075,1.06,19.46,0.000,0.017,0.001
30000,3285,1.404,0.041,8.94,258212,241906,2946,38,13293,2635,1547767.4,314.2,0.660,0.081,0.083,0.100,0.076,669,6.56,4.14,0.18,1.50,0.06,0.89,0.10,0.91,6.23,3.35,0.01,0.17,0.003,0.039,435,0.078,0.863,0.001,0.000,0.136,240141,205786,10,0.470,0.020,0.023,697811,0.106,0.100,0.010,162.03,87329,758,0.119,0.211,0.000,2128326,1.06,19.40,0.000,0.015,0.002
40000,3331,1.415,0.034,9.11,266306,249137,3017,68,14038,5893,1574792.2,1066.0,0.655,0.085,0.079,0.101,0.080,571,6.27,3.57,0.22,1.40,0.04,0.50,0.09,0.91,5.92,2.98,0.00,0.09,0.004,0.054,463,0.080,0.853,0.003,0.000,0.144,250035,214957,18,0.288,0.029,0.022,765875,0.121,0.086,0.006,162.31,94782,569,0.181,0.132,0.000,2497460,1.09,19.82,0.000,0.020,0.002
50000,3352,1.378,0.033,9.18,256018,239891,2868,52,13186,2880,1532445.6,496.0,0.642,0.087,0.080,0.105,0.086,533,6.10,3.89,0.19,1.80,0.10,0.92,0.15,0.90,5.66,3.03,0.00,0.00,0.010,0.055,393,0.090,0.882,0.003,0.000,0.115,241815,207713,14,0.365,0.007,0.043,842957,0.182,0.081,0.004,162.34,92624,814,0.172,0.212,0.000,2661290,1.07,20.14,0.000,0.021,0.000
60000,3357,1.390,0.030,9.34,249463,234199,2824,186,12249,6663,1523879.2,1242.9,0.634,0.093,0.083,0.106,0.085,574,6.04,3.61,0.15,1.46,0.10,0.71,0.16,1.22,5.62,2.74,0.00,0.02,0.011,0.064,381,0.120,0.882,0.004,0.000,0.114,234973,198475,13,0.321,0.041,0.043,1570346,0.204,0.081,0.005,162.39,92682,807,0.187,0.263,0.000,2742567,1.05,20.17,0.000,0.013,0.000
70000,3400,1.384,0.029,9.74,265671,249377,3283,14,12954,1784,1540837.5,203.6,0.653,0.087,0.083,0.097,0.080,527,5.84,2.97,0.13,1.12,0.06,0.33,0.07,0.86,5.58,2.50,0.00,0.00,0.007,0.040,375,0.119,0.876,0.004,0.000,0.120,252989,218720,16,0.354,0.089,0.017,961695,0.192,0.078,0.005,162.42,100866,685,0.114,0.214,0.000,2729637,1.06,20.54,0.000,0.010,0.000
80000,3391,1.368,0.025,9.87,285633,268415,3233,13,13981,2504,1526455.0,220.2,0.674,0.077,0.070,0.098,0.081,487,5.72,3.37,0.16,1.16,0.09,0.85,0.11,0.90,5.36,2.78,0.00,0.12,0.009,0.053,408,0.121,0.837,0.004,0.000,0.159,272258,237787,13,0.321,0.157,0.042,850482,0.138,0.073,0.004,162.55,111450,431,0.088,0.308,0.000,2324021,1.07,20.61,0.000,0.020,0.002
90000,3386,1.372,0.025,9.68,333484,313604,3799,69,16017,3573,1561414.0,409.5,0.753,0.058,0.051,0.076,0.062,447,5.84,3.67,0.20,1.37,0.14,1.06,0.09,1.00,5.41,3.06,0.01,0.14,0.015,0.082,438,0.095,0.825,0.006,0.000,0.170,322123,292883,13,0.313,0.019,0.019,599183,0.093,0.078,0.005,162.59,131049,855,0.115,0.275,0.000,1658011,1.08,20.37,0.000,0.022,0.002
100000,3429,1.410,0.023,9.54,273365,256411,3372,9,13530,1838,1552360.2,178.0,0.670,0.080,0.069,0.099,0.082,542,5.73,3.56,0.24,1.87,0.12,1.23,0.04,0.65,5.33,2.64,0.00,0.03,0.012,0.065,358,0.079,0.844,0.018,0.000,0.138,260929,228785,14,0.215,0.068,0.006,386869,0.133,0.070,0.004,162.46,100630,736,0.097,0.111,0.000,2037473,1.11,20.56,0.000,0.019,0.000
110000,3373,1.410,0.030,9.88,263737,246740,3319,162,13572,4335,1541524.2,893.6,0.656,0.073,0.064,0.112,0.095,601,6.06,3.62,0.27,1.57,0.10,1.06,0.07,0.82,5.63,2.90,0.01,0.14,0.008,0.051,425,0.074,0.869,0.012,0.000,0.119,251005,220109,15,0.222,0.023,0.011,332192,0.152,0.079,0.005,162.43,94617,1006,0.206,0.123,0.000,2193442,1.12,20.22,0.000,0.026,0.002
120000,3425,1.377,0.030,10.11,256617,240440,3091,85,12949,6634,1516423.4,1397.7,0.672,0.073,0.064,0.104,0.087,541,6.05,3.91,0.17,0.90,0.13,1.44,0.05,0.58,5.70,3.42,0.00,0.08,0.010,0.069,469,0.092,0.891,0.007,0.000,0.103,242050,213253,14,0.300,0.004,0.012,404906,0.131,0.082,0.006,162.31,101241,645,0.211,0.271,0.000,1671024,1.08,20.01,0.000,0.033,0.001
130000,3443,1.371,0.032,9.99,260069,243841,3004,15,13191,1900,1528718.8,283.2,0.680,0.069,0.055,0.106,0.090,531,5.76,3.46,0.16,1.12,0.09,0.82,0.06,0.77,5.45,2.86,0.00,0.15,0.009,0.060,422,0.104,0.883,0.005,0.000,0.112,246216,214899,15,0.275,0.017,0.015,443906,0.135,0.078,0.005,162.26,98669,373,0.149,0.200,0.000,1784559,1.07,20.22,0.000,0.018,0.001
140000,3463,1.363,0.029,9.92,263025,246707,3150,11,13137,1461,1554458.8,185.4,0.638,0.073,0.060,0.124,0.105,560,5.59,3.44,0.13,1.13,0.07,0.70,0.08,0.88,5.30,2.94,0.00,0.10,0.007,0.058,370,0.125,0.873,0.003,0.000,0.124,249044,213925,12,0.258,0.096,0.022,492151,0.128,0.076,0.005,162.43,98919,1204,0.127,0.455,0.000,1983061,1.06,20.49,0.000,0.006,0.001
150000,3446,1.349,0.024,10.26,264860,248202,3106,571,12998,15566,1563121.9,3599.2,0.660,0.075,0.065,0.107,0.093,487,5.91,3.71,0.25,1.94,0.05,0.56,0.05,0.68,5.56,3.03,0.01,0.14,0.005,0.049,492,0.069,0.846,0.005,0.000,0.149,251140,214236,14,0.273,0.070,0.020,694416,0.147,0.065,0.003,162.29,101732,687,0.231,0.193,0.000,1941159,1.09,20.18,0.000,0.043,0.002
160000,3375,1.362,0.024,10.44,274259,256476,2676,1727,13451,68731,1576709.0,12277.2,0.663,0.082,0.074,0.097,0.084,495,6.07,3.65,0.21,1.47,0.10,1.18,0.04,0.51,5.72,2.86,0.02,0.26,0.007,0.060,515,0.073,0.819,0.007,0.000,0.174,260122,222428,15,0.192,0.043,0.018,902879,0.145,0.065,0.003,162.27,106445,507,0.179,0.221,0.001,2107005,1.08,19.85,0.000,0.060,0.006
170000,3434,1.345,0.026,10.38,273621,256515,2990,244,13813,8292,1545335.5,1657.3,0.652,0.083,0.076,0.103,0.087,424,5.83,3.58,0.14,1.74,0.06,0.77,0.05,0.63,5.57,2.85,0.00,0.14,0.005,0.056,399,0.092,0.875,0.002,0.000,0.123,258676,219808,13,0.207,0.008,0.020,931325,0.155,0.070,0.004,162.73,110811,658,0.200,0.238,0.000,1953971,1.05,20.33,0.001,0.008,0.001
180000,3446,1.358,0.025,10.61,287138,269142,3356,86,14542,2695,1521184.0,382.0,0.693,0.069,0.063,0.094,0.081,421,5.77,4.07,0.20,1.89,0.08,1.05,0.07,0.95,5.43,3.08,0.01,0.15,0.006,0.056,435,0.111,0.850,0.002,0.000,0.148,274311,237028,14,0.188,0.047,0.018,581984,0.164,0.073,0.004,162.70,116990,613,0.142,0.128,0.000,1832928,1.07,20.59,0.000,0.021,0.002
190000,3443,1.348,0.023,10.60,301215,282054,3576,65,15523,3232,1543134.1,517.0,0.713,0.064,0.056,0.090,0.077,390,5.62,3.75,0.14,1.57,0.07,0.82,0.05,0.61,5.36,2.99,0.01,0.18,0.004,0.045,396,0.102,0.854,0.001,0.000,0.146,288905,253796,16,0.247,0.043,0.024,706599,0.129,0.068,0.004,162.69,122899,774,0.160,0.308,0.000,1756774,1.05,20.69,0.000,0.030,0.002
200000,3447,1.347,0.025,10.32,278339,260813,3505,15,14002,2413,1508566.4,348.2,0.687,0.065,0.060,0.099,0.089,431,5.51,3.26,0.11,1.19,0.07,0.80,0.06,0.62,5.27,2.78,0.00,0.14,0.006,0.054,402,0.088,0.875,0.001,0.000,0.123,265796,228080,12,0.227,0.087,0.023,881123,0.137,0.067,0.003,162.58,111086,604,0.144,0.200,0.000,1929995,1.04,20.72,0.000,0.014,0.001
210000,3282,1.414,0.024,10.17,250750,235044,2283,2659,10929,125463,1577355.4,22633.9,0.620,0.085,0.078,0.117,0.100,557,6.33,3.75,0.16,1.45,0.08,0.95,0.07,0.49,6.02,3.20,0.00,0.09,0.006,0.054,476,0.075,0.859,0.005,0.000,0.136,236156,194633,12,0.375,0.016,0.034,1112264,0.151,0.068,0.003,162.37,94636,456,0.180,0.171,0.001,2418506,1.06,19.40,0.000,0.081,0.002
220000,3469,1.356,0.021,10.40,311822,292893,3561,86,15095,5173,1558322.0,698.7,0.711,0.064,0.062,0.082,0.081,451,5.64,3.50,0.14,1.32,0.04,0.81,0.07,0.70,5.40,2.82,0.01,0.19,0.002,0.033,422,0.067,0.857,0.003,0.000,0.140,298159,267541,13,0.407,0.022,0.026,1049258,0.147,0.061,0.002,162.83,119831,860,0.135,0.314,0.001,1789347,1.05,20.36,0.000,0.034,0.002
230000,3471,1.375,0.022,10.09,291419,272507,3608,36,15266,3387,1547420.9,625.9,0.702,0.070,0.066,0.082,0.081,465,5.77,3.76,0.13,1.36,0.10,1.34,0.07,0.89,5.47,2.88,0.01,0.13,0.007,0.050,400,0.077,0.852,0.002,0.000,0.146,277387,241240,12,0.447,0.044,0.031,1000306,0.156,0.064,0.003,162.79,115373,1035,0.185,0.167,0.000,1726341,1.05,20.41,0.000,0.027,0.002
240000,3440,1.331,0.022,10.44,309808,290488,3323,20,16008,3399,1550143.2,434.0,0.714,0.067,0.059,0.082,0.077,435,5.56,3.45,0.08,1.09,0.07,0.81,0.10,0.88,5.31,2.95,0.00,0.08,0.006,0.055,454,0.076,0.839,0.002,0.000,0.159,297670,259050,11,0.264,0.044,0.038,1090424,0.151,0.063,0.002,162.82,121176,809,0.128,0.300,0.000,1858172,1.03,20.65,0.000,0.031,0.001
250000,3494,1.308,0.026,10.83,294666,275128,3650,136,15698,3620,1544298.5,655.0,0.697,0.071,0.062,0.090,0.080,400,5.39,3.10,0.13,1.51,0.04,0.57,0.08,0.77,5.14,2.38,0.00,0.12,0.004,0.034,368,0.087,0.878,0.003,0.000,0.118,282193,241844,13,0.174,0.204,0.036,1264396,0.135,0.066,0.003,162.70,119535,1000,0.181,0.243,0.001,1845486,1.04,20.86,0.000,0.021,0.001
260000,3494,1.319,0.027,10.85,280997,263336,3147,25,14489,2638,1535956.5,340.6,0.668,0.077,0.068,0.098,0.089,429,5.41,3.35,0.14,1.26,0.07,0.73,0.13,0.91,5.08,2.64,0.00,0.12,0.007,0.054,405,0.102,0.845,0.001,0.000,0.154,267040,229121,11,0.211,0.116,0.057,1574627,0.128,0.074,0.004,162.70,112813,573,0.129,0.520,0.000,2138390,1.05,20.68,0.000,0.033,0.001
270000,3505,1.325,0.022,10.91,319238,298931,3565,22,16709,2102,1545759.0,245.1,0.714,0.068,0.060,0.085,0.073,377,5.68,3.71,0.12,1.22,0.06,0.80,0.11,1.12,5.39,3.02,0.00,0.11,0.004,0.050,442,0.056,0.828,0.002,0.000,0.169,305564,273601,18,0.184,0.154,0.034,1330448,0.125,0.059,0.002,162.80,130428,774,0.117,0.364,0.000,1720203,1.05,20.37,0.000,0.014,0.001
280000,3446,1.365,0.027,10.86,277309,259520,3449,30,14369,3112,1546874.2,512.6,0.649,0.082,0.075,0.102,0.091,450,5.59,3.97,0.20,2.53,0.05,0.55,0.11,1.04,5.23,2.72,0.00,0.10,0.004,0.042,399,0.177,0.882,0.004,0.000,0.114,261876,221950,19,0.307,0.038,0.034,1543542,0.118,0.068,0.003,162.71,113369,573,0.165,0.467,0.001,1828575,1.06,20.42,0.001,0.022,0.003
290000,3420,1.351,0.028,10.75,263895,246687,3051,23,14160,2126,1552082.9,253.1,0.620,0.091,0.085,0.110,0.095,480,5.76,3.58,0.12,1.77,0.08,0.93,0.10,0.69,5.46,2.84,0.00,0.11,0.007,0.054,478,0.100,0.880,0.000,0.000,0.120,247088,207296,19,0.211,0.096,0.043,1523102,0.123,0.065,0.002,162.81,106295,452,0.119,0.609,0.000,2068684,1.04,20.28,0.000,0.022,0.003
300000,3444,1.346,0.033,11.00,264005,246865,2953,42,14121,2508,1559439.5,313.2,0.601,0.091,0.088,0.116,0.103,437,5.69,3.36,0.14,1.55,0.03,0.43,0.10,0.77,5.42,2.76,0.00,0.12,0.004,0.054,422,0.105,0.877,0.003,0.000,0.119,246346,207459,15,0.250,0.129,0.042,1383204,0.140,0.083,0.007,162.81,105822,688,0.125,0.381,0.001,2080215,1.05,20.30,0.000,0.025,0.002
310000,3446,1.364,0.024,10.88,266744,249868,2833,21,14020,979,1564405.2,127.3,0.605,0.098,0.094,0.111,0.092,486,5.51,2.99,0.07,1.32,0.02,0.22,0.10,0.75,5.31,2.51,0.00,0.00,0.002,0.035,321,0.175,0.879,0.000,0.000,0.121,249824,214534,13,0.315,0.100,0.046,1182268,0.147,0.060,0.002,162.88,104194,949,0.130,0.333,0.000,2425451,1.03,20.60,0.000,0.006,0.000
