step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat
5000,10,1101,8.5,0.1,0.1,0.2,8.1,0.0,1.03,19.8,229,604,58.36,0.00
5000,1,263,11.7,0.4,0.0,0.0,11.3,0.0,1.15,16.4,69,242,19.88,0.00
5000,4,230,10.4,0.0,0.3,0.1,10.0,0.0,1.00,15.1,64,182,14.65,0.00
5000,2,209,11.3,0.0,1.0,0.0,10.3,0.0,1.00,14.3,28,273,21.87,0.00
5000,9,118,6.1,0.0,0.1,0.0,6.0,0.0,1.00,18.7,22,449,29.88,0.00
5000,6,68,9.8,0.0,0.2,0.9,8.7,0.0,1.00,14.7,24,212,16.21,0.00
6000,10,1249,7.8,0.0,0.2,0.2,7.4,0.0,1.01,20.3,223,570,50.66,0.00
6000,4,313,10.2,0.0,0.2,0.1,9.9,0.0,1.00,15.1,73,174,12.88,0.00
6000,18,269,10.5,0.0,0.3,0.2,10.0,0.0,1.02,12.5,70,139,11.83,0.00
6000,1,203,11.6,0.3,0.0,0.0,11.2,0.0,1.12,16.6,53,313,27.49,0.00
6000,2,138,10.6,0.0,0.4,0.0,10.2,0.0,1.00,15.0,20,226,17.07,0.00
6000,9,109,6.3,0.0,0.0,0.0,6.2,0.0,1.00,18.5,22,454,31.76,0.00
6000,19,108,8.6,0.0,0.0,0.0,8.6,0.0,1.00,16.9,31,385,29.81,0.00
6000,6,55,9.6,0.0,0.7,0.3,8.6,0.0,1.00,15.1,17,246,18.15,0.00
7000,10,1409,7.6,0.0,0.1,0.2,7.2,0.0,1.02,20.5,210,559,48.97,0.00
7000,18,287,10.2,0.0,0.1,0.2,9.9,0.0,1.00,12.3,58,155,12.38,0.00
7000,1,223,11.0,0.2,0.0,0.0,10.8,0.0,1.08,17.2,50,328,26.47,0.00
7000,4,209,9.5,0.0,0.2,0.0,9.2,0.0,1.00,15.5,58,260,17.91,0.00
7000,25,135,8.2,0.0,0.0,0.0,8.2,0.0,1.00,18.2,27,315,22.45,0.00
7000,9,121,7.5,0.0,0.3,0.3,6.9,0.0,1.02,17.7,23,431,30.11,0.00
7000,2,95,10.6,0.0,0.3,0.0,10.2,0.0,1.00,15.8,13,239,18.05,0.00
7000,6,21,8.4,0.0,0.0,0.2,8.2,0.0,1.00,16.4,13,228,16.43,0.00
7000,19,17,8.6,0.0,0.0,0.0,8.6,0.0,1.00,17.4,5,564,40.51,0.00
8000,10,1553,7.5,0.0,0.0,0.1,7.3,0.0,1.02,20.5,196,534,48.49,0.00
8000,18,354,10.5,0.0,0.1,0.2,10.1,0.0,1.01,12.3,80,235,19.67,0.00
8000,4,254,8.5,0.0,0.0,0.3,8.2,0.0,1.00,16.4,72,201,14.61,0.00
8000,1,147,10.0,0.5,0.0,0.0,9.5,0.0,1.21,18.0,49,254,20.62,0.00
8000,2,86,8.8,0.0,0.2,0.0,8.6,0.0,1.00,18.6,14,249,18.38,0.00
8000,9,81,5.8,0.0,0.1,0.3,5.4,0.0,1.00,19.5,12,394,27.55,0.00
8000,25,39,8.7,0.0,0.0,0.0,8.7,0.0,1.00,18.0,14,289,21.12,0.00
8000,32,10,6.6,0.0,0.0,0.0,6.6,0.0,1.00,18.4,3,374,22.43,0.00
9000,10,1427,7.2,0.0,0.0,0.1,7.1,0.0,1.02,20.7,179,713,64.41,0.00
9000,18,437,9.8,0.0,0.2,0.2,9.4,0.0,1.00,12.8,79,217,17.85,0.00
9000,4,321,8.3,0.0,0.3,0.3,7.7,0.0,1.01,17.1,104,235,16.10,0.00
9000,1,274,9.4,0.2,0.0,0.0,9.1,0.0,1.09,18.2,58,280,21.47,0.00
9000,35,152,11.6,0.0,0.0,1.0,10.5,0.0,1.00,15.1,48,135,12.17,0.00
9000,9,69,5.7,0.0,0.0,0.1,5.6,0.0,1.00,19.5,11,459,28.59,0.00
9000,25,66,8.1,0.0,0.0,0.0,8.1,0.0,1.00,18.8,16,222,14.73,0.00
9000,2,49,9.0,0.0,0.6,0.0,8.4,0.0,1.00,18.2,7,283,19.14,0.00
10000,10,1339,6.6,0.1,0.0,0.1,6.5,0.0,1.05,21.1,159,664,52.46,0.00
10000,4,526,7.3,0.0,0.3,0.2,6.8,0.0,1.00,18.1,119,363,23.89,0.00
10000,18,318,9.9,0.0,0.1,0.3,9.5,0.0,1.00,12.8,80,197,16.16,0.00
10000,1,296,8.8,0.2,0.1,0.0,8.4,0.0,1.09,18.7,72,315,23.77,0.00
10000,9,89,5.2,0.0,0.0,0.1,5.1,0.0,1.00,20.2,11,452,28.97,0.00
10000,35,69,9.8,0.0,0.1,0.6,9.2,0.0,1.00,15.4,17,200,14.78,0.00
10000,2,63,10.7,0.0,0.0,0.0,10.7,0.0,1.00,17.3,11,229,17.02,0.00
10000,25,62,7.2,0.0,0.0,0.0,7.2,0.0,1.00,19.0,12,306,20.67,0.00
11000,10,1413,6.5,0.1,0.0,0.1,6.3,0.0,1.06,21.3,172,765,57.51,0.00
11000,4,368,7.5,0.0,0.1,0.2,7.1,0.0,1.01,18.1,84,430,28.50,0.00
11000,18,317,9.9,0.0,0.1,0.4,9.5,0.0,1.01,12.7,76,177,14.35,0.00
11000,1,271,9.0,0.2,0.1,0.0,8.7,0.0,1.07,18.5,78,315,23.79,0.00
11000,9,114,5.5,0.0,0.0,0.0,5.5,0.0,1.00,19.8,11,415,27.33,0.00
11000,25,83,7.0,0.0,0.0,0.0,7.0,0.0,1.00,19.2,18,216,13.52,0.00
11000,2,71,10.3,0.0,0.5,0.0,9.8,0.0,1.00,17.6,13,247,18.33,0.00
11000,35,48,6.9,0.0,0.0,0.4,6.5,0.0,1.00,17.8,17,366,23.68,0.00
11000,39,31,7.2,0.0,0.0,0.0,7.2,0.0,1.00,17.6,6,407,30.51,0.00
11000,40,30,8.5,0.0,0.0,0.1,8.4,0.0,1.00,15.9,10,198,13.64,0.00
11000,42,28,6.4,0.0,0.0,0.0,6.4,0.0,1.00,20.5,10,267,15.64,0.00
12000,10,1480,6.2,0.1,0.0,0.1,6.0,0.0,1.08,21.6,164,778,57.57,0.00
12000,4,562,7.8,0.1,0.1,0.2,7.4,0.0,1.01,17.7,134,347,23.03,0.00
12000,1,214,8.7,0.2,0.1,0.0,8.4,0.0,1.08,18.5,62,355,26.79,0.00
12000,18,209,9.9,0.0,0.1,0.5,9.3,0.0,1.00,13.2,54,208,16.68,0.00
12000,9,71,6.3,0.0,0.0,0.0,6.3,0.0,1.00,19.0,12,592,37.76,0.00
12000,25,64,7.9,0.0,0.0,0.0,7.9,0.0,1.00,18.2,13,320,20.75,0.00
12000,35,59,7.4,0.0,0.2,0.2,7.1,0.0,1.00,16.8,18,246,15.63,0.00
12000,2,43,10.6,0.0,0.8,0.0,9.9,0.0,1.00,17.2,5,242,17.78,0.00
12000,42,29,5.9,0.0,0.1,0.0,5.8,0.0,1.00,21.1,6,357,20.99,0.00
12000,39,28,7.8,0.0,0.0,0.0,7.8,0.0,1.00,16.3,7,607,46.92,0.00
12000,40,25,8.2,0.0,0.0,0.7,7.5,0.0,1.00,16.3,12,345,24.06,0.00
13000,10,1657,6.1,0.1,0.0,0.1,6.0,0.0,1.04,21.7,167,668,50.28,0.00
13000,4,385,7.5,0.0,0.1,0.2,7.2,0.0,1.00,17.9,76,410,26.63,0.00
13000,18,160,8.9,0.0,0.1,0.4,8.5,0.0,1.00,14.0,41,180,13.43,0.00
13000,1,134,8.6,0.3,0.1,0.0,8.2,0.0,1.16,18.9,42,317,23.79,0.00
13000,2,126,10.7,0.0,1.7,0.0,9.0,0.0,1.00,16.7,15,290,21.83,0.00
13000,25,120,7.2,0.0,0.0,0.0,7.1,0.0,1.00,18.7,19,228,14.75,0.00
13000,48,65,7.0,0.0,0.0,0.0,7.0,0.0,1.00,19.5,9,229,14.64,0.00
13000,9,64,6.1,0.0,0.0,0.4,5.8,0.0,1.00,20.1,12,462,27.04,0.00
13000,35,46,6.7,0.0,0.0,0.1,6.6,0.0,1.00,17.5,7,375,22.53,0.00
13000,47,42,5.1,0.0,0.0,0.0,5.1,0.0,1.00,21.6,7,223,12.67,0.00
13000,42,30,6.4,0.0,0.0,0.0,6.4,0.0,1.00,20.6,5,474,27.12,0.00
13000,40,26,6.7,0.0,0.0,0.0,6.6,0.0,1.00,17.8,9,326,22.94,0.00
13000,39,15,6.1,0.1,0.0,0.1,6.0,0.0,1.03,18.8,7,817,58.40,0.00
14000,10,1798,6.2,0.1,0.1,0.2,5.9,0.0,1.05,21.7,185,781,58.71,0.00
14000,4,390,7.7,0.0,0.0,0.0,7.6,0.0,1.01,18.0,75,431,27.89,0.00
14000,2,110,11.5,0.0,2.1,0.0,9.4,0.0,1.00,16.2,17,312,23.76,0.00
14000,25,98,7.1,0.0,0.0,0.0,7.1,0.0,1.00,18.7,19,223,14.13,0.00
14000,1,81,9.3,0.4,0.0,0.0,9.0,0.0,1.20,18.4,26,365,28.78,0.00
14000,18,69,8.5,0.0,0.2,0.0,8.3,0.0,1.00,14.6,19,160,12.25,0.00
14000,9,54,6.1,0.0,0.0,0.7,5.4,0.0,1.00,20.5,12,584,34.73,0.00
14000,40,38,8.0,0.0,0.5,0.4,7.0,0.0,1.00,16.2,15,200,13.29,0.00
14000,35,36,6.5,0.0,0.0,0.2,6.3,0.0,1.00,17.7,7,232,14.13,0.00
14000,47,20,5.3,0.0,0.0,0.0,5.3,0.0,1.00,21.3,5,454,26.26,0.00
14000,42,19,7.1,0.0,0.1,0.0,7.0,0.0,1.00,19.9,6,533,29.56,0.00
14000,39,17,7.2,0.0,0.0,0.0,7.2,0.0,1.00,17.8,6,670,46.25,0.00
14000,48,17,7.4,0.0,0.0,0.0,7.4,0.0,1.00,19.2,8,555,40.35,0.00
15000,10,1796,6.2,0.1,0.0,0.1,6.0,0.0,1.07,21.7,204,857,63.83,0.00
15000,4,330,7.3,0.0,0.2,0.1,7.1,0.0,1.00,18.2,75,523,33.08,0.00
15000,56,132,9.1,0.3,0.1,0.0,8.7,0.0,1.08,14.9,31,233,16.10,0.00
15000,9,88,5.3,0.0,0.0,0.2,5.1,0.0,1.00,20.8,14,544,30.96,0.00
15000,55,84,6.2,0.0,0.1,0.0,6.2,0.0,1.00,20.0,19,236,14.97,0.00
15000,2,81,11.1,0.0,1.7,0.0,9.5,0.0,1.00,16.2,6,423,32.95,0.00
15000,35,74,6.9,0.0,0.0,0.4,6.5,0.0,1.00,17.8,15,268,16.80,0.00
15000,25,61,7.2,0.0,0.0,0.0,7.2,0.0,1.00,19.0,13,275,17.39,0.00
15000,18,53,9.3,0.0,0.0,0.5,8.8,0.0,1.00,14.5,16,204,14.46,0.00
15000,40,20,10.6,0.0,0.3,0.3,9.9,0.0,1.00,14.5,13,292,21.99,0.00
15000,42,17,5.0,0.0,0.0,0.0,5.0,0.0,1.00,22.0,1,863,47.24,0.00
15000,39,16,6.8,0.0,0.0,0.0,6.8,0.0,1.00,18.2,4,557,38.09,0.00
15000,48,15,5.9,0.0,0.0,0.0,5.9,0.0,1.00,20.4,3,803,56.36,0.00
15000,47,13,4.8,0.0,0.0,0.0,4.8,0.0,1.00,22.2,2,850,50.94,0.00
15000,1,9,10.6,0.0,0.0,0.0,10.6,0.0,1.00,17.3,5,713,61.95,0.00
16000,10,1738,5.8,0.2,0.1,0.1,5.5,0.0,1.10,22.0,193,719,53.04,0.00
16000,4,445,7.2,0.0,0.0,0.1,7.0,0.0,1.00,18.4,94,485,31.14,0.00
16000,35,104,7.5,0.0,0.0,0.3,7.3,0.0,1.00,17.0,21,291,18.39,0.00
16000,56,103,9.8,0.1,0.0,0.0,9.7,0.0,1.02,13.9,33,222,16.20,0.00
16000,2,67,11.1,0.0,1.7,0.1,9.2,0.0,1.00,16.3,9,383,28.15,0.00
16000,9,66,5.5,0.0,0.1,0.1,5.3,0.0,1.00,20.4,15,679,38.88,0.00
16000,55,54,7.1,0.0,0.3,0.0,6.8,0.0,1.00,19.9,10,298,19.22,0.00
16000,18,44,8.6,0.0,0.3,0.3,8.0,0.0,1.00,15.9,16,196,13.33,0.00
16000,25,40,6.9,0.0,0.0,0.0,6.9,0.0,1.00,19.2,12,375,22.60,0.00
16000,40,13,9.3,0.0,0.2,0.2,8.9,0.0,1.00,14.0,7,600,47.83,0.00
16000,47,9,4.7,0.0,0.0,0.0,4.7,0.0,1.00,22.4,2,362,20.18,0.00
16000,48,8,7.1,0.0,0.0,0.0,7.1,0.0,1.00,19.2,2,356,22.03,0.00
16000,39,6,6.7,0.0,0.0,0.0,6.7,0.0,1.00,18.7,2,733,49.51,0.00
16000,42,5,7.2,0.0,0.0,0.0,7.2,0.0,1.00,20.0,3,1034,53.01,0.00
17000,10,1903,6.0,0.1,0.0,0.1,5.7,0.0,1.08,21.9,205,706,52.00,0.00
17000,64,318,7.0,0.2,0.0,0.0,6.8,0.0,1.04,19.2,54,859,63.95,0.00
17000,4,168,5.8,0.0,0.0,0.0,5.8,0.0,1.00,20.0,36,726,41.53,0.00
17000,56,125,11.0,0.7,0.0,0.0,10.2,0.0,1.22,12.2,37,195,14.87,0.00
17000,2,92,9.6,0.0,1.4,0.0,8.2,0.0,1.00,17.2,11,425,31.17,0.00
17000,9,59,5.5,0.5,0.1,0.0,4.9,0.1,1.12,20.5,11,780,45.30,0.02
17000,63,48,6.8,0.0,0.0,0.8,6.1,0.0,1.00,19.1,9,468,31.08,0.00
17000,55,48,7.2,0.0,0.1,0.0,7.1,0.0,1.00,19.7,14,368,24.18,0.00
17000,35,40,6.4,0.0,0.0,0.1,6.4,0.0,1.00,17.8,9,602,36.45,0.00
17000,25,36,7.4,0.0,0.0,0.0,7.4,0.0,1.00,18.4,8,290,18.43,0.00
17000,40,35,8.9,0.0,0.0,0.1,8.9,0.0,1.00,14.9,12,389,29.98,0.00
17000,39,23,7.0,0.0,0.0,0.0,7.0,0.0,1.00,18.5,5,446,31.69,0.00
17000,42,13,5.5,0.0,0.0,0.0,5.5,0.0,1.00,21.5,3,437,24.01,0.00
17000,47,9,5.0,0.0,0.0,0.0,5.0,0.0,1.00,22.0,1,746,42.77,0.00
18000,10,1904,6.2,0.1,0.1,0.1,5.9,0.0,1.04,21.8,211,741,56.76,0.00
18000,64,337,7.1,0.1,0.1,0.0,6.9,0.0,1.03,19.2,59,681,48.74,0.00
18000,56,137,9.5,0.1,0.0,0.0,9.4,0.0,1.05,12.8,27,178,13.70,0.00
18000,4,80,5.4,0.0,0.0,0.1,5.3,0.0,1.00,20.7,18,775,42.51,0.00
18000,9,52,5.5,0.0,0.1,0.6,4.7,0.0,1.00,20.7,10,632,36.58,0.00
18000,39,52,6.6,0.0,0.0,0.0,6.6,0.0,1.00,18.7,13,413,30.75,0.00
18000,35,50,6.3,0.0,0.0,0.0,6.2,0.0,1.00,18.0,11,211,13.12,0.00
18000,63,45,6.8,0.0,0.1,0.4,6.4,0.0,1.00,19.5,10,641,41.34,0.00
18000,40,43,8.7,0.0,0.0,0.7,7.9,0.0,1.00,15.1,14,226,17.43,0.00
18000,2,43,10.6,0.0,1.7,0.0,8.8,0.0,1.00,16.5,4,268,19.17,0.00
18000,55,33,7.0,0.0,0.0,0.0,7.0,0.0,1.00,19.5,6,448,31.69,0.00
18000,25,23,6.2,0.0,0.0,0.0,6.2,0.0,1.00,19.9,3,295,17.09,0.00
18000,68,15,5.6,0.0,0.1,0.0,5.5,0.0,1.00,19.7,4,592,32.45,0.00
18000,42,11,6.2,0.0,0.0,0.0,6.2,0.0,1.00,20.7,6,565,29.76,0.00
18000,47,8,4.9,0.0,0.0,0.0,4.9,0.0,1.00,22.0,2,606,32.78,0.00
19000,10,1932,6.3,0.0,0.0,0.2,6.0,0.0,1.01,21.6,191,757,61.47,0.00
19000,64,380,7.1,0.1,0.2,0.0,6.8,0.0,1.02,19.2,59,882,65.70,0.00
19000,72,218,6.8,0.0,0.0,0.1,6.7,0.0,1.00,19.0,54,429,27.86,0.00
19000,56,99,9.5,0.4,0.0,0.0,9.0,0.0,1.10,13.1,19,232,16.85,0.00
19000,63,82,6.9,0.0,0.2,0.5,6.2,0.0,1.00,19.5,22,435,27.40,0.00
19000,55,54,8.0,0.0,0.3,0.0,7.7,0.0,1.00,18.9,15,284,19.14,0.00
19000,9,36,4.8,0.0,0.0,0.4,4.4,0.0,1.00,20.6,5,799,47.59,0.00
19000,40,35,9.3,0.0,0.1,1.4,7.9,0.0,1.00,14.1,12,332,23.55,0.00
19000,4,34,4.6,0.0,0.0,0.0,4.6,0.0,1.00,21.9,12,808,42.26,0.00
19000,35,30,6.5,0.0,0.0,0.2,6.3,0.0,1.00,18.0,10,323,19.18,0.00
19000,39,22,5.8,0.0,0.0,0.0,5.8,0.0,1.00,19.3,7,794,57.85,0.00
19000,2,18,9.8,0.0,2.0,0.0,7.8,0.0,1.00,16.9,7,313,22.66,0.00
19000,25,15,5.8,0.0,0.0,0.0,5.8,0.0,1.00,20.3,3,322,18.31,0.00
19000,68,12,5.8,0.0,0.1,0.0,5.8,0.0,1.00,19.2,4,418,22.09,0.00
19000,47,5,5.0,0.0,0.0,0.0,5.0,0.0,1.00,22.0,1,637,32.51,0.00
20000,10,1940,6.4,0.0,0.0,0.1,6.2,0.0,1.03,21.6,187,772,62.57,0.00
20000,64,357,6.7,0.0,0.1,0.0,6.6,0.0,1.01,19.7,52,1034,74.74,0.00
20000,72,296,7.3,0.0,0.0,0.2,7.1,0.0,1.00,18.6,69,330,21.01,0.00
20000,56,88,9.2,0.5,0.0,0.0,8.8,0.0,1.11,13.3,17,266,19.05,0.00
20000,40,50,9.4,0.0,0.0,1.8,7.5,0.0,1.00,14.1,8,287,20.93,0.00
20000,4,49,6.4,0.0,0.0,0.7,5.7,0.0,1.00,19.9,17,412,23.03,0.00
20000,55,45,7.5,0.0,0.0,0.0,7.5,0.0,1.00,19.1,8,216,14.67,0.00
20000,39,24,7.2,0.0,0.0,0.0,7.2,0.0,1.00,18.0,7,720,53.94,0.00
20000,9,20,7.2,0.0,0.0,2.5,4.8,0.0,1.00,19.5,4,848,50.71,0.00
20000,2,20,11.0,0.0,2.0,0.0,9.0,0.0,1.00,16.0,1,326,24.29,0.00
20000,63,18,8.3,0.0,0.3,1.3,6.6,0.0,1.00,17.6,11,466,29.24,0.00
20000,47,8,5.2,0.0,0.0,0.0,5.2,0.0,1.00,21.2,4,349,18.86,0.00
20000,25,6,6.0,0.0,0.0,0.0,6.0,0.0,1.00,20.0,1,427,25.21,0.00
21000,10,1983,6.2,0.1,0.1,0.1,5.9,0.0,1.03,21.8,215,691,55.72,0.00
21000,64,310,7.3,0.0,0.0,0.0,7.2,0.0,1.01,19.2,55,731,50.63,0.00
21000,72,288,6.6,0.0,0.0,0.0,6.6,0.0,1.00,19.2,64,436,26.56,0.00
21000,4,79,4.5,0.0,0.0,0.0,4.5,0.0,1.00,22.2,11,503,27.50,0.00
21000,56,78,8.5,0.2,0.0,0.0,8.4,0.0,1.08,13.8,15,230,16.22,0.00
21000,77,74,6.3,0.0,0.1,0.3,6.0,0.0,1.00,18.8,26,290,20.15,0.00
21000,40,49,9.2,0.0,0.0,1.4,7.8,0.0,1.00,14.4,11,298,21.74,0.00
21000,25,38,6.6,0.0,0.0,0.0,6.6,0.0,1.00,19.4,10,235,13.78,0.00
21000,63,22,7.5,0.0,0.1,0.5,6.9,0.0,1.00,19.1,6,264,16.51,0.00
21000,9,18,5.5,0.0,0.0,0.7,4.8,0.0,1.00,21.0,3,592,33.81,0.00
21000,55,10,6.0,0.0,0.0,0.0,6.0,0.0,1.00,20.0,1,350,22.24,0.00
21000,39,8,6.6,0.0,0.0,0.0,6.6,0.0,1.00,19.0,5,477,32.51,0.00
21000,78,7,8.0,0.0,0.0,0.0,8.0,0.0,1.00,16.6,3,425,29.60,0.00
22000,10,1939,6.2,0.1,0.0,0.1,6.0,0.0,1.05,21.7,241,750,60.14,0.00
22000,72,328,6.2,0.0,0.0,0.0,6.2,0.0,1.00,19.4,56,416,25.49,0.00
22000,64,276,6.6,0.0,0.0,0.0,6.6,0.0,1.00,19.9,47,990,71.95,0.00
22000,81,146,6.0,0.0,0.0,0.0,6.0,0.0,1.00,19.3,30,555,32.84,0.00
22000,4,137,4.8,0.0,0.0,0.1,4.8,0.0,1.00,21.7,19,503,28.04,0.00
22000,56,105,9.3,0.3,0.0,0.0,9.0,0.0,1.07,13.2,18,221,16.04,0.00
22000,77,78,6.1,0.0,0.2,0.2,5.8,0.0,1.00,18.8,20,389,27.74,0.00
22000,63,38,6.6,0.0,0.1,0.0,6.4,0.0,1.00,19.8,10,352,23.84,0.00
22000,40,31,10.4,0.0,0.0,2.5,7.8,0.0,1.00,13.4,12,199,14.76,0.00
22000,25,16,6.4,0.0,0.0,0.0,6.4,0.0,1.00,19.5,5,358,20.50,0.00
22000,78,11,6.5,0.0,0.0,0.0,6.5,0.0,1.00,20.4,5,469,31.20,0.00
22000,83,9,7.8,0.0,0.0,0.0,7.8,0.0,1.00,19.1,4,568,38.56,0.00
22000,9,5,5.4,0.0,0.0,0.0,5.4,0.0,1.00,20.4,2,861,51.07,0.00
23000,10,1985,6.3,0.1,0.0,0.1,6.1,0.0,1.04,21.6,252,830,65.32,0.00
23000,64,310,6.8,0.0,0.0,0.0,6.8,0.0,1.01,19.7,51,954,69.00,0.00
23000,72,238,6.8,0.0,0.1,0.0,6.7,0.0,1.00,18.9,57,412,24.79,0.00
23000,4,146,4.5,0.0,0.0,0.0,4.5,0.0,1.00,21.6,18,631,34.83,0.00
23000,81,102,5.5,0.0,0.0,0.0,5.4,0.0,1.00,19.8,20,619,36.57,0.00
23000,56,98,9.5,0.3,0.0,0.0,9.2,0.0,1.07,13.3,21,207,15.34,0.00
23000,86,70,6.4,0.0,0.0,0.0,6.4,0.0,1.00,19.3,19,172,11.07,0.00
23000,63,53,8.1,0.1,0.6,0.2,7.3,0.2,1.01,18.2,17,570,38.64,0.00
23000,40,53,10.2,0.0,0.0,1.9,8.3,0.0,1.00,13.3,18,263,19.98,0.00
23000,77,48,5.5,0.0,0.0,0.2,5.3,0.0,1.00,19.8,10,581,39.88,0.00
23000,25,38,8.2,0.0,0.0,0.0,8.2,0.0,1.00,17.3,6,228,14.32,0.00
23000,83,26,7.5,0.0,0.0,0.0,7.5,0.0,1.00,19.7,10,235,15.90,0.00
23000,78,8,6.6,0.0,0.0,0.0,6.6,0.0,1.00,19.8,3,854,58.08,0.00
24000,10,2103,6.7,0.1,0.1,0.1,6.3,0.0,1.05,21.4,262,691,57.47,0.00
24000,72,322,7.0,0.0,0.0,0.1,6.9,0.0,1.00,18.6,64,331,20.76,0.00
24000,64,315,7.0,0.1,0.1,0.0,6.8,0.0,1.03,19.6,51,739,50.65,0.00
24000,56,75,9.1,0.5,0.0,0.0,8.6,0.0,1.13,14.5,20,275,18.79,0.00
24000,81,60,6.4,0.0,0.2,0.0,6.3,0.0,1.00,18.9,18,666,36.90,0.00
24000,4,58,3.8,0.0,0.0,0.0,3.8,0.0,1.00,22.6,10,1103,61.23,0.00
24000,40,56,11.3,0.0,0.0,2.8,8.5,0.0,1.01,12.9,17,208,15.67,0.00
24000,25,49,7.2,0.0,0.0,0.0,7.2,0.0,1.00,18.5,10,400,24.17,0.00
24000,83,44,6.1,0.0,0.0,0.5,5.6,0.0,1.00,20.0,7,263,15.96,0.00
24000,86,33,8.1,0.3,0.0,0.0,7.8,0.0,1.07,15.9,10,184,13.44,0.00
24000,77,15,5.5,0.0,0.1,0.3,5.1,0.0,1.00,19.3,6,993,65.30,0.00
25000,10,2026,6.4,0.1,0.0,0.1,6.2,0.0,1.05,21.5,245,737,62.37,0.00
25000,72,337,7.5,0.0,0.0,0.1,7.4,0.0,1.01,18.2,74,333,21.35,0.00
25000,64,334,7.0,0.1,0.1,0.0,6.8,0.0,1.05,19.5,55,908,63.73,0.00
25000,56,94,7.9,0.1,0.0,0.0,7.8,0.0,1.03,15.5,18,279,18.63,0.00
25000,81,74,5.6,0.0,0.0,0.0,5.5,0.0,1.00,19.6,16,593,33.29,0.00
25000,83,62,7.0,0.0,0.0,0.0,7.0,0.0,1.00,18.3,16,243,16.46,0.00
25000,77,46,6.3,0.0,0.3,0.5,5.5,0.0,1.00,18.6,13,389,24.52,0.00
25000,25,41,7.0,0.0,0.0,0.0,7.0,0.0,1.00,18.7,9,303,18.54,0.00
