step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share
10000,3061,1.408,0.022,10.25,262069,250742,1204,3,8587,7813,1629205.6,769.2,0.528,0.135,0.102,0.122,0.113,525,8.06,5.60,0.04,0.66,0.26,2.02,0.37,2.02,7.39,4.39,0.00,0.02,0.014,0.090,605,0.122,0.771,0.001,0.000,0.229,248306,191763,10,0.269,0.110,0.104,2117221,0.066,0.078,0.005,160.29,98247,281,0.098,0.667,0.000,4682938,1.01,18.10,0.001,0.011,0.000
20000,3222,1.399,0.026,10.01,345514,327554,3138,13,14648,1229,1648955.0,218.3,0.730,0.053,0.036,0.092,0.089,420,6.85,4.09,0.02,0.28,0.08,0.82,0.28,1.95,6.48,3.21,0.00,0.11,0.005,0.047,522,0.070,0.784,0.001,0.000,0.215,335272,300720,19,0.402,0.151,0.060,2250861,0.021,0.090,0.008,162.29,127490,676,0.178,0.308,0.000,1779859,1.01,19.48,0.000,0.003,0.001
30000,3261,1.378,0.025,11.95,317830,300100,3172,3,14516,393,1611862.8,74.6,0.691,0.062,0.044,0.104,0.099,368,6.56,4.03,0.02,0.33,0.17,1.35,0.17,1.36,6.21,3.54,0.00,0.02,0.016,0.082,518,0.117,0.858,0.001,0.000,0.141,305999,268092,25,0.199,0.112,0.048,2421268,0.024,0.078,0.005,162.27,131213,104,0.190,0.333,0.000,1960513,1.01,19.42,0.000,0.012,0.000
40000,3307,1.392,0.033,11.46,268899,252527,2857,20,13449,744,1583161.1,135.1,0.617,0.083,0.062,0.121,0.117,400,6.30,3.63,0.06,0.43,0.16,1.71,0.17,1.17,5.91,2.89,0.00,0.07,0.011,0.076,432,0.048,0.875,0.005,0.000,0.121,255082,211298,15,0.170,0.197,0.077,1542950,0.037,0.077,0.004,162.11,115783,797,0.182,0.250,0.000,2383125,1.03,19.81,0.000,0.004,0.001
50000,3447,1.347,0.026,11.92,265543,248533,2726,12,14132,1099,1577960.8,169.4,0.585,0.097,0.070,0.128,0.121,371,5.88,3.61,0.03,0.51,0.20,1.47,0.10,1.07,5.55,2.93,0.00,0.00,0.018,0.091,427,0.065,0.885,0.001,0.000,0.114,248774,202049,22,0.185,0.050,0.032,2021017,0.027,0.074,0.004,162.28,113958,1035,0.154,0.333,0.000,2306280,1.01,20.46,0.000,0.005,0.000
60000,3424,1.338,0.029,12.23,268780,248935,2878,43,16947,1262,1552475.0,254.7,0.625,0.087,0.062,0.117,0.109,383,5.77,3.36,0.02,0.42,0.15,1.45,0.06,0.53,5.53,2.82,0.00,0.00,0.013,0.068,404,0.093,0.876,0.001,0.000,0.122,254365,211986,20,0.282,0.142,0.020,849782,0.040,0.076,0.005,162.19,121175,672,0.202,0.302,0.000,2251553,1.01,20.66,0.000,0.015,0.000
70000,3377,1.384,0.032,12.62,275447,254186,3110,15,18183,1273,1551108.5,256.4,0.629,0.083,0.059,0.118,0.111,372,5.69,3.73,0.04,0.56,0.23,1.79,0.05,0.59,5.39,2.91,0.00,0.03,0.018,0.091,419,0.091,0.871,0.001,0.000,0.128,260065,216733,21,0.219,0.010,0.017,860412,0.077,0.087,0.007,162.28,124944,272,0.201,0.467,0.000,2045039,1.01,20.56,0.001,0.009,0.001
80000,3362,1.356,0.032,12.12,269505,250366,3030,36,16088,1261,1576370.4,278.8,0.592,0.082,0.062,0.138,0.126,379,5.96,3.38,0.02,0.35,0.15,1.05,0.08,0.73,5.71,2.91,0.00,0.04,0.015,0.074,430,0.076,0.883,0.000,0.000,0.117,252986,207360,19,0.250,0.093,0.025,719099,0.059,0.084,0.007,162.29,121259,1026,0.221,0.194,0.000,2167323,1.01,20.30,0.000,0.005,0.001
90000,3403,1.343,0.034,12.35,268815,250423,2905,12,15434,785,1577358.0,110.4,0.591,0.083,0.064,0.136,0.126,370,5.74,3.34,0.02,0.27,0.19,1.16,0.06,0.52,5.47,2.81,0.00,0.03,0.018,0.078,405,0.076,0.868,0.002,0.000,0.129,251388,204357,26,0.128,0.122,0.021,1058030,0.046,0.082,0.005,162.39,123486,637,0.141,0.500,0.000,1973483,1.01,20.39,0.000,0.003,0.000
100000,3152,1.402,0.031,11.35,236066,221734,1982,1684,10917,151590,1593876.9,29915.6,0.524,0.090,0.066,0.180,0.140,443,7.28,4.63,0.06,0.54,0.35,1.69,0.08,0.96,6.79,3.77,0.03,0.30,0.028,0.103,741,0.051,0.871,0.012,0.000,0.117,219208,166230,27,0.191,0.107,0.024,1045889,0.080,0.081,0.006,161.95,102544,371,0.197,0.309,0.005,2774694,1.02,18.05,0.000,0.266,0.011
110000,3430,1.348,0.025,11.66,255394,239073,2660,470,12913,39529,1582152.4,7543.6,0.587,0.081,0.064,0.146,0.122,441,6.00,3.93,0.03,0.84,0.17,1.51,0.21,1.46,5.60,3.10,0.00,0.05,0.012,0.071,488,0.073,0.854,0.000,0.000,0.146,240677,197135,21,0.201,0.011,0.065,1240297,0.058,0.074,0.004,162.35,109580,480,0.191,0.404,0.000,2551591,1.01,20.10,0.000,0.002,0.000
120000,3419,1.361,0.021,11.53,304395,281088,3886,1,19431,215,1527439.9,32.9,0.708,0.062,0.048,0.097,0.085,366,5.67,3.83,0.04,0.39,0.15,1.50,0.19,1.25,5.29,3.18,0.00,0.12,0.011,0.076,467,0.090,0.834,0.001,0.000,0.165,293107,260636,19,0.361,0.040,0.059,2082800,0.031,0.072,0.005,162.12,130743,14,0.153,1.000,0.000,1872104,1.02,20.65,0.000,0.002,0.000
130000,3357,1.365,0.024,11.59,303259,281087,3681,50,18503,1312,1556850.1,322.3,0.682,0.066,0.053,0.106,0.093,353,5.82,3.49,0.04,0.44,0.08,0.80,0.17,1.15,5.54,2.94,0.00,0.04,0.008,0.051,429,0.054,0.865,0.000,0.000,0.135,290757,256763,20,0.182,0.063,0.052,1823381,0.042,0.070,0.004,162.34,130225,835,0.246,0.400,0.000,2100229,1.02,20.34,0.000,0.004,0.001
140000,3409,1.344,0.027,11.51,286834,266434,3328,7,17013,542,1543582.9,92.8,0.642,0.073,0.060,0.119,0.106,365,5.55,3.52,0.05,0.51,0.10,0.73,0.19,1.32,5.22,2.95,0.00,0.10,0.011,0.068,466,0.063,0.847,0.001,0.000,0.151,271969,236443,22,0.163,0.076,0.051,1801699,0.048,0.080,0.006,162.07,123969,434,0.171,0.429,0.000,2238686,1.02,20.56,0.000,0.002,0.001
150000,3432,1.347,0.028,11.12,285519,266042,3346,1,16107,239,1540473.9,29.8,0.629,0.071,0.056,0.132,0.112,389,5.51,3.51,0.03,0.37,0.11,0.87,0.22,1.52,5.15,2.78,0.00,0.04,0.010,0.062,422,0.076,0.839,0.001,0.000,0.161,271921,235503,16,0.215,0.071,0.056,1739436,0.051,0.078,0.006,162.19,121167,96,0.125,0.000,0.000,2266432,1.01,20.54,0.000,0.002,0.001
160000,3405,1.364,0.026,11.16,310225,288525,3428,5,18294,648,1584565.9,112.1,0.663,0.065,0.053,0.116,0.102,394,5.66,3.74,0.02,0.32,0.17,1.40,0.15,1.26,5.31,3.02,0.00,0.12,0.017,0.098,419,0.095,0.857,0.001,0.000,0.142,295547,260430,20,0.159,0.032,0.039,1682536,0.038,0.074,0.003,162.38,129087,946,0.173,0.000,0.000,1784801,1.01,20.38,0.000,0.002,0.001
170000,3382,1.376,0.029,11.01,272156,253543,3468,28,15140,972,1578701.8,211.1,0.588,0.075,0.060,0.147,0.129,436,5.68,3.85,0.04,0.62,0.20,1.82,0.17,1.30,5.27,2.84,0.00,0.05,0.017,0.094,429,0.084,0.869,0.000,0.000,0.131,257626,214371,17,0.131,0.192,0.031,1106456,0.065,0.074,0.004,162.45,112177,997,0.217,0.143,0.000,2370871,1.01,20.24,0.000,0.005,0.000
