step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share
10000,2995,1.415,0.045,8.60,192199,182703,258,6,7798,10598,1561502.1,887.3,0.214,0.242,0.200,0.173,0.170,918,7.47,4.52,0.13,1.24,0.12,1.14,0.03,0.65,7.19,3.96,0.00,0.07,0.009,0.064,430,0.242,0.918,0.002,0.000,0.081,164506,93038,9,0.375,0.176,0.006,254386,0.203,0.106,0.013,158.52,64465,356,0.084,0.667,0.000,8226173,1.05,20.07,0.000,0.008,0.000
20000,3223,1.408,0.049,8.93,253041,239046,1672,3,12092,1415,1568458.4,177.5,0.474,0.164,0.137,0.111,0.114,655,6.46,4.43,0.04,0.78,0.14,1.12,0.03,0.51,6.25,4.07,0.00,0.00,0.015,0.082,403,0.245,0.875,0.000,0.000,0.125,229555,178910,13,0.168,0.078,0.007,337835,0.165,0.124,0.020,161.42,90351,338,0.125,0.000,0.000,5601991,1.01,20.87,0.002,0.010,0.000
30000,3300,1.390,0.035,8.83,278450,262814,2641,24,12894,782,1550110.5,110.7,0.587,0.122,0.109,0.091,0.092,616,6.00,3.66,0.06,1.03,0.10,1.18,0.03,0.50,5.81,3.26,0.00,0.00,0.011,0.072,342,0.236,0.877,0.000,0.000,0.122,256356,218338,19,0.193,0.058,0.006,189677,0.142,0.092,0.008,161.42,99575,455,0.141,0.375,0.000,3005480,1.03,21.07,0.000,0.003,0.000
40000,3294,1.383,0.035,8.61,277130,262638,2748,12,11738,2046,1572158.5,428.1,0.592,0.119,0.109,0.093,0.087,578,6.01,3.68,0.03,0.52,0.06,0.54,0.03,0.61,5.89,3.54,0.00,0.12,0.008,0.067,346,0.207,0.863,0.000,0.000,0.137,257901,219714,13,0.179,0.028,0.007,420167,0.088,0.091,0.008,161.61,98154,532,0.209,0.333,0.000,3359922,1.01,20.94,0.000,0.005,0.001
50000,3324,1.359,0.033,8.75,274493,259202,2800,23,12438,1022,1556885.8,218.5,0.582,0.113,0.111,0.101,0.093,563,5.92,3.91,0.12,1.46,0.15,1.08,0.07,1.03,5.58,3.26,0.00,0.10,0.015,0.078,392,0.285,0.880,0.001,0.000,0.119,254796,216230,15,0.173,0.191,0.013,386981,0.089,0.085,0.006,161.84,95073,1009,0.214,0.130,0.000,3039667,1.05,21.16,0.000,0.002,0.001
60000,3364,1.369,0.035,9.19,274036,257953,2888,40,13115,890,1555340.8,132.1,0.577,0.114,0.111,0.101,0.097,585,5.61,3.53,0.07,0.82,0.10,0.68,0.05,0.81,5.39,3.19,0.00,0.06,0.012,0.072,331,0.275,0.884,0.001,0.000,0.115,253831,218376,16,0.149,0.007,0.012,392474,0.087,0.091,0.008,161.81,99409,940,0.148,0.325,0.000,2774401,1.03,21.47,0.000,0.006,0.001
70000,3410,1.357,0.029,9.43,274733,257742,3350,26,13569,761,1555917.6,148.3,0.580,0.125,0.123,0.089,0.083,538,5.92,3.93,0.07,0.92,0.10,0.73,0.05,0.52,5.70,3.58,0.00,0.08,0.010,0.060,396,0.283,0.870,0.000,0.000,0.130,254785,224047,16,0.155,0.027,0.015,532735,0.062,0.079,0.005,161.77,103032,366,0.195,0.462,0.000,2814922,1.04,21.17,0.000,0.008,0.001
80000,3463,1.336,0.023,9.31,301758,283725,3155,17,14808,727,1576187.2,117.6,0.638,0.103,0.104,0.082,0.074,511,5.54,3.62,0.07,0.78,0.06,0.63,0.06,0.81,5.35,3.27,0.00,0.05,0.007,0.053,347,0.386,0.831,0.000,0.000,0.169,287000,258075,14,0.533,0.038,0.012,386304,0.072,0.078,0.006,161.88,114290,509,0.162,0.176,0.000,3144901,1.03,21.86,0.000,0.003,0.001
90000,3359,1.355,0.027,9.02,307698,289042,3551,458,14751,8153,1565266.9,1648.8,0.677,0.089,0.091,0.076,0.067,536,5.83,3.92,0.14,1.34,0.08,0.64,0.10,0.90,5.51,3.32,0.00,0.06,0.008,0.052,419,0.297,0.838,0.002,0.000,0.160,294162,267472,14,0.420,0.029,0.019,553853,0.038,0.087,0.007,161.51,117681,865,0.202,0.260,0.000,2641620,1.06,21.53,0.000,0.019,0.001
100000,3401,1.348,0.027,9.38,325570,306724,3806,3,14995,467,1580189.8,66.6,0.673,0.097,0.099,0.067,0.062,487,5.90,3.90,0.06,0.77,0.04,0.40,0.07,0.85,5.73,3.70,0.00,0.00,0.005,0.039,399,0.268,0.831,0.001,0.000,0.169,310350,285646,15,0.261,0.093,0.017,544194,0.052,0.080,0.006,161.89,122811,142,0.143,0.333,0.000,2172061,1.03,21.44,0.000,0.006,0.000
110000,3433,1.316,0.024,9.55,318978,299017,3681,2,16246,472,1561187.1,73.0,0.668,0.099,0.101,0.069,0.064,492,5.54,3.27,0.06,0.74,0.06,0.66,0.08,0.80,5.34,2.92,0.00,0.02,0.006,0.046,358,0.329,0.834,0.000,0.000,0.166,304356,276489,17,0.292,0.165,0.017,458574,0.054,0.077,0.005,161.77,126021,108,0.155,0.000,0.000,2168982,1.03,21.74,0.000,0.003,0.000
120000,3371,1.337,0.023,9.00,339496,318649,3737,4,17168,816,1592433.0,153.9,0.704,0.086,0.088,0.065,0.057,478,5.68,3.79,0.07,0.96,0.07,0.70,0.04,0.69,5.50,3.35,0.00,0.03,0.006,0.050,342,0.329,0.821,0.000,0.000,0.179,327647,300636,15,0.263,0.184,0.011,719677,0.026,0.078,0.006,161.98,129288,710,0.189,0.250,0.000,2386357,1.03,21.72,0.000,0.018,0.000
130000,3462,1.332,0.021,8.50,351236,329658,3690,0,17797,413,1612382.6,40.0,0.722,0.083,0.083,0.057,0.055,506,5.51,3.66,0.08,0.90,0.06,0.78,0.08,0.84,5.29,3.29,0.00,0.04,0.005,0.045,353,0.415,0.789,0.000,0.000,0.210,340113,316909,11,0.308,0.114,0.025,632007,0.031,0.073,0.005,161.86,127464,0,0.097,0.000,0.000,2232073,1.03,22.06,0.000,0.000,0.001
140000,3377,1.330,0.020,8.37,356794,336451,4117,16,16295,922,1613931.1,174.2,0.733,0.083,0.083,0.052,0.050,537,6.11,4.36,0.08,0.81,0.14,1.35,0.06,1.13,5.83,3.77,0.00,0.08,0.010,0.065,397,0.283,0.782,0.002,0.000,0.216,346383,325242,11,0.222,0.399,0.015,651607,0.029,0.076,0.006,161.90,125359,987,0.189,0.375,0.000,1841519,1.04,21.40,0.001,0.003,0.001
150000,3393,1.349,0.021,8.21,354308,334591,3782,5,15914,371,1591370.0,49.2,0.726,0.081,0.081,0.057,0.056,489,5.84,4.17,0.10,1.05,0.11,0.99,0.10,0.87,5.53,3.71,0.00,0.02,0.009,0.063,393,0.217,0.811,0.001,0.000,0.188,343425,321804,13,0.347,0.249,0.031,903105,0.024,0.074,0.005,161.96,121217,1144,0.132,0.600,0.000,2091930,1.04,21.45,0.000,0.005,0.001
160000,3388,1.352,0.024,8.63,316223,297106,3757,101,15264,2158,1560056.9,404.6,0.683,0.095,0.097,0.064,0.061,591,5.84,3.83,0.05,0.72,0.13,1.25,0.07,0.95,5.60,3.30,0.00,0.05,0.009,0.062,396,0.168,0.849,0.001,0.000,0.150,304442,279508,12,0.241,0.047,0.015,632169,0.043,0.078,0.006,161.52,108116,719,0.188,0.228,0.000,2460735,1.02,21.33,0.000,0.007,0.001
170000,3448,1.351,0.026,8.31,311366,291788,3875,10,15633,412,1581567.1,63.1,0.675,0.095,0.096,0.069,0.065,571,5.54,3.60,0.05,0.61,0.08,0.85,0.08,0.75,5.33,3.29,0.00,0.11,0.007,0.055,356,0.240,0.833,0.002,0.000,0.164,299048,273641,13,0.311,0.261,0.030,560960,0.070,0.080,0.006,161.80,104038,1043,0.153,0.100,0.000,2509563,1.02,21.63,0.000,0.000,0.001
180000,3449,1.327,0.024,9.13,311318,291612,3783,49,15873,1357,1599252.4,270.5,0.658,0.095,0.098,0.077,0.072,541,5.46,3.36,0.06,0.74,0.12,1.18,0.06,0.57,5.22,2.81,0.00,0.05,0.010,0.065,327,0.371,0.885,0.001,0.000,0.114,298923,272869,11,0.227,0.196,0.026,636751,0.054,0.075,0.006,162.04,106379,784,0.199,0.347,0.000,2838526,1.03,21.93,0.000,0.003,0.001
190000,3418,1.312,0.024,9.24,274506,257017,3572,5,13943,556,1611369.2,69.0,0.562,0.123,0.127,0.098,0.090,549,5.52,3.38,0.07,1.07,0.05,0.61,0.07,0.67,5.33,2.98,0.00,0.09,0.005,0.054,353,0.328,0.873,0.000,0.000,0.126,262168,227519,13,0.243,0.019,0.024,663484,0.069,0.074,0.005,162.21,97889,887,0.124,0.200,0.000,3640404,1.03,21.86,0.000,0.004,0.001
200000,3471,1.311,0.023,8.46,292567,274454,3224,0,14836,482,1607956.1,57.3,0.586,0.122,0.120,0.092,0.081,547,5.53,3.67,0.11,1.12,0.06,0.78,0.16,1.18,5.21,3.20,0.00,0.03,0.005,0.048,354,0.429,0.842,0.001,0.000,0.157,280558,249504,11,0.322,0.163,0.039,987294,0.053,0.073,0.005,162.28,95473,0,0.119,0.000,0.000,3216551,1.05,21.93,0.000,0.003,0.001
210000,3344,1.363,0.023,8.25,340691,320564,3497,20,16737,929,1623081.5,133.5,0.706,0.082,0.081,0.069,0.062,528,5.89,4.17,0.12,1.15,0.09,0.92,0.17,1.36,5.50,3.42,0.00,0.06,0.007,0.049,396,0.316,0.815,0.001,0.000,0.184,330595,308652,11,0.546,0.038,0.047,1695005,0.022,0.077,0.006,162.24,113188,646,0.144,0.350,0.000,2083037,1.06,21.54,0.000,0.001,0.001
220000,3395,1.361,0.025,8.96,300590,284450,3552,15,12522,850,1623220.9,156.2,0.608,0.119,0.113,0.086,0.073,601,5.76,3.16,0.07,0.71,0.08,0.68,0.11,0.93,5.50,2.86,0.00,0.00,0.008,0.053,397,0.353,0.875,0.003,0.000,0.123,287738,259437,11,0.396,0.010,0.033,1626586,0.024,0.070,0.004,162.13,103359,711,0.184,0.133,0.000,2802327,1.03,21.45,0.000,0.011,0.000
230000,3437,1.330,0.026,8.65,293571,277154,3101,6,13268,750,1630258.2,91.9,0.583,0.121,0.118,0.096,0.082,598,5.75,4.21,0.09,1.48,0.08,0.68,0.11,0.87,5.47,3.63,0.00,0.10,0.007,0.057,367,0.454,0.831,0.001,0.000,0.167,279930,249297,13,0.352,0.035,0.029,847022,0.039,0.073,0.005,162.34,95341,944,0.123,0.333,0.001,3272721,1.03,21.78,0.000,0.016,0.001
240000,3389,1.335,0.027,9.10,313531,296669,3183,47,13680,1507,1629519.5,265.7,0.614,0.106,0.102,0.095,0.082,592,5.69,3.52,0.07,0.69,0.05,0.59,0.19,1.21,5.39,2.93,0.00,0.05,0.004,0.041,355,0.403,0.856,0.001,0.000,0.143,300839,271842,12,0.286,0.004,0.048,1063456,0.047,0.072,0.004,162.38,102902,836,0.176,0.255,0.000,2996624,1.03,21.78,0.000,0.011,0.001
250000,3479,1.294,0.022,8.52,300604,284008,3288,69,13149,2202,1650900.8,457.9,0.592,0.117,0.117,0.094,0.080,524,5.74,3.92,0.12,1.21,0.06,0.57,0.16,1.18,5.39,3.26,0.00,0.07,0.006,0.046,375,0.425,0.819,0.001,0.000,0.180,288727,253986,12,0.362,0.008,0.047,1315821,0.048,0.071,0.005,162.32,101615,649,0.208,0.304,0.000,3424380,1.06,21.85,0.001,0.010,0.001
260000,3422,1.300,0.027,8.60,306309,288556,3350,31,14429,1069,1631210.9,147.7,0.605,0.114,0.113,0.090,0.078,592,5.69,3.71,0.10,1.10,0.05,0.42,0.14,1.06,5.40,3.16,0.00,0.05,0.005,0.037,317,0.450,0.854,0.000,0.000,0.146,293265,262585,12,0.319,0.016,0.037,1330695,0.044,0.079,0.006,162.32,98788,589,0.138,0.258,0.000,3001815,1.04,21.82,0.000,0.003,0.001
270000,3330,1.350,0.027,8.90,301210,282335,3211,57,15699,2239,1629403.0,485.7,0.614,0.111,0.110,0.089,0.076,591,5.93,3.73,0.12,1.59,0.09,0.57,0.16,1.14,5.56,3.04,0.00,0.09,0.009,0.047,383,0.392,0.855,0.001,0.000,0.144,287835,256836,11,0.286,0.006,0.056,1227389,0.042,0.079,0.006,162.37,97677,429,0.217,0.351,0.000,3054654,1.05,21.35,0.000,0.007,0.001
280000,3330,1.369,0.025,8.73,290614,274643,3021,15,12935,1440,1646127.5,163.8,0.563,0.115,0.115,0.108,0.099,627,6.04,3.44,0.09,0.91,0.11,0.89,0.43,1.29,5.42,2.68,0.00,0.09,0.010,0.066,365,0.286,0.859,0.001,0.000,0.139,276668,243147,11,0.265,0.068,0.181,3678183,0.016,0.069,0.004,162.40,91528,434,0.114,0.200,0.000,3472658,1.04,20.99,0.000,0.022,0.002
290000,3371,1.336,0.025,8.49,295927,279724,3152,21,12989,1357,1648679.2,202.7,0.587,0.115,0.113,0.098,0.086,606,6.07,4.16,0.07,0.93,0.11,1.22,0.32,1.16,5.56,3.48,0.00,0.08,0.009,0.062,398,0.235,0.837,0.003,0.000,0.161,280749,248143,11,0.340,0.020,0.151,4792499,0.012,0.067,0.003,162.32,87543,1037,0.149,0.238,0.000,3028925,1.03,21.28,0.001,0.015,0.001
300000,3352,1.321,0.026,8.11,323665,307847,3273,3,12561,1066,1644401.2,157.9,0.637,0.098,0.096,0.089,0.080,562,6.30,4.31,0.07,0.81,0.07,0.64,0.38,1.34,5.77,3.69,0.00,0.00,0.008,0.056,392,0.186,0.828,0.001,0.000,0.172,310031,283027,12,0.425,0.041,0.177,6622460,0.010,0.071,0.004,162.40,88326,276,0.148,0.333,0.000,2456448,1.03,20.92,0.001,0.010,0.000
310000,3295,1.365,0.027,8.78,269748,255172,2931,13,11689,1001,1637100.6,158.2,0.519,0.137,0.131,0.113,0.101,679,6.17,3.37,0.10,0.85,0.08,0.58,0.23,0.93,5.76,2.94,0.00,0.02,0.009,0.053,365,0.163,0.861,0.002,0.000,0.136,254343,219939,8,0.362,0.032,0.108,3769428,0.023,0.069,0.004,162.37,83773,457,0.158,0.308,0.000,3631893,1.05,20.62,0.000,0.011,0.001
320000,3368,1.353,0.030,8.24,283417,267777,3327,6,12234,500,1624474.9,57.2,0.570,0.117,0.113,0.106,0.093,677,5.58,3.43,0.04,0.47,0.08,0.69,0.14,1.16,5.33,3.00,0.00,0.05,0.009,0.064,375,0.196,0.861,0.001,0.000,0.137,268078,235846,10,0.436,0.077,0.052,3250972,0.019,0.082,0.006,162.26,82233,193,0.114,0.500,0.000,2923613,1.02,21.31,0.000,0.004,0.001
330000,3429,1.317,0.028,8.80,284791,267630,3573,10,13517,738,1588049.2,164.6,0.587,0.111,0.108,0.103,0.091,714,5.44,3.42,0.02,0.44,0.04,0.71,0.06,0.59,5.31,3.13,0.00,0.00,0.004,0.038,309,0.183,0.888,0.001,0.000,0.111,270629,238447,11,0.375,0.011,0.022,1010174,0.047,0.078,0.005,162.24,76881,718,0.223,0.100,0.000,2749567,1.01,21.43,0.000,0.003,0.000
340000,3447,1.332,0.025,8.31,278506,260999,3414,19,14056,845,1567746.4,173.7,0.571,0.106,0.104,0.115,0.104,676,5.43,3.42,0.04,0.90,0.07,0.81,0.09,0.86,5.22,3.11,0.00,0.04,0.008,0.064,343,0.185,0.847,0.000,0.000,0.153,264171,234299,13,0.406,0.000,0.030,698000,0.080,0.070,0.004,162.19,81075,912,0.206,0.316,0.000,2947359,1.02,21.60,0.000,0.010,0.001
350000,3480,1.333,0.028,7.76,288560,270748,3557,4,14218,693,1582206.9,124.6,0.601,0.103,0.100,0.103,0.093,639,5.26,3.27,0.07,0.76,0.06,0.70,0.06,0.71,5.07,2.86,0.00,0.00,0.006,0.048,302,0.251,0.854,0.002,0.000,0.144,274317,245317,11,0.468,0.015,0.017,801357,0.057,0.077,0.005,162.02,83436,215,0.180,0.250,0.000,2628568,1.03,21.84,0.000,0.003,0.000
360000,3506,1.319,0.026,8.38,297405,278610,3927,9,14833,667,1594930.9,137.2,0.633,0.096,0.093,0.093,0.085,729,5.31,3.30,0.08,1.06,0.07,0.57,0.08,0.73,5.08,2.79,0.00,0.07,0.009,0.049,337,0.347,0.867,0.002,0.000,0.132,284049,257081,10,0.415,0.164,0.016,470725,0.076,0.074,0.005,162.10,83646,1026,0.206,0.333,0.000,2487934,1.04,21.77,0.000,0.010,0.001
370000,3539,1.307,0.026,8.04,288071,268969,3944,9,15116,746,1603682.5,131.6,0.597,0.101,0.101,0.105,0.097,693,5.04,2.83,0.08,0.64,0.05,0.22,0.07,0.78,4.84,2.52,0.00,0.00,0.008,0.036,273,0.395,0.855,0.005,0.000,0.139,275628,245221,11,0.473,0.038,0.015,385904,0.088,0.075,0.005,162.27,86373,665,0.176,0.333,0.000,2861586,1.05,22.21,0.000,0.008,0.000
380000,3488,1.325,0.027,8.37,297527,278198,3735,114,15531,2180,1600866.6,532.9,0.607,0.098,0.099,0.102,0.094,707,5.17,2.97,0.04,0.62,0.05,0.49,0.03,0.42,5.04,2.80,0.00,0.00,0.007,0.051,297,0.352,0.880,0.000,0.000,0.120,285536,257597,10,0.432,0.001,0.010,444176,0.085,0.073,0.004,162.18,86859,835,0.244,0.211,0.000,2641565,1.02,22.07,0.000,0.022,0.000
390000,3490,1.343,0.026,8.47,287720,268794,3621,3,15300,428,1616145.0,71.3,0.584,0.102,0.104,0.111,0.098,666,5.27,2.91,0.04,0.64,0.08,1.00,0.04,0.60,5.11,2.48,0.00,0.00,0.010,0.055,274,0.340,0.858,0.000,0.000,0.142,274887,245335,10,0.410,0.003,0.007,296584,0.122,0.077,0.005,162.44,87269,818,0.167,0.333,0.000,2800257,1.02,21.91,0.000,0.001,0.000
400000,3541,1.318,0.023,7.59,284110,265526,3425,18,15090,1667,1610687.6,438.9,0.568,0.102,0.104,0.120,0.107,633,5.21,3.19,0.04,0.56,0.05,0.44,0.04,0.55,5.08,3.00,0.00,0.03,0.008,0.049,288,0.389,0.830,0.001,0.000,0.169,271582,242681,7,0.652,0.049,0.010,345923,0.108,0.067,0.004,162.37,87118,360,0.263,0.444,0.000,2776973,1.02,22.18,0.000,0.009,0.000
410000,3468,1.334,0.023,7.90,303561,282776,3978,5,16875,738,1585617.8,149.0,0.646,0.086,0.088,0.095,0.085,707,5.30,3.72,0.03,0.54,0.08,0.76,0.04,0.59,5.14,3.36,0.00,0.09,0.009,0.056,298,0.335,0.842,0.001,0.000,0.157,292786,269417,8,0.656,0.023,0.010,292282,0.100,0.076,0.006,162.15,89630,514,0.202,0.200,0.000,2479056,1.01,22.13,0.000,0.018,0.001
420000,3527,1.325,0.027,8.22,290607,271029,3834,22,15663,1019,1585846.0,221.4,0.603,0.099,0.101,0.104,0.092,656,5.18,3.28,0.02,0.35,0.06,0.50,0.04,0.61,5.06,3.09,0.00,0.05,0.007,0.043,285,0.340,0.876,0.000,0.000,0.124,278921,250894,8,0.575,0.099,0.010,288819,0.104,0.078,0.006,162.20,89149,692,0.217,0.136,0.000,2669889,1.01,22.12,0.001,0.010,0.000
430000,3522,1.331,0.027,8.06,294934,275242,3813,74,15810,1772,1571886.5,452.1,0.622,0.101,0.102,0.092,0.082,674,5.01,2.89,0.02,0.42,0.05,0.68,0.05,0.74,4.89,2.61,0.00,0.00,0.005,0.046,283,0.346,0.877,0.000,0.000,0.123,281033,255014,12,0.467,0.132,0.009,329705,0.082,0.081,0.006,161.97,87370,1051,0.255,0.149,0.000,2107706,1.01,22.28,0.000,0.014,0.000
440000,3525,1.333,0.028,8.08,290306,271750,3679,9,14865,532,1558775.1,118.2,0.603,0.106,0.107,0.097,0.087,691,5.15,3.30,0.05,0.72,0.05,0.39,0.10,1.72,4.95,2.65,0.00,0.04,0.007,0.054,298,0.349,0.866,0.002,0.000,0.132,275765,248257,12,0.567,0.002,0.011,376711,0.087,0.076,0.005,161.99,85481,303,0.222,0.556,0.000,2183346,1.02,22.06,0.001,0.004,0.001
450000,3538,1.320,0.030,8.63,278839,261470,3459,33,13864,930,1601891.6,199.5,0.568,0.108,0.110,0.112,0.103,637,5.14,2.99,0.07,0.88,0.06,0.58,0.06,0.81,4.95,2.49,0.00,0.06,0.006,0.044,275,0.410,0.873,0.001,0.000,0.126,262895,233644,11,0.503,0.055,0.010,239841,0.112,0.077,0.005,162.16,81895,784,0.215,0.333,0.000,2339644,1.03,22.15,0.000,0.021,0.001
460000,3456,1.354,0.030,8.52,276668,260043,3205,6,13496,637,1603835.8,91.1,0.540,0.108,0.111,0.125,0.116,609,5.30,3.08,0.05,0.75,0.04,0.54,0.05,0.58,5.16,2.80,0.00,0.00,0.004,0.040,304,0.378,0.880,0.000,0.000,0.120,260876,228673,11,0.380,0.209,0.010,337569,0.113,0.075,0.004,162.30,81459,462,0.143,0.500,0.000,2641819,1.02,21.91,0.000,0.005,0.000
470000,3493,1.337,0.030,8.36,280260,262654,3228,5,14336,470,1576816.9,80.2,0.574,0.109,0.111,0.110,0.096,666,5.31,3.49,0.06,0.82,0.05,0.72,0.06,0.81,5.14,2.92,0.00,0.02,0.004,0.044,299,0.390,0.871,0.001,0.000,0.128,265572,233453,15,0.546,0.072,0.013,382669,0.098,0.079,0.005,162.30,82742,441,0.171,0.400,0.000,2581584,1.03,22.10,0.001,0.005,0.001
480000,3498,1.320,0.026,7.94,290117,271487,3551,8,15066,706,1576472.9,109.2,0.615,0.096,0.099,0.100,0.090,668,5.34,3.60,0.05,0.83,0.06,0.82,0.06,0.93,5.18,3.21,0.00,0.02,0.005,0.047,278,0.377,0.852,0.000,0.000,0.148,276159,246422,14,0.447,0.161,0.010,319025,0.111,0.075,0.005,162.16,85777,1019,0.155,0.250,0.000,2194824,1.03,22.22,0.000,0.006,0.001
