step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share
10000,3276,1.385,0.048,8.20,230904,219734,1102,36,8304,8580,1576700.4,1129.6,0.503,0.125,0.111,0.142,0.119,827,6.26,3.44,0.03,0.43,0.16,0.93,0.07,0.79,6.00,3.02,0.01,0.20,0.016,0.071,422,0.091,0.877,0.005,0.000,0.118,205410,152366,10,0.329,0.220,0.022,1162192,0.175,0.117,0.015,159.16,78924,207,0.132,0.417,0.001,2751461,1.01,18.76,0.000,0.056,0.004
20000,3320,1.370,0.032,8.58,262279,248991,2476,21,10747,3212,1564523.5,643.2,0.578,0.104,0.095,0.123,0.101,641,6.21,3.53,0.02,0.34,0.19,1.05,0.09,0.88,5.91,3.10,0.00,0.00,0.020,0.071,431,0.079,0.882,0.001,0.000,0.117,242741,196953,13,0.390,0.026,0.023,841857,0.082,0.085,0.006,162.27,91960,493,0.200,0.238,0.000,1887626,1.01,19.48,0.000,0.005,0.000
30000,3338,1.371,0.036,8.38,274818,259754,2769,10,12267,1437,1553734.4,289.4,0.622,0.102,0.094,0.101,0.080,631,5.84,3.23,0.06,0.67,0.26,1.14,0.09,0.79,5.43,2.65,0.00,0.13,0.030,0.084,408,0.088,0.867,0.002,0.000,0.131,258460,220504,8,0.401,0.031,0.021,810841,0.063,0.099,0.010,162.23,93951,27,0.201,0.800,0.000,1448519,1.02,20.00,0.000,0.025,0.001
40000,3469,1.344,0.032,8.34,274701,259881,3016,41,11632,2632,1535415.8,545.1,0.642,0.102,0.095,0.090,0.070,593,5.65,3.33,0.07,0.97,0.21,1.11,0.10,0.91,5.26,2.73,0.01,0.11,0.025,0.077,446,0.135,0.855,0.001,0.000,0.144,260001,222682,6,0.500,0.274,0.034,930999,0.045,0.087,0.007,162.40,95279,995,0.207,0.122,0.000,1406700,1.03,20.20,0.000,0.025,0.003
50000,3406,1.359,0.033,8.04,273292,258593,2716,1131,10915,33595,1574383.0,7528.1,0.641,0.097,0.091,0.096,0.075,574,5.94,3.11,0.04,0.72,0.28,1.05,0.15,1.10,5.48,2.50,0.00,0.00,0.034,0.088,408,0.109,0.871,0.000,0.000,0.129,258011,222829,10,0.223,0.345,0.036,1698817,0.039,0.085,0.006,162.28,93439,642,0.224,0.247,0.000,1252899,1.01,19.97,0.000,0.007,0.000
60000,3462,1.362,0.031,8.04,289027,273750,3007,3,12211,702,1560726.6,116.7,0.674,0.080,0.079,0.094,0.073,666,5.80,3.36,0.04,0.96,0.27,1.18,0.11,1.30,5.38,2.54,0.00,0.07,0.032,0.091,386,0.100,0.857,0.001,0.000,0.142,275343,244947,14,0.339,0.020,0.020,858779,0.047,0.080,0.005,162.40,93903,60,0.166,0.667,0.000,969230,1.02,20.01,0.000,0.002,0.001
70000,3421,1.373,0.033,8.01,293783,278457,3108,27,12232,1183,1567655.5,217.7,0.672,0.077,0.077,0.098,0.077,667,5.71,3.29,0.03,0.51,0.20,1.01,0.11,1.16,5.37,2.79,0.00,0.06,0.023,0.092,400,0.092,0.847,0.000,0.000,0.153,280575,248655,12,0.371,0.027,0.023,721663,0.056,0.093,0.008,162.61,95412,778,0.184,0.407,0.000,1051971,1.01,20.41,0.000,0.008,0.001
80000,3506,1.332,0.026,8.53,298733,281670,3436,61,13481,2599,1570127.4,579.8,0.680,0.074,0.074,0.099,0.073,592,5.52,2.88,0.06,0.95,0.16,0.91,0.09,0.88,5.21,2.29,0.00,0.02,0.018,0.068,366,0.113,0.841,0.000,0.000,0.159,287818,260232,12,0.509,0.004,0.021,682775,0.079,0.065,0.002,162.78,99048,831,0.223,0.328,0.000,1394357,1.03,20.64,0.000,0.012,0.000
90000,3563,1.319,0.023,8.69,277281,261720,3414,16,12074,1451,1560169.4,232.0,0.662,0.075,0.081,0.106,0.078,638,5.20,2.39,0.01,0.32,0.11,0.56,0.10,1.24,4.97,1.91,0.00,0.03,0.017,0.078,243,0.154,0.869,0.001,0.000,0.130,266897,236188,9,0.532,0.042,0.019,750347,0.093,0.060,0.001,162.95,95091,470,0.160,0.375,0.000,1679734,1.00,21.16,0.000,0.006,0.001
100000,2987,1.441,0.027,8.88,231095,211277,1201,11692,7501,446520,1589336.8,79479.1,0.545,0.084,0.095,0.167,0.110,625,8.27,5.77,0.35,1.69,0.52,2.33,0.24,1.54,7.16,3.77,0.10,0.50,0.026,0.097,1045,0.037,0.869,0.047,0.000,0.084,218299,162900,9,0.551,0.117,0.056,1058972,0.127,0.079,0.005,162.61,84678,363,0.178,0.193,0.027,2554784,1.11,18.16,0.000,0.515,0.043
