step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share
10000,3173,1.406,0.028,8.24,249755,236450,1079,4,10578,5906,1614655.6,383.1,0.459,0.122,0.134,0.164,0.121,794,7.10,4.82,0.10,1.25,0.16,1.39,0.08,1.07,6.76,4.24,0.00,0.09,0.011,0.077,452,0.088,0.861,0.002,0.000,0.137,220932,166981,7,0.592,0.010,0.015,787887,0.105,0.071,0.003,160.73,83581,23,0.065,1.000,0.000,2530875,1.03,19.12,0.001,0.003,0.002
20000,3295,1.397,0.026,8.62,277228,259914,2399,0,14793,358,1560101.5,50.1,0.573,0.120,0.127,0.103,0.077,670,6.30,3.94,0.07,0.70,0.05,0.93,0.07,0.61,6.11,3.67,0.00,0.02,0.004,0.055,349,0.126,0.859,0.001,0.000,0.141,255266,210175,9,0.391,0.042,0.018,444603,0.036,0.071,0.004,162.49,88983,0,0.140,0.000,0.000,1379326,1.03,20.49,0.000,0.005,0.000
30000,3393,1.334,0.025,8.27,305220,284940,2779,0,17403,291,1587039.6,49.5,0.623,0.106,0.121,0.083,0.067,592,5.71,3.75,0.07,0.71,0.09,0.89,0.04,0.41,5.53,3.40,0.00,0.10,0.009,0.069,322,0.134,0.833,0.001,0.000,0.166,287551,249857,11,0.347,0.067,0.016,525224,0.028,0.070,0.004,162.63,103781,0,0.170,0.000,0.000,1226300,1.03,20.99,0.000,0.002,0.001
40000,3362,1.334,0.025,8.97,299321,277414,2694,0,19244,207,1587948.0,19.9,0.580,0.127,0.146,0.081,0.066,566,5.65,3.64,0.06,0.76,0.02,0.42,0.01,0.27,5.56,3.42,0.00,0.08,0.002,0.024,311,0.145,0.896,0.000,0.000,0.104,282207,245061,12,0.374,0.021,0.004,290163,0.044,0.061,0.002,162.63,102630,0,0.096,0.000,0.000,1229819,1.02,21.22,0.001,0.001,0.001
50000,3420,1.352,0.020,8.06,306133,283684,2861,3,19527,367,1547450.0,36.9,0.609,0.122,0.140,0.071,0.058,553,5.61,4.00,0.04,0.69,0.04,0.59,0.04,0.86,5.49,3.67,0.00,0.02,0.004,0.044,329,0.190,0.844,0.000,0.000,0.156,290639,253170,9,0.367,0.014,0.007,129873,0.072,0.067,0.004,162.64,102281,34,0.101,0.667,0.000,1413292,1.01,21.06,0.000,0.005,0.000
60000,3345,1.360,0.019,8.61,339582,314985,3561,57,21054,1139,1609237.5,221.4,0.694,0.099,0.116,0.050,0.041,554,5.77,4.05,0.11,1.07,0.06,0.85,0.01,0.28,5.59,3.82,0.00,0.07,0.006,0.060,397,0.119,0.823,0.000,0.000,0.177,326525,297355,10,0.363,0.037,0.001,144502,0.062,0.056,0.002,162.60,118377,795,0.194,0.246,0.000,974798,1.06,20.82,0.000,0.001,0.001
70000,3511,1.309,0.020,9.24,313317,288511,3330,5,21305,364,1593624.0,45.6,0.675,0.109,0.124,0.050,0.043,502,5.49,3.72,0.08,0.70,0.06,0.86,0.02,0.45,5.32,3.40,0.00,0.02,0.005,0.053,369,0.104,0.836,0.001,0.000,0.163,300281,260911,14,0.347,0.036,0.004,120171,0.073,0.067,0.004,162.58,113648,81,0.125,0.600,0.000,1258483,1.04,21.28,0.000,0.001,0.001
80000,3434,1.296,0.021,9.14,308273,283729,3229,0,21392,258,1603679.6,25.4,0.644,0.104,0.123,0.067,0.062,549,5.60,4.00,0.08,0.64,0.06,0.69,0.01,0.51,5.45,3.82,0.00,0.08,0.006,0.056,400,0.152,0.861,0.001,0.000,0.138,295202,257246,12,0.249,0.077,0.002,121713,0.063,0.057,0.002,162.72,106976,0,0.099,0.000,0.000,1468818,1.04,20.99,0.000,0.004,0.001
90000,3453,1.333,0.023,10.07,293038,271408,2841,5,18765,452,1621498.1,63.0,0.599,0.114,0.138,0.077,0.072,550,5.36,3.27,0.12,0.86,0.03,0.43,0.02,0.35,5.19,3.11,0.00,0.00,0.004,0.051,373,0.108,0.866,0.001,0.000,0.133,280047,246805,13,0.214,0.009,0.005,82442,0.094,0.063,0.003,162.74,103949,1205,0.139,0.400,0.000,1637136,1.06,21.18,0.000,0.003,0.000
100000,3481,1.318,0.023,9.83,306071,283511,3076,1,19455,374,1596789.4,39.0,0.617,0.118,0.131,0.068,0.065,449,5.21,3.39,0.08,0.62,0.04,0.70,0.01,0.23,5.08,3.25,0.00,0.03,0.004,0.050,355,0.160,0.881,0.001,0.000,0.118,291230,253945,13,0.207,0.030,0.003,160797,0.097,0.057,0.002,162.77,114029,233,0.104,0.000,0.000,1442383,1.04,21.29,0.000,0.001,0.001
