step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share
10000,2991,1.453,0.026,8.80,209200,199906,373,674,6776,119932,1596981.5,19145.6,0.288,0.200,0.231,0.130,0.151,825,7.85,4.91,0.08,1.16,0.13,1.12,0.12,1.31,7.52,4.47,0.00,0.08,0.009,0.069,491,0.108,0.873,0.002,0.000,0.125,193057,120166,7,0.345,0.090,0.029,953659,0.098,0.083,0.006,160.25,76691,394,0.160,0.300,0.000,6872930,1.03,17.03,0.000,0.054,0.001
20000,3057,1.387,0.026,8.82,250485,236976,1603,1446,10394,66262,1584152.4,12686.6,0.520,0.149,0.159,0.082,0.090,640,7.62,4.47,0.06,1.20,0.07,0.49,0.19,1.37,7.29,4.08,0.00,0.02,0.009,0.055,437,0.053,0.860,0.000,0.000,0.140,241658,184086,7,0.381,0.195,0.042,1505078,0.043,0.081,0.007,162.20,93490,620,0.191,0.220,0.000,5111187,1.02,17.10,0.000,0.018,0.000
30000,3360,1.325,0.030,8.47,290180,273036,2450,36,14355,2758,1547777.0,542.0,0.613,0.127,0.133,0.059,0.067,581,5.99,4.31,0.09,1.22,0.05,0.47,0.16,1.22,5.69,3.79,0.00,0.02,0.005,0.047,409,0.160,0.839,0.001,0.000,0.161,280471,235058,13,0.543,0.060,0.038,1521528,0.029,0.094,0.009,162.16,103530,653,0.197,0.361,0.000,3559661,1.03,19.62,0.000,0.007,0.001
40000,3418,1.330,0.031,8.70,300795,283389,3060,7,14281,848,1565024.2,114.2,0.640,0.116,0.129,0.054,0.062,560,5.67,3.60,0.06,0.88,0.10,0.77,0.16,1.20,5.37,3.10,0.00,0.04,0.010,0.064,356,0.228,0.859,0.000,0.000,0.141,290624,253200,15,0.519,0.058,0.038,1153135,0.039,0.089,0.007,162.01,101860,417,0.135,0.143,0.000,3280425,1.02,19.88,0.000,0.002,0.001
50000,3444,1.320,0.031,9.72,266417,251530,2837,171,11853,8590,1567652.1,2129.4,0.568,0.130,0.153,0.072,0.076,500,5.57,3.19,0.06,0.84,0.09,0.83,0.13,1.45,5.30,2.69,0.00,0.00,0.009,0.059,329,0.146,0.897,0.000,0.000,0.103,253843,211239,14,0.446,0.061,0.030,1016438,0.056,0.085,0.006,161.93,97616,679,0.248,0.269,0.000,3182077,1.02,20.04,0.000,0.008,0.000
60000,3387,1.339,0.036,9.72,256803,242706,2632,14,11508,1169,1581428.4,247.2,0.526,0.137,0.173,0.079,0.084,570,5.84,3.62,0.08,1.00,0.13,0.72,0.14,1.43,5.49,3.00,0.00,0.12,0.017,0.061,349,0.168,0.903,0.000,0.000,0.097,242708,195420,13,0.210,0.069,0.027,839953,0.056,0.094,0.008,162.23,96553,603,0.211,0.429,0.000,3095865,1.03,19.81,0.000,0.012,0.001
70000,3395,1.331,0.035,9.80,248676,235085,2351,3,11229,560,1573780.2,88.9,0.486,0.140,0.187,0.090,0.098,581,5.71,3.51,0.06,1.12,0.10,0.84,0.13,1.24,5.43,2.82,0.00,0.03,0.012,0.052,286,0.133,0.915,0.000,0.000,0.085,234138,185839,13,0.317,0.071,0.025,865577,0.053,0.086,0.006,162.40,88499,348,0.159,0.667,0.000,3659125,1.02,19.99,0.000,0.001,0.000
80000,3283,1.347,0.031,9.64,248164,235241,2177,1,10857,677,1595742.2,105.1,0.464,0.147,0.183,0.101,0.105,603,6.07,3.48,0.07,1.10,0.13,0.86,0.09,1.04,5.77,2.90,0.00,0.11,0.015,0.068,295,0.101,0.907,0.002,0.000,0.091,233658,181751,13,0.380,0.050,0.019,709281,0.063,0.075,0.004,162.30,90903,327,0.155,0.000,0.000,3931064,1.02,19.64,0.000,0.005,0.001
90000,3328,1.370,0.039,9.50,258293,244724,2267,2,11255,588,1589118.2,69.5,0.506,0.129,0.164,0.099,0.102,611,5.85,3.29,0.09,0.92,0.07,0.57,0.12,1.14,5.58,2.81,0.00,0.09,0.008,0.049,304,0.097,0.890,0.002,0.000,0.108,243966,195047,14,0.373,0.026,0.028,935331,0.057,0.103,0.012,162.10,93491,31,0.118,1.000,0.001,3340855,1.03,19.85,0.000,0.010,0.001
100000,3443,1.342,0.031,9.59,286162,269553,2881,1,13612,291,1590125.1,35.6,0.589,0.105,0.135,0.086,0.085,510,5.77,3.60,0.07,1.03,0.08,0.67,0.14,1.30,5.48,3.00,0.00,0.00,0.008,0.052,319,0.100,0.871,0.001,0.000,0.128,272015,231881,18,0.320,0.035,0.029,1005948,0.043,0.082,0.005,162.16,104400,11,0.122,1.000,0.000,2755453,1.03,20.02,0.000,0.001,0.000
