step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share
10000,2904,1.466,0.040,10.06,199343,186381,105,2,11464,4689,1595259.6,240.6,0.310,0.261,0.254,0.069,0.106,770,8.84,5.40,0.22,1.36,0.12,1.19,0.51,2.39,8.00,4.31,0.00,0.09,0.007,0.063,533,0.071,0.873,0.004,0.000,0.122,174125,99017,14,0.321,0.047,0.113,2995615,0.144,0.097,0.009,160.41,76510,12,0.051,1.000,0.000,3069667,1.07,16.86,0.000,0.002,0.001
20000,3188,1.449,0.048,9.86,260782,240355,1970,2,18171,233,1621270.4,15.2,0.585,0.158,0.162,0.030,0.065,549,6.63,3.96,0.12,1.39,0.03,0.63,0.23,1.60,6.24,3.29,0.00,0.00,0.002,0.029,432,0.066,0.885,0.000,0.000,0.115,241432,195513,12,0.218,0.109,0.056,2295794,0.068,0.114,0.014,162.08,102308,48,0.065,0.500,0.000,1644056,1.04,19.18,0.000,0.001,0.000
30000,3303,1.387,0.041,10.04,258384,236173,1922,0,20174,335,1596753.6,22.3,0.567,0.161,0.173,0.030,0.070,524,6.39,4.19,0.10,1.32,0.03,0.48,0.17,1.22,6.09,3.51,0.00,0.10,0.002,0.033,421,0.140,0.892,0.001,0.000,0.107,238008,194917,15,0.168,0.046,0.042,1366062,0.067,0.094,0.007,161.87,98459,0,0.067,0.000,0.000,1510360,1.03,19.59,0.000,0.002,0.001
40000,3298,1.412,0.035,10.20,252717,231034,2247,0,19441,428,1578156.0,36.6,0.596,0.162,0.163,0.027,0.052,503,6.26,4.23,0.06,0.76,0.10,1.16,0.18,1.54,5.92,3.49,0.00,0.04,0.007,0.064,430,0.131,0.898,0.001,0.000,0.102,234522,198817,12,0.143,0.121,0.042,1567264,0.053,0.089,0.007,161.83,98857,0,0.085,0.000,0.000,1438083,1.02,19.68,0.000,0.007,0.001
50000,3382,1.388,0.037,9.68,260598,239384,2674,5,18451,689,1571077.9,83.7,0.642,0.148,0.142,0.025,0.044,494,5.92,4.03,0.05,0.60,0.04,0.79,0.23,1.42,5.60,3.42,0.00,0.00,0.002,0.039,405,0.116,0.891,0.001,0.000,0.108,244554,213699,14,0.256,0.191,0.074,2053075,0.035,0.101,0.010,161.80,101935,1145,0.122,0.200,0.000,1297022,1.02,20.14,0.000,0.007,0.000
60000,3417,1.369,0.042,9.88,261583,240465,2725,1,18357,407,1564363.2,47.5,0.631,0.148,0.146,0.028,0.046,558,5.70,3.82,0.05,0.74,0.06,0.85,0.28,2.07,5.31,3.02,0.00,0.05,0.004,0.051,388,0.131,0.886,0.001,0.000,0.113,246362,212788,13,0.159,0.041,0.054,2013727,0.036,0.103,0.010,162.03,99835,607,0.117,0.000,0.000,1353538,1.02,20.54,0.000,0.001,0.000
70000,3496,1.350,0.030,9.70,261466,241843,2730,14,16800,674,1577510.1,121.6,0.619,0.154,0.157,0.026,0.045,532,5.74,4.02,0.09,1.06,0.03,0.61,0.29,2.10,5.34,3.10,0.00,0.02,0.002,0.037,376,0.128,0.856,0.000,0.000,0.144,245309,208782,11,0.198,0.045,0.064,1654505,0.047,0.083,0.007,162.22,100757,598,0.180,0.571,0.000,1311570,1.03,20.51,0.000,0.001,0.000
80000,3386,1.392,0.039,9.68,291750,271255,3205,6,17394,377,1589078.8,24.6,0.682,0.131,0.130,0.023,0.034,577,5.79,3.80,0.05,1.02,0.02,0.41,0.34,2.10,5.38,3.00,0.00,0.00,0.002,0.035,377,0.148,0.874,0.001,0.000,0.124,278023,248677,11,0.275,0.024,0.076,2361759,0.040,0.108,0.013,162.26,104200,992,0.065,0.333,0.000,1117213,1.02,20.36,0.000,0.004,0.000
90000,3453,1.364,0.029,10.10,271907,251221,3440,1,17178,440,1568601.2,32.8,0.666,0.140,0.137,0.023,0.035,578,5.71,3.60,0.04,0.64,0.01,0.22,0.18,1.35,5.49,3.19,0.00,0.00,0.002,0.038,371,0.201,0.874,0.000,0.000,0.126,256450,224920,13,0.213,0.035,0.059,2223464,0.038,0.080,0.005,162.18,100398,9,0.075,1.000,0.000,1060832,1.02,20.59,0.000,0.004,0.000
100000,3491,1.376,0.033,9.72,255146,235362,3084,1,16661,236,1524015.2,20.5,0.627,0.154,0.152,0.025,0.042,542,5.49,3.93,0.08,1.15,0.03,0.78,0.26,1.73,5.12,3.18,0.00,0.00,0.002,0.036,313,0.134,0.894,0.000,0.000,0.106,238511,204822,14,0.262,0.093,0.081,2241420,0.040,0.089,0.007,162.16,94508,71,0.087,0.000,0.000,1119932,1.03,20.82,0.000,0.001,0.000
