step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage
100000,2,2,0,0,0,2,0,1.00,26,0.000,2997,1.68,117.61,0.00,259
100000,4,4,0,0,0,4,0,1.00,22,0.000,2996,1.44,236.90,0.00,6
100000,4,4,0,0,0,4,0,1.00,22,0.000,2995,2.17,169.83,0.00,6
100000,4,4,0,0,0,4,0,1.00,22,0.000,2992,1.49,208.35,0.00,6
100000,4,4,0,0,0,4,0,1.00,22,0.000,2987,1.57,232.02,0.00,10
100000,7,7,0,0,0,7,0,1.00,16,0.000,2984,1.86,275.77,0.00,246
100000,7,7,0,0,0,7,0,1.00,18,0.000,2982,2.60,234.04,0.00,259
100000,3,3,0,0,0,3,0,1.00,24,0.000,2980,2.04,148.89,0.00,6
100000,9,9,0,0,0,9,0,1.00,16,0.000,2977,1.53,231.89,0.00,223
100000,3,3,0,0,0,3,0,1.00,24,0.000,2976,1.90,173.64,0.00,6
100000,7,7,0,1,0,6,0,1.00,18,0.143,2973,1.95,231.30,0.00,115
100000,5,5,0,0,1,4,0,1.00,20,0.000,2973,1.29,205.47,0.00,268
100000,7,7,0,0,0,7,0,1.00,20,0.000,2970,2.46,291.61,0.00,10
100000,5,5,0,0,0,5,0,1.00,22,0.000,2968,1.63,205.74,0.00,10
100000,4,4,0,0,0,4,0,1.00,22,0.000,2964,1.75,229.49,0.00,6
100000,7,7,0,0,0,7,0,1.00,16,0.000,2963,1.81,237.79,0.00,246
100000,4,4,0,0,0,4,0,1.00,22,0.000,2962,1.32,159.61,0.00,6
100000,3,3,0,0,0,3,0,1.00,24,0.000,2962,2.09,175.38,0.00,6
100000,8,8,0,0,0,8,0,1.00,16,0.000,2961,2.56,301.68,0.00,250
100000,8,8,0,0,0,8,0,1.00,16,0.000,2960,1.33,315.53,0.00,250
100000,5,5,0,0,0,5,0,1.00,22,0.000,2959,1.68,231.63,0.00,10
100000,3,3,0,0,0,3,0,1.00,24,0.000,2958,1.29,145.30,0.00,266
100000,4,4,0,0,0,4,0,1.00,22,0.000,2958,1.86,235.85,0.00,6
100000,10,10,0,0,0,10,0,1.00,16,0.000,2957,2.44,306.90,0.00,266
100000,4,4,0,0,0,4,0,1.00,22,0.000,2955,1.17,203.50,0.00,6
100000,3,3,0,0,0,3,0,1.00,24,0.000,2953,1.14,174.92,0.00,246
100000,11,11,0,0,0,11,0,1.00,12,0.000,2952,2.25,312.28,0.00,246
100000,5,5,0,0,0,5,0,1.00,20,0.000,2950,2.17,189.00,0.00,246
100000,4,4,0,0,0,4,0,1.00,22,0.000,2940,1.44,189.75,0.00,6
100000,3,3,0,0,0,3,0,1.00,24,0.000,2936,1.74,147.45,0.00,10
100000,4,4,0,0,0,4,0,1.00,22,0.000,2932,2.36,195.12,0.00,6
100000,3,3,0,0,0,3,0,1.00,24,0.000,2923,1.78,156.85,0.00,246
100000,6,6,0,0,0,6,0,1.00,20,0.000,2922,1.21,165.39,0.00,246
100000,4,4,0,0,0,4,0,1.00,22,0.000,2920,1.64,171.84,0.00,223
100000,11,11,0,0,0,11,0,1.00,10,0.000,2920,0.82,216.27,0.00,6
100000,8,8,3,0,0,5,0,2.40,12,0.000,2916,1.74,243.30,0.00,6
100000,5,5,0,0,0,5,0,1.00,22,0.000,2913,1.26,233.31,0.00,10
100000,5,5,0,0,0,5,0,1.00,22,0.000,2908,2.06,168.38,0.00,140
100000,16,16,0,0,0,16,0,1.00,8,0.000,2905,1.72,267.98,0.00,250
100000,3,3,0,0,0,3,0,1.00,24,0.000,2905,1.84,171.97,0.00,6
100000,15,15,0,0,4,11,0,1.00,8,0.000,2901,3.25,294.34,0.00,246
100000,4,4,0,0,0,4,0,1.00,22,0.000,2900,1.98,156.92,0.00,6
100000,6,6,0,0,0,6,0,1.00,20,0.000,2897,1.30,281.85,0.00,6
100000,4,4,0,0,0,4,0,1.00,22,0.000,2894,1.36,175.43,0.00,6
100000,4,4,0,0,0,4,0,1.00,22,0.000,2892,2.37,226.61,0.00,6
100000,5,5,0,0,0,5,0,1.00,20,0.000,2892,1.25,175.83,0.00,145
100000,4,4,0,0,0,4,0,1.00,22,0.000,2892,0.71,169.97,0.00,6
100000,3,3,0,0,0,3,0,1.00,24,0.000,2888,1.93,164.98,0.00,246
100000,5,5,0,0,0,5,0,1.00,22,0.000,2888,1.30,188.64,0.00,115
100000,7,7,0,0,0,7,0,1.00,18,0.000,2887,2.24,216.90,0.00,25
100000,5,5,0,0,0,5,0,1.00,20,0.000,2885,1.30,170.49,0.00,6
100000,12,12,0,0,0,12,0,1.00,10,0.000,2883,1.10,313.41,0.00,246
100000,5,5,0,0,0,5,0,1.00,20,0.000,2878,1.66,177.00,0.00,223
100000,8,8,0,0,0,8,0,1.00,16,0.000,2877,2.30,286.78,0.00,250
100000,4,4,0,0,0,4,0,1.00,22,0.000,2876,1.60,197.87,0.00,6
100000,5,5,0,0,0,5,0,1.00,20,0.000,2873,2.22,193.55,0.00,145
100000,4,4,0,0,1,3,0,1.00,22,0.000,2868,1.15,151.53,0.00,246
100000,4,4,0,0,0,4,0,1.00,22,0.000,2863,2.00,190.05,0.00,6
100000,3,3,0,0,0,3,0,1.00,24,0.000,2859,1.75,166.26,0.00,246
100000,7,7,0,0,0,7,0,1.00,18,0.000,2858,1.85,211.91,0.00,25
100000,7,7,0,0,0,7,0,1.00,18,0.000,2858,1.88,317.95,0.00,246
100000,6,6,0,0,0,6,0,1.00,20,0.000,2857,2.46,214.17,0.00,10
100000,4,4,0,0,0,4,0,1.00,22,0.000,2856,2.11,225.91,0.00,246
100000,8,8,0,0,0,8,0,1.00,18,0.000,2854,1.09,266.13,0.00,10
100000,5,5,0,0,0,5,0,1.00,20,0.000,2852,1.49,213.04,0.00,6
100000,3,3,0,0,0,3,0,1.00,24,0.000,2844,2.15,170.19,0.00,6
100000,3,3,0,0,0,3,0,1.00,24,0.000,2824,1.58,166.44,0.00,6
100000,3,3,0,0,0,3,0,1.00,24,0.000,2814,1.47,158.55,0.00,246
100000,4,4,0,0,0,4,0,1.00,22,0.000,2813,1.97,207.60,0.00,6
100000,16,16,0,0,0,16,0,1.00,4,0.000,2811,2.58,231.75,0.00,266
100000,4,4,0,0,0,4,0,1.00,22,0.000,2810,1.66,148.60,0.00,152
100000,4,4,0,0,0,4,0,1.00,22,0.000,2805,1.71,189.64,0.00,246
100000,4,4,0,0,0,4,0,1.00,22,0.000,2802,2.20,223.88,0.00,6
100000,3,3,0,0,0,3,0,1.00,24,0.000,2802,1.77,158.52,0.00,10
100000,11,11,0,0,0,11,0,1.00,14,0.000,2800,0.20,210.12,0.00,6
100000,4,4,0,0,0,4,0,1.00,22,0.000,2799,2.00,184.57,0.00,6
100000,7,7,0,1,0,6,0,1.00,18,0.143,2798,1.84,219.72,0.00,115
100000,4,4,0,0,0,4,0,1.00,22,0.000,2794,1.64,220.45,0.00,6
100000,5,5,0,0,0,5,0,1.00,20,0.000,2794,1.66,204.23,0.00,145
100000,14,14,0,0,10,4,0,1.00,10,0.000,2789,2.55,222.32,0.00,6
