step,cause,age,size,mass,n,worn
10000,hunger,0,48,108,1,0
10000,hunger,0,48,112,2,0
10000,hunger,0,52,28,3,0
10000,hunger,0,52,40,2,0
10000,hunger,0,52,44,1,0
10000,hunger,0,52,48,1,0
10000,hunger,0,52,52,3,0
10000,hunger,0,52,56,1,0
10000,hunger,0,52,60,4,0
10000,hunger,0,52,64,1,0
10000,hunger,0,52,68,1,0
10000,hunger,0,52,72,1,0
10000,hunger,0,52,76,3,0
10000,hunger,0,52,92,1,0
10000,hunger,0,52,104,2,0
10000,hunger,0,56,28,2,0
10000,hunger,0,56,44,1,0
10000,hunger,0,56,48,1,0
10000,hunger,0,56,52,1,0
10000,hunger,0,56,56,3,0
10000,hunger,0,56,60,2,0
10000,hunger,0,56,64,6,1
10000,hunger,0,56,80,1,0
10000,hunger,0,56,88,1,0
10000,hunger,0,56,112,3,0
10000,hunger,0,56,116,1,0
10000,hunger,0,60,40,1,0
10000,hunger,0,60,52,1,0
10000,hunger,0,60,56,1,0
10000,hunger,0,60,60,1,0
10000,hunger,0,60,64,5,0
10000,hunger,0,60,68,1,0
10000,hunger,0,60,72,3,0
10000,hunger,0,60,76,1,0
10000,hunger,0,60,80,1,0
10000,hunger,0,60,88,3,0
10000,hunger,0,60,112,1,0
10000,hunger,0,60,116,2,0
10000,hunger,0,60,120,2,0
10000,hunger,0,64,28,2,0
10000,hunger,0,64,32,3,0
10000,hunger,0,64,36,1,0
10000,hunger,0,64,44,1,0
10000,hunger,0,64,48,4,0
10000,hunger,0,64,52,8,0
10000,hunger,0,64,56,11,0
10000,hunger,0,64,60,9,0
10000,hunger,0,64,64,12,0
10000,hunger,0,64,68,10,0
10000,hunger,0,64,72,12,0
10000,hunger,0,64,76,1,0
10000,hunger,0,64,80,2,0
10000,hunger,0,64,84,3,0
10000,hunger,0,64,88,5,0
10000,hunger,0,64,92,5,0
10000,hunger,0,64,96,4,0
10000,hunger,0,64,100,3,0
10000,hunger,0,64,104,1,0
10000,hunger,0,64,108,2,0
10000,hunger,0,64,116,2,0
10000,hunger,0,64,120,5,0
10000,hunger,0,64,124,10,0
10000,hunger,0,64,128,1,0
10000,hunger,0,64,164,1,0
10000,hunger,0,68,68,1,0
10000,hunger,0,68,96,1,0
10000,hunger,0,72,64,1,0
10000,hunger,0,72,72,1,0
10000,hunger,0,72,84,2,0
10000,hunger,0,72,88,1,0
10000,hunger,0,76,44,1,0
10000,hunger,0,76,56,1,0
10000,hunger,0,76,68,2,0
10000,hunger,0,76,72,1,0
10000,hunger,0,76,92,1,0
10000,hunger,0,76,104,2,0
10000,hunger,0,76,116,1,0
10000,hunger,0,76,152,1,0
10000,hunger,0,76,172,1,0
10000,hunger,0,80,40,1,0
10000,hunger,0,80,44,1,0
10000,hunger,0,80,56,1,0
10000,hunger,0,80,60,1,0
10000,hunger,0,80,68,2,0
10000,hunger,0,80,72,4,0
10000,hunger,0,80,76,1,0
10000,hunger,0,80,80,6,0
10000,hunger,0,80,84,2,0
10000,hunger,0,80,96,2,0
10000,hunger,0,80,100,1,0
10000,hunger,0,80,108,1,0
10000,hunger,0,80,112,1,0
10000,hunger,0,80,132,1,0
10000,hunger,0,80,136,2,0
10000,hunger,0,80,140,1,0
10000,hunger,0,80,148,1,0
10000,hunger,0,80,160,3,0
10000,hunger,0,80,176,1,0
10000,hunger,0,84,76,1,0
10000,hunger,0,84,192,1,0
10000,hunger,0,92,72,1,0
10000,hunger,0,92,176,1,0
10000,hunger,0,96,48,1,0
10000,hunger,0,96,80,2,0
10000,hunger,0,96,84,1,0
10000,hunger,0,96,100,1,0
10000,hunger,0,96,152,1,0
10000,hunger,0,100,44,1,0
10000,hunger,0,100,48,1,0
10000,hunger,0,100,52,3,0
10000,hunger,0,100,56,2,0
10000,hunger,0,100,64,1,0
10000,hunger,0,100,68,1,0
10000,hunger,0,100,80,2,0
10000,hunger,0,100,84,1,0
10000,hunger,0,100,92,1,0
10000,hunger,0,100,96,2,0
10000,hunger,0,100,104,1,0
10000,hunger,0,100,112,1,0
10000,hunger,0,100,116,3,0
10000,hunger,0,100,132,1,0
10000,hunger,0,100,136,1,0
10000,hunger,0,100,140,1,0
10000,hunger,0,100,152,2,0
10000,hunger,0,100,156,1,0
10000,hunger,0,100,160,1,0
10000,hunger,0,100,176,1,0
10000,hunger,0,100,184,1,0
10000,hunger,0,100,204,1,0
10000,hunger,0,100,224,1,0
10000,hunger,0,100,228,1,0
10000,hunger,0,120,44,1,0
10000,hunger,0,120,68,1,0
10000,hunger,0,120,92,1,0
10000,hunger,0,120,136,1,0
10000,hunger,0,120,148,1,0
10000,hunger,0,120,192,1,0
10000,hunger,0,120,216,1,0
10000,hunger,0,120,220,1,0
10000,hunger,0,120,252,1,0
10000,hunger,0,120,260,1,0
10000,hunger,0,120,312,1,0
10000,hunger,0,144,212,1,0
10000,hunger,0,144,332,1,0
10000,hunger,0,168,236,1,0
10000,hunger,50,0,0,150,0
10000,hunger,50,0,4,31,0
10000,hunger,50,0,8,1,0
10000,hunger,50,4,0,24,0
10000,hunger,50,4,4,149,0
10000,hunger,50,4,8,85,0
10000,hunger,50,4,12,33,0
10000,hunger,50,8,4,24,1
10000,hunger,50,8,8,114,0
10000,hunger,50,8,12,130,0
10000,hunger,50,8,16,234,0
10000,hunger,50,8,20,97,0
10000,hunger,50,8,24,9,0
10000,hunger,50,8,28,4,0
10000,hunger,50,8,32,2,0
10000,hunger,50,8,36,4,0
10000,hunger,50,12,4,9,0
10000,hunger,50,12,8,37,1
10000,hunger,50,12,12,97,0
10000,hunger,50,12,16,111,0
10000,hunger,50,12,20,522,3
10000,hunger,50,12,24,918,1
10000,hunger,50,12,28,427,1
10000,hunger,50,12,32,13,0
10000,hunger,50,12,36,6,0
10000,hunger,50,12,40,2,0
10000,hunger,50,12,44,2,0
10000,hunger,50,12,48,1,0
10000,hunger,50,12,52,1,0
10000,hunger,50,16,4,2,0
10000,hunger,50,16,8,13,0
10000,hunger,50,16,12,27,0
10000,hunger,50,16,16,86,0
10000,hunger,50,16,20,118,0
10000,hunger,50,16,24,412,1
10000,hunger,50,16,28,3008,5
10000,hunger,50,16,32,1030,2
10000,hunger,50,16,36,271,0
10000,hunger,50,16,40,18,0
10000,hunger,50,16,44,13,0
10000,hunger,50,16,48,5,0
10000,hunger,50,16,52,2,0
10000,hunger,50,16,56,2,0
10000,hunger,50,16,60,7,0
10000,hunger,50,16,64,3,0
10000,hunger,50,20,8,10,0
10000,hunger,50,20,12,9,0
10000,hunger,50,20,16,42,1
10000,hunger,50,20,20,86,0
10000,hunger,50,20,24,89,0
10000,hunger,50,20,28,266,0
10000,hunger,50,20,32,388,0
10000,hunger,50,20,36,765,3
10000,hunger,50,20,40,841,4
10000,hunger,50,20,44,239,0
10000,hunger,50,20,48,6,0
10000,hunger,50,20,52,8,0
10000,hunger,50,20,56,13,0
10000,hunger,50,20,60,2,0
10000,hunger,50,20,64,1,0
10000,hunger,50,20,68,1,0
10000,hunger,50,20,72,1,0
10000,hunger,50,24,8,1,0
10000,hunger,50,24,12,9,0
10000,hunger,50,24,16,26,0
10000,hunger,50,24,20,81,0
10000,hunger,50,24,24,126,0
10000,hunger,50,24,28,99,0
10000,hunger,50,24,32,167,1
10000,hunger,50,24,36,351,1
10000,hunger,50,24,40,347,1
10000,hunger,50,24,44,752,2
10000,hunger,50,24,48,2641,8
10000,hunger,50,24,52,47,0
10000,hunger,50,24,56,10,0
10000,hunger,50,24,60,14,0
10000,hunger,50,24,64,10,0
10000,hunger,50,24,68,4,0
10000,hunger,50,24,72,4,0
10000,hunger,50,24,76,3,0
10000,hunger,50,24,80,5,0
10000,hunger,50,24,92,1,0
10000,hunger,50,24,96,1,0
10000,hunger,50,28,12,4,0
10000,hunger,50,28,16,5,0
10000,hunger,50,28,20,8,0
10000,hunger,50,28,24,29,0
10000,hunger,50,28,28,50,0
10000,hunger,50,28,32,76,0
10000,hunger,50,28,36,131,1
10000,hunger,50,28,40,193,0
10000,hunger,50,28,44,54,0
10000,hunger,50,28,48,69,0
10000,hunger,50,28,52,105,1
10000,hunger,50,28,56,84,0
10000,hunger,50,28,60,12,1
10000,hunger,50,28,68,1,0
10000,hunger,50,28,88,1,0
10000,hunger,50,32,20,2,0
10000,hunger,50,32,24,10,0
10000,hunger,50,32,28,40,1
10000,hunger,50,32,32,50,0
10000,hunger,50,32,36,145,0
10000,hunger,50,32,40,79,0
