step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest,pace,turned,rich,plant_rich,plant_thin,pop_rich,hunger_rich,hunger_thin
10000,2738,1.257,2.225,17.46,128810,103333,0,23714,507,2148317,1251166.9,1024601.6,0.139,0.716,0.080,0.066,70,32.75,18.90,1.59,4.06,7.10,5.51,0.19,1.10,10.08,9.91,0.30,0.93,0.237,0.158,1984,0.027,0.031,0.949,0.008,0.012,244525,188834,3,0.094,0.905,0.054,2617054,0.180,3.221,0.253,110.24,113555,218,0.477,0.207,0.299,15250694,1.45,2.08,0.293,0.645,0.105,10.0,31.9,53.8,231.8,51906,0.198,0.00,0.0045,0.068,698,0.616,0.000,0.457,0.487,3.46,4.51,4.56,0.53,0.185,1.48,1.39,1.49,0.646,0.00363,68.53,58.3477,1050.16,79589.2,140496.8,0.108,44.7563,255.547,0.000,1.000,0.004,86.8,103.710,112.901,5453,32745.8,22.23,113.928,6.20,30.270,1363.9,11.306,0.135,2.00,6.9876,19132.0,0.5842,0.3332,18.96,1.744,0.380,1.5414,0.0000,0.198,0.159,0.031,0.0000,5.06,1.12,6,16,36,100,95.2284,0.0023,0.4839,0.0000,0.0000,43.3937,100.00,57.1762,278.7529,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0033,0.0013,0.000004,0,0.2170,0.0226,0.0145,49,184,473,0.0000,0.0000,0.0070,0.022,6.9442,0.0130,2.5098,0.0248,0.2866,0.0968,0.0000,0.00051,0.259,0.0107,0.824,0.457,0.17,0.054,0.000,0.000,0.0000,0.000,0.000,0.0000,1.0580,0.0000,2.2673,0.00000,0.04440,1.0000,1.0000,1.0000,2.078,0.000,1.0000,10.3333,0.0000
20000,2271,1.650,1.901,9.69,41343,37587,0,4208,14,707312,478260.1,300047.6,0.060,0.822,0.049,0.069,105,37.92,22.48,3.65,4.85,10.21,8.73,0.10,1.55,12.73,11.92,1.50,1.86,0.269,0.194,1829,0.038,0.029,0.958,0.003,0.010,53087,40852,5,0.656,0.206,0.013,447399,0.117,3.034,0.215,45.20,23073,292,0.424,0.224,0.354,5438786,2.25,3.69,0.203,0.749,0.445,11.4,36.9,65.3,162.0,60608,0.231,0.00,0.0017,0.086,562,0.524,0.001,0.457,0.281,4.45,5.41,5.62,1.59,0.475,2.34,1.35,2.97,0.546,0.00260,9.95,10.3950,1210.07,88011.6,140496.8,1.372,9.3647,101.295,0.000,1.000,0.072,77.7,43.425,42.422,4673,27665.6,18.13,36.586,6.18,6.743,872.5,2.162,0.134,2.00,6.9517,15787.2,0.4255,0.3452,26.69,1.254,0.207,0.4586,0.0000,0.397,0.075,0.039,0.0000,6.43,0.87,7,27,48,100,38.9332,0.0024,0.4161,0.0000,0.0000,11.8672,100.00,84.5435,208.5614,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0033,0.0013,0.000003,1,0.1408,0.0198,0.0239,59,189,598,0.0000,0.0000,0.0032,0.013,2.9516,0.0158,0.9354,0.0379,0.3564,0.0622,0.0000,-0.00024,0.273,0.0067,0.578,0.121,0.06,0.013,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7922,0.0000,1.2781,0.00000,0.06902,1.0000,1.0000,1.0000,1.774,0.000,1.0000,3.7587,0.0000
30000,2484,1.368,1.733,9.13,122502,107756,0,14458,74,2622074,1200823.5,1085134.8,0.030,0.881,0.044,0.045,72,36.25,18.82,4.16,5.20,9.26,7.23,0.11,0.89,11.61,9.93,1.53,1.79,0.256,0.182,2032,0.029,0.025,0.963,0.002,0.010,201768,159374,7,0.738,0.147,0.030,673829,0.117,2.921,0.197,114.72,75022,251,0.414,0.182,0.360,21084026,2.39,2.96,0.205,0.763,0.477,12.7,36.3,58.5,132.4,62454,0.238,0.00,0.0042,0.082,717,0.671,0.001,0.704,0.410,4.21,5.25,5.49,1.61,0.499,2.52,1.40,3.17,0.697,0.00435,72.22,44.5375,1027.18,89495.9,140496.8,0.030,31.7671,266.019,0.000,1.000,0.010,90.1,105.664,117.634,4348,25245.1,17.63,102.389,6.00,22.565,755.0,9.610,0.135,2.00,6.9725,17319.8,0.4299,0.3218,25.14,1.272,0.236,1.5414,0.0000,0.388,0.105,0.085,0.0000,6.11,0.69,7,25,37,81,96.2723,0.0000,0.4726,0.0000,0.0000,43.0050,100.00,62.9171,296.5448,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0034,0.0013,0.000003,1,0.2174,0.0161,0.0170,62,196,527,0.0000,0.0000,0.0038,0.016,12.9799,0.0118,4.0327,0.0310,0.2500,0.1074,0.0000,0.00014,0.172,0.0034,0.466,0.099,0.09,0.030,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9665,0.0000,1.8352,0.00000,0.04293,1.0000,1.0000,1.0000,1.624,0.000,1.0000,10.7756,0.0000
40000,2370,1.412,1.769,9.53,40980,37702,0,3383,5,713365,476237.7,298543.8,0.028,0.880,0.040,0.052,101,35.70,16.48,3.91,4.59,8.91,6.51,0.04,0.57,11.63,7.79,1.21,1.50,0.242,0.159,1815,0.033,0.052,0.941,0.000,0.007,50113,37189,5,0.607,0.155,0.006,232918,0.112,2.945,0.201,45.63,19364,321,0.419,0.181,0.292,5914465,2.32,2.34,0.245,0.715,0.433,14.1,36.4,51.7,163.1,58041,0.221,0.00,0.0017,0.080,639,0.521,0.001,0.560,0.247,4.09,5.15,5.41,1.34,0.458,2.48,1.36,2.99,0.541,0.00262,10.07,9.0930,873.54,89126.0,140496.8,1.609,7.9845,102.071,0.000,1.000,0.127,86.1,43.603,42.747,4491,26037.1,15.00,35.750,5.83,5.995,807.9,2.069,0.133,2.01,7.2818,17257.8,0.4511,0.3485,24.49,1.309,0.267,0.4586,0.0000,0.344,0.106,0.020,0.0000,5.86,0.67,8,25,36,98,38.8103,0.0005,0.4658,0.0000,0.0000,11.8321,100.00,85.1511,215.1778,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0032,0.0013,0.000003,4,0.1344,0.0232,0.0237,62,192,613,0.0000,0.0000,0.0031,0.010,2.5376,0.0137,0.8428,0.0198,0.3586,0.0654,0.0000,-0.00045,0.336,0.0101,0.778,0.134,0.03,0.006,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8029,0.0000,1.1973,0.00000,0.07030,1.0000,1.0000,1.0000,1.667,0.000,1.0000,3.7702,0.0000
50000,2387,1.375,1.778,8.57,119713,108841,0,10816,38,2262091,1219294.5,960718.8,0.019,0.898,0.048,0.036,80,36.62,17.66,4.36,5.35,8.76,6.40,0.05,0.77,11.79,8.60,1.34,1.50,0.236,0.158,1844,0.054,0.031,0.959,0.001,0.010,191991,155467,5,0.773,0.179,0.008,328865,0.124,2.954,0.200,116.42,68039,241,0.425,0.212,0.331,21459288,2.49,2.48,0.235,0.726,0.491,13.8,36.8,54.7,136.2,59607,0.227,0.00,0.0043,0.076,688,0.668,0.001,0.673,0.396,4.21,5.21,5.53,1.39,0.499,2.63,1.39,3.32,0.690,0.00399,71.35,39.2997,950.44,88613.9,140496.8,0.048,27.5136,267.965,0.000,1.000,0.014,89.7,110.374,119.972,4457,25955.9,15.26,102.727,5.89,21.514,840.0,9.675,0.134,2.00,7.3836,17624.7,0.4382,0.3246,24.97,1.286,0.220,1.5414,0.0000,0.376,0.075,0.034,0.0000,5.99,0.65,8,25,36,64,102.2201,0.0002,0.4872,0.0000,0.0000,43.2097,100.00,63.9736,302.6286,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0034,0.0013,0.000004,1,0.2349,0.0293,0.0183,63,199,553,0.0000,0.0000,0.0034,0.013,7.5470,0.0217,2.5012,0.0256,0.2614,0.1007,0.0000,0.00001,0.168,0.0043,0.678,0.104,0.04,0.008,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8789,0.0000,1.6044,0.00000,0.04000,1.0000,1.0000,1.0000,1.669,0.000,1.0000,10.8841,0.0000
60000,2223,1.480,1.643,8.21,42207,38691,0,3667,12,772833,480919.4,316228.5,0.020,0.914,0.034,0.033,110,37.01,17.03,3.95,4.50,9.06,6.51,0.04,0.53,12.18,8.32,1.31,1.50,0.236,0.160,1604,0.088,0.041,0.942,0.003,0.013,52440,39010,2,0.688,0.130,0.012,67095,0.144,2.847,0.184,45.88,18572,277,0.409,0.194,0.328,6193596,2.38,2.80,0.241,0.711,0.472,14.0,38.7,55.3,135.8,56089,0.214,0.00,0.0018,0.085,611,0.524,0.001,0.574,0.255,4.25,5.22,5.62,1.38,0.489,2.40,1.32,3.37,0.545,0.00280,10.23,9.6344,928.61,92678.1,140496.8,1.486,7.8892,103.697,0.000,1.000,0.174,76.8,44.153,42.621,4147,23851.0,17.88,35.945,5.96,5.757,678.2,2.038,0.135,2.00,7.1486,15891.3,0.4237,0.3388,25.23,1.293,0.208,0.4586,0.0000,0.406,0.058,0.037,0.0000,6.12,0.48,8,27,36,64,39.3128,0.0000,0.4350,0.0000,0.0000,11.7828,100.00,86.0612,216.8297,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0033,0.0014,0.000003,1,0.1320,0.0211,0.0244,62,189,599,0.0000,0.0000,0.0031,0.011,2.2383,0.0106,0.7340,0.0355,0.3624,0.0669,0.0000,0.00002,0.070,0.0008,0.446,0.101,0.03,0.012,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7392,0.0000,1.0859,0.00000,0.06843,1.0000,1.0000,1.0000,1.545,0.000,1.0000,3.8691,0.0000
70000,2525,1.333,1.808,8.87,127495,114399,0,12739,55,2348949,1217825.8,1005280.6,0.019,0.934,0.030,0.017,80,36.28,17.46,4.45,4.95,8.48,6.56,0.16,1.40,11.16,7.76,1.40,1.51,0.222,0.149,1773,0.095,0.037,0.953,0.002,0.008,198348,161775,5,0.697,0.185,0.032,578650,0.104,2.989,0.207,116.62,67907,231,0.428,0.189,0.318,23475089,2.53,2.50,0.243,0.721,0.502,14.4,35.3,53.5,151.8,61261,0.234,0.00,0.0043,0.081,688,0.674,0.001,0.720,0.379,4.12,5.09,5.49,1.45,0.510,2.61,1.35,3.52,0.695,0.00396,70.60,39.3118,1029.65,87093.1,140496.8,0.038,27.4691,270.905,0.000,1.000,0.012,93.3,110.547,120.190,4507,26494.0,18.17,102.602,5.74,21.959,813.2,9.902,0.134,2.00,7.3221,18488.2,0.4524,0.3307,24.26,1.317,0.225,1.5414,0.0000,0.404,0.114,0.148,0.0000,5.91,0.78,8,24,36,81,101.9278,0.0000,0.4895,0.0000,0.0000,43.3237,100.00,63.8290,304.4986,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0034,0.0013,0.000004,0,0.2231,0.0222,0.0165,64,198,531,0.0000,0.0000,0.0055,0.024,7.7291,0.0170,2.6293,0.0226,0.2576,0.1002,0.0000,0.00019,0.198,0.0047,0.403,0.078,0.11,0.032,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8750,0.0000,1.6004,0.00000,0.03734,1.0000,1.0000,1.0000,1.696,0.000,1.0000,11.4399,0.0000
80000,2323,1.561,1.712,9.03,40982,37948,0,3224,11,713458,481472.9,297281.2,0.031,0.908,0.028,0.032,110,37.01,17.46,3.58,4.77,9.17,6.74,0.21,1.18,12.23,8.49,1.22,1.52,0.238,0.159,1753,0.054,0.053,0.933,0.002,0.012,49752,38341,6,0.638,0.046,0.059,429598,0.092,2.892,0.194,46.00,18816,279,0.417,0.199,0.321,6107397,2.24,2.75,0.237,0.728,0.428,13.8,38.0,56.7,138.2,58532,0.223,0.00,0.0017,0.087,625,0.526,0.001,0.573,0.247,4.22,5.27,5.49,1.26,0.434,2.31,1.28,3.08,0.545,0.00258,10.09,9.0697,929.58,89845.7,140496.8,1.502,7.6287,103.194,0.000,1.000,0.117,80.8,44.401,42.897,4336,24917.1,16.03,36.085,5.96,5.754,726.3,2.041,0.136,2.00,7.3936,17175.3,0.4479,0.3449,25.20,1.324,0.239,0.4586,0.0000,0.437,0.104,0.149,0.0000,6.06,0.57,8,25,36,64,39.7258,0.0004,0.4339,0.0000,0.0000,11.7929,100.00,86.0121,216.9703,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0033,0.0013,0.000003,1,0.1304,0.0211,0.0237,63,194,610,0.0000,0.0000,0.0045,0.024,2.0652,0.0133,0.6696,0.0185,0.3647,0.0611,0.0000,0.00019,0.040,0.0004,0.476,0.076,0.19,0.059,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7325,0.0000,1.0869,0.00000,0.06563,1.0000,1.0000,1.0000,1.611,0.000,1.0000,3.7948,0.0000
90000,2543,1.436,1.674,7.41,122680,111826,0,10575,59,2253603,1225219.6,964251.9,0.018,0.899,0.041,0.042,85,36.00,17.29,4.47,4.88,8.99,6.48,0.06,0.67,10.99,7.63,1.46,1.50,0.244,0.163,1825,0.055,0.030,0.956,0.001,0.013,194282,162503,2,0.758,0.203,0.015,783176,0.111,2.864,0.190,117.38,62774,244,0.428,0.201,0.336,21945802,2.56,2.66,0.232,0.735,0.526,13.7,37.0,51.7,125.5,62336,0.238,0.00,0.0044,0.076,666,0.670,0.001,0.708,0.389,4.15,5.12,5.55,1.52,0.537,2.62,1.38,3.64,0.691,0.00378,71.71,38.7216,1072.20,89294.7,140496.8,0.055,25.9499,270.892,0.000,1.000,0.015,87.6,111.717,120.735,4248,24344.0,14.20,102.824,5.80,20.340,679.1,9.468,0.136,2.00,7.1619,18212.7,0.4354,0.3274,24.51,1.270,0.168,1.5414,0.0000,0.383,0.055,0.019,0.0000,6.00,0.53,7,25,36,64,103.4800,0.0011,0.4459,0.0000,0.0000,43.0514,100.00,64.9337,306.6853,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0034,0.0013,0.000003,0,0.2303,0.0220,0.0174,64,197,548,0.0000,0.0000,0.0033,0.009,6.5124,0.0174,2.2317,0.0165,0.2606,0.0946,0.0000,-0.00003,0.106,0.0013,0.470,0.053,0.05,0.015,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8491,0.0000,1.5058,0.00000,0.03919,1.0000,1.0000,1.0000,1.567,0.000,1.0000,11.1826,0.0000
100000,2561,1.440,1.554,7.38,41056,38139,0,2880,18,684905,479796.2,288621.3,0.025,0.882,0.036,0.057,121,34.68,16.30,3.35,4.58,8.62,6.06,0.05,0.76,11.53,7.54,1.14,1.51,0.243,0.152,1712,0.038,0.057,0.928,0.000,0.015,49642,39303,4,0.598,0.002,0.009,200265,0.186,2.784,0.175,45.83,16424,291,0.421,0.191,0.324,5951489,2.18,2.46,0.269,0.710,0.398,13.5,35.7,51.7,127.0,60299,0.230,0.00,0.0016,0.089,673,0.526,0.001,0.552,0.242,4.01,5.04,5.30,1.18,0.407,2.22,1.30,2.99,0.545,0.00223,10.29,8.9421,903.14,91962.5,140496.8,1.496,7.6080,102.769,0.000,1.000,0.150,87.7,44.253,42.620,3979,22557.3,21.61,35.849,5.87,5.768,608.1,2.012,0.135,2.00,6.8444,17528.5,0.4400,0.3475,23.55,1.319,0.153,0.4586,0.0000,0.370,0.048,0.021,0.0000,5.79,0.61,8,24,36,74,39.8060,0.0000,0.4373,0.0000,0.0000,11.7619,100.00,85.5559,216.5370,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0033,0.0013,0.000002,1,0.1453,0.0172,0.0266,62,190,610,0.0000,0.0000,0.0031,0.008,2.0201,0.0151,0.6623,0.0168,0.3649,0.0541,0.0000,0.00005,0.045,0.0006,0.462,0.046,0.04,0.009,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7508,0.0000,1.0904,0.00000,0.06699,1.0000,1.0000,1.0000,1.461,0.000,1.0000,3.8139,0.0000
