step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
10000,0,1203,32.54,0.53,7.56,0.52,7.40,0.02,1.20,0.012,0.221,463111.0,475385.5,1,114,3.11,1.17,1.22,22.7040,1054.23,20428.1,0.0583,39.6612,5462,32.8332,1931,9.9947,36562.9,148.26,2.3769,0.0,0.0000,1.000,0.7810,2.2031,4.1789
10000,1,1014,35.65,0.35,7.67,0.65,9.16,0.01,1.13,0.007,0.206,459594.4,466467.7,1,125,3.22,1.12,1.16,23.0240,626.51,23946.6,0.0480,39.3204,5461,32.8272,2056,10.4648,37987.6,93.87,11.5962,0.0,0.0000,1.000,0.3216,2.3790,4.1692
10000,2,797,32.67,0.48,8.35,0.64,6.73,0.03,1.17,0.024,0.148,367714.0,345703.6,2,161,3.09,1.16,1.18,16.5707,468.92,31223.6,0.0351,31.1812,5461,32.8272,1734,7.3326,24973.0,57.87,29.8953,0.0,0.0000,1.000,0.0291,2.0479,3.4091
20000,0,1066,28.13,0.01,5.88,1.56,7.37,0.00,1.00,0.000,0.182,244635.3,174356.8,4,106,3.10,1.00,1.00,6.1778,232.43,6424.1,0.7698,23.1156,5462,13.2027,1881,5.0980,14426.2,148.26,1.1422,0.0,0.0000,1.000,0.7810,2.1350,1.9649
20000,1,869,29.36,0.00,6.55,2.00,7.13,0.00,1.00,0.000,0.155,140207.6,95282.4,4,154,3.25,1.00,1.00,3.2776,237.63,21849.2,0.0000,13.3265,5461,13.2002,2035,2.7409,7018.9,93.87,3.3640,0.0,0.0000,1.000,0.3216,2.3817,1.1522
20000,2,653,29.67,0.03,6.41,1.75,7.49,0.02,1.01,0.008,0.118,89711.3,55006.2,4,184,3.26,1.01,1.00,1.8971,199.39,33257.5,0.0000,8.7673,5461,13.2002,1867,1.7016,3813.8,57.87,7.7569,0.0,0.0000,1.000,0.0291,2.3112,0.7203
30000,0,1308,31.55,0.02,5.19,0.77,10.15,0.00,1.00,0.002,0.241,455976.8,161168.1,7,150,3.02,1.00,1.00,10.1956,421.20,10961.0,2.9982,42.1368,5462,38.2661,1178,6.8152,30617.9,148.26,2.4308,0.0,0.0000,1.000,0.7810,1.1835,3.1055
30000,1,1120,31.00,0.03,5.12,0.54,10.05,0.00,1.00,0.001,0.203,464663.1,171206.4,7,106,2.98,1.01,1.00,10.4408,361.60,16755.9,0.5064,42.6834,5461,38.2591,1114,7.3446,31715.1,93.87,11.8368,0.0,0.0000,1.000,0.3216,1.0962,3.0590
30000,2,847,32.81,0.06,5.61,0.72,10.32,0.00,1.01,0.001,0.162,366056.9,125471.1,5,151,3.16,1.02,1.01,7.8293,482.96,29765.6,0.0000,33.7427,5461,38.2591,1034,5.5350,21742.3,57.87,30.8068,0.0,0.0000,1.000,0.0291,1.0538,2.3350
40000,0,941,36.09,0.05,5.80,1.48,11.40,0.01,1.02,0.004,0.201,265167.2,56883.7,10,82,3.40,1.02,1.02,7.0078,406.18,5611.3,1.4774,25.6871,5462,15.0048,1023,1.8482,7938.3,148.26,1.1476,0.0,0.0000,1.000,0.7810,1.0168,1.1782
