step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations
10000,1118,1.973,0.523,8.26,88776,85568,12,2,3559,2044,757958.4,189977.4,0.270,0.450,0.161,0.119,132,19.00,13.49,0.76,3.14,0.65,2.78,1.87,4.48,15.72,10.38,0.01,0.15,0.026,0.104,317,0.064,0.089,0.883,0.000,0.028,179817,176127,4,0.139,0.706,0.217,1525277,0.197,2.096,0.043,10.37,55287,34,92.944,1.000,0.152,3250358,1.16,9.54,0.019,0.000,0.002,6,15,39,64,21240,0.081,0.00,0.0043,0.026,226,0.710,0.000,0.698,0.525,4.35,4.58,6.97,0.03,0.027,1.08,1.21,1.19,0.710,0.00181,0.88,29.8103,908.52,128797.6,140074.4,28.979,81.0057,65.867,799.701,0.999,0.417,80.4,65.859,159.866,736,3057.1,44.69,33.404,123.617,4147.3,52.888,0.135,2.00
20000,1171,1.774,0.376,8.07,117193,112035,86,0,5019,189,870731.9,171595.7,0.148,0.484,0.229,0.139,181,15.47,11.54,0.57,3.37,0.30,2.33,1.22,4.69,13.37,8.60,0.00,0.00,0.008,0.053,237,0.098,0.137,0.840,0.000,0.022,200916,197165,6,0.579,0.134,0.085,1504500,0.190,1.915,0.026,24.09,64768,0,907.914,0.000,0.148,4078162,1.13,10.53,0.014,0.001,0.000,7,11,32,64,18110,0.069,0.00,0.0056,0.056,211,0.537,0.000,0.631,0.451,3.83,3.32,7.64,0.00,0.001,1.07,1.11,1.17,0.537,0.00307,7.43,25.4238,649.83,131396.1,140074.2,33.313,44.3014,79.053,806.369,0.986,0.427,78.2,79.054,139.737,398,1579.1,43.60,10.948,99.005,3320.6,63.034,0.135,2.00
30000,1004,1.858,0.589,8.21,99904,94940,105,0,5026,272,813043.1,151505.1,0.062,0.459,0.259,0.221,181,16.23,10.16,0.31,1.82,0.19,2.16,1.05,3.83,14.67,8.07,0.00,0.00,0.009,0.081,238,0.143,0.107,0.871,0.000,0.023,172931,169893,1,0.645,0.355,0.138,1107617,0.181,2.393,0.044,29.57,57920,0,557.004,0.000,0.179,3925016,1.06,9.67,0.002,0.002,0.000,7,12,30,64,16290,0.062,0.00,0.0055,0.033,154,0.522,0.000,0.571,0.466,4.11,3.98,7.34,0.01,0.004,1.02,1.08,1.07,0.522,0.00301,11.33,22.2906,835.94,128161.6,140074.2,32.879,44.9807,74.328,687.419,0.998,0.410,67.6,74.329,126.965,770,3358.1,40.61,7.190,90.061,4839.7,52.026,0.136,2.00
40000,1334,1.774,0.309,8.13,104265,98565,68,0,5302,297,865531.2,173096.8,0.045,0.475,0.252,0.228,184,13.63,8.69,0.40,2.15,0.23,2.16,0.52,2.72,12.48,6.63,0.00,0.00,0.009,0.067,220,0.218,0.139,0.830,0.000,0.031,191523,189588,3,0.966,0.012,0.050,1098623,0.147,1.819,0.021,30.21,58278,0,582.817,0.000,0.169,4401171,1.10,10.63,0.004,0.000,0.000,6,11,26,64,18177,0.069,0.00,0.0052,0.036,196,0.542,0.000,0.563,0.493,3.75,3.62,7.37,0.02,0.007,1.04,1.12,1.13,0.542,0.00254,11.80,25.2493,764.13,132201.1,140074.0,33.266,40.4525,78.729,734.522,0.999,0.415,82.3,78.727,127.350,317,1388.8,45.22,7.987,88.570,2423.8,56.271,0.135,2.00
50000,1214,1.812,0.354,8.18,91966,87035,130,0,4921,538,854145.4,149505.3,0.035,0.460,0.306,0.198,191,14.83,10.24,0.18,1.35,0.23,1.82,0.18,1.31,14.23,9.62,0.00,0.03,0.011,0.081,209,0.248,0.176,0.801,0.000,0.023,163165,161775,1,0.911,0.089,0.037,680949,0.176,1.898,0.025,38.48,52036,0,277.891,0.000,0.131,3713385,1.05,9.82,0.011,0.002,0.001,8,12,26,64,18005,0.069,0.00,0.0049,0.040,196,0.458,0.000,0.472,0.485,3.84,3.78,7.58,0.03,0.009,1.03,1.06,1.06,0.458,0.00316,17.32,21.5254,597.11,131638.2,140073.8,30.722,36.8549,78.883,716.318,0.989,0.399,78.3,78.883,112.580,409,1746.2,45.48,5.330,77.318,2893.9,46.995,0.136,2.00
60000,1362,1.779,0.349,7.79,91585,86149,101,1,5186,229,864098.3,152925.7,0.036,0.440,0.322,0.202,200,14.89,10.52,0.46,3.33,0.61,3.09,0.34,2.23,13.48,7.81,0.00,0.00,0.018,0.089,213,0.185,0.152,0.825,0.000,0.023,167560,165711,2,0.883,0.093,0.043,274010,0.181,2.012,0.025,39.51,52397,10,667.798,1.000,0.172,3478679,1.10,10.00,0.007,0.002,0.000,7,12,29,64,20278,0.077,0.00,0.0047,0.031,326,0.434,0.000,0.468,0.501,3.85,3.70,7.46,0.01,0.004,1.04,1.14,1.13,0.434,0.00284,18.11,22.3634,966.25,131443.9,140074.2,30.920,35.5858,79.209,763.295,0.964,0.408,87.6,79.208,111.008,299,1295.8,48.80,5.430,75.301,3018.1,46.718,0.135,2.00
70000,1216,1.725,0.417,7.91,97004,91705,159,0,5286,141,878310.3,171195.3,0.051,0.450,0.299,0.201,195,13.90,8.33,0.56,3.35,0.32,2.12,0.47,1.86,12.55,6.18,0.00,0.00,0.014,0.077,212,0.211,0.124,0.840,0.000,0.036,183766,181713,3,0.939,0.020,0.088,806542,0.161,2.073,0.030,35.90,56962,0,1214.151,0.000,0.179,3828629,1.15,9.98,0.003,0.002,0.000,6,12,22,64,16906,0.064,0.00,0.0058,0.039,165,0.484,0.000,0.490,0.510,3.79,3.76,7.41,0.03,0.008,1.10,1.18,1.18,0.484,0.00306,16.05,24.7118,749.18,130726.6,140074.2,32.083,35.2792,80.358,761.124,1.000,0.430,75.3,80.360,116.702,463,1952.4,50.74,5.115,79.809,3615.5,52.055,0.135,2.00
80000,1410,1.770,0.284,8.03,102491,96606,158,0,5533,494,933006.3,181164.5,0.048,0.432,0.310,0.209,197,14.09,9.28,0.39,2.67,0.26,2.17,0.54,2.42,12.90,7.16,0.01,0.21,0.009,0.060,221,0.322,0.146,0.836,0.000,0.018,200140,198111,1,0.975,0.025,0.070,633301,0.162,1.821,0.019,40.20,61223,0,366.730,0.000,0.165,4079291,1.07,9.96,0.002,0.004,0.003,8,11,25,64,19863,0.076,0.00,0.0051,0.022,326,0.469,0.000,0.478,0.524,3.96,3.65,7.61,0.03,0.011,1.03,1.12,1.08,0.469,0.00275,19.08,25.9688,858.08,132436.4,140074.1,23.065,36.6311,85.239,712.269,0.885,0.413,89.4,85.238,107.562,183,834.7,50.61,4.981,81.503,2449.7,52.806,0.136,2.00
90000,1334,1.741,0.346,8.03,96147,91061,139,4,5019,265,880363.1,170728.0,0.056,0.427,0.324,0.193,195,13.01,9.50,0.28,2.32,0.23,1.55,0.23,1.43,12.26,8.04,0.01,0.20,0.010,0.060,194,0.267,0.169,0.810,0.000,0.022,184765,182891,4,0.864,0.074,0.035,444099,0.187,1.875,0.025,38.25,56885,384,644.257,0.750,0.124,3536083,1.04,11.27,0.007,0.004,0.001,6,11,20,64,17351,0.066,0.00,0.0054,0.040,258,0.441,0.000,0.459,0.519,3.65,3.52,7.25,0.01,0.002,1.04,1.04,1.04,0.441,0.00279,17.57,24.5057,722.88,131662.3,140074.1,27.673,37.9379,80.583,705.195,0.968,0.414,81.1,80.583,111.258,367,1639.0,41.87,5.439,80.352,2804.7,49.796,0.136,2.00
100000,1200,1.726,0.533,8.18,89399,84510,130,0,4893,143,855273.7,164778.2,0.059,0.424,0.314,0.203,190,13.32,8.38,0.18,1.41,0.31,2.13,0.65,3.74,12.19,6.24,0.00,0.00,0.013,0.078,197,0.243,0.173,0.798,0.000,0.029,172448,170204,3,0.887,0.062,0.053,780445,0.176,2.304,0.041,36.21,54883,0,1152.295,0.000,0.118,3237369,1.04,11.12,0.001,0.001,0.000,7,11,22,64,15990,0.061,0.00,0.0058,0.036,329,0.449,0.000,0.461,0.522,3.62,3.42,7.28,0.01,0.005,1.03,1.06,1.05,0.449,0.00292,16.09,24.2298,658.05,128881.1,140073.9,28.817,40.8950,77.755,714.220,0.910,0.397,73.6,77.756,115.554,686,2948.7,36.22,5.530,82.717,4524.6,49.381,0.134,2.00
110000,1360,1.703,0.282,7.73,86788,82043,120,0,4465,126,832416.2,146651.6,0.045,0.440,0.332,0.184,192,12.94,8.52,0.60,4.43,0.36,2.19,0.19,1.25,11.79,6.13,0.00,0.00,0.016,0.078,193,0.268,0.150,0.826,0.000,0.024,156743,154635,4,0.912,0.037,0.035,463350,0.172,1.622,0.021,38.02,49566,0,1163.902,0.000,0.124,3158108,1.11,11.16,0.013,0.000,0.000,7,11,21,64,17602,0.067,0.00,0.0052,0.032,232,0.432,0.000,0.440,0.497,3.73,3.50,7.35,0.02,0.013,1.02,1.18,1.13,0.432,0.00267,17.04,21.5606,613.59,132707.3,140073.7,31.515,39.4033,76.263,708.401,0.992,0.403,82.2,76.262,112.752,303,1312.5,54.78,5.916,77.262,2184.5,44.965,0.135,2.00
120000,1202,1.870,0.411,8.03,94860,89519,94,0,5405,373,864212.8,153420.4,0.052,0.434,0.317,0.197,199,15.47,11.88,0.74,3.58,0.56,2.99,0.61,2.40,13.56,8.54,0.00,0.00,0.017,0.084,214,0.199,0.136,0.848,0.000,0.017,171766,169237,3,0.853,0.073,0.092,554752,0.166,2.083,0.031,37.56,54557,0,411.315,0.000,0.146,3578282,1.18,10.00,0.012,0.003,0.000,8,11,28,64,18593,0.071,0.00,0.0053,0.033,242,0.454,0.000,0.481,0.494,3.89,4.21,7.21,0.07,0.030,1.08,1.23,1.20,0.454,0.00299,16.84,22.5457,844.23,130640.0,140073.5,31.404,36.0940,79.300,711.834,0.990,0.416,78.9,79.300,113.978,450,1816.8,54.43,5.635,78.036,3563.1,48.962,0.135,2.00
