step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations
110000,1297,1.610,0.327,9.82,118288,110087,72,5,8110,106,871059.9,129555.0,0.016,0.544,0.108,0.331,202,11.68,9.55,0.03,0.63,0.57,3.48,0.21,1.44,10.88,7.77,0.00,0.00,0.021,0.106,278,0.116,0.172,0.805,0.000,0.023,174064,169302,2,0.469,0.111,0.031,460596,0.170,1.719,0.023,36.85,61251,1,1222.217,1.000,0.116,4789474,1.01,13.80,0.008,0.000,0.000,4,9,23,64,15155,0.058,0.00,0.0062,0.071,260,0.451,0.000,0.587,0.379,3.13,2.65,6.59,0.00,0.001,1.01,1.01,1.01,0.451,0.00344,13.79,18.7821,519.14,131916.5,139737.2,38.217,30.3373,81.633,723.666,0.964,0.421,76.3,81.633,118.500,406,1716.0,37.83,6.583,74.985,2536.3,50.537,0.135,2.00
120000,1584,1.548,0.224,9.87,118325,109142,86,0,8810,104,850310.8,135447.5,0.028,0.519,0.110,0.343,199,10.53,7.46,0.14,0.90,0.58,2.79,0.18,1.33,9.63,5.82,0.00,0.00,0.025,0.106,274,0.182,0.169,0.814,0.001,0.016,178489,174312,3,0.566,0.159,0.029,416551,0.167,1.510,0.015,35.00,63051,0,1302.380,0.000,0.088,4545691,1.04,13.99,0.000,0.007,0.000,6,8,18,59,16673,0.064,0.00,0.0056,0.061,395,0.455,0.000,0.569,0.392,3.07,2.93,6.18,0.03,0.013,1.02,1.04,1.04,0.455,0.00260,13.08,19.3109,592.89,133195.6,139737.2,41.782,29.3695,79.739,769.322,0.876,0.424,88.8,79.737,121.380,178,751.6,52.23,7.160,73.978,1800.1,50.412,0.135,2.00
130000,1400,1.645,0.295,9.60,123328,113538,81,0,9893,82,842932.9,123474.1,0.026,0.534,0.085,0.355,198,12.74,10.81,0.01,0.13,0.40,2.57,0.46,2.83,11.87,9.34,0.00,0.00,0.016,0.070,279,0.123,0.146,0.819,0.000,0.034,177604,173736,5,0.777,0.007,0.043,230026,0.162,1.592,0.022,35.58,62284,0,1505.782,0.000,0.141,4860994,1.01,12.63,0.008,0.000,0.000,5,9,27,64,17841,0.068,0.00,0.0051,0.059,165,0.458,0.000,0.553,0.361,3.28,2.85,7.03,0.00,0.000,1.01,1.01,1.01,0.458,0.00298,13.48,17.5911,698.68,132156.3,139737.3,41.401,29.4835,79.367,782.351,0.999,0.421,83.8,79.368,120.236,328,1554.4,34.76,7.100,73.378,2098.8,49.079,0.135,1.99
140000,1668,1.436,0.203,9.28,122642,112111,40,0,10223,17,834734.9,128227.1,0.025,0.552,0.070,0.353,203,9.43,5.07,0.00,0.09,0.16,1.52,0.06,1.03,9.21,4.62,0.00,0.00,0.008,0.066,220,0.147,0.201,0.779,0.001,0.019,177871,173700,2,0.740,0.002,0.011,477996,0.198,1.357,0.014,34.60,61293,0,7542.772,0.000,0.094,4836066,1.00,14.16,0.000,0.000,0.000,6,8,14,59,15726,0.060,0.00,0.0054,0.059,351,0.460,0.000,0.559,0.369,2.99,2.15,6.90,0.00,0.000,1.00,1.00,1.00,0.460,0.00263,12.63,18.5069,415.53,133618.0,139737.3,45.111,28.0225,78.226,780.442,0.898,0.428,90.5,78.225,122.438,190,848.2,33.14,7.433,71.501,1524.6,49.226,0.135,2.00
150000,1459,1.507,0.315,9.30,126854,115845,44,0,11174,11,852885.6,141509.4,0.019,0.555,0.070,0.355,200,10.31,6.63,0.00,0.09,0.21,2.14,0.11,1.21,9.99,5.86,0.00,0.00,0.008,0.060,269,0.195,0.140,0.827,0.000,0.033,191572,186505,2,0.525,0.060,0.021,273431,0.196,1.562,0.024,33.78,66300,0,12864.490,0.000,0.147,5162599,1.00,14.20,0.002,0.000,0.000,5,8,16,64,15046,0.057,0.00,0.0059,0.056,192,0.477,0.000,0.573,0.387,3.03,2.50,6.71,0.00,0.000,1.00,1.00,1.00,0.478,0.00290,12.35,20.2328,506.31,132002.2,139737.2,42.646,29.0627,79.619,804.016,0.998,0.417,79.6,79.620,123.286,410,2037.7,45.58,7.215,75.068,2117.0,51.990,0.135,2.00
160000,1442,1.573,0.247,9.13,127344,116408,58,0,10895,40,863492.7,140527.6,0.017,0.566,0.062,0.355,208,11.33,8.69,0.01,0.30,0.33,1.84,0.18,1.74,10.82,7.66,0.00,0.00,0.018,0.085,245,0.328,0.164,0.817,0.000,0.019,187012,182565,3,0.788,0.046,0.015,307523,0.151,1.520,0.018,33.75,63079,0,3513.189,0.000,0.125,5124633,1.00,13.45,0.000,0.000,0.000,6,8,18,62,16344,0.062,0.00,0.0055,0.069,238,0.475,0.000,0.585,0.375,3.14,2.74,6.60,0.00,0.001,1.00,1.00,1.00,0.475,0.00305,11.85,20.3573,656.42,133015.1,139737.4,45.838,25.6343,80.621,826.822,0.968,0.420,83.1,80.620,125.006,250,1089.7,48.33,7.402,72.403,1785.5,53.062,0.133,2.00
170000,1261,1.494,0.464,9.04,126185,115730,47,2,10587,93,852424.5,135134.9,0.012,0.567,0.061,0.360,204,10.21,6.44,0.01,0.21,0.48,2.23,0.01,0.40,9.71,5.76,0.00,0.14,0.028,0.120,230,0.369,0.137,0.829,0.000,0.034,185925,182125,3,0.943,0.026,0.002,252371,0.167,2.030,0.036,32.70,61019,8,1453.064,1.000,0.138,5199937,1.00,14.12,0.000,0.002,0.001,6,8,18,53,12878,0.049,0.00,0.0070,0.082,137,0.481,0.000,0.590,0.375,3.07,2.55,6.48,0.00,0.001,1.00,1.00,1.00,0.481,0.00339,11.65,19.6573,418.71,129930.2,139737.4,42.378,29.7515,79.755,753.312,0.997,0.407,69.4,79.757,124.866,623,2991.0,37.53,7.074,77.118,3624.9,53.327,0.135,2.00
180000,1398,1.630,0.266,8.96,116322,105772,54,2,10357,45,862077.4,145061.4,0.008,0.582,0.055,0.355,207,12.26,9.68,0.02,0.25,0.67,3.45,0.04,0.56,11.55,8.75,0.00,0.09,0.024,0.113,278,0.360,0.142,0.828,0.000,0.029,178432,175530,1,0.959,0.041,0.004,160407,0.196,1.552,0.019,34.59,57417,440,3223.586,0.500,0.137,4839295,1.00,13.42,0.001,0.002,0.002,6,8,25,64,17145,0.065,0.00,0.0053,0.072,251,0.459,0.000,0.545,0.402,3.25,2.71,6.63,0.01,0.003,1.01,1.00,1.00,0.459,0.00326,12.81,21.3411,684.06,132675.8,139737.2,40.140,31.1538,80.012,711.905,0.998,0.417,83.5,80.011,120.877,307,1518.2,42.56,6.833,76.305,1643.7,52.129,0.136,2.00
190000,1502,1.579,0.207,8.89,119018,108621,75,0,10218,79,845787.0,133167.2,0.004,0.589,0.042,0.364,213,11.09,8.75,0.04,0.35,0.62,3.13,0.06,0.72,10.38,7.61,0.00,0.00,0.027,0.113,256,0.417,0.175,0.810,0.000,0.015,174952,170623,2,0.945,0.049,0.009,87760,0.180,1.496,0.013,35.03,57258,0,1685.661,0.000,0.092,4887112,1.01,13.66,0.006,0.004,0.000,6,8,21,64,16660,0.064,0.00,0.0054,0.069,311,0.448,0.000,0.550,0.382,3.15,2.77,6.56,0.01,0.007,1.00,1.02,1.01,0.448,0.00321,12.62,19.2791,595.46,133561.5,139736.9,46.374,25.5879,79.351,768.343,0.918,0.427,87.3,79.351,122.527,153,660.6,60.72,7.033,69.820,1579.9,50.187,0.136,2.00
200000,1424,1.674,0.278,9.09,116563,106445,70,0,10126,155,827965.4,129680.1,0.008,0.580,0.056,0.356,206,12.67,10.68,0.14,1.86,0.88,3.47,0.17,1.97,11.48,9.22,0.00,0.00,0.045,0.149,272,0.296,0.134,0.841,0.000,0.025,171974,167114,1,0.924,0.076,0.011,255097,0.180,1.582,0.020,32.95,56642,0,836.646,0.000,0.141,4812871,1.03,13.27,0.006,0.000,0.000,6,8,24,64,18035,0.069,0.00,0.0051,0.061,211,0.458,0.000,0.555,0.379,3.26,2.84,6.62,0.01,0.001,1.02,1.04,1.04,0.458,0.00302,12.02,18.9659,672.67,132344.5,139736.8,45.289,29.0307,77.377,766.926,0.999,0.412,86.3,77.377,124.195,297,1374.3,41.44,6.618,73.583,1960.5,50.485,0.134,2.00
210000,1182,1.666,0.344,9.09,104502,95881,58,0,8805,117,793658.5,117940.5,0.010,0.589,0.045,0.356,204,12.83,10.95,0.10,1.17,0.61,2.69,0.34,2.66,11.79,9.46,0.00,0.06,0.031,0.127,219,0.453,0.168,0.798,0.000,0.035,151575,147211,1,0.840,0.160,0.029,212130,0.141,1.873,0.025,34.55,51659,0,1008.039,0.000,0.117,4370760,1.02,13.00,0.008,0.002,0.001,7,8,29,64,15161,0.058,0.00,0.0057,0.092,132,0.435,0.000,0.512,0.377,3.23,2.77,6.77,0.01,0.007,1.01,1.03,1.02,0.435,0.00376,12.85,17.5626,620.54,131750.3,139736.8,46.026,30.5422,74.364,743.468,0.996,0.411,71.5,74.366,122.053,432,1874.5,49.84,6.938,70.421,2692.4,45.561,0.135,2.00
220000,1459,1.533,0.290,8.98,118007,107185,80,0,10465,218,819794.7,131472.3,0.026,0.571,0.049,0.355,204,9.47,5.85,0.00,0.09,0.51,2.92,0.01,0.22,8.95,4.87,0.01,0.27,0.029,0.131,217,0.487,0.140,0.832,0.001,0.027,174704,171015,1,0.979,0.021,0.001,229066,0.130,1.498,0.022,32.92,56242,0,603.084,0.000,0.148,4620366,1.00,14.40,0.001,0.002,0.002,5,8,15,64,13818,0.053,0.00,0.0063,0.073,150,0.451,0.000,0.555,0.381,2.89,2.38,6.51,0.01,0.002,1.00,1.00,1.00,0.451,0.00300,11.94,18.9920,418.91,132395.7,139736.5,46.535,28.6686,76.761,757.840,0.997,0.420,78.1,76.760,124.690,353,1707.6,33.61,6.960,72.449,2109.5,49.684,0.137,1.99
230000,1314,1.627,0.305,9.04,117416,106961,116,0,10484,148,814672.9,118763.4,0.003,0.591,0.048,0.358,203,12.05,9.39,0.06,1.25,0.90,3.72,0.02,0.40,11.07,8.11,0.00,0.00,0.040,0.142,261,0.322,0.155,0.809,0.000,0.036,168587,164290,1,0.968,0.032,0.003,133159,0.149,1.658,0.023,33.77,55520,0,802.455,0.000,0.104,5112423,1.02,13.46,0.004,0.001,0.000,5,8,22,64,15829,0.060,0.00,0.0056,0.075,172,0.468,0.000,0.556,0.365,3.24,2.80,6.62,0.00,0.001,1.01,1.02,1.02,0.468,0.00342,12.37,17.0076,674.61,132203.0,139736.5,46.460,28.0188,76.974,798.557,0.999,0.413,76.9,76.974,123.931,347,1741.8,39.18,7.131,71.239,2114.3,48.306,0.135,2.00
