seed,step,kinds,placed
9,50000,9,6
9,51000,7,5
9,52000,8,5
9,53000,9,6
9,54000,8,5
9,55000,7,5
9,56000,7,5
9,57000,6,4
9,58000,5,3
9,59000,5,4
9,60000,7,6
9,61000,7,5
9,62000,5,4
9,63000,8,6
9,64000,6,4
9,65000,5,3
9,66000,6,5
9,67000,6,4
9,68000,7,4
9,69000,6,5
9,70000,9,5
9,71000,11,5
9,72000,9,4
9,73000,7,5
9,74000,7,5
9,75000,7,3
9,76000,6,4
9,77000,8,4
9,78000,7,4
9,79000,8,4
9,80000,8,5
9,81000,8,5
9,82000,8,5
9,83000,8,5
9,84000,9,6
9,85000,8,6
9,86000,9,6
9,87000,8,5
9,88000,8,5
9,89000,8,5
9,90000,7,4
9,91000,6,4
9,92000,7,4
9,93000,10,6
9,94000,8,5
9,95000,8,5
9,96000,8,5
9,97000,7,4
9,98000,8,5
9,99000,8,5
9,100000,8,5
10,50000,8,5
10,51000,8,5
10,52000,9,6
10,53000,10,6
10,54000,8,3
10,55000,8,4
10,56000,7,3
10,57000,6,2
10,58000,7,3
10,59000,8,4
10,60000,9,6
10,61000,8,6
10,62000,8,5
10,63000,8,5
10,64000,7,5
10,65000,8,5
10,66000,9,5
10,67000,7,5
10,68000,8,5
10,69000,8,5
10,70000,8,6
10,71000,9,6
10,72000,9,6
10,73000,10,6
10,74000,9,5
10,75000,8,4
10,76000,7,4
10,77000,7,3
10,78000,9,5
10,79000,7,3
10,80000,9,5
10,81000,7,2
10,82000,8,3
10,83000,9,5
10,84000,8,4
10,85000,8,4
10,86000,9,5
10,87000,9,4
10,88000,9,5
10,89000,11,6
10,90000,10,6
10,91000,7,3
10,92000,6,4
10,93000,8,5
10,94000,8,4
10,95000,11,7
10,96000,10,6
10,97000,9,6
10,98000,8,4
10,99000,7,4
10,100000,9,4
11,50000,7,4
11,51000,8,5
11,52000,7,4
11,53000,6,4
11,54000,6,4
11,55000,7,5
11,56000,5,3
11,57000,6,4
11,58000,8,4
11,59000,8,5
11,60000,7,4
11,61000,7,5
11,62000,8,5
11,63000,8,5
11,64000,9,5
11,65000,7,3
11,66000,7,4
11,67000,8,4
11,68000,7,4
11,69000,6,4
11,70000,8,5
11,71000,8,5
11,72000,8,5
11,73000,7,5
11,74000,5,3
11,75000,6,4
11,76000,7,5
11,77000,8,5
11,78000,6,4
11,79000,6,4
11,80000,5,3
11,81000,5,3
11,82000,4,3
11,83000,7,4
11,84000,8,5
11,85000,9,5
11,86000,8,5
11,87000,8,5
11,88000,8,4
11,89000,8,5
11,90000,8,5
11,91000,8,5
11,92000,7,4
11,93000,8,5
11,94000,9,7
11,95000,8,6
11,96000,8,5
11,97000,8,5
11,98000,7,4
11,99000,10,6
11,100000,8,4
12,50000,6,4
12,51000,7,5
12,52000,6,4
12,53000,6,5
12,54000,7,4
12,55000,6,3
12,56000,6,4
12,57000,8,6
12,58000,9,6
12,59000,10,6
12,60000,8,5
12,61000,9,5
12,62000,9,6
12,63000,8,4
12,64000,7,4
12,65000,9,6
12,66000,9,5
12,67000,8,4
12,68000,10,5
12,69000,9,5
12,70000,8,4
12,71000,7,2
12,72000,9,5
12,73000,9,4
12,74000,8,4
12,75000,7,4
12,76000,8,5
12,77000,6,3
12,78000,8,5
12,79000,6,3
12,80000,6,3
12,81000,8,4
12,82000,7,3
12,83000,7,3
12,84000,8,4
12,85000,6,4
12,86000,8,4
12,87000,8,4
12,88000,7,4
12,89000,7,4
12,90000,8,4
12,91000,8,4
12,92000,9,5
12,93000,8,3
12,94000,8,4
12,95000,8,5
12,96000,10,5
12,97000,9,4
12,98000,9,4
12,99000,7,3
12,100000,7,3
13,50000,6,3
13,51000,9,5
13,52000,10,6
13,53000,8,5
13,54000,7,4
13,55000,7,3
13,56000,7,4
13,57000,6,4
13,58000,8,4
13,59000,7,4
13,60000,8,4
13,61000,9,5
13,62000,8,4
13,63000,8,4
13,64000,8,4
13,65000,6,3
13,66000,8,4
13,67000,7,3
13,68000,6,3
13,69000,7,4
13,70000,7,4
13,71000,9,4
13,72000,7,4
13,73000,8,5
13,74000,8,4
13,75000,8,3
13,76000,8,4
13,77000,7,3
13,78000,6,2
13,79000,9,5
13,80000,7,3
13,81000,6,2
13,82000,5,2
13,83000,7,3
13,84000,7,3
13,85000,5,2
13,86000,6,3
13,87000,8,3
13,88000,8,4
13,89000,8,4
13,90000,7,3
13,91000,7,4
13,92000,7,5
13,93000,10,6
13,94000,9,5
13,95000,8,5
13,96000,6,3
13,97000,5,3
13,98000,7,5
13,99000,6,3
13,100000,5,2
14,50000,6,2
14,51000,7,3
14,52000,9,4
14,53000,8,3
14,54000,8,3
14,55000,7,3
14,56000,7,3
14,57000,7,3
14,58000,9,5
14,59000,8,5
14,60000,10,5
14,61000,9,5
14,62000,7,3
14,63000,9,4
14,64000,8,3
14,65000,8,3
14,66000,7,4
14,67000,8,4
14,68000,9,3
14,69000,6,3
14,70000,10,4
14,71000,7,3
14,72000,8,4
14,73000,7,3
14,74000,9,6
14,75000,8,5
14,76000,6,3
14,77000,7,3
14,78000,7,4
14,79000,5,1
14,80000,4,1
14,81000,7,3
14,82000,8,4
14,83000,8,3
14,84000,9,5
14,85000,9,4
14,86000,7,3
14,87000,7,3
14,88000,7,3
14,89000,6,2
14,90000,7,3
14,91000,7,3
14,92000,6,2
14,93000,7,3
14,94000,7,4
14,95000,10,5
14,96000,8,4
14,97000,8,4
14,98000,12,7
14,99000,6,3
14,100000,7,3
