step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall
1000,930,845,27290,120537,113139,91295,1952,34515,283,0,56282,1211356,119894.989,41942.735,0.1461,39887.076,0.261,0.234,0.260,0.245,0.598,0.382,130,0.0504,0.6895,0.260,36.3,66.8,114.4,57.12,11.30,10.15,3.17,32.50,8.06,1.076,0.163,0.178,0.178,11.238,0.896,0.0044,260,608,619,1750,44,0,0.000,746,336,289,305,101,406,423,0.00,2.06,22127,27.7156,66726,38444,529060,245.3,-0.0,486263,94.780,2634796.300,1.59e-14,0.00093,30.00,38199,20.980,1.190,19.772,0.018,20.981
2000,69,44,128,141,110,13,0,987,2,0,897,11890,948.631,89.918,0.2520,33.405,0.256,0.329,0.238,0.178,0.361,0.568,6,0.0564,0.5049,0.215,27.8,54.9,100.3,54.94,6.29,19.30,4.87,24.48,7.84,1.056,0.341,0.275,0.275,18.325,0.623,0.0081,1023,1358,25,2,0,0,0.000,59,20,28,21,23,35,11,4.59,16.97,35025,27.6372,66826,38323,489689,5.5,-0.0,515510,3.289,2634796.300,2.12e-15,0.00070,25.34,56,1.330,1.068,0.262,0.000,1.330
3000,1125,94,1276,2513,2394,1230,7,218,2,0,2286,28860,4399.317,650.649,0.2157,527.367,0.088,0.531,0.299,0.082,0.572,0.316,2,0.0078,0.5769,0.198,30.1,47.2,77.8,55.57,3.16,6.45,2.95,43.01,7.64,0.897,0.113,0.148,0.148,6.429,0.233,0.0021,220,1009,20,39,0,0,0.000,367,1,41,1083,33,296,796,7.20,19.38,49115,40.3005,66748,39614,467675,357.3,-0.0,520408,1.076,2634796.300,1.20e-14,0.00168,14.43,989,1.414,1.066,0.343,0.006,1.415
4000,2437,972,9420,28180,27547,18723,37,8021,87,0,34919,378542,39415.170,13283.259,0.1896,11628.063,0.175,0.353,0.385,0.087,0.644,0.296,87,0.0195,0.5718,0.221,34.5,62.4,88.5,64.33,2.32,11.99,1.73,48.29,8.44,0.977,0.202,0.087,0.092,10.013,0.642,0.0049,252,452,202,504,5,0,0.000,1113,34,338,2065,537,1642,258,0.00,6.31,21340,29.3105,66770,39600,445473,455.9,0.0,565576,27.570,2634796.300,1.77e-16,0.00096,37.93,10345,5.949,1.169,4.762,0.019,5.949
5000,398,249,1190,2147,1894,954,3,3192,37,0,14095,165609,6585.834,1641.894,0.2365,808.615,0.159,0.596,0.165,0.080,0.613,0.277,37,0.1226,0.5559,0.205,24.7,59.9,88.8,54.32,2.01,19.97,6.42,25.92,7.94,1.116,0.342,0.214,0.221,15.068,0.570,0.0061,390,764,121,266,4,1,0.173,281,11,93,294,110,220,68,8.25,22.04,25135,21.3287,66761,40248,417684,37.0,-0.0,595885,11.429,2634796.300,2.19e-14,0.00039,12.68,656,2.294,1.151,1.142,0.001,2.294
6000,1184,496,1964,5274,4885,3296,14,1160,18,0,8981,117576,9573.607,2547.196,0.2646,1953.124,0.107,0.577,0.146,0.170,0.584,0.294,62,0.0332,0.5824,0.199,28.6,57.2,80.0,55.58,2.28,12.49,3.10,37.70,7.92,1.001,0.231,0.059,0.058,11.654,0.580,0.0028,290,924,120,124,11,3,0.144,588,65,89,1030,392,654,138,0.50,13.26,33622,33.2050,66757,40011,391691,179.5,-0.0,610771,5.622,2634796.300,3.53e-14,0.00043,23.20,2037,2.227,1.099,1.123,0.006,2.228
7000,1696,423,3214,5677,4843,2459,4,2603,99,0,24307,173895,13519.492,2827.402,0.2181,1502.285,0.111,0.624,0.175,0.090,0.534,0.305,107,0.0530,0.5785,0.188,25.2,61.6,86.8,56.63,0.56,16.60,2.01,37.46,7.92,1.027,0.310,0.038,0.039,9.196,0.369,0.0041,306,715,141,479,21,3,0.190,836,513,453,730,261,763,672,9.92,27.84,41274,40.6772,66806,38016,370432,467.3,-0.0,622707,10.368,2634796.300,6.54e-15,0.00006,24.47,1984,2.549,1.067,1.473,0.008,2.549
8000,2688,559,6571,15211,13796,8606,34,4911,667,1,84885,396727,23382.674,8844.771,0.1957,4691.585,0.054,0.634,0.241,0.072,0.565,0.268,776,0.0657,0.6071,0.194,12.3,37.0,72.3,42.21,1.32,13.49,0.82,26.58,7.68,0.934,0.327,0.038,0.041,7.963,0.454,0.0041,239,587,163,3421,11,3,0.065,1749,170,304,2214,496,774,1418,7.35,29.55,30823,31.5797,66665,37219,352924,722.8,-0.0,649019,17.592,2634796.300,7.07e-16,0.00127,7.77,5434,3.787,1.143,2.619,0.025,3.787
9000,762,399,6094,21575,20259,15419,62,7152,868,0,78544,476828,23921.127,12626.866,0.2134,8437.259,0.096,0.538,0.317,0.049,0.584,0.284,407,0.1965,0.6551,0.178,27.1,56.3,92.0,53.56,1.53,20.38,1.57,30.08,7.82,1.048,0.369,0.079,0.081,12.772,0.526,0.0047,279,557,215,3814,24,4,0.579,496,9,94,659,146,380,236,8.51,33.58,17636,20.9071,66648,36166,332281,98.4,-0.0,687471,22.337,2634796.300,1.73e-14,0.00114,30.68,7732,4.283,1.127,3.153,0.004,4.283
10000,1077,453,2123,2728,1914,604,1,1759,49,0,17502,117240,9737.120,1567.953,0.2497,475.589,0.051,0.751,0.151,0.048,0.430,0.349,90,0.1027,0.5582,0.158,27.7,57.0,81.8,50.68,1.22,20.57,1.69,27.20,7.56,1.078,0.381,0.092,0.092,11.802,0.466,0.0036,284,831,150,253,7,4,0.463,635,6,27,1044,260,580,237,13.12,39.24,20376,22.0722,66661,36368,311885,97.9,-0.0,703973,8.067,2634796.300,1.77e-15,0.00512,11.37,978,2.068,1.054,1.011,0.004,2.071
11000,1139,590,3734,5405,4132,1668,3,3480,191,1,42429,183990,15958.726,3423.377,0.2128,1166.159,0.077,0.681,0.200,0.042,0.392,0.347,263,0.1870,0.5782,0.164,28.9,55.3,79.0,51.94,1.26,21.63,0.98,28.07,7.70,1.025,0.402,0.095,0.097,12.852,0.529,0.0040,253,675,199,883,9,3,0.558,707,24,161,954,254,543,342,11.54,39.94,17129,22.0225,66705,37598,293582,102.5,-0.0,725040,14.138,2634796.300,2.72e-14,0.00014,16.93,1838,2.680,1.042,1.634,0.004,2.680
