step,id,lineage,age,turns,mass,size,side,density,born_size,born_mass,born_hard,born_muscle,born_sensor,born_digestive,born_bite,hard,muscle,sensor,digestive,bite,bite_any,shell,speed,energy,fat,plant,meat,killed,scavenged,travel,path,worn,pace,place,born_place,temp,moist,height,cells
10000,26629,2,4862,2778,34.25,41,8,0.901,64,52.27,0,15,12,37,0,0,13,6,22,0,0,1.00,0.380,0.000,40.038,292.990,27.163,12.612,14.551,125.68,190.75,23,0.684,6,7,5.7,0.257,64,4440044400400040040443444043033044400022443302220000222204422220
10000,27729,1,3911,3184,1.06,1,7,1.060,28,29.67,0,13,0,15,0,0,0,0,1,0,0,1.00,0.000,0.000,4.518,233.107,48.881,26.150,22.732,30.79,317.00,11,1.000,8,8,62.2,0.306,941,0000400000000000000000000000000000000000000000000
10000,28485,1,3322,2813,10.37,10,7,1.037,27,27.99,0,16,0,11,0,0,10,0,0,0,0,1.00,0.965,0.000,6.390,156.339,4.563,0.000,4.563,199.90,448.75,7,1.000,11,2,33.9,0.000,-9,0000000000000000000020000002000000202000200022222
10000,28689,1,3140,2254,30.07,29,7,1.037,30,31.10,0,16,0,14,0,0,16,0,13,0,0,1.00,0.532,0.000,81.844,238.879,2.821,2.113,0.708,139.56,420.75,1,0.729,8,2,68.9,1.000,757,4444404444424440000222000002000000220000222222222
10000,28703,1,3121,2589,8.48,8,7,1.060,28,29.67,0,12,0,16,0,0,7,0,1,0,0,1.00,0.826,0.000,5.284,124.760,47.101,39.684,7.417,146.78,341.25,5,1.000,3,7,-1.4,0.282,1687,0000000000000000000240000002000000200000220000022
10000,28882,1,2924,2292,18.86,18,7,1.048,30,31.44,0,17,0,13,0,0,15,0,3,0,0,1.00,0.795,0.000,4.526,140.166,9.685,7.512,2.173,134.40,444.50,3,0.921,7,8,13.7,0.293,357,0000400000004400000020000002000000222200222222222
10000,28900,1,2910,1564,53.86,47,8,1.146,49,56.15,0,23,0,26,0,0,23,0,24,0,0,1.00,0.427,0.000,26.029,148.111,18.379,11.464,6.915,96.83,145.75,2,0.545,6,2,59.9,0.039,36,4444444044444444440000224400002244000022420000224222222242222222
10000,29061,1,2694,1438,55.01,48,8,1.146,49,56.15,0,23,0,26,0,0,22,0,26,0,0,1.00,0.400,0.192,45.932,139.750,20.341,19.028,1.312,48.75,120.75,1,0.539,7,2,20.4,0.325,680,4444444444444444444000224400002244000022420000224222222242220222
10000,29070,1,2676,2233,18.01,17,7,1.060,28,29.67,0,13,0,15,0,0,3,0,14,0,0,1.00,0.167,1.821,13.063,118.647,20.689,6.491,14.198,73.10,170.25,2,0.942,8,8,56.4,0.944,840,4444404444424440000240000002000000000000000000000
10000,29211,1,2417,1386,48.13,42,8,1.146,43,49.28,0,19,0,24,0,0,18,0,24,0,0,1.00,0.374,0.000,72.113,174.113,0.757,0.000,0.757,81.41,154.00,1,0.577,7,1,13.1,0.606,286,4444444444444444444000444000002440000022200000222200002222222222
10000,29226,1,2391,1725,30.72,29,7,1.059,29,30.72,0,10,0,19,0,0,10,0,19,0,0,1.00,0.325,0.000,32.855,120.564,2.280,0.490,1.790,177.25,177.25,0,0.722,4,2,-4.2,0.383,117,4444444444444444000044000004000000200000222222222
10000,29231,1,2387,1692,28.61,27,7,1.060,31,32.85,0,15,0,16,0,0,15,0,12,0,0,1.00,0.524,0.225,47.201,139.553,14.626,13.017,1.609,35.24,258.75,0,0.748,6,7,38.8,0.212,500,0044400444444442000242000002000000220000222222222
