step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall
11000,567,236,1261,1378,778,108,9,1062,23,0,5132,47169,20639.929,2003.975,0.2630,654.496,0.072,0.835,0.059,0.035,0.325,0.376,21,0.1980,0.6762,0.264,25.9,37.0,52.4,41.19,0.23,14.70,3.60,22.66,7.36,0.999,0.396,0.019,0.019,11.648,0.485,0.0033,207,812,102,837,53,2,0.578,253,11,75,481,89,297,181,30.52,73.54,29541,32.7474,66618,37598,346856,114.9,-0.0,695882,17.699,2674865.198,2.42e-14,0.00048,16.93,395,1.716,1.119,0.596,0.001,1.716
12000,469,208,996,1045,486,46,3,1077,17,0,4100,39752,18617.930,1571.320,0.2816,416.888,0.064,0.832,0.045,0.060,0.289,0.394,44,0.2475,0.6781,0.259,22.8,34.6,45.9,34.30,0.16,16.67,1.62,15.85,7.07,1.028,0.482,0.015,0.015,13.383,0.452,0.0034,250,916,76,471,33,2,0.802,231,49,85,335,110,189,170,31.87,83.33,29943,33.8596,66815,37595,327012,75.9,-0.0,715744,18.343,2674865.198,7.14e-15,0.00001,31.67,315,1.686,1.108,0.577,0.001,1.686
13000,405,168,915,962,385,40,7,962,17,0,4347,33639,16127.654,1485.734,0.2606,352.815,0.041,0.859,0.044,0.056,0.354,0.358,24,0.2492,0.6960,0.220,24.7,34.6,42.2,34.27,0.42,16.60,1.41,15.84,7.07,1.023,0.476,0.015,0.017,13.270,0.388,0.0033,256,1001,113,434,19,2,0.783,188,14,55,336,131,152,122,36.64,90.76,31865,33.4829,66819,38574,310680,90.5,-0.0,731106,16.272,2674865.198,8.18e-15,0.00014,10.33,295,1.358,0.945,0.413,0.000,1.358
14000,322,194,820,857,382,34,3,892,11,0,3252,37781,16282.773,1321.783,0.2984,351.413,0.039,0.856,0.051,0.054,0.320,0.389,22,0.3175,0.6957,0.173,19.9,34.6,53.9,34.10,0.72,15.44,0.60,17.34,7.04,1.036,0.428,0.034,0.031,14.899,0.615,0.0030,256,928,122,307,65,2,0.904,186,42,52,228,88,85,149,35.07,88.20,30432,30.2905,66815,38715,299214,68.5,-0.0,744948,16.292,2674865.198,1.48e-14,0.00052,33.24,287,1.438,1.014,0.424,0.000,1.438
15000,327,121,571,601,230,28,2,552,14,0,1945,18423,9686.472,901.164,0.3331,253.364,0.043,0.877,0.050,0.030,0.314,0.400,22,0.1920,0.7040,0.138,24.1,31.4,46.3,32.68,0.36,15.21,0.84,16.27,7.08,1.013,0.462,0.009,0.003,11.102,0.394,0.0031,284,1368,107,239,73,2,0.777,152,3,28,296,63,178,86,37.75,87.17,34139,29.9218,66796,38989,291186,53.5,-0.0,750106,10.028,2674865.198,1.04e-15,0.00277,23.67,165,1.321,1.089,0.232,0.000,1.321
16000,277,155,906,957,414,49,2,933,22,1,4568,36759,15160.573,1729.591,0.2978,369.031,0.064,0.860,0.053,0.024,0.300,0.406,11,0.3533,0.7107,0.214,24.8,34.6,43.3,33.00,0.17,15.44,0.55,16.84,7.17,1.051,0.435,0.007,0.007,13.628,0.570,0.0033,221,854,72,446,33,2,0.838,122,6,56,215,76,106,95,39.62,76.10,31125,28.1871,66657,40442,285908,58.1,-0.0,758630,14.559,2674865.198,6.62e-15,0.00019,15.34,290,1.439,1.063,0.376,0.000,1.440
17000,349,172,878,945,463,65,2,786,20,0,3898,37467,13961.785,1544.552,0.3014,369.660,0.042,0.856,0.085,0.018,0.342,0.376,26,0.2329,0.6904,0.170,24.1,34.6,42.7,31.74,0.50,15.76,0.29,15.19,7.14,1.075,0.456,0.023,0.026,11.956,0.499,0.0032,235,1003,81,425,42,2,0.931,186,8,14,327,62,161,126,28.26,67.76,31660,30.2967,66690,39908,278374,132.1,0.0,764917,12.610,2674865.198,1.11e-14,0.00013,36.12,318,1.358,1.046,0.312,0.000,1.358
18000,333,164,662,680,231,15,3,673,5,0,2182,27556,12957.180,813.425,0.2793,203.890,0.038,0.878,0.064,0.020,0.318,0.380,56,0.2510,0.6973,0.183,23.1,34.6,41.8,32.75,0.43,15.02,1.01,16.30,7.17,1.037,0.446,0.012,0.012,13.670,0.456,0.0029,254,983,75,132,13,2,0.769,149,21,80,232,53,186,94,33.39,85.29,34932,32.8876,66610,39622,268531,57.0,-0.0,771215,12.035,2674865.198,1.29e-14,0.00155,9.52,210,1.338,1.048,0.289,0.000,1.338
19000,548,208,959,1029,430,68,2,734,10,0,3419,32945,17016.130,1517.074,0.3299,389.094,0.041,0.866,0.067,0.026,0.319,0.377,12,0.1819,0.7032,0.175,22.0,34.6,42.2,32.71,0.53,15.53,1.15,15.51,7.09,1.032,0.461,0.024,0.022,12.378,0.436,0.0027,221,950,142,227,67,2,0.750,234,142,74,332,81,188,279,30.87,86.26,36291,36.8050,66490,38389,261244,110.7,-0.0,774488,13.422,2674865.198,1.32e-14,0.00007,24.64,279,1.443,1.050,0.393,0.000,1.443
20000,453,209,1530,1723,984,190,3,1578,44,3,8754,80760,23007.689,3440.494,0.2811,979.578,0.061,0.842,0.055,0.043,0.354,0.367,65,0.3121,0.7080,0.190,24.3,34.6,47.9,33.61,0.47,15.60,0.87,16.67,7.17,1.040,0.451,0.040,0.038,13.053,0.430,0.0037,215,755,181,747,76,2,0.722,222,124,50,279,115,144,194,34.41,90.44,27460,30.0109,66427,36536,253928,132.3,-0.0,791746,22.701,2674865.198,1.24e-14,0.00139,20.54,476,1.706,1.051,0.654,0.000,1.707
21000,222,157,546,599,271,53,0,766,11,0,2311,29987,12293.279,1370.147,0.4177,404.823,0.057,0.846,0.057,0.041,0.327,0.380,8,0.3854,0.7022,0.189,23.3,34.1,53.0,33.98,0.41,16.43,1.23,15.91,7.17,1.033,0.466,0.072,0.077,17.619,0.577,0.0031,275,994,129,264,94,2,0.689,119,7,12,203,58,101,63,36.10,108.34,27853,26.2918,66220,36549,243706,49.8,-0.0,804067,13.974,2674865.198,1.62e-14,0.01299,8.53,188,1.431,1.067,0.364,0.000,1.431
22000,514,208,750,775,276,21,4,452,6,0,2615,19325,14322.720,1211.966,0.3774,225.058,0.044,0.849,0.075,0.032,0.251,0.409,6,0.1613,0.6835,0.167,26.4,35.6,53.0,34.17,0.25,17.67,0.50,15.75,7.18,1.084,0.476,0.029,0.031,13.572,0.385,0.0022,216,1727,152,176,61,2,0.864,214,10,50,454,92,210,212,26.97,80.19,29971,31.7180,66150,36392,238454,97.9,-0.0,803327,9.955,2674865.198,5.74e-15,0.00399,31.86,216,1.358,1.061,0.297,0.000,1.358
23000,351,232,747,779,315,30,2,892,18,0,3558,34496,17077.476,1723.464,0.3655,423.058,0.048,0.861,0.063,0.028,0.273,0.399,37,0.3512,0.6890,0.167,23.9,34.7,53.0,33.78,0.36,16.19,1.11,16.12,7.13,1.059,0.452,0.054,0.057,18.271,0.504,0.0028,267,845,145,392,70,2,0.635,165,18,32,301,98,183,70,33.71,94.44,28611,29.9357,66160,37266,231593,109.2,-0.0,812566,17.164,2674865.198,6.96e-15,0.00005,11.13,252,1.445,1.018,0.426,0.000,1.445
24000,358,189,538,569,236,30,1,525,5,1,1850,24049,12630.421,1018.805,0.3758,323.513,0.055,0.839,0.069,0.037,0.325,0.384,7,0.2170,0.6959,0.186,22.0,34.1,50.3,32.41,0.26,15.26,1.36,15.52,7.11,1.055,0.454,0.022,0.025,16.701,0.447,0.0022,313,1540,169,175,72,2,0.684,191,19,18,321,84,149,125,29.91,105.87,34734,34.6686,66102,38376,225151,83.4,-0.0,813342,12.371,2674865.198,1.29e-14,0.00003,20.30,165,1.348,1.001,0.346,0.000,1.348
25000,568,336,1375,1454,679,75,4,1144,20,1,6475,54247,23302.447,2536.618,0.2956,622.416,0.045,0.843,0.081,0.031,0.314,0.384,77,0.2424,0.6897,0.191,24.8,37.4,52.8,33.94,0.23,16.98,0.83,15.90,7.09,1.098,0.458,0.014,0.012,14.177,0.583,0.0029,222,804,237,499,131,2,0.857,258,52,120,396,148,200,220,25.16,74.30,28627,34.0002,66134,38017,219797,173.2,-0.0,822364,19.762,2674865.198,3.53e-14,0.00102,32.07,409,1.662,1.056,0.605,0.001,1.662
26000,264,190,673,762,409,88,1,961,15,1,3437,39968,13598.192,1590.973,0.3083,531.273,0.046,0.857,0.065,0.031,0.366,0.359,28,0.3545,0.6916,0.168,23.1,33.9,52.7,34.01,0.36,16.01,1.56,16.09,7.11,1.035,0.453,0.042,0.042,16.549,0.655,0.0033,311,1043,230,307,78,2,0.621,137,23,12,229,107,89,68,26.63,91.32,26649,25.2062,66046,39026,215008,90.4,-0.0,833503,16.714,2674865.198,2.99e-14,0.00005,11.77,229,1.415,1.007,0.407,0.000,1.415
27000,235,135,411,426,113,15,0,435,3,2,1153,13619,9453.784,848.569,0.4145,370.637,0.049,0.798,0.101,0.052,0.354,0.353,8,0.2310,0.6844,0.170,23.1,37.0,52.7,34.80,0.34,17.21,0.96,16.28,7.14,1.063,0.464,0.030,0.034,16.385,0.472,0.0026,364,1621,222,147,139,2,0.698,117,6,21,208,41,127,67,26.06,91.45,30387,27.7366,65915,39298,211720,114.5,-0.0,833408,9.065,2674865.198,3.48e-16,0.00352,35.39,131,1.330,1.085,0.245,0.000,1.330
28000,395,236,930,952,325,20,2,751,16,3,3765,28203,17580.576,1378.500,0.2858,302.388,0.056,0.814,0.099,0.031,0.286,0.382,13,0.2615,0.6691,0.181,25.8,39.3,51.8,35.25,0.17,18.50,0.60,15.98,7.07,1.072,0.484,0.020,0.023,15.561,0.549,0.0028,232,900,105,211,48,2,0.856,182,1,39,355,88,162,145,27.09,74.27,25981,27.4878,65787,39824,209915,74.6,-0.0,837231,14.360,2674865.198,8.36e-15,0.00101,20.43,296,1.425,1.063,0.361,0.000,1.425
29000,275,135,521,556,238,34,1,639,1,1,1161,22224,11585.370,696.908,0.3533,286.747,0.052,0.829,0.086,0.033,0.371,0.348,8,0.2551,0.6728,0.179,28.1,35.9,53.0,35.70,0.35,17.12,1.12,17.11,7.29,1.052,0.458,0.055,0.062,15.276,0.487,0.0030,346,1218,140,102,74,2,0.593,124,8,51,216,58,153,64,31.00,103.36,28863,27.8610,65647,40674,206366,83.9,-0.0,840099,12.920,2674865.198,7.66e-15,0.00026,15.85,150,1.416,1.094,0.322,0.000,1.416
30000,491,229,748,768,243,18,2,524,6,2,1972,22165,15213.680,956.915,0.3513,264.164,0.041,0.815,0.114,0.029,0.308,0.390,5,0.1533,0.6553,0.163,24.2,39.6,53.0,35.79,0.43,17.48,1.18,16.70,7.24,1.090,0.451,0.047,0.051,14.381,0.466,0.0024,248,1045,123,205,38,2,0.837,233,38,78,375,72,182,237,27.19,73.89,32841,35.1115,65536,39088,203122,105.8,-0.0,836085,11.221,2674865.198,4.18e-14,0.00036,32.73,252,1.406,1.085,0.321,0.001,1.408
31000,472,304,1006,1071,430,61,4,1012,12,1,3564,42601,21591.776,1810.936,0.3573,537.398,0.055,0.802,0.106,0.037,0.309,0.382,17,0.2753,0.6840,0.193,23.3,30.9,52.7,35.47,0.34,16.29,1.69,17.16,7.19,1.018,0.456,0.051,0.055,15.786,0.604,0.0027,252,918,158,296,122,2,0.581,218,109,73,290,87,215,170,23.98,79.27,27645,31.5257,65349,38079,199339,108.7,-0.0,845156,20.370,2674865.198,3.66e-15,0.00021,7.71,302,1.685,1.077,0.607,0.001,1.685
32000,366,210,595,617,208,20,2,689,11,1,2087,22586,14217.216,1069.897,0.3634,311.429,0.050,0.815,0.103,0.033,0.314,0.378,8,0.2494,0.6872,0.177,22.2,36.7,51.6,33.09,0.35,16.48,0.82,15.45,7.16,1.090,0.460,0.033,0.033,17.111,0.473,0.0027,343,1435,169,190,77,2,0.820,172,111,54,201,112,109,145,31.54,91.56,28829,29.6041,65154,36840,196855,93.4,-0.0,847794,14.593,2674865.198,6.62e-15,0.00040,26.07,195,1.454,1.067,0.387,0.000,1.454
33000,367,192,772,815,373,40,3,765,5,1,2569,36444,14607.219,1515.996,0.4013,485.129,0.052,0.812,0.098,0.037,0.289,0.405,25,0.2617,0.7146,0.185,15.6,29.8,46.0,30.81,0.45,13.80,1.23,15.34,7.23,1.065,0.422,0.035,0.038,15.907,0.485,0.0027,240,1147,184,375,64,2,0.692,179,5,18,344,81,160,126,30.85,95.54,27734,27.7191,64937,35998,195857,52.0,-0.0,850609,14.256,2674865.198,1.04e-14,0.00013,17.88,255,1.504,1.081,0.423,0.000,1.504
34000,289,185,567,616,236,44,5,633,11,1,1469,25953,12755.127,1311.170,0.5590,490.046,0.061,0.799,0.106,0.034,0.278,0.410,27,0.3145,0.7427,0.162,14.7,32.2,44.9,30.46,0.19,14.61,0.75,14.92,7.26,1.081,0.445,0.035,0.035,17.109,0.453,0.0024,287,1231,203,268,145,2,0.685,145,12,32,245,65,122,102,34.03,112.71,29329,28.3065,64709,36985,193171,126.6,-0.0,852815,12.750,2674865.198,1.58e-14,0.00390,10.03,207,1.366,1.035,0.331,0.000,1.366
35000,446,264,772,803,256,28,3,612,1,2,1941,32695,16317.776,1304.848,0.4450,441.072,0.047,0.815,0.104,0.034,0.276,0.414,7,0.2247,0.7195,0.155,18.7,32.1,47.2,30.76,0.39,14.23,0.85,15.29,7.20,1.075,0.427,0.022,0.025,14.938,0.500,0.0021,238,1373,222,219,139,2,0.706,216,21,51,374,102,202,142,26.50,86.75,30208,32.3160,64644,37189,190788,122.7,-0.0,852386,13.392,2674865.198,1.67e-14,0.00040,33.64,243,1.380,1.008,0.372,0.000,1.380
