step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
5000,3,67,29.82,0.01,8.60,9.06,14.94,0.01,0.000,545,32.49,4.01,49
6000,19,171,48.49,1.04,19.25,0.42,19.20,0.43,0.123,490,27.42,6.12,118
6000,3,121,25.16,0.00,9.13,7.64,11.80,0.00,0.000,430,25.38,3.82,80
6000,20,75,80.79,5.28,24.53,1.65,33.96,0.89,0.320,727,42.71,8.05,43
7000,3,323,30.36,0.05,10.13,8.19,16.37,0.01,0.006,306,18.75,3.91,186
7000,19,141,54.51,0.38,12.49,0.81,30.39,0.07,0.021,287,17.81,4.29,86
7000,20,104,80.53,3.62,30.57,1.18,31.71,0.98,0.298,576,40.07,4.27,62
8000,3,175,33.34,0.11,10.75,4.71,19.23,0.02,0.011,540,27.26,6.49,123
8000,20,149,82.44,3.36,25.56,0.79,38.09,1.05,0.181,548,35.84,5.72,88
8000,19,71,52.58,0.61,19.11,1.00,21.06,0.20,0.056,629,33.81,9.92,48
9000,20,441,65.93,1.83,23.13,0.63,34.83,0.33,0.070,530,35.05,9.38,284
9000,3,142,32.64,0.17,12.05,5.24,15.84,0.04,0.021,534,29.49,5.56,99
9000,19,55,62.87,1.09,24.25,0.40,22.20,0.27,0.091,718,34.81,10.87,28
9000,32,5,25.50,0.00,1.40,0.00,28.00,0.00,0.000,55,11.85,3.76,5
10000,20,497,57.66,0.28,25.95,0.00,31.00,0.02,0.006,374,29.02,3.56,272
10000,3,279,34.61,0.58,11.33,4.75,17.00,0.14,0.065,434,24.24,4.43,165
10000,19,97,55.62,0.36,17.78,1.62,23.03,0.06,0.021,453,24.48,9.98,61
11000,20,636,53.16,0.42,25.42,0.05,27.41,0.06,0.014,434,30.85,5.43,370
11000,3,157,34.73,0.06,10.28,4.90,19.48,0.02,0.006,662,34.81,5.53,97
11000,19,20,57.28,1.35,17.95,2.75,22.00,0.30,0.100,1423,64.09,10.62,16
12000,20,434,60.40,0.11,26.27,0.00,33.25,0.03,0.007,532,40.06,3.25,216
12000,3,268,36.70,0.04,9.41,4.31,21.84,0.01,0.007,501,27.66,3.89,156
12000,19,130,54.94,1.93,16.63,2.26,21.86,0.54,0.154,387,23.51,3.63,79
12000,39,42,56.87,1.07,22.88,0.00,35.48,0.26,0.071,503,37.96,2.26,25
13000,20,747,61.58,0.03,26.48,0.00,33.60,0.00,0.000,516,37.64,4.17,416
13000,3,215,33.65,0.17,9.51,4.91,18.66,0.06,0.019,644,33.17,5.58,131
13000,39,101,56.88,1.54,24.28,0.00,31.48,0.41,0.089,530,38.89,2.34,70
13000,19,65,56.80,1.15,18.11,2.03,22.11,0.38,0.092,713,36.78,8.34,43
13000,35,10,86.58,8.30,17.20,3.20,30.40,5.50,0.900,930,53.47,1.09,7
14000,20,310,63.53,0.03,27.71,0.00,33.68,0.01,0.003,793,56.23,4.34,169
14000,3,142,32.64,0.09,9.03,6.04,17.54,0.00,0.000,702,36.45,4.26,84
14000,35,46,87.48,4.74,8.80,0.67,50.65,2.07,0.413,646,38.44,8.27,31
14000,19,20,55.92,2.35,14.75,0.95,23.25,0.30,0.100,1269,54.73,10.79,15
14000,39,20,60.29,1.50,22.10,0.00,38.45,1.05,0.200,718,50.55,4.21,18
14000,41,15,109.11,1.93,24.20,0.00,60.93,0.40,0.067,3211,173.13,22.30,15
15000,20,686,63.63,0.05,26.49,0.00,34.11,0.00,0.001,434,34.33,2.19,307
15000,3,136,32.71,0.35,10.42,4.79,16.56,0.03,0.007,621,33.33,3.52,92
15000,19,63,51.08,0.13,16.06,3.97,20.46,0.00,0.000,397,23.59,5.49,47
15000,39,27,56.31,0.33,22.56,0.00,36.26,0.48,0.074,510,42.07,0.68,25
15000,41,10,99.84,0.70,24.20,0.00,56.40,0.00,0.000,3274,179.44,29.71,10
15000,35,7,83.29,8.43,13.00,0.00,31.71,4.71,1.000,2085,99.57,6.92,7
16000,20,373,62.90,0.19,28.54,0.00,31.71,0.05,0.016,714,52.12,3.62,210
16000,3,147,34.74,0.48,10.56,5.09,18.74,0.10,0.034,533,29.75,4.02,108
16000,19,131,46.42,1.08,13.43,1.73,19.90,0.08,0.031,426,21.86,6.88,75
16000,41,7,92.99,0.29,22.71,0.00,54.86,0.00,0.000,3409,181.57,40.07,7
17000,20,531,62.78,0.01,27.83,0.00,32.38,0.01,0.002,478,38.28,2.19,244
17000,3,151,31.90,0.32,10.43,4.20,16.42,0.02,0.007,440,24.34,3.89,90
17000,19,85,57.16,1.07,19.04,4.68,19.93,0.33,0.082,471,23.96,7.60,53
17000,41,8,71.99,0.00,23.88,0.00,37.62,0.00,0.000,2996,146.57,53.53,5
18000,20,642,62.44,0.21,27.89,0.00,31.17,0.05,0.011,615,46.14,3.24,306
18000,3,286,37.73,1.12,11.85,7.06,17.34,0.22,0.056,468,25.99,3.90,197
18000,19,56,52.20,0.39,16.39,4.32,20.09,0.23,0.054,672,34.74,11.66,43
19000,3,484,35.58,0.90,10.96,4.38,17.76,0.24,0.085,321,19.02,2.55,303
19000,20,410,63.34,0.04,29.54,0.00,30.53,0.00,0.000,806,58.60,2.88,215
19000,19,121,54.14,0.43,14.31,5.86,23.15,0.07,0.025,564,29.77,9.91,82
20000,20,532,64.34,0.09,31.11,0.00,30.11,0.04,0.009,650,48.70,2.16,239
20000,3,133,37.57,0.62,11.19,1.84,20.28,0.12,0.038,593,31.02,2.99,89
20000,19,43,60.51,0.00,23.00,4.16,19.58,0.00,0.000,839,39.76,15.42,21
21000,20,325,63.45,0.00,26.78,0.00,33.62,0.02,0.003,691,49.29,3.31,141
21000,3,136,34.79,0.21,10.66,2.64,18.57,0.07,0.022,738,37.16,4.36,88
21000,19,31,59.54,1.16,20.68,2.39,20.52,0.32,0.065,856,41.83,23.92,18
22000,20,448,68.35,0.04,35.30,0.00,28.98,0.00,0.000,661,51.68,1.72,201
22000,3,194,38.31,0.70,10.05,2.44,21.77,0.20,0.057,509,27.21,4.09,111
22000,19,60,61.40,0.22,24.35,1.02,20.20,0.17,0.033,657,30.54,15.42,23
23000,20,536,65.84,0.17,32.30,0.00,29.65,0.02,0.004,743,55.07,3.01,279
23000,3,164,34.35,0.91,10.30,3.87,16.95,0.40,0.122,540,28.04,5.12,106
23000,19,111,61.66,0.40,23.05,2.95,20.21,0.32,0.063,815,38.63,16.57,52
24000,20,365,63.49,0.00,28.14,0.00,32.66,0.00,0.000,655,50.16,2.38,177
24000,3,154,37.78,0.79,11.86,1.54,20.33,0.23,0.058,461,24.70,2.95,91
24000,19,86,59.90,0.72,21.44,2.59,20.16,0.24,0.047,1037,48.37,20.87,49
25000,20,548,67.66,0.07,32.77,0.00,29.30,0.03,0.005,612,47.22,1.92,264
25000,3,284,38.55,0.53,13.00,0.70,20.51,0.12,0.039,343,20.48,1.90,147
25000,19,142,58.34,0.22,20.19,2.80,21.18,0.19,0.035,882,43.87,13.17,84
26000,20,317,66.91,0.44,32.34,0.00,28.36,0.04,0.006,1005,67.91,4.73,181
26000,3,114,35.20,0.32,11.26,0.92,18.89,0.09,0.026,662,33.57,3.29,71
26000,19,27,61.93,0.19,24.30,1.30,20.22,0.22,0.037,1840,81.08,33.32,17
27000,20,230,64.92,0.04,31.51,0.00,28.67,0.04,0.009,807,59.27,3.09,110
27000,3,182,38.67,0.17,10.97,0.93,23.14,0.01,0.000,367,20.53,2.29,97
27000,19,48,62.21,1.00,21.83,1.73,20.90,0.56,0.104,941,45.13,12.46,27
27000,56,43,64.67,0.00,21.77,0.00,38.58,0.00,0.000,461,34.68,1.25,24
27000,58,20,42.08,1.90,9.50,2.90,21.25,0.35,0.100,955,46.39,3.61,14
28000,20,497,64.72,0.08,31.53,0.00,29.12,0.04,0.010,651,49.38,2.99,241
28000,3,178,36.55,0.08,11.17,1.30,20.70,0.06,0.017,428,24.47,1.99,84
28000,56,81,74.08,0.85,18.14,0.00,47.06,0.28,0.049,349,26.84,2.47,47
28000,19,33,63.48,2.06,20.67,1.91,21.27,1.15,0.182,1107,54.44,9.40,19
28000,58,12,37.65,0.42,6.67,3.25,22.42,0.00,0.000,1636,73.38,6.59,10
29000,3,233,35.89,1.38,11.24,2.88,17.50,0.28,0.099,405,22.76,1.81,118
29000,20,230,65.96,0.00,31.59,0.03,29.20,0.00,0.000,598,45.14,1.41,104
29000,19,71,66.88,2.34,20.42,1.52,23.55,0.65,0.141,604,31.88,7.93,45
29000,56,56,66.79,0.00,22.89,0.00,38.43,0.00,0.000,177,18.45,1.99,27
29000,58,20,35.63,0.25,7.55,2.90,20.70,0.15,0.050,903,42.89,3.70,15
30000,20,631,66.10,0.03,32.76,0.00,27.99,0.03,0.005,651,48.03,2.97,273
30000,3,231,35.88,0.42,11.18,3.46,18.86,0.07,0.017,439,26.36,1.92,93
30000,19,35,64.92,2.23,19.09,3.83,22.63,1.09,0.229,1003,45.19,11.41,25
30000,56,24,71.21,0.00,23.71,0.00,42.58,0.00,0.000,822,57.78,4.29,18
30000,58,18,35.61,1.17,9.83,12.06,17.67,0.06,0.000,221,14.68,1.67,15
31000,20,586,66.44,0.01,33.53,0.00,28.16,0.01,0.002,671,49.54,2.80,279
31000,3,443,36.56,0.46,11.62,4.71,18.63,0.07,0.023,414,24.36,2.85,228
31000,19,27,61.84,1.19,20.52,2.22,21.81,1.00,0.185,1110,46.33,16.09,22
31000,58,5,32.23,0.00,9.40,8.80,17.80,0.00,0.000,1046,56.72,2.17,4
32000,20,460,66.33,0.00,35.35,0.00,25.88,0.00,0.000,850,60.84,3.37,238
32000,3,285,36.00,0.23,12.04,4.83,17.17,0.05,0.014,604,32.57,4.43,160
32000,19,9,69.09,3.33,18.22,2.11,25.78,1.89,0.333,1948,72.88,27.64,9
33000,20,513,65.93,0.01,33.22,0.00,28.17,0.01,0.002,809,58.00,2.09,233
33000,3,238,36.66,0.31,11.11,4.53,17.56,0.04,0.008,547,29.31,3.72,133
34000,3,709,33.42,0.34,6.59,2.30,21.63,0.01,0.004,301,19.58,3.78,275
34000,20,327,66.32,0.00,33.57,0.00,28.24,0.00,0.000,945,67.74,1.98,157
35000,20,687,65.99,0.15,32.20,0.00,29.68,0.07,0.013,609,46.38,1.37,332
35000,3,234,39.09,0.41,11.57,4.19,19.41,0.02,0.004,630,34.21,3.27,117
36000,20,470,65.76,0.13,33.43,0.00,28.30,0.03,0.006,879,63.33,1.71,232
36000,3,167,37.43,0.32,12.53,3.78,18.35,0.04,0.006,718,36.47,5.16,103
37000,20,596,67.48,0.18,34.85,0.00,28.43,0.10,0.018,688,51.97,1.49,269
37000,3,135,38.14,0.16,13.02,4.03,18.69,0.03,0.007,663,37.86,2.93,67
38000,20,434,65.28,0.05,33.70,0.00,27.27,0.05,0.012,942,67.54,2.48,228
38000,3,214,36.42,0.30,13.70,2.37,17.28,0.09,0.028,535,28.80,4.31,116
39000,20,329,65.42,0.03,34.09,0.00,26.81,0.02,0.006,873,63.76,2.10,154
39000,3,65,35.55,0.29,12.46,4.25,17.58,0.00,0.000,690,38.55,3.97,36
39000,68,29,44.56,0.00,19.31,1.10,13.10,0.00,0.000,460,20.90,7.39,11
40000,20,661,65.32,0.10,33.21,0.00,27.68,0.09,0.017,599,45.28,2.20,314
40000,3,475,37.62,0.20,7.18,3.05,26.02,0.04,0.011,343,20.31,5.64,190
40000,68,23,44.11,0.04,19.35,0.83,13.13,0.00,0.000,579,23.28,15.71,13
41000,20,372,65.39,0.16,32.71,0.00,28.51,0.04,0.008,854,61.97,2.09,180
41000,3,190,33.92,0.24,10.73,4.35,18.03,0.05,0.021,459,26.63,2.63,97
41000,68,57,44.05,0.23,16.35,0.86,16.95,0.21,0.070,469,21.97,8.27,23
42000,20,677,65.37,0.42,31.60,0.00,29.45,0.34,0.078,632,46.71,2.36,357
42000,3,251,37.89,0.21,12.57,4.36,19.02,0.06,0.012,384,23.30,2.98,127
42000,68,30,42.09,0.27,16.27,1.13,15.33,0.23,0.067,713,30.55,14.33,19
43000,20,504,64.49,0.18,31.39,0.00,28.17,0.17,0.046,681,50.63,2.26,255
43000,3,281,38.37,0.62,13.81,3.40,17.94,0.33,0.089,509,28.94,4.30,164
43000,68,71,42.29,0.14,15.24,0.82,16.99,0.07,0.000,479,20.08,11.90,33
44000,20,538,65.92,0.16,33.06,0.00,28.31,0.09,0.020,725,53.11,2.75,286
44000,3,158,48.45,1.09,12.53,3.17,25.64,0.38,0.089,577,32.34,4.56,78
44000,68,48,44.37,0.00,16.88,0.46,17.23,0.00,0.000,650,30.33,10.50,20
45000,20,422,66.77,0.32,34.72,0.00,26.53,0.35,0.071,888,64.27,2.64,238
45000,3,146,38.00,0.39,13.41,4.58,17.15,0.24,0.062,564,33.36,2.67,104
45000,68,126,42.93,0.02,15.77,0.40,17.87,0.02,0.008,404,19.93,8.23,59
46000,20,386,65.40,0.03,33.13,0.00,27.50,0.05,0.010,840,62.10,2.46,213
46000,3,220,44.58,0.52,13.30,2.20,24.42,0.13,0.032,500,29.13,3.84,144
46000,68,70,47.14,0.10,17.77,0.84,18.06,0.04,0.014,655,28.55,11.56,41
47000,20,466,65.16,0.04,33.85,0.00,26.56,0.02,0.004,904,66.22,2.71,258
47000,68,210,41.91,0.22,15.03,0.74,15.94,0.04,0.010,225,12.40,5.49,114
47000,3,137,48.63,1.05,9.49,10.18,26.72,0.15,0.044,638,37.04,4.32,89
48000,20,444,66.45,0.32,35.49,0.00,25.59,0.05,0.011,978,70.14,3.02,242
48000,68,265,43.22,0.19,15.26,1.03,17.09,0.16,0.038,311,16.76,5.40,144
48000,3,132,44.53,0.61,14.93,3.58,22.24,0.20,0.061,436,26.15,2.59,69
49000,20,356,66.83,0.03,34.73,0.00,27.52,0.01,0.003,1022,73.22,3.24,176
49000,68,183,42.57,0.80,14.80,0.69,15.98,0.22,0.060,444,22.30,7.70,120
49000,3,67,41.21,0.76,11.85,3.31,22.67,0.00,0.000,697,39.67,1.80,31
50000,20,549,64.85,0.15,33.96,0.00,25.96,0.03,0.005,704,51.26,3.13,305
50000,68,136,39.48,0.84,11.99,2.10,15.15,0.32,0.088,639,28.15,7.28,96
50000,3,12,42.39,0.00,13.92,7.17,20.92,0.00,0.000,1591,87.42,4.19,8
51000,20,410,64.66,0.08,34.26,0.00,25.13,0.00,0.000,989,71.17,3.37,202
51000,68,75,46.90,0.56,16.43,0.05,17.03,0.84,0.160,492,23.82,5.58,48
51000,3,11,48.14,0.00,17.27,6.45,23.36,0.00,0.000,422,28.12,0.25,6
52000,20,391,67.28,0.00,35.49,0.01,27.56,0.00,0.000,720,53.91,2.10,177
52000,68,369,41.97,0.63,11.32,0.64,17.85,0.47,0.103,235,14.05,3.53,238
52000,3,10,48.39,0.00,19.30,2.30,22.60,0.00,0.000,407,26.47,2.17,7
53000,20,281,64.20,0.00,34.47,0.41,25.83,0.00,0.000,894,65.36,2.49,140
53000,68,136,50.40,1.20,16.88,1.01,17.43,0.68,0.147,401,22.96,3.88,87
53000,3,6,40.68,0.00,15.50,2.33,19.00,0.00,0.000,1078,59.14,11.86,5
54000,20,434,62.89,0.21,32.52,0.04,26.97,0.01,0.002,612,45.54,2.24,221
54000,68,119,54.39,1.33,16.10,0.82,21.71,0.48,0.101,479,25.82,4.22,87
54000,3,27,41.29,0.00,13.93,0.00,20.85,0.00,0.000,514,26.63,4.71,12
55000,20,210,55.59,0.00,33.05,0.00,23.70,0.00,0.000,640,48.60,3.21,109
55000,68,190,50.76,1.00,15.36,0.99,21.80,0.48,0.116,460,25.65,3.68,120
56000,20,163,53.66,0.02,33.16,0.00,22.61,0.04,0.006,791,58.22,2.02,97
56000,68,108,38.94,0.37,14.14,0.23,15.06,0.17,0.037,625,28.86,4.64,73
56000,86,88,66.46,0.00,34.06,0.00,26.06,0.00,0.000,1147,84.46,2.77,40
56000,88,72,39.60,0.64,10.35,0.32,17.68,0.22,0.083,510,26.19,3.83,47
57000,20,131,52.95,0.02,34.05,0.00,20.92,0.00,0.000,988,72.23,1.84,77
57000,86,90,65.92,0.16,33.14,0.00,26.07,0.03,0.011,1225,85.72,3.37,46
57000,68,53,49.32,0.58,22.64,0.00,15.72,0.70,0.132,332,17.82,4.93,39
57000,91,36,29.06,0.47,8.33,4.53,13.72,0.42,0.167,449,23.29,1.39,30
57000,88,23,41.64,0.00,13.87,0.48,16.13,0.00,0.000,1190,56.27,12.41,17
58000,20,216,50.96,0.23,28.55,0.00,25.04,0.05,0.009,550,40.37,2.00,109
58000,86,95,67.99,0.08,34.61,0.00,26.57,0.00,0.000,1259,86.94,2.87,48
58000,94,48,38.99,0.00,9.79,0.00,18.58,0.00,0.000,681,29.43,3.30,34
58000,88,41,47.85,0.00,14.66,0.02,16.29,0.00,0.000,321,14.73,7.31,29
58000,68,32,45.28,1.00,5.03,0.09,37.41,0.16,0.031,224,12.56,1.39,15
58000,92,20,46.50,0.00,14.05,0.00,15.55,0.00,0.000,568,26.47,5.58,15
58000,91,12,32.26,0.92,8.67,7.17,13.83,0.50,0.167,674,42.19,3.55,9
59000,96,136,48.58,0.65,15.39,0.10,15.03,0.46,0.118,559,24.31,10.19,84
59000,92,114,45.00,0.08,13.08,0.00,16.74,0.03,0.009,288,17.63,4.44,66
59000,95,108,64.46,0.00,32.68,0.00,27.44,0.00,0.000,863,62.64,2.41,51
59000,86,107,65.05,0.00,33.48,0.00,25.59,0.00,0.000,1376,93.04,3.79,56
59000,68,98,39.06,0.99,13.10,0.02,19.45,0.50,0.122,255,16.09,5.94,69
59000,20,83,44.07,0.07,28.61,0.00,18.47,0.07,0.012,1125,73.97,2.74,58
59000,94,50,38.60,0.00,12.86,0.00,15.76,0.00,0.000,356,19.31,5.67,34
59000,91,48,28.22,1.04,8.08,5.54,11.90,0.92,0.354,370,22.55,2.14,35
59000,88,25,40.08,3.08,10.40,0.08,8.84,2.28,0.600,345,17.55,3.76,22
60000,20,152,39.76,0.00,26.00,0.00,18.45,0.00,0.000,520,37.74,1.85,69
60000,86,141,67.23,0.11,35.00,0.00,25.74,0.00,0.000,1147,81.29,2.19,73
60000,96,79,46.46,0.19,17.13,0.00,13.61,0.22,0.038,665,28.29,12.06,52
60000,95,61,65.83,0.00,35.51,0.00,26.16,0.00,0.000,1195,89.33,1.82,32
60000,91,51,31.55,0.35,10.71,4.65,14.29,0.33,0.137,562,30.07,3.22,38
60000,92,47,52.88,0.00,15.94,0.00,17.43,0.00,0.000,531,23.19,11.18,35
60000,98,9,55.25,0.11,28.33,0.00,22.11,0.56,0.111,1367,92.22,2.01,8
60000,88,9,41.28,4.44,9.22,0.22,7.44,3.22,0.889,1158,36.26,10.58,9
60000,94,9,41.57,0.00,9.22,0.00,22.00,0.00,0.000,728,35.91,1.33,8
61000,86,146,66.54,0.08,34.88,0.00,25.37,0.00,0.000,1316,90.79,2.96,78
61000,20,74,39.93,0.00,26.88,0.00,17.53,0.00,0.000,962,63.07,2.13,47
61000,95,72,63.85,0.53,34.21,0.00,24.12,0.26,0.042,1037,76.07,2.45,50
61000,96,51,45.34,0.69,17.69,0.04,11.98,0.47,0.078,863,36.77,11.80,33
