step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
10000,0,1026,44.45,1.48,11.42,0.65,11.64,0.15,1.43,0.053,0.297,327536.6,192670.9,7,108,4.27,1.41,1.41,13.7542,527.73,24338.5,0.0553,27.2220,5462,24.6010,1626,6.9508,26631.3,148.26,2.1206,0.0,0.0000,1.000,0.7810,1.7819,2.2142
10000,1,939,45.35,0.82,12.50,0.80,11.35,0.19,1.24,0.065,0.273,324831.7,208482.7,7,105,4.19,1.27,1.16,13.9669,493.85,25533.3,0.0640,26.8851,5461,24.5965,1528,6.8034,26866.0,93.87,10.4504,0.0,0.0000,1.000,0.3216,1.7474,2.2426
10000,2,634,50.10,1.15,14.99,1.02,11.31,0.43,1.31,0.120,0.206,271592.9,159249.6,6,93,4.47,1.42,1.14,10.8183,173.82,28909.7,0.0550,22.4182,5461,24.5965,1725,5.0793,18554.3,57.87,27.5596,0.0,0.0000,1.000,0.0291,2.0004,1.9096
20000,0,954,40.18,0.31,11.20,1.80,10.97,0.06,1.10,0.028,0.265,193296.9,119005.2,5,99,4.15,1.13,1.07,4.7594,486.73,19478.8,0.0000,18.5879,5462,11.5598,1635,3.1608,9152.0,148.26,1.0739,0.0,0.0000,1.000,0.7810,1.8061,1.3348
20000,1,723,42.61,0.34,12.43,2.67,10.95,0.07,1.10,0.028,0.218,114133.1,66478.8,5,105,4.31,1.14,1.03,2.4136,359.75,29907.0,0.0000,11.0739,5461,11.5577,1556,1.5198,4038.1,93.87,3.2020,0.0,0.0000,1.000,0.3216,1.7797,0.8168
20000,2,579,44.01,0.40,12.73,3.06,11.48,0.08,1.11,0.035,0.184,78907.6,45373.8,4,114,4.51,1.15,1.05,1.5523,231.29,36771.4,0.0000,7.4048,5461,11.5577,1280,0.9746,2221.5,57.87,7.3828,0.0,0.0000,1.000,0.0291,1.4232,0.5573
30000,0,1092,29.23,0.78,7.24,1.45,13.45,0.08,1.18,0.027,0.286,319761.9,265219.7,10,75,4.04,1.22,1.14,12.9550,323.95,27088.2,0.0000,29.5161,5462,24.2558,1311,7.5434,25448.1,148.26,2.2724,0.0,0.0000,1.000,0.7810,1.3824,2.9348
30000,1,903,28.67,0.75,7.50,1.80,12.05,0.09,1.17,0.038,0.230,316647.2,264505.1,7,93,3.89,1.22,1.13,12.7349,341.23,30114.5,0.0000,29.3420,5461,24.2514,1467,7.3611,25334.5,93.87,11.3002,0.0,0.0000,1.000,0.3216,1.6320,2.8486
30000,2,710,30.00,1.19,8.74,1.32,13.73,0.31,1.25,0.099,0.203,256843.3,216605.6,7,115,4.32,1.30,1.16,9.7238,213.22,35075.2,0.0000,24.1962,5461,24.2514,1072,5.2177,16735.8,57.87,29.3231,0.0,0.0000,1.000,0.0291,1.1265,2.5063
40000,0,948,28.55,0.52,8.27,1.42,12.09,0.18,1.12,0.074,0.242,205127.7,117621.5,7,95,4.06,1.16,1.07,5.0296,369.17,21485.0,0.0000,20.0070,5462,12.2950,1393,1.8183,6937.8,148.26,1.0696,0.0,0.0000,1.000,0.7810,1.4730,1.7825
40000,1,805,27.03,0.52,8.28,1.61,10.81,0.15,1.13,0.053,0.197,121919.4,64017.8,8,96,3.78,1.19,1.07,2.6370,316.28,33510.1,0.0000,11.7816,5461,12.2927,1376,0.9757,3319.2,93.87,3.1781,0.0,0.0000,1.000,0.3216,1.4750,1.0883
40000,2,574,27.79,0.97,8.38,1.57,11.76,0.27,1.19,0.085,0.148,80556.0,35295.9,7,98,4.07,1.30,1.09,1.4014,174.25,40244.2,0.0000,8.0045,5461,12.2927,1101,0.5508,1653.8,57.87,7.3461,0.0,0.0000,1.000,0.0291,1.2440,0.6769
50000,0,1119,30.35,0.39,7.62,1.79,13.06,0.15,1.10,0.053,0.292,334804.7,259789.6,3,102,3.82,1.15,1.07,11.9679,398.40,26230.8,0.0000,31.6603,5462,26.3931,1386,4.7601,20678.0,148.26,2.3453,0.0,0.0000,1.000,0.7810,1.4710,3.3384
50000,1,960,29.39,0.46,8.91,1.71,10.88,0.17,1.11,0.068,0.243,330837.5,249473.7,5,120,3.87,1.19,1.05,11.7667,274.19,29367.8,0.0000,31.1553,5461,26.3883,1265,4.7419,21022.5,93.87,11.1446,0.0,0.0000,1.000,0.3216,1.3782,3.1778
50000,2,796,28.28,0.37,8.47,1.50,9.89,0.12,1.11,0.048,0.184,264181.9,182844.9,6,150,3.69,1.16,1.05,8.0379,245.24,34400.8,0.0000,25.4016,5461,26.3883,1121,3.3821,13636.6,57.87,28.8041,0.0,0.0000,1.000,0.0291,1.2112,2.5573
60000,0,1069,28.53,0.75,7.23,1.35,11.00,0.38,1.18,0.144,0.249,208501.7,116795.8,4,102,3.62,1.31,1.05,4.4787,294.34,19382.1,0.0000,20.1548,5462,12.6218,1280,2.0394,7698.6,148.26,1.0683,0.0,0.0000,1.000,0.7810,1.3839,1.7360
60000,1,871,30.39,0.79,7.94,1.28,11.01,0.26,1.22,0.091,0.209,121988.0,59587.9,4,118,3.79,1.33,1.12,2.1922,186.26,31717.6,0.0000,11.8779,5461,12.6195,1273,0.9619,3379.7,93.87,3.2174,0.0,0.0000,1.000,0.3216,1.3440,0.9645
60000,2,694,28.87,0.63,7.96,1.32,11.19,0.33,1.15,0.114,0.168,82323.2,38545.0,4,132,3.74,1.24,1.07,1.2887,104.28,39169.8,0.0000,8.0786,5461,12.6195,1087,0.5392,1745.8,57.87,7.3832,0.0,0.0000,1.000,0.0291,1.1607,0.6622
70000,0,1143,30.66,1.65,6.85,0.72,12.65,0.81,1.41,0.292,0.286,333770.1,190267.7,5,111,3.89,1.66,1.16,9.1116,285.13,25682.1,0.0000,31.3729,5462,28.3700,1181,4.9358,22913.5,148.26,2.2450,0.0,0.0000,1.000,0.7810,1.2400,2.7038
70000,1,1040,30.28,1.57,7.12,0.70,11.85,0.54,1.39,0.207,0.254,334977.8,201827.8,5,121,3.78,1.59,1.18,9.6090,247.53,28217.0,0.0000,31.2702,5461,28.3648,1227,5.8411,25688.9,93.87,11.1512,0.0,0.0000,1.000,0.3216,1.3111,2.7770
70000,2,829,30.21,1.44,7.36,0.56,13.10,0.79,1.33,0.293,0.212,270516.7,152457.5,5,135,3.98,1.55,1.10,6.7077,132.30,33910.6,0.0000,25.7952,5461,28.3648,1001,3.5950,15505.2,57.87,28.7235,0.0,0.0000,1.000,0.0291,1.0724,2.2537
80000,0,1094,28.38,0.76,6.89,0.84,10.78,0.45,1.19,0.167,0.242,208258.6,102067.8,6,91,3.62,1.28,1.12,3.8216,260.62,19144.8,0.0000,20.2735,5462,12.9515,1161,1.5341,6438.5,148.26,1.0505,0.0,0.0000,1.000,0.7810,1.2367,1.5496
80000,1,1038,28.25,0.68,7.04,0.95,10.50,0.50,1.17,0.179,0.226,122556.8,56088.8,7,155,3.54,1.24,1.13,2.0828,199.29,31338.6,0.0000,11.9739,5461,12.9491,1244,0.8598,3148.3,93.87,3.1468,0.0,0.0000,1.000,0.3216,1.3547,0.9112
80000,2,695,27.95,0.47,7.32,0.91,10.63,0.30,1.11,0.117,0.155,82251.0,34747.8,7,161,3.49,1.17,1.06,1.2405,148.10,39581.9,0.0000,8.1633,5461,12.9491,1077,0.4330,1550.6,57.87,7.3144,0.0,0.0000,1.000,0.0291,1.1595,0.6061
